,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_low_CO2_fd1_scaled
0,0,0.913917940466613,0.9136941971807653,0.9019371225311887,0.9601513610426328,0.8985311355382234,0.5936939581235667,-0.6531818538312775,3.0747982499393394,2.3815268216096697,0.1394207562349155,0.12912308930008043,0.0962992759452936,0.08407079646017698,0.08165728077232502,0.05446500402252612,0.054143201930812526,0.03901850362027348
1,1,0.9219629927594529,0.9214187785504316,0.906795627786567,0.9666733783978139,1.00987193119489,0.05919506074086586,-0.9930528890513248,3.318196912857692,3.0193157727207027,0.14304102976669347,0.11576830249396619,0.09493161705551087,0.08664521319388578,0.07658889782783589,0.0466613032984714,0.0559935639581657,0.028962188254223652
2,2,0.9082864038616251,0.9072019966617326,0.8866507177033494,0.96271712338698,0.36547693401010456,0.7557096077825856,-1.0968607720548222,3.7104974324935496,2.5578640260406424,0.1550281576830249,0.12341110217216408,0.1023330651649235,0.09002413515687847,0.0658085277554304,0.05341914722445693,0.05374094931617053,0.01842316975060334
3,3,0.918744971842317,0.9185974440874914,0.9095757000581852,0.963944955683224,0.6976009414357875,-0.052770542612311004,-0.9201807229412774,3.4417980889147777,3.154907266655478,0.14223652453740948,0.1490748189863234,0.11134352373290424,0.09734513274336282,0.08954143201930814,0.06677393403057119,0.0562349155269509,0.03234111021721635
4,4,0.9259855189058729,0.9258888473242495,0.9142561739335933,0.9625871440387569,1.1135348870834343,-0.16458105625992464,-0.8689186987819306,3.4480266584666834,2.864345044047968,0.13821399839098952,0.13612228479485117,0.09847144006436045,0.08994368463395015,0.08213998390989544,0.032019308125502834,0.05349959774738533,0.024135156878519748
5,5,0.9348350764279968,0.9350260219223108,0.9280642049413153,0.9685614925177602,0.283225474898051,-0.11525987455247777,-0.797860368071139,3.7768540046872836,3.1620523779957126,0.15510860820595335,0.13378921962992757,0.11954947707160095,0.10337892196299281,0.09026548672566374,0.055028157683024916,0.06403861625100563,0.03314561544650045
6,6,0.9308125502815768,0.9306339202713738,0.9189350834087676,0.9736254305632297,0.2815797289889754,0.23444313000488615,-0.5942395006362379,3.6136850504684297,2.7514017501622225,0.15776347546259054,0.13660498793242154,0.11150442477876106,0.0854384553499598,0.07779565567176187,0.05100563153660496,0.06138374899436845,0.027272727272727317
7,7,0.9243765084473049,0.9244776063616483,0.9141464652495821,0.9658227848101265,0.6161654394780399,-0.18134804077339148,-0.8016232409349695,3.524380258793372,3.2117314437246374,0.13475462590506837,0.13354786806114238,0.09702333065164924,0.10555108608205951,0.07184231697506034,0.04786806114239739,0.06749798873692678,0.02743362831858408
8,8,0.9235720032180209,0.9233608290733674,0.9060374885630209,0.9701185736541458,0.8742459711230361,0.4499496111638887,-0.8732850216283313,3.624081600033087,2.2442665426751205,0.14810941271118264,0.11472244569589699,0.1341110217216412,0.07345132743362832,0.08366854384553502,0.05044247787610616,0.05164923572003215,0.022526146419951754
9,9,0.915526950925181,0.9152764533460422,0.9045974077540486,0.9648912334439433,0.9275026331346936,0.46618173786313444,-0.9621255874729304,3.2563711171939027,2.6384171546318855,0.13346741753821398,0.1226870474658085,0.11995172968624293,0.1033789219629927,0.08567980691874498,0.0470635559131134,0.06484312148028962,0.023893805309734496
10,10,0.9219629927594529,0.92180033879712,0.9107562344500376,0.9731383440374934,0.31976301514928623,-0.10603836659790787,-0.7447775808348353,3.5153255401419137,3.3997856636803685,0.15840707964601772,0.1319388576025744,0.14818986323411104,0.09533386967015287,0.08254223652453743,0.06411906677393402,0.05551086082059531,0.024135156878519737
11,11,0.913113435237329,0.9123452367138778,0.8931688865899392,0.964170673500817,0.3863991922102897,0.08366086557351855,-1.203639152164955,4.068109992082103,2.9713415599185837,0.1525341914722446,0.12477876106194688,0.11560740144810937,0.08012872083668544,0.07047465808527756,0.0464199517296862,0.048270313757039385,0.019308125502815753
12,12,0.917940466613033,0.9178920423269833,0.9076076882081702,0.9663032648237829,0.7826732615090088,0.03328957942629027,-0.8252185838123218,3.6693707390827255,2.7703287989611702,0.15269509251810137,0.12059533386967011,0.14360418342719228,0.08278358809332262,0.07224456958970234,0.0466613032984714,0.05462590506838292,0.024296057924376502
13,13,0.9203539823008849,0.920745010286432,0.9154234370897634,0.9659995915866857,1.1234771348329948,0.14674610709745994,-0.9708247692748985,3.7246329573475454,2.365652035700317,0.14633950120675784,0.12719227674979885,0.10587288817377309,0.08109412711182624,0.07707160096540629,0.037489943684633896,0.053338696701528535,0.024537409493161723
14,14,0.9235720032180209,0.9235961653051277,0.9134443914755372,0.9691956377162161,0.4129473749680699,0.1401144281001857,-0.7264842372245508,3.589642896553453,2.9111296636740103,0.12839903459372484,0.12421560740144807,0.10168946098149637,0.08801287208366856,0.07345132743362832,0.048833467417538176,0.06814159292035397,0.0277554304102977
15,15,0.910699919549477,0.909920044548936,0.8875414900756344,0.9620437603158385,0.6787975069609592,0.35524951106633773,-0.5758328758509438,2.963453843282258,2.9032321227236206,0.14843121480289623,0.11053901850362022,0.11769911504424775,0.08624296057924376,0.08238133547868061,0.0658085277554304,0.0563153660498793,0.02864038616250999
16,16,0.909895414320193,0.9103368333827124,0.9047269253193713,0.9609423255652856,0.2661278882325833,0.2751013410082967,-0.5705385802693442,3.4227412137319684,2.9888700593313726,0.1398230088495575,0.1309734513274336,0.10466613032984709,0.10981496379726463,0.08262268704746578,0.057683024939662084,0.066130329847144,0.029283990345937184
17,17,0.9308125502815768,0.9308125502815768,0.9225951178256134,0.9687275528882915,0.7399719249693428,-0.02345655428206167,-0.7084087343759895,3.496353885683486,2.7967670318414886,0.14481094127111827,0.14489139179404667,0.10000000000000005,0.08857602574416737,0.07015285599356395,0.04810941271118259,0.0562349155269509,0.028479485116653304
18,18,0.9267900241351569,0.9265574519346027,0.9157712265233962,0.9697243651558984,0.3055004312798878,0.1302203850644193,-0.6819637013486552,3.6215882769023366,2.906249804410818,0.14424778761061946,0.1403861625100563,0.11906677393403053,0.11287208366854382,0.08415124698310542,0.04577634754625901,0.061625100563153644,0.031214802896218842
19,19,0.9348350764279968,0.934565671631427,0.9225038846634654,0.9763678104517893,0.23459975339744382,-0.03030548798148798,-0.5312485022823803,3.4888141820170593,3.1888018352724594,0.1954947707160096,0.1222043443282381,0.16926790024135158,0.0859211584875302,0.08407079646017701,0.05060337892196296,0.05534995977473852,0.03298471440064364
