,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_scaled
96,96,0.825422365245374,0.8183897865303398,0.768142868201821,0.8497984291167208,1.8121740864556033,-0.23791379297617643,0.7982670458389783,1.9824451347784813,1.4810582044028509,0.10844730490748185,0.08559935639581649,0.07650844730490744,0.0722445695897023
97,97,0.8205953338696702,0.8106186323477687,0.7587404927973082,0.8685026812940311,1.4323802995713137,-0.36168787951570563,0.6136510427045501,2.400829394363004,1.684256439505066,0.09372485921158491,0.07023330651649243,0.060659694288012954,0.061222847948511724
98,98,0.82864038616251,0.8230703588740467,0.7791390435781844,0.8640973511299683,1.564493432970782,-0.1732057510292889,1.0887388000229223,2.6005284969160467,0.7583903169313753,0.10434432823813349,0.0855189058728881,0.060981496379726455,0.05728077232502009
99,99,0.8197908286403862,0.8137573557334529,0.7707824032206307,0.8688380641208904,1.4336481600157194,-0.20262495805158962,0.7724506889028355,1.9464966489644997,1.718311217510075,0.09911504424778765,0.08061142397425586,0.060176991150442546,0.05784392598551898
100,100,0.8141592920353983,0.8058243308812979,0.7607146975725076,0.8584558611543562,1.1633673576572314,-0.05223906786225883,0.5474217554601588,2.1874288373184267,1.7674115633863994,0.10691874497184237,0.07168141592920356,0.05615446500402259,0.04505229283990353
101,101,0.8197908286403862,0.8132679686754192,0.7664062592194857,0.855414862105996,1.01263728940233,-0.28177441089689426,1.1274011186503579,1.9931332468801188,2.0860197487655165,0.10957361222847954,0.08165728077232505,0.05913113435237338,0.05856798069187459
102,102,0.827031375703942,0.8209549587747056,0.7776278433984087,0.867936046172,1.584237509116887,-0.33440219247241343,0.5984113395165286,2.2131827669690076,1.732329146408631,0.10917135961383743,0.08181818181818175,0.06202735317779564,0.056717618664521297
103,103,0.827031375703942,0.8197229928783842,0.7625256139707006,0.8684741719423801,1.3926995462126477,-0.06847873812643264,0.8551361022419998,1.803421255200739,1.6403998435431528,0.10506838294448909,0.07988736926790016,0.0654867256637168,0.04835076427996778
104,104,0.8189863234111022,0.8108370632873874,0.7558670436943914,0.8475529219648668,1.4128889851853075,-0.2932277101835175,0.7512347922936542,1.658925438264162,2.2816749432513217,0.10297666934835081,0.07481898632341114,0.062349155269509335,0.05703942075623499
105,105,0.8181818181818182,0.8107723384780482,0.7627052890210786,0.8617436488249886,1.142746940010277,-0.10418288266871377,0.8021936897023195,2.5102684194605636,1.3561908043473254,0.11246983105390193,0.08020917135961385,0.05744167337087699,0.05317779565567184
