,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.left_CO2_vd_fd1_scaled
0,0,0.92,0.9194101414280786,0.8642699303076662,0.9615842257351691,2.700922217653126,1.7605720291274474,-0.052704042545982085,0.03914165731485203,1.7493053219141121,0.0934545454545455,0.06509090909090914,0.06109090909090914,0.03018181818181822
1,1,0.92,0.9215548044422983,0.8942517177811296,0.9567621920563097,1.8178138249222155,1.0758175384508772,0.05198468098451198,0.5839100760181081,2.904307663933369,0.1101818181818182,0.09090909090909095,0.07818181818181821,0.06727272727272733
2,2,0.9345454545454546,0.933240526596691,0.8844161958568738,0.9786566227244193,2.59932749653156,1.4627705896594638,0.4588037515672502,0.8359623281708816,0.6452775015064807,0.10363636363636367,0.10400000000000002,0.05854545454545457,0.04036363636363638
3,3,0.9163636363636364,0.9149195001881765,0.856550780621278,0.947609850313858,2.4608742204518483,2.0687549782347543,0.2857229034914963,0.3663364325754725,1.0986573402574595,0.1141818181818182,0.0792727272727273,0.08145454545454547,0.03854545454545456
4,4,0.9309090909090909,0.9275091818531603,0.8624481635071091,0.970675355450237,2.182977126301543,1.431087710576791,0.4070445478874157,0.490704962535857,1.5709284663420773,0.11745454545454545,0.07527272727272727,0.036,0.030545454545454532
5,5,0.9163636363636364,0.9177710491605708,0.88356280809111,0.9626891041985381,1.8804124465560472,2.245217099408199,0.5660693663594073,-0.268739320680182,1.7079590193556378,0.13454545454545458,0.07927272727272729,0.07745454545454548,0.05927272727272731
6,6,0.9127272727272727,0.9117772511848341,0.8700159489633174,0.9666521676091053,2.220358176214344,1.7937836855976865,0.5017964929203674,0.2668795762465951,1.4166066225644856,0.11599999999999996,0.07745454545454546,0.05745454545454546,0.049090909090909074
7,7,0.9345454545454546,0.933992670263667,0.878212187958884,0.9615455212922174,3.121491833747738,0.9766300248203005,0.26438640378784,-0.1568439476221247,2.2465538877175333,0.08072727272727274,0.0992727272727273,0.06181818181818184,0.028000000000000025
8,8,0.9490909090909091,0.9490909090909091,0.919348081112787,0.9788000670353612,2.5242632716931954,1.6612867067804813,0.5159040655893631,-0.14399788768083394,1.3940092531130501,0.15745454545454546,0.1,0.06181818181818183,0.023636363636363657
9,9,0.9345454545454546,0.9351140031413432,0.8893719806763285,0.9644444444444444,2.744681598678783,1.3714694026430505,0.33709405142936305,-0.31546230167063993,1.9523492778031013,0.1014545454545455,0.08945454545454551,0.07381818181818184,0.03563636363636367
10,10,0.9163636363636364,0.9140741502253718,0.8584123222748815,0.9676392180094787,2.3944532105011263,1.387627214367675,0.10313060935577309,0.1931967338789593,2.060298010150213,0.11127272727272727,0.08763636363636366,0.0861818181818182,0.034545454545454546
11,11,0.9527272727272728,0.9532170232563418,0.9348121706612273,0.9869964303926568,2.4244656176913213,1.3449451920422237,0.6411214244856891,-0.4084744978560586,2.094957159084728,0.1501818181818182,0.10181818181818185,0.09200000000000003,0.05090909090909094
12,12,0.9236363636363636,0.9233510843102294,0.8718092445670921,0.9466195239737841,2.1971558045681316,1.4985937381369583,0.5681269469272971,0.3971067349162451,1.741087188605455,0.11963636363636358,0.10618181818181811,0.08036363636363633,0.034909090909090855
