,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_humidity_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.front_CO2_vd_scaled,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.fronttop_humidity_fd3_scaled
0,0,0.9506172839506173,0.9506172839506173,0.9454177897574124,0.9937106918238994,2.948081974588754,1.0868265643357113,1.7722777799050484,1.6412253552588159,0.2717265783844535,0.03251028806584363,0.010288065843621408,0.00864197530864198,0.00781893004115224,0.006172839506172856,0.004526748971193417,0.004526748971193395,0.0037037037037036978,0.0024691358024691358,0.0020576131687242705,0.0008230452674897082,0.0008230452674897082,0.0004115226337448541,0.0,0.0,0.0,0.0,-0.0004115226337448541,-0.0004115226337448541,-0.0016460905349794165,-0.0020576131687242705,-0.0020576131687242705,-0.0020576131687242705,-0.0024691358024691245,-0.0028806584362139785,-0.004526748971193395,-0.005761316872427957,-0.008230452674897092
1,1,0.9629629629629629,0.9630158005132194,0.9602786144578312,0.9908132530120483,3.1689018746847664,0.9713005000007926,1.708059290273222,1.3979316137196187,0.638246938876775,0.04362139917695469,0.04485596707818924,0.027160493827160438,0.006584362139917666,0.00905349794238679,0.007818930041152227,0.0020576131687242705,0.022222222222222164,0.020164609053497873,0.010699588477366207,-0.001646090534979472,0.005761316872427957,-0.0008230452674897415,0.00411522633744853,-0.0004115226337448985,0.005761316872427957,0.010699588477366207,0.004526748971193384,0.0024691358024691245,-0.0008230452674897303,0.003703703703703687,0.003292181069958833,0.005761316872427957,0.0032921810699588216,0.0016460905349794052,0.0057613168724279466,0.006172839506172811,0.011522633744855914
2,2,0.9382716049382716,0.9391989715945386,0.9522292993630573,0.9779291956747149,2.505434710423936,1.5134374660583947,1.5956313673301867,1.7959152762054797,0.5553028424790292,0.03292181069958844,0.021810699588477322,0.01893004115226332,-0.0004115226337448874,0.003703703703703687,0.006172839506172811,0.003703703703703687,0.004938271604938249,0.01687242798353904,0.0028806584362139785,0.0016460905349794165,-1.1102230246251566e-17,-0.0016460905349794607,-2.2204460492503132e-17,-0.0004115226337448652,0.003292181069958833,-2.2204460492503132e-17,0.0004115226337448541,0.0004115226337448541,-0.0012345679012346067,-0.0004115226337448652,0.000411522633744843,-0.002057613168724326,0.003703703703703687,0.0012345679012345512,-1.1102230246251566e-17,0.0,0.00905349794238679
3,3,0.9465020576131687,0.9470363039546512,0.9505751533742332,0.9905674846625766,1.965656567853572,1.1600568482544147,2.0244296181392274,2.4989245219869822,0.2624975303238182,0.021399176954732525,0.017695473251028836,0.006995884773662575,0.0037037037037037203,-0.0012345679012345512,0.018106995884773693,-0.0004115226337448541,0.009876543209876599,0.017283950617283994,0.00823045267489717,0.0041152263374485635,-0.0008230452674897082,0.003292181069958833,-0.0004115226337448541,0.0008230452674897193,0.0024691358024691466,0.0012345679012345622,-0.0004115226337448541,-0.003292181069958833,0.003292181069958833,0.0,0.004938271604938283,-0.0016460905349794165,0.003703703703703709,-0.006995884773662519,0.0020576131687242817,0.0028806584362139898,0.0024691358024691358
4,4,0.9465020576131687,0.9471642039914827,0.9428800570308322,0.9859205132774906,1.8441748861185592,2.0559186232117024,1.2052471257364712,2.5463491580560262,0.46220151383263985,0.03868312757201651,0.008641975308642014,0.023456790123456826,0.006584362139917721,0.013580246913580285,0.019341563786008254,0.006172839506172867,0.026748971193415662,0.009465020576131699,-0.0024691358024691245,0.006584362139917732,0.004115226337448552,0.007818930041152295,0.010699588477366318,0.008230452674897182,0.010699588477366318,0.004526748971193406,0.009876543209876609,-0.000411522633744843,0.003703703703703709,0.00823045267489717,0.0037037037037036978,-0.004115226337448541,0.0016460905349794165,0.0016460905349794275,0.0041152263374485635,-0.0032921810699588216,0.004526748971193428
5,5,0.934156378600823,0.9346082465908174,0.9360079575596817,0.9744326554671383,2.108484659503672,1.4157544358558956,1.5294929835112638,2.8111724588542413,-0.06970938629074071,0.033744855967078144,0.027572016460905326,0.016049382716049342,-0.0004115226337448652,0.006172839506172811,0.011934156378600801,-0.0004115226337448541,0.00905349794238679,0.009465020576131656,0.0016460905349794165,0.0024691358024691245,-0.003292181069958855,-0.003703703703703687,-0.0016460905349794165,0.0004115226337448541,0.0012345679012345622,0.004115226337448541,-0.0020576131687242817,0.0020576131687242705,0.0028806584362139785,0.0008230452674897082,0.003292181069958833,0.0024691358024691136,0.0020576131687242705,0.0004115226337448541,0.004938271604938249,-0.003703703703703709,0.0012345679012345622
6,6,0.9629629629629629,0.9632621485370895,0.9659286496635895,0.9870912220309811,2.355894545776337,0.7583023708886782,1.2427790759477,2.5101706689117,0.7339914905237992,0.03662551440329213,0.03744855967078185,0.01975308641975303,0.010699588477366207,0.006995884773662519,0.007407407407407363,0.007818930041152227,0.005349794238683103,0.016049382716049332,-0.0012345679012345956,0.006995884773662519,0.003292181069958833,0.004526748971193395,0.008230452674897082,0.005761316872427957,0.004526748971193395,0.0012345679012345401,0.0028806584362139785,0.004938271604938249,0.004938271604938249,0.005761316872427957,0.009465020576131643,-0.001646090534979472,0.006584362139917666,0.006584362139917666,0.006995884773662519,0.004115226337448541,-0.0004115226337448985
7,7,0.9423868312757202,0.9427999102509732,0.939588997281305,0.9797697105389414,2.1708112256849748,1.2571846509216422,1.5712936357861693,2.140794371207962,0.5218391585667188,0.01399176954732515,0.024279835390946546,0.01193415637860088,-0.0008230452674896971,0.010699588477366306,-0.0024691358024691136,0.0004115226337448763,0.0008230452674897415,0.0020576131687243147,0.0012345679012345846,0.0,0.0,-0.0008230452674896971,-0.0016460905349794165,2.2204460492503132e-17,-0.002057613168724259,0.01028806584362144,0.0004115226337448763,3.3306690738754695e-17,-0.000823045267489686,0.0004115226337448763,0.0,0.002880658436214034,-0.002057613168724259,-0.0016460905349794052,0.0004115226337448874,-0.000823045267489686,-0.006995884773662508
8,8,0.9506172839506173,0.9510208416301607,0.9562965124762877,0.9881073982197578,2.4788128947192307,0.9083234021147073,1.885372487453597,2.064547506910275,0.6219707218933997,0.043621399176954755,0.018930041152263398,0.02098765432098767,0.0012345679012345622,0.0028806584362139785,0.011522633744855992,-0.0008230452674897082,0.013168724279835408,0.015637860082304535,0.0008230452674897082,-0.0008230452674897082,0.0012345679012345622,0.0012345679012345622,0.003703703703703687,0.0008230452674897082,-0.0016460905349794165,-0.003703703703703687,-0.0004115226337448541,-0.0012345679012345622,-0.0016460905349794165,0.0024691358024691245,-0.005349794238683103,0.0008230452674897082,-0.0004115226337448541,-0.003703703703703687,0.0,0.003703703703703687,0.0012345679012345622
9,9,0.9382716049382716,0.9390897552891322,0.9444055944055945,0.9775446775446776,2.0854001314261317,0.4752369068552034,1.9630584515129252,2.4865989302384928,0.9890820636452089,0.0246913580246913,0.02345679012345675,0.02057613168724276,-0.0016460905349794607,0.011934156378600768,0.023045267489711883,0.010288065843621352,0.007818930041152227,0.01975308641975304,0.016872427983539016,0.006995884773662519,0.008641975308641936,0.0028806584362139785,0.004526748971193395,0.000411522633744843,0.0004115226337448319,0.0004115226337447986,0.000823045267489686,-0.0028806584362140565,0.0028806584362139676,0.0008230452674897082,-0.004938271604938327,0.004115226337448518,0.0,0.0020576131687242705,0.012345679012345623,0.0012345679012345401,0.0012345679012345512
10,10,0.9547325102880658,0.9546720023653097,0.9491927121907866,0.9795585839134943,1.855605616363569,1.3702489159698368,2.030942383975591,2.681617141867471,0.3079079892857992,0.021399176954732525,0.03456790123456789,0.008230452674897082,0.004938271604938249,0.003703703703703687,0.011522633744855959,0.0024691358024691245,0.011522633744855949,0.01728395061728394,0.003703703703703687,0.004526748971193395,0.004526748971193395,0.0020576131687242705,0.005349794238683103,0.006995884773662519,0.0020576131687242705,0.0016460905349794165,0.0028806584362139785,0.003703703703703687,0.006995884773662519,0.003703703703703687,0.003703703703703687,0.006584362139917666,0.003703703703703687,0.0,0.006995884773662519,0.006172839506172811,-0.0004115226337448541
11,11,0.9753086419753086,0.9753978751994625,0.977902327573897,0.99378837641011,1.8295742171671399,1.6839272709988733,1.583361569021768,2.453249569060665,0.43363310441089437,0.030452674897119336,0.030452674897119357,0.009465020576131711,0.0020576131687242705,0.011111111111111127,0.006995884773662531,-0.003292181069958833,0.023868312757201658,0.016049382716049387,0.0004115226337448541,-0.004115226337448541,0.004115226337448541,-0.0028806584362139785,0.003703703703703687,0.0,0.0004115226337448541,-0.004938271604938249,0.0008230452674897082,0.0,0.0,-0.0012345679012345622,-0.0028806584362139785,-0.006584362139917666,-0.0028806584362139785,0.0016460905349794165,0.0,-0.003292181069958833,-0.004115226337448541
12,12,0.9670781893004116,0.9671590456536693,0.9667329796640142,0.9904951370468612,1.8963948201692689,1.4313790851741048,1.2511614147736734,2.5549820165165733,0.7271747237419671,0.046090534979423906,0.032098765432098796,0.015637860082304566,2.2204460492503132e-17,0.008641975308642025,0.012345679012345734,0.0004115226337448652,0.022222222222222254,0.02551440329218113,0.005761316872428068,0.0028806584362140565,0.0012345679012345956,0.009465020576131754,0.002057613168724326,0.0069958847736626304,0.004115226337448641,0.0004115226337448874,0.0020576131687243147,0.00493827160493836,0.004938271604938338,0.004115226337448629,0.002469135802469202,0.003703703703703776,0.006584362139917777,0.0004115226337448652,0.004115226337448629,0.0004115226337448652,0.0020576131687243373
13,13,0.9259259259259259,0.9267578449968387,0.9288726993865031,0.9799079754601226,2.118399303344523,1.4982919779785737,1.5218129733241657,2.600348186218849,0.13185254600668037,0.02716049382716048,0.019753086419753096,0.011522633744855982,0.0028806584362139785,-0.0016460905349794165,0.016872427983539096,-0.0008230452674897082,0.009053497942386857,0.0024691358024691466,-0.0016460905349794165,0.0020576131687242705,-0.0004115226337448541,0.0008230452674897082,-0.004938271604938249,-0.0020576131687242705,0.0037037037037036978,0.012345679012345701,-0.003703703703703687,0.0,0.0012345679012345622,-0.0012345679012345622,-0.003703703703703687,0.004115226337448541,0.003292181069958833,-0.0004115226337448541,0.004938271604938249,0.0004115226337448541,0.0037037037037036978
14,14,0.9588477366255144,0.9592406397535913,0.9629166014708184,0.9890470974808324,2.1334787418588865,1.5512450988091069,1.5665086960950552,2.244767254130173,0.44907823954820025,0.021810699588477356,0.025925925925925897,0.008230452674897092,0.004115226337448541,0.0016460905349794052,0.0012345679012345622,0.004115226337448541,0.01193415637860078,0.0127572016460905,0.009465020576131643,0.004115226337448541,0.0,0.003292181069958833,-1.1102230246251566e-17,0.0008230452674897082,0.0024691358024691245,-0.0020576131687242817,-0.0004115226337448541,0.003292181069958833,0.0012345679012345622,0.0012345679012345622,0.004526748971193395,-0.0004115226337448652,0.004938271604938249,0.003292181069958833,0.00905349794238679,0.004115226337448541,-0.0012345679012345622
15,15,0.9711934156378601,0.9712294073280139,0.9699381078691424,0.9929266136162689,2.276922874508419,1.4469250458052476,0.7438937597284601,2.0607111405985914,1.214369924240604,0.03786008230452679,0.04814814814814818,0.03374485596707823,0.009053497942386867,0.013991769547325127,0.010699588477366306,0.007818930041152295,0.025514403292181097,0.014814814814814859,0.0016460905349794275,0.0004115226337448652,0.0012345679012345733,0.01111111111111116,-0.0032921810699588216,0.00905349794238688,0.014403292181070004,0.005349794238683136,-0.005761316872427957,0.006584362139917732,0.010699588477366295,0.0024691358024691466,0.002880658436214001,0.0012345679012345846,0.007818930041152305,0.006172839506172878,0.016872427983539127,0.00452674897119344,0.01399176954732515
16,16,0.9670781893004116,0.9671454489136687,0.9671393607831846,0.9938093866973798,1.6909457774639036,1.600919716719726,1.6650936015368247,2.1640213765264305,0.5797531525794302,0.024279835390946535,0.02345679012345684,0.016460905349794285,0.0016460905349794496,0.012345679012345734,0.023045267489711963,0.0,0.011522633744856025,0.023456790123456826,-0.004115226337448541,0.0032921810699589106,-0.003292181069958833,0.004938271604938349,0.006172839506172911,0.00246913580246918,0.0004115226337448763,0.0016460905349794607,-0.000411522633744843,0.0037037037037037646,-0.000411522633744843,-0.0008230452674897082,-0.003292181069958833,0.006584362139917754,-0.002057613168724237,0.0012345679012345956,0.004938271604938338,0.0004115226337448763,0.008641975308642047
17,17,0.9506172839506173,0.9504874449327124,0.9437444739168876,0.9866637194223401,1.6312376481262356,1.4489820657970909,2.0373731133127886,2.4935775735006187,0.3979157458532142,0.019753086419753107,0.03621399176954735,0.011934156378600846,0.0,0.004526748971193406,0.026337448559670785,0.0012345679012345622,0.012345679012345723,0.019341563786008244,0.0,0.0012345679012345622,0.0008230452674897082,0.0020576131687242705,-0.0024691358024691245,0.0008230452674897082,0.0028806584362139785,-0.0008230452674897082,-0.004526748971193395,0.0004115226337448541,-0.0012345679012345622,-0.0012345679012345622,0.0,0.0032921810699588438,0.0004115226337448541,-0.0016460905349794165,-0.0004115226337448541,-0.0016460905349794165,0.0
18,18,0.9629629629629629,0.9629182690451957,0.9589230993725375,0.9923391215526047,2.3596776380252122,1.4970479494596414,1.5957072411602278,1.8830156523061783,0.992923799081502,0.024691358024691322,0.04650205761316867,0.015226337448559602,0.00041152263374480966,0.013580246913580197,0.008641975308641936,0.003703703703703687,0.009465020576131643,0.014814814814814758,0.000411522633744843,-0.0016460905349794607,-0.0037037037037037424,0.0004115226337448319,0.004115226337448541,0.004526748971193395,-0.004115226337448629,0.004526748971193395,-0.002469135802469202,0.0024691358024691136,-0.0008230452674897303,0.0016460905349793941,-0.0037037037037037646,-2.2204460492503132e-17,-0.0020576131687243373,0.003292181069958833,-3.3306690738754695e-17,0.0037037037037036757,0.008230452674897082
19,19,0.9588477366255144,0.9593402421256786,0.9663170163170163,0.9847707847707847,2.2702703889707223,1.2568839290212508,1.4484655792513523,1.9416194686148271,1.0314286538002022,0.025925925925925908,0.019753086419753086,0.025925925925925908,0.006584362139917676,0.01069958847736623,0.01851851851851848,0.0028806584362139785,0.015226337448559658,0.01934156378600821,0.0016460905349794165,0.0,0.0008230452674897082,0.005349794238683103,0.0024691358024691245,0.003292181069958833,0.003292181069958833,0.0004115226337448541,0.0004115226337448541,0.0,0.0012345679012345622,0.0020576131687242705,-0.0008230452674897082,0.004526748971193395,0.004115226337448541,0.0008230452674897082,0.003292181069958833,0.003292181069958833,-0.0004115226337448541
20,20,0.9670781893004116,0.9674021728496704,0.9724629687992437,0.9895209580838323,2.0443560615533394,1.3943090377968979,1.3042275112137496,2.160694576085571,1.4008082215043391,0.046090534979423906,0.026337448559670816,0.01399176954732515,0.00905349794238689,0.017283950617283984,0.026337448559670816,0.004115226337448619,0.035802469135802525,0.0312757201646091,0.004115226337448608,0.007818930041152338,0.0012345679012346067,0.008641975308642035,-0.000411522633744843,0.004938271604938338,0.00905349794238689,0.008641975308642047,0.005349794238683203,0.007818930041152338,0.009465020576131754,0.004115226337448652,0.0012345679012345956,0.005349794238683192,0.00493827160493836,0.0028806584362140453,0.006172839506172922,0.007818930041152328,0.004938271604938338
21,21,0.9547325102880658,0.9551323291337815,0.9560610906764753,0.989285143131297,1.9172933615501266,2.00210165249557,1.9135610043059756,1.3669533930061728,1.130108893245315,0.01069958847736623,0.018106995884773647,0.00781893004115224,0.006584362139917666,0.010288065843621375,0.00781893004115224,0.003292181069958833,0.004115226337448541,0.011111111111111105,0.0012345679012345622,0.004115226337448541,0.0008230452674897082,0.004938271604938249,0.0012345679012345622,0.006172839506172811,0.0028806584362139785,-0.0004115226337448541,0.004526748971193395,0.0008230452674897082,-0.0008230452674897082,-0.0004115226337448541,0.003703703703703687,0.0016460905349794165,0.0016460905349794165,-0.0012345679012345622,0.006995884773662519,-0.0008230452674897082,-0.0008230452674897082
