,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.front_CO2_vd_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd1_scaled
0,0,0.9094650205761317,0.9094650205761317,0.8999326145552561,0.9670560047918538,2.471190598366989,0.7168063930463339,1.1385243122907502,1.5513904020022844,0.6173287304589329,0.07407407407407403,0.051851851851851816,0.029629629629629606,0.003292181069958833,0.0028806584362139676,0.002057613168724259,0.0008230452674897082,-0.002057613168724304,-0.0032921810699588438,-0.004115226337448574,-0.007818930041152283,-0.01028806584362144
1,1,0.9176954732510288,0.9181428470747575,0.9143072289156626,0.9718373493975904,3.063719693212109,1.2666750779342841,1.3809180253234317,0.9091167167922501,-0.23304431947320398,0.04938271604938275,0.025925925925925963,0.03333333333333336,0.013580246913580285,0.001646090534979472,0.016460905349794275,0.0004115226337448985,0.013168724279835443,0.0032921810699588993,0.0008230452674897637,0.009876543209876586,-0.009876543209876498
2,2,0.8847736625514403,0.8855933450190628,0.881906384239372,0.9521552362612947,2.7125166907080693,0.9882927924144325,1.206536072891328,1.296071334165574,0.5304705212897045,0.12633744855967075,0.023868312757201627,0.02633744855967075,0.006172839506172823,-0.0016460905349794275,0.004115226337448541,0.0028806584362139785,0.008230452674897082,0.0016460905349794052,0.0024691358024691245,0.0008230452674896971,-0.0037037037037037203
3,3,0.9012345679012346,0.9018255745014316,0.8945552147239264,0.9624233128834355,3.3126690667006695,0.9332168992494952,0.7815256203046606,0.9207550264074642,0.5973962145488543,0.12592592592592594,0.0358024691358025,0.03168724279835392,0.005761316872427991,0.0037037037037036978,0.0028806584362139898,-0.0012345679012345622,0.003292181069958833,-0.0024691358024691245,-0.0028806584362139785,-0.009053497942386812,-0.003703703703703687
4,4,0.9094650205761317,0.9111855106833137,0.9021119230083764,0.957761539832472,3.216241260631251,0.6179178360390865,0.8156872580686904,0.904223148270658,0.9312026768610021,0.11028806584362136,0.03744855967078189,0.04609053497942385,0.00781893004115224,-0.0008230452674897193,0.0028806584362139785,0.0028806584362139676,0.0016460905349794052,0.005761316872427957,0.004938271604938249,-0.0020576131687242926,0.004938271604938249
5,5,0.8724279835390947,0.8728898206893563,0.8650530503978779,0.938034188034188,3.444509077830186,1.2750679410921382,1.1751375642974267,1.428751328429222,-0.8378352500044147,0.08353909465020579,0.018930041152263412,0.03045267489711938,0.011522633744856004,-0.0016460905349794165,0.006584362139917721,0.0004115226337448652,0.0057613168724280125,-0.0020576131687242705,-0.006995884773662519,-0.002057613168724259,-0.006584362139917666
6,6,0.9218106995884774,0.9224423135782999,0.9184008762322016,0.9637771866687529,3.04783399770513,0.7553483781828675,0.6952331857976644,1.1262627248024997,0.8271153668204091,0.14691358024691362,0.03539094650205763,0.024279835390946525,0.007407407407407441,0.0004115226337448541,0.018106995884773693,0.0004115226337448541,0.0016460905349794386,-0.0012345679012345622,-0.0016460905349794165,0.0049382716049382715,0.0004115226337448541
7,7,0.9218106995884774,0.9219570719270886,0.9096033903726212,0.9572205341436112,2.9453745605241073,0.8801766319409215,1.4808651779815294,1.2269811754113504,0.10580975751567333,0.09135802469135806,0.05061728395061732,0.0358024691358025,0.008230452674897148,0.0028806584362139898,0.003292181069958877,0.007818930041152295,0.010288065843621453,1.1102230246251566e-17,0.0,0.003703703703703731,-0.0024691358024691245
8,8,0.8930041152263375,0.8938784901986814,0.8942433970523858,0.9481978695461841,3.440463836992905,1.066842712265706,1.0526120921117241,1.1187398176765164,-0.05939346687543374,0.10617283950617291,0.011934156378600869,0.026748971193415693,0.0032921810699588993,-0.010288065843621352,-0.0016460905349793941,-0.0032921810699588104,-0.005349794238683092,-0.0057613168724279466,-0.017283950617283883,-0.004526748971193395,0.0004115226337448874
9,9,0.8847736625514403,0.8861526779519001,0.8813519813519813,0.9523698523698524,3.2862668583673393,0.7808846374882709,1.1362360052949907,1.0264761279061507,0.3009423103227524,0.05144032921810697,0.012345679012345645,0.013580246913580207,-0.006172839506172856,-0.00452674897119344,-0.002057613168724304,-0.003292181069958855,-0.002057613168724304,-0.004938271604938293,-1.1102230246251566e-17,-0.011522633744856004,-0.006584362139917732
