,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.right_CO2_vd_scaled
0,0,0.9709090909090909,0.9706945968829376,0.9460734319224886,0.9966003739588645,2.666537174132473,1.2789153374787898,1.7338413074582812,1.0061148007964633,0.9120064645254696,0.07127272727272731,0.022181818181818226,0.006545454545454588,0.0043636363636363916,0.0021818181818181958,0.0018181818181818299,0.001454545454545464,0.001454545454545464,0.001090909090909109,2.2204460492503132e-17,-0.0003636363636363549,-0.0014545454545454195
1,1,0.9563636363636364,0.9563636363636364,0.9308697838109603,0.9910340204457853,3.833690931873586,1.676333767897797,1.2542804710259843,1.0767364603385703,0.15688149190079181,0.023272727272727313,0.02690909090909095,-0.002909090909090839,-0.002545454545454484,-0.002909090909090828,-0.0014545454545454085,0.0,0.000363636363636366,0.0010909090909091202,-0.002545454545454484,-0.0021818181818181294,0.0010909090909090979
2,2,0.9672727272727273,0.9671706584408661,0.9483678593848086,0.9958411801632141,2.92974613251095,1.1896174497031449,1.243830869687016,2.3445419961703955,0.034594096229293436,0.15709090909090911,0.018545454545454552,-0.004727272727272714,0.000363636363636366,0.000727272727272732,-0.000363636363636366,0.0021818181818181958,0.002909090909090928,-0.002181818181818185,0.002909090909090928,-0.00654545454545451,0.004727272727272747
3,3,0.9527272727272728,0.9515544551227343,0.9053999678094318,0.9863190085305005,2.6832599043857397,1.1628233591473933,2.15125076920262,1.7362471682048672,0.2754519642305092,0.035272727272727324,0.040000000000000036,0.0043636363636363916,0.007636363636363686,0.009818181818181882,0.0010909090909090979,0.0,0.0,0.004727272727272758,0.0,0.008000000000000052,0.0025454545454545617
4,4,0.9745454545454545,0.9740168371573331,0.9453125,0.9978524881516587,3.146906752502824,0.8270475230598756,1.6084962746218467,1.6070834547204762,0.6023430097206897,0.12981818181818178,0.027272727272727205,0.0025454545454544953,0.003999999999999948,0.004363636363636303,0.004727272727272658,0.0007272727272727098,0.0007272727272727098,0.00290909090909085,0.003272727272727205,0.0010909090909090647,0.0021818181818181294
5,5,0.9490909090909091,0.9487155445451411,0.911014788373279,0.988781234064253,3.06296936932697,1.2390174185287943,1.7751210558699904,1.478786461738253,0.42079101038876465,0.09163636363636365,0.014909090909090905,0.0,0.0,0.0,0.00545454545454549,-0.003272727272727294,-0.0025454545454545617,0.0018181818181818299,-0.0010909090909090979,0.0025454545454545617,-0.007272727272727275
6,6,0.9709090909090909,0.9710562571756602,0.965311004784689,0.9978251413658112,2.4481603837531174,0.8234114307945253,1.870995137752875,1.9877475432749132,0.6037612705959661,0.14400000000000004,0.02254545454545457,-0.00618181818181811,-0.003636363636363571,0.00545454545454549,-0.0072727272727272085,0.001818181818181852,0.0025454545454545617,-0.0007272727272727098,-0.002909090909090839,-0.003999999999999948,0.0010909090909091313
7,7,0.96,0.9598334297281665,0.9264867841409692,0.9894456681350954,2.3812192604365254,1.4319536768701149,1.3206884670611903,1.2446138605591925,1.5110070462712404,0.04945454545454543,0.040363636363636324,0.002909090909090839,0.0003636363636363549,0.0018181818181817744,0.009818181818181771,-0.0007272727272727431,0.00618181818181811,0.0039999999999999255,0.0021818181818181403,-0.002909090909090939,0.005090909090909012
8,8,0.9636363636363636,0.9636363636363636,0.9423914865091336,0.9937154348919055,3.2533154064739827,1.1051161722270464,1.5987658767983948,1.5089222168206728,0.6283521771707103,0.09236363636363634,0.015636363636363605,-0.000363636363636366,-0.007272727272727308,-0.000363636363636366,-0.005090909090909113,-0.0036363636363636598,-0.000363636363636366,0.003272727272727294,-0.000727272727272732,0.0,-0.007272727272727275
9,9,0.9418181818181818,0.9423235583478607,0.9026570048309179,0.9884057971014493,2.5409868042185306,1.40924461750335,1.281801859758698,2.2447086171222534,0.39042519184784696,0.09381818181818179,0.02436363636363633,0.00363636363636356,-0.0174545454545455,-0.0036363636363636598,0.005454545454545379,-0.01054545454545458,-0.013090909090909153,0.006545454545454477,-0.011636363636363677,-0.008000000000000052,-0.002181818181818218
