,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backtop_temperature_scaled,feature_importance.back_CO2_vd_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_humidity_fd3_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
0,0,0.9506172839506173,0.9506172839506173,0.9454177897574124,0.9916891284815813,2.383706945337259,1.729388096197246,0.9925754229020376,1.7118487118770218,0.8494899023610281,0.032098765432098754,0.029218106995884775,0.028395061728395087,0.025514403292181086,0.02016460905349795,0.00864197530864197,0.006172839506172834,0.004526748971193395,0.004115226337448541,0.004115226337448541,0.0028806584362139785,0.0028806584362139785,0.0024691358024691245,0.0024691358024691245,0.0020576131687242705,0.0020576131687242705,0.0012345679012345622,0.0008230452674897082,0.0008230452674897082,0.0004115226337448541,0.0004115226337448541,0.0,0.0,0.0,0.0,-0.003292181069958833,-0.003703703703703687,-0.006995884773662519
1,1,0.9670781893004116,0.9673378673362215,0.9721009036144579,0.9893072289156627,2.5185423154505058,1.0677574200262936,1.260074066006093,1.5691438490006329,1.1491393568502084,0.03786008230452679,0.046090534979423906,0.04197530864197534,0.03209876543209883,0.02921810699588483,0.006584362139917777,0.01193415637860088,0.0028806584362140565,0.0012345679012345846,0.007818930041152338,0.0004115226337448652,0.0008230452674897303,0.002469135802469158,0.006995884773662609,0.004526748971193473,0.016049382716049422,0.0008230452674897303,0.0008230452674897303,0.0008230452674897303,0.0012345679012345956,0.0032921810699589106,0.007818930041152338,0.0004115226337448652,0.0008230452674897303,0.0004115226337448652,0.002057613168724326,0.0008230452674897303,0.0008230452674897193
2,2,0.9218106995884774,0.922985364019749,0.9342319656347208,0.976892312250037,2.3003718075391824,1.2656280418701493,1.5449771755687327,2.1556977786421267,0.2957875636898274,0.027983539094650223,0.021399176954732545,0.019341563786008254,0.011111111111111138,0.012345679012345701,0.005761316872428024,0.006584362139917721,-0.0004115226337448541,0.0012345679012345622,-0.003292181069958833,-0.0028806584362139785,0.0004115226337448541,-0.003292181069958833,0.006584362139917743,0.0,0.0020576131687242926,-0.0004115226337448541,0.0,0.0,-0.0016460905349794165,0.0012345679012345622,0.0,-0.0008230452674897082,0.0016460905349794165,0.0,0.006172839506172856,-0.003703703703703687,-0.0008230452674897082
3,3,0.9547325102880658,0.954938861738822,0.9535276073619632,0.9878067484662577,1.999757429417329,1.1128146866467727,1.9327397995365665,1.5994420430422602,1.0459096609487186,0.028806584362139908,0.03415637860082301,0.03127572016460902,0.0251028806584362,0.01728395061728394,-0.003703703703703687,0.006172839506172823,0.0016460905349794165,0.007407407407407374,0.0024691358024691245,0.0008230452674897082,0.0028806584362139785,0.003292181069958833,0.00905349794238679,0.003292181069958833,0.007407407407407374,0.0028806584362139785,-0.0008230452674897082,0.0,0.0,0.0024691358024691245,-0.0004115226337448541,0.0,0.004938271604938249,0.0020576131687242705,0.0028806584362139785,0.006584362139917666,0.006172839506172823
4,4,0.934156378600823,0.9356779514325121,0.9398948494029584,0.9896631616467653,2.378040953887941,1.9786404329066312,0.8543811713735118,1.630450413905387,0.9651271328983175,0.013580246913580207,0.006584362139917655,0.01193415637860078,0.018930041152263332,0.008641975308641947,0.005349794238683103,0.0016460905349794052,-0.009465020576131744,-0.0012345679012345733,-0.0004115226337448541,-0.006584362139917743,-0.002057613168724304,-0.007407407407407441,0.0008230452674896971,-0.004526748971193428,-0.0024691358024691358,-0.006172839506172856,-0.0041152263374485635,-0.0016460905349794165,-0.006172839506172867,-0.01111111111111115,-0.006995884773662564,-0.0004115226337448652,-0.004938271604938293,-0.005349794238683136,-0.013580246913580295,-0.00534979423868317,-0.007818930041152283
5,5,0.9423868312757202,0.9427822157669653,0.9449602122015914,0.9820954907161803,1.5717944710160885,1.5368945933677396,1.8164904563734754,1.2672802452827494,1.5747819511932566,0.016872427983539127,0.08930041152263378,0.031687242798353964,0.05720164609053502,0.010288065843621453,0.005349794238683192,0.006584362139917754,2.2204460492503132e-17,0.0012345679012346067,-0.0012345679012345512,0.0,3.3306690738754695e-17,-0.0012345679012345401,0.0032921810699588884,0.0012345679012346067,0.0032921810699588993,4.4408920985006264e-17,2.2204460492503132e-17,0.0012345679012345956,0.0028806584362140565,0.0008230452674897526,-0.003292181069958833,3.3306690738754695e-17,-0.0012345679012345401,-0.0008230452674896971,0.0012345679012346177,-0.0012345679012345512,-0.0037037037037036757
6,6,0.9547325102880658,0.9552290901083172,0.9599045532780472,0.986934751994993,2.0613215104792455,1.099501658863104,0.688842561427233,2.5485216384425593,1.2111472034102269,0.039917695473251025,0.0362139917695473,0.030452674897119326,0.01934156378600823,0.01728395061728395,0.008641975308641947,0.004115226337448552,0.0012345679012345622,0.003703703703703687,0.003703703703703687,-0.0004115226337448541,0.006584362139917666,0.009465020576131643,0.007818930041152227,0.010288065843621363,0.004115226337448541,0.0024691358024691245,0.0028806584362139785,0.0028806584362139785,0.0,0.007407407407407374,0.003292181069958833,0.008230452674897082,0.004938271604938249,0.003703703703703687,0.0004115226337448541,0.004526748971193395,0.003292181069958833
7,7,0.9465020576131687,0.9467939511013325,0.9425475771629618,0.9812090196705582,2.086405715075478,1.2518625075874092,1.477452963232742,1.577355363141212,1.1533696807908251,0.03333333333333336,0.015226337448559713,0.023868312757201682,0.014814814814814847,0.017283950617283984,0.0028806584362139785,-0.0012345679012345512,0.003292181069958833,0.0016460905349794165,0.005349794238683148,0.0008230452674897082,0.0024691358024691245,-0.0024691358024691245,0.004115226337448552,0.003703703703703709,0.0008230452674897082,0.0037037037037036978,0.0,-0.0004115226337448541,-0.0024691358024691245,0.003292181069958855,0.0037037037037036978,0.0,0.0,0.0028806584362139785,-0.003703703703703687,0.003703703703703687,0.0008230452674897082
8,8,0.9423868312757202,0.9429524324965961,0.9498030059827812,0.9853348898292719,2.5056007424464197,0.5649862429372204,1.8802705747051842,1.1670751782460533,1.465677498552488,0.022222222222222275,0.061316872427983594,0.027572016460905402,0.020576131687242837,0.0061728395061728895,-0.000823045267489686,0.00246913580246918,0.0008230452674897303,1.1102230246251566e-17,-0.0008230452674896971,0.0004115226337448763,0.0008230452674897526,0.0004115226337448652,-0.006995884773662519,0.0004115226337448763,0.004115226337448619,0.0016460905349794607,0.0032921810699589214,0.0004115226337448874,-0.0024691358024691136,0.0008230452674897415,0.007818930041152338,0.0020576131687243373,0.001646090534979472,-0.0008230452674896971,0.004115226337448619,0.0004115226337448652,1.1102230246251566e-17
9,9,0.9300411522633745,0.9307852681009499,0.9315850815850816,0.9795648795648796,2.0005427435582375,1.4532213937101894,1.1185723293337047,1.5209351024447633,1.5636488609774648,0.02016460905349795,0.06460905349794237,0.030452674897119336,0.0316872427983539,0.00987654320987652,0.005761316872427957,0.016049382716049367,0.01069958847736624,0.004526748971193395,0.0012345679012345622,0.00905349794238679,0.0004115226337448541,-0.0020576131687242705,0.0028806584362139785,0.000411522633744843,0.008641975308641947,0.010699588477366217,0.0012345679012345622,0.004938271604938249,0.004526748971193395,-0.0004115226337448541,0.004938271604938249,0.0020576131687242705,0.006172839506172811,0.0020576131687242705,0.0028806584362139785,-0.003292181069958833,-0.0020576131687242705
10,10,0.9670781893004116,0.9671618764849926,0.9666345726559029,0.9850392534439343,2.0166223206678504,1.330091859640165,1.876018135096666,2.027965411621799,0.6908416360431205,0.02839506172839511,0.027983539094650255,0.02263374485596712,0.019753086419753117,0.007818930041152316,0.002057613168724326,0.003703703703703776,-0.0012345679012345622,-0.0008230452674896971,-0.0016460905349794165,-0.0028806584362139785,-0.0016460905349794165,-0.003292181069958833,-0.0012345679012345512,0.0008230452674897415,0.006172839506172911,-0.007407407407407374,-0.0016460905349794052,-0.0020576131687242705,-0.0020576131687242705,-0.0016460905349794165,-0.0016460905349794052,0.0024691358024691913,-0.0012345679012345622,-0.0016460905349794165,0.0012345679012345956,-0.0016460905349794165,-0.0012345679012345622
11,11,0.9670781893004116,0.9671402396548596,0.9672640297015564,0.9911466514350993,2.6542248817033807,1.584819095164028,1.1905139590569143,1.1692739880067533,1.0867220545340304,0.03827160493827164,0.08765432098765435,0.039506172839506214,0.018930041152263422,0.02633744855967083,0.0024691358024691913,0.012757201646090588,3.3306690738754695e-17,0.0,0.0008230452674897415,0.004938271604938349,0.0004115226337448985,0.0049382716049383045,0.0028806584362140453,0.0012345679012346177,0.004526748971193473,0.0024691358024691913,0.0012345679012346067,2.2204460492503132e-17,0.0,0.0004115226337448763,0.004526748971193473,0.0008230452674897303,0.0008230452674897303,2.2204460492503132e-17,0.006172839506172911,0.0008230452674897303,2.2204460492503132e-17
12,12,0.9465020576131687,0.9464328992544349,0.9405393457117595,0.9915266725611553,2.162777584766126,1.260812944520838,1.3144550376941972,2.029416900317115,1.1050910206548388,0.023045267489711963,0.021810699588477388,0.021399176954732535,0.026337448559670795,0.009876543209876553,-0.0004115226337448541,-0.0024691358024691245,-0.004526748971193395,-0.003703703703703687,-0.0028806584362139785,0.0028806584362139898,-0.004115226337448541,-0.003292181069958833,-0.003703703703703687,-0.0024691358024691245,-0.0004115226337448541,-0.0004115226337448541,-0.0016460905349794165,-0.0020576131687242705,0.0,-0.0008230452674897082,0.0,-0.0016460905349794165,-0.004115226337448541,-0.0008230452674897082,-0.0008230452674897082,0.0,0.0
