,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.right_CO2_vd_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.rightlow_temperature_fd1_scaled,feature_importance.righttop_humidity_fd3_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.righttop_temperature_fd1_scaled
0,0,0.9781818181818182,0.9783344759815348,0.9721230664626891,0.9970253272140065,2.8064640113908403,2.238215081337218,2.1518153632725205,1.306991279994088,0.772668701086354,0.02436363636363633,0.010909090909090868,0.009454545454545427,0.009090909090909071,0.008727272727272695,0.007272727272727264,0.00727272727272722,0.00727272727272722,0.0069090909090908535,0.0036363636363636485,0.0036363636363636377,0.0036363636363636264,0.002909090909090928,0.0029090909090909054,0.0025454545454545396,0.002181818181818185,0.001454545454545464,0.000363636363636366,0.000363636363636366,0.0003636363636363549,0.0,-0.0010909090909090979,-0.0010909090909090979,-0.0025454545454545617,-0.0025454545454545617,-0.0025454545454545617,-0.002909090909090928,-0.002909090909090928
1,1,0.9781818181818182,0.9781818181818182,0.9654348919054802,0.9970672029495559,2.9864294642770686,1.5479525797048772,1.3172238626468216,1.8837584572319392,1.8033842629924401,0.010545454545454525,0.0,-0.0018181818181818299,0.005454545454545445,-0.0021818181818181958,0.0072727272727272415,0.002181818181818185,0.0065454545454544984,0.003272727272727294,0.000727272727272732,0.0,0.01672727272727269,0.000363636363636366,0.006545454545454532,-0.0010909090909090979,0.0032727272727272718,0.000363636363636366,-0.000727272727272732,0.0029090909090909054,-0.002909090909090928,0.0,0.004727272727272714,0.000363636363636366,0.0,0.0036363636363636598,-0.000363636363636366,0.000363636363636366,0.0
2,2,0.9818181818181818,0.9818734834157244,0.9761064030131827,0.9972536095417451,2.8062844111328884,2.561486136514852,2.1154503445351827,0.7350848455845294,1.3337107371896946,0.026545454545454518,0.0021818181818181958,0.005818181818181856,0.008363636363636361,0.005818181818181845,0.006545454545454554,0.000363636363636366,-0.0025454545454545617,0.0025454545454545617,0.003272727272727294,0.0025454545454545617,0.0061818181818182,0.003272727272727294,0.000727272727272732,0.000363636363636366,-0.002909090909090928,0.000363636363636366,0.0010909090909090979,-0.003272727272727294,0.001454545454545464,0.000727272727272732,-0.0018181818181818299,0.0,-0.000363636363636366,0.0036363636363636598,-0.000363636363636366,0.002909090909090928,0.0
3,3,0.9527272727272728,0.951911021845491,0.9118783196523419,0.9946080798326091,2.595016532550409,1.9676281874613755,1.8699081798582322,0.999354307757955,1.7283514409272447,-0.0018181818181818188,0.0043636363636363916,-0.0036363636363636377,-0.0032727272727272605,-0.0021818181818181737,-0.0021818181818181624,-0.0029090909090909054,-0.000363636363636366,-0.000727272727272732,-0.0021818181818181737,-0.0021818181818181737,-0.007636363636363619,-0.003999999999999992,-0.009818181818181804,-0.0021818181818181737,-0.004363636363636359,-0.0032727272727272718,-0.005090909090909079,-0.006545454545454521,-0.004363636363636347,-0.004727272727272724,-0.0029090909090909054,-0.007636363636363619,-0.000727272727272732,-0.008727272727272705,-0.015272727272727249,-0.0029090909090909054,-0.009090909090909061
4,4,0.9781818181818182,0.9777982366951266,0.953125,0.9994075829383886,2.6670271760993782,1.5472520268134813,1.935504286809607,1.4272710851369825,1.4177019331635514,0.022181818181818146,-0.001454545454545464,0.001454545454545464,0.005090909090909057,0.0010909090909090979,0.014909090909090872,0.0,-0.0025454545454545617,-0.001454545454545464,0.0,-0.003272727272727294,0.005090909090909079,0.0025454545454545617,-0.002181818181818207,0.000727272727272732,-0.0021818181818181958,-0.004727272727272758,-0.004727272727272758,-0.0025454545454545617,-0.000363636363636366,-0.0021818181818181958,-0.0010909090909090979,0.000363636363636366,-0.001454545454545464,-0.0043636363636363916,-0.000363636363636366,-0.004000000000000026,0.0018181818181818078
5,5,0.9781818181818182,0.9781818181818182,0.9649413564507905,0.99736528981812,2.8970375334877194,1.7158426868220151,1.7381350629547756,1.3335754432695845,1.50593016997187,0.03345454545454544,-0.0025454545454545617,0.009818181818181804,0.014181818181818151,0.005090909090909068,0.01672727272727268,-0.002909090909090928,0.0,0.005454545454545445,-0.0025454545454545617,-0.0021818181818181958,0.016363636363636323,-0.004000000000000026,0.005090909090909068,0.002545454545454551,-0.001454545454545464,0.007636363636363575,-0.0021818181818181958,-0.004000000000000026,0.004727272727272724,0.0021818181818181958,-0.0018181818181818299,-0.001454545454545464,-0.000363636363636366,0.000727272727272732,0.004000000000000015,0.0021818181818181958,0.0
6,6,0.9854545454545455,0.9854545454545455,0.9800637958532695,0.999275047121937,2.517804157384227,1.9598868297933265,1.297649752602473,2.3977515436638717,0.812670274190573,0.08036363636363639,0.0,-0.000727272727272732,0.004727272727272758,0.0,0.007636363636363686,0.0,0.0,0.0,0.0,-0.002909090909090928,0.004727272727272758,-0.0010909090909090979,-0.0036363636363636598,-0.0018181818181818299,0.0,-0.000363636363636366,0.0,-0.0018181818181818299,-0.0025454545454545617,-0.000363636363636366,0.0,-0.0018181818181818299,0.0,-0.0032727272727272826,-0.0036363636363636598,-0.0025454545454545617,0.0
7,7,0.9672727272727273,0.9679005851587386,0.9637481644640236,0.9944016152716593,1.9798422050329902,2.6626758737712963,2.3524746034958124,0.8516183655430224,1.6071171402351236,0.001454545454545464,0.0025454545454545617,0.0058181818181818334,0.0058181818181818334,0.00436363636363638,0.009818181818181827,-0.000727272727272732,0.002909090909090928,-0.000727272727272732,-0.000727272727272732,0.005454545454545478,0.018545454545454542,-0.000363636363636366,-0.002545454545454551,0.008363636363636351,-0.0007272727272727208,-0.000363636363636366,0.000363636363636366,-0.0025454545454545617,-0.004727272727272714,-0.0036363636363636377,0.0010909090909090979,-0.003999999999999981,0.003272727272727294,0.0025454545454545617,-0.004727272727272724,0.002909090909090928,0.0010909090909090979
8,8,0.9636363636363636,0.963375210545022,0.9353946706887883,0.9969834087481146,2.3738076650655104,1.620243081662023,1.8413568417396746,2.4759825532395245,1.5106678366951642,0.033090909090909074,0.0,0.0018181818181818299,-0.0018181818181818299,0.0,-0.003272727272727294,0.0,0.0,0.0,0.0,0.0010909090909090979,0.0029090909090909167,-0.003272727272727294,-0.0025454545454545617,-0.0061818181818182215,0.0025454545454545617,0.0,0.0,0.000727272727272732,0.0,0.0,0.0,-0.000363636363636366,0.0,0.0,-0.000363636363636366,0.0,0.0
9,9,0.96,0.9601762072350307,0.9314009661835749,0.9940096618357488,2.642706121771285,1.9335383852374766,1.2209734458413046,2.1216653706182464,1.620550821019091,0.025090909090909063,-0.0036363636363636598,0.003999999999999937,-0.0018181818181818743,0.003999999999999948,0.0007272727272726765,-0.003272727272727294,-0.002909090909090928,-0.003272727272727294,-0.003272727272727294,0.00036363636363633266,0.006181818181818122,-0.003272727272727294,-0.00290909090909095,0.003999999999999948,0.0021818181818181294,-0.0021818181818181958,0.0003636363636363549,0.0025454545454544953,0.002909090909090839,-0.0007272727272727431,-0.001454545454545464,0.0003636363636363549,-0.002909090909090928,-0.0025454545454545617,0.005090909090909035,-0.0025454545454545617,0.0
