,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled
0,0,0.9018181818181819,0.8991090505946382,0.8171001189869114,0.9234234234234234,1.4951445999547304,0.139130389549419,-0.14181065976011126,2.3604885208783157,2.253392509172189,0.0723636363636364,0.04472727272727276,0.03018181818181822,0.019636363636363674
1,1,0.9054545454545454,0.9078433468644815,0.8782051282051282,0.9486341545165075,0.9701549380288597,1.0451371898242832,0.5051804794675298,2.059696835361207,1.418263375543425,0.09781818181818176,0.05599999999999994,0.04036363636363631,0.03381818181818177
2,2,0.9127272727272727,0.9115965058601465,0.8582077840552417,0.9397363465160076,1.4893359753770974,0.4468379169846126,0.10396636227303471,2.662227548577707,1.36379749949997,0.09454545454545453,0.04218181818181817,0.06363636363636363,0.04109090909090907
3,3,0.9163636363636364,0.9149195001881765,0.856550780621278,0.9435055528730083,1.1565457340579992,0.733807244053086,0.475728242470826,2.1356270471443253,1.5280233054845804,0.07818181818181819,0.041818181818181824,0.05163636363636366,0.022181818181818202
4,4,0.9236363636363636,0.9229895187165774,0.8849229857819905,0.9628998815165877,1.1249225425445197,1.1733038280894867,0.4721610359195809,1.7632926744190756,1.2491783023615248,0.11963636363636358,0.04509090909090903,0.0356363636363636,0.02581818181818175
5,5,0.8690909090909091,0.8708760330578512,0.8040115587285399,0.9108448070712223,1.6888148340171205,0.7681414653433715,0.36141559137069884,2.3258375597275154,0.9378621177744975,0.061090909090909126,0.0345454545454546,0.03563636363636369,0.02072727272727277
6,6,0.9090909090909091,0.9054963052506386,0.8417065390749601,0.9492532985355953,1.4044843309297126,0.5988080316713785,0.2845834360907491,1.645493569391705,2.0699447085036504,0.10290909090909087,0.037818181818181806,0.0356363636363636,0.03236363636363634
7,7,0.8981818181818182,0.8997656565656567,0.8397577092511013,0.929974302496329,1.5083526223785406,1.1312757332487204,0.06816174156300095,2.3846806611621134,1.0291029671775898,0.06181818181818184,0.049090909090909095,0.03563636363636365,0.005454545454545467
8,8,0.8945454545454545,0.8917131178596701,0.808446455505279,0.9353108764873471,1.359330099777188,0.6091092083141729,0.31275252203613985,1.8630892088291549,2.019783981345125,0.07381818181818182,0.03818181818181817,0.030181818181818188,0.02290909090909089
9,9,0.8872727272727273,0.8896198538303802,0.8164251207729469,0.923961352657005,0.8371000331951796,0.4225983451823138,0.609924934093518,2.4501061847345684,2.075665791074036,0.08109090909090912,0.030545454545454587,0.025454545454545528,0.02618181818181823
10,10,0.9272727272727272,0.9264411493398318,0.887292654028436,0.9589751184834123,1.1978638070446808,0.2263641727996661,0.1548200570303757,2.4504550105498297,1.8980677671602613,0.1356363636363636,0.04981818181818178,0.05127272727272725,0.041454545454545424
11,11,0.9018181818181819,0.9014609660002918,0.8386452490226075,0.9436511983681795,1.8355913205983196,0.695058775488498,-0.02146295873170796,2.2877055822238885,1.339978004857036,0.08872727272727277,0.045454545454545484,0.05672727272727277,0.005454545454545478
12,12,0.8763636363636363,0.8772515568741984,0.8057951017592273,0.9109175577785443,1.548443116244785,0.5478351425610541,0.23243986969942862,2.2633935569927917,1.9112419146655026,0.08327272727272726,0.030181818181818153,0.04254545454545454,0.020727272727272716
13,13,0.9345454545454546,0.932509090909091,0.8683174124350594,0.9656443774090833,1.4678808577718934,0.6554599607424527,-0.18102949151222963,1.5035987517000124,2.337327769331169,0.11745454545454548,0.04945454545454546,0.04363636363636366,0.032000000000000015
14,14,0.92,0.9179787064992849,0.862600333181887,0.956989247311828,1.20653206295094,0.6871722856295341,-0.13654238056279916,2.284224484700401,1.6707168136999666,0.12436363636363641,0.02872727272727278,0.03200000000000006,0.03527272727272731
15,15,0.8763636363636363,0.8736050532276947,0.8120335820895522,0.9299655568312285,1.3362070089453388,0.3865231237138576,-0.005155974931756074,2.490731578648497,2.0198946312991604,0.08109090909090907,0.049090909090909074,0.05599999999999998,0.02036363636363634
16,16,0.9090909090909091,0.9073468594075443,0.8359680435152133,0.9370219275879653,1.2207047898663053,0.40134058496724123,-0.21484950839723255,2.2695492718010972,2.318710488532485,0.08363636363636359,0.053090909090909064,0.03418181818181813,0.029090909090909056
17,17,0.8909090909090909,0.8848063440983794,0.7853065883887802,0.9271852576647097,1.7021436125041214,0.6369860274839935,-0.14580223348283275,1.9544651176391945,1.89886130537855,0.0727272727272727,0.04763636363636361,0.014909090909090861,0.038545454545454515
18,18,0.88,0.8762729411764706,0.8116652458084683,0.9246945154873545,1.408378400249013,0.5889937341821709,0.3068908173219221,2.0913045947173616,1.6273639783321996,0.09563636363636364,0.040727272727272744,0.05200000000000001,0.011272727272727268
19,19,0.9127272727272727,0.9099460539460539,0.8585335542667771,0.9307511737089202,1.4887458958988373,0.2472242428744594,-0.02382821779228603,2.2939967691060343,2.004719554750194,0.09818181818181816,0.06581818181818182,0.07418181818181818,0.018909090909090896
20,20,0.88,0.877279972702235,0.767170586039567,0.9151735722284434,1.5311218846814398,0.9881181733475518,-0.13299587368819424,2.2226997338709866,1.480988182321009,0.06436363636363639,0.04109090909090909,0.020000000000000018,0.02072727272727274
21,21,0.8945454545454545,0.8898464263030387,0.7944528238645886,0.9408412937824702,1.3537821600115167,0.9065180931247844,-0.03952483007837749,2.406381436951768,1.3141540670348353,0.08399999999999998,0.026909090909090903,0.02654545454545454,0.013818181818181808
22,22,0.9018181818181819,0.9007742452690871,0.8363636363636364,0.9351239669421487,1.6634628304813488,0.8886591830713201,-0.12631983021159257,2.1565699997576493,1.4035622038435815,0.10145454545454549,0.040363636363636414,0.04145454545454549,0.024363636363636386
23,23,0.8727272727272727,0.8714746746540353,0.7993405371047195,0.9090259017956459,1.5847490690998425,0.17992317589512816,0.08022029059376572,2.3774203640052884,2.1240873904558115,0.07672727272727269,0.04109090909090905,0.02945454545454541,0.012363636363636321
24,24,0.8909090909090909,0.8878559349147584,0.8108612744319085,0.9525663435563325,1.5904352373280393,0.34064949806834605,-0.02087482605817582,2.139332305762635,1.9864212372059913,0.06945454545454542,0.03672727272727268,0.024727272727272674,0.025090909090909053
25,25,0.9090909090909091,0.9077754179713396,0.859115817535545,0.9381664691943128,1.7815706615090445,0.4125631691104397,0.03914988749956966,2.009400579413874,1.8708460460279652,0.10545454545454543,0.06290909090909089,0.05490909090909087,0.02690909090909086
26,26,0.8763636363636363,0.8707467532467533,0.7730162562369225,0.9130854659584742,1.4124666158696164,0.7100541145962843,0.22526387185393584,1.8425245661418062,1.8874225406924026,0.0676363636363636,0.028363636363636348,0.03890909090909088,0.02727272727272727
27,27,0.9090909090909091,0.9068354906206428,0.8390069209721551,0.928778367938194,0.8879049119143877,1.5766809946083253,0.3478054753486006,2.8081287523392935,-0.04835531841831784,0.09709090909090906,0.04290909090909088,0.053454545454545435,0.025090909090909042
28,28,0.8945454545454545,0.8925223569127514,0.8125956144824069,0.9135645079041306,1.8504584782072793,0.3032907947458031,0.46809121510567814,2.259310791691204,1.3609229967002556,0.07163636363636362,0.04109090909090908,0.055272727272727286,0.026181818181818174
29,29,0.92,0.9193243747667039,0.8529735682819384,0.9561306901615271,1.2808497765529,1.2046322319223044,0.08742788553833154,1.8033774192537984,1.2903894174601276,0.09054545454545457,0.05527272727272731,0.0294545454545455,0.04472727272727275
30,30,0.8945454545454545,0.8920610649995616,0.8219946641556811,0.9170590081607031,1.5941157965379311,1.5674954779537342,0.2535366166147971,1.7714346271280141,0.7010466634322648,0.11854545454545454,0.0498181818181818,0.03999999999999998,0.025454545454545417
31,31,0.9163636363636364,0.9161027937933249,0.8728421217827997,0.9460138104205901,1.261930039717635,0.1574160110749104,0.07560884798802434,2.189758925841937,2.3797526617258575,0.10727272727272733,0.061454545454545484,0.06981818181818186,0.02909090909090909
32,32,0.8763636363636363,0.877965556092065,0.8204545454545455,0.9482644628099173,1.3531934759422695,0.5706254996882082,-0.045120929890154864,2.3791869714797786,1.8811075015700844,0.07636363636363637,0.03927272727272726,0.010909090909090868,0.030545454545454532
33,33,0.8909090909090909,0.8901652892561983,0.8251793868232224,0.9406392694063928,1.308849279189686,0.6786858750700356,0.02002357715326089,1.9975758442044507,2.027493300397767,0.06363636363636359,0.05127272727272726,0.011999999999999966,0.04981818181818178
34,34,0.9090909090909091,0.9080986429301036,0.845483492542316,0.9513993631640691,1.6974774891012288,0.7055404686211454,0.22632727602607677,1.916596818993436,1.4641441932963575,0.11309090909090905,0.07527272727272726,0.043999999999999984,0.03745454545454542
35,35,0.9054545454545454,0.9040227909345556,0.833715791262961,0.9216386197518273,1.195722761748166,0.7633271308335261,0.49074709466830213,3.038549306697916,0.6460988725646357,0.07199999999999994,0.01927272727272721,0.06654545454545449,0.017818181818181733
36,36,0.9163636363636364,0.912833679804506,0.8345156555772995,0.9341976516634051,1.9268993849793796,0.625082208031279,-0.07416584874562318,2.1283662229154543,1.5385279253955522,0.08036363636363639,0.04254545454545455,0.04800000000000001,0.026181818181818174
37,37,0.9090909090909091,0.9081961961814538,0.8539647227077705,0.9423963133640553,1.3973971575200417,0.4005099899852503,0.175009786211677,2.6602663770384045,1.4580678533636242,0.08690909090909087,0.04763636363636361,0.04654545454545452,0.013818181818181785
38,38,0.8945454545454545,0.8942247052797072,0.8424418604651163,0.9391472868217055,1.1455784193427796,-0.08148883025131295,0.1469646205759365,2.6013527557047684,2.408566583795181,0.08654545454545452,0.03672727272727273,0.05272727272727271,0.021818181818181813
39,39,0.8981818181818182,0.8930632175915194,0.8087209302325582,0.9277519379844961,1.4543282074542538,0.416980208612268,0.017536223597619298,1.6001814913592707,2.7094605492321806,0.08654545454545455,0.03454545454545456,0.041818181818181824,0.0472727272727273
40,40,0.9163636363636364,0.9172301180689123,0.8763810980792113,0.9467958524562298,1.6648152559698381,0.24990817395102263,-0.05466444128921872,2.7548893241119092,1.5296421367276498,0.1021818181818182,0.04581818181818185,0.03781818181818182,0.01890909090909092
41,41,0.8436363636363636,0.8361346599427559,0.7435897435897436,0.90007326007326,1.5479274293242689,0.9595907956319278,0.2733707222736075,2.943261324603713,0.4152818790750269,0.05672727272727274,0.00945454545454546,0.04254545454545454,0.0
42,42,0.9272727272727272,0.9286107831562378,0.8790108318005314,0.9288779889638259,1.3831240632024853,1.172927876530418,-0.1683307095403657,2.5031902795527965,0.9110149027354445,0.08109090909090907,0.0407272727272727,0.05090909090909088,0.029090909090909067
43,43,0.8945454545454545,0.8956379749564547,0.8413224545300018,0.9056603773584906,1.5074428202059773,0.8506469160396104,0.4058721105075322,1.4851831344224526,2.013189499560175,0.09818181818181816,0.05127272727272727,0.0458181818181818,0.047272727272727265
44,44,0.8654545454545455,0.8605492902673213,0.7514873363929968,0.9022607513173551,1.3924792373313084,0.18884464301600756,0.09795873429594663,2.374559573344748,2.23308565691354,0.08981818181818185,0.028727272727272758,0.01309090909090912,0.02072727272727276
45,45,0.8909090909090909,0.8902536997885835,0.8361421786425617,0.9125938409682856,1.5150163338887646,0.2933507835543636,-0.2813687249554016,2.4672098326226233,2.0827345687801007,0.07490909090909088,0.05054545454545452,0.049090909090909074,0.01599999999999996
