,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd3_scaled
0,0,0.9672727272727273,0.9671536553334305,0.9438211796702363,0.9949005609382968,1.8540723423907222,1.4047867669595488,1.535552766571208,1.3005776562234046,1.9312955870209936,0.24400000000000005,0.002909090909090928,-0.001454545454545464,-0.0025454545454545617,-0.003272727272727294,-0.0036363636363636485,-0.004000000000000015,-0.006545454545454488
1,1,0.9781818181818182,0.9783305785123966,0.9724317077258253,0.9947209653092006,2.2566755097083004,1.7011827727895066,1.6943342469621523,1.5945795491395363,1.1278725391865223,0.22654545454545452,0.002181818181818185,0.021818181818181747,0.0036363636363636598,0.010181818181818148,0.002545454545454551,0.0032727272727272826,0.007636363636363575
2,2,0.9781818181818182,0.9781818181818182,0.9676318267419963,0.997489014438167,2.431159211038629,1.3601136303967518,1.9292298471040734,1.4591694208738801,0.9640595852523719,0.23854545454545453,0.006909090909090898,0.005090909090909068,0.0018181818181818188,0.0010909090909090868,0.003999999999999992,0.0010909090909090758,-0.002909090909090928
3,3,0.9563636363636364,0.955110101525196,0.9076935457910833,0.9873652019958152,2.1218168908714667,1.599343109207113,1.497684192912182,0.9030616667031068,1.8735220814175846,0.23781818181818187,-0.002545454545454484,0.0007272727272727431,-0.0032727272727271937,-0.002545454545454484,-0.0003636363636363549,1.1102230246251566e-17,-0.002909090909090839
4,4,0.9672727272727273,0.9663768413925368,0.9296875,0.9982227488151659,2.4610739592614754,1.3328966779201394,1.8790258917383187,1.4731282636063896,1.0021150699804409,0.264,-0.004363636363636347,-0.010181818181818136,-0.0032727272727272826,-0.0029090909090909054,-0.006545454545454521,-0.006181818181818155,-0.012727272727272698
5,5,0.9490909090909091,0.9490909090909091,0.9181964983851776,0.9913309535951046,2.2632613789801455,1.5112456118319142,2.0851849752248315,1.4092221714492805,1.2357793615256725,0.19236363636363635,-0.0010909090909090979,0.0,-0.0072727272727273196,-0.0069090909090909315,0.0,-0.003272727272727294,0.003272727272727294
6,6,0.9745454545454545,0.9743401646135998,0.9573365231259967,0.9975351602145861,2.2871071230612046,0.5055359326477002,2.2464653686814495,0.9505615653625694,2.076667956875608,0.29709090909090907,-0.0007272727272727541,-1.1102230246251566e-17,0.006545454545454477,0.0032727272727271937,-0.003272727272727294,0.0036363636363635488,-0.0025454545454545617
7,7,0.96,0.9598334297281665,0.9264867841409692,0.9945851688693098,3.016881960117881,1.7594929427707706,1.2015898193411005,0.750047059910521,1.126944016081239,0.15818181818181815,0.0025454545454544953,0.0025454545454544953,-0.0043636363636363916,-0.0021818181818181958,-0.0072727272727273196,-0.006545454545454588,0.00036363636363633266
8,8,0.9709090909090909,0.9709090909090909,0.9539131892073068,0.9953913189207306,3.5145465650333376,0.8917153539734285,1.8207611317582832,1.153882253371505,0.9756922449224925,0.2036363636363637,-0.002545454545454484,0.00036363636363637706,-0.006909090909090842,-0.007999999999999941,0.002909090909090928,-0.0010909090909090647,-0.00363636363636356
9,9,0.9709090909090909,0.9706414797323888,0.9379227053140096,0.9933333333333334,2.625277756716512,0.978263092513084,1.906995809837495,1.3282639063139485,1.3183148992354192,0.21381818181818185,0.0025454545454545842,0.006909090909090953,0.004000000000000026,0.006545454545454588,0.0036363636363636598,-0.00290909090909085,0.0061818181818182215
