,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled
0,0,0.9709090909090909,0.9706945968829376,0.9460734319224886,0.9957504674485806,2.476882209109044,1.2084080804630086,1.9270259716190619,0.6741766855191651,1.268628191639092,0.09890909090909093,0.010909090909090946,0.0043636363636363916,0.0036363636363636598,0.002909090909090928,0.000363636363636366,1.1102230246251566e-17,0.0
1,1,0.9563636363636364,0.9566611570247934,0.9378665996313056,0.9907826378414614,2.797702997923501,1.627588916157213,1.6337751636458897,2.151756585731617,-0.42762817551702365,0.02618181818181825,0.03636363636363643,0.0007272727272727431,0.00545454545454549,-0.0003636363636363549,0.001818181818181841,0.0007272727272727541,-0.003636363636363582
2,2,0.9709090909090909,0.9709090909090909,0.956842435655995,0.9963119899560577,2.6697008394840793,1.4847834095638168,1.4615565385243023,1.7391794756056682,0.26325854516122205,0.16254545454545458,0.0312727272727273,0.0061818181818182215,0.001818181818181841,0.006545454545454588,0.003272727272727294,0.002181818181818207,0.0025454545454545617
3,3,0.96,0.9590076158730829,0.9164654756156446,0.9890552068244004,2.723871986131821,1.3268410040588992,2.0029128041923787,1.7122172557925717,-0.0809251683015758,0.03090909090909085,0.025090909090909042,0.003999999999999937,0.0018181818181817744,0.007999999999999941,0.0007272727272727098,0.004727272727272647,0.0018181818181817744
4,4,0.9781818181818182,0.9777982366951266,0.953125,0.9981486966824645,2.669901718333689,0.6596841481490773,1.92897756287468,1.8581526183169694,0.5906707466716862,0.0829090909090909,0.030545454545454497,0.004727272727272714,0.007636363636363585,0.006181818181818144,0.005090909090909079,0.007999999999999952,0.0036363636363636598
5,5,0.9454545454545454,0.9448432326128293,0.901580826109128,0.9904810470848207,2.9576249830047483,1.3423873479111335,2.071254002092534,0.8985326969541019,0.7182185821080832,0.06509090909090906,0.011272727272727257,-0.014545454545454539,-0.0061818181818182215,-0.010909090909090969,-0.009454545454545504,-0.014181818181818174,-0.010181818181818236
6,6,0.9709090909090909,0.9707545787545787,0.9549441786283892,0.9968102073365231,3.4923649592755566,0.6874368447131927,1.7242704303314893,0.9931485980074817,0.5975949750152432,0.07963636363636369,0.02218181818181819,0.003272727272727294,-0.002545454545454484,0.0025454545454545617,1.1102230246251566e-17,0.008363636363636406,0.004000000000000026
7,7,0.9527272727272728,0.9525304169514696,0.9138674743024964,0.9910058737151248,2.668127414639826,1.2916188561888968,1.2870662147043637,1.297975753827086,1.2948835345139489,0.04181818181818188,0.026909090909090938,-0.000363636363636366,0.005818181818181856,0.0065454545454545765,0.0072727272727273196,-0.002909090909090928,0.0
8,8,0.9709090909090909,0.971107438016529,0.960910005027652,0.9941344058991118,3.206007663336918,1.012328802041224,2.2426842241182636,1.6231787525072134,-0.29239361934733255,0.08509090909090912,0.012727272727272754,-0.0018181818181817523,0.0036363636363636598,-0.006909090909090842,0.00800000000000004,0.002909090909090928,0.003272727272727294
9,9,0.96,0.9601762072350307,0.9314009661835749,0.9934299516908213,2.4388155561507316,1.1801449676734794,1.804886036122839,1.476531225396945,0.8524715369873418,0.08363636363636359,0.02945454545454542,-0.0032727272727273047,0.010545454545454502,-0.006909090909090943,-0.003636363636363671,-0.004363636363636403,-0.007272727272727308
10,10,0.9672727272727273,0.9669955080213904,0.9460159952606635,0.9960011848341231,2.7297875989823863,1.2387310879498015,2.3598694416694554,1.1583307562519636,0.0487096330843759,0.050545454545454546,0.022909090909090924,-0.002909090909090928,0.0,0.000363636363636366,-0.003272727272727294,-0.003272727272727294,-0.0032727272727272826
11,11,0.96,0.9604144042938277,0.9464983851776305,0.9938806731259562,2.7730812103259486,1.0160400513483971,1.517244053117331,2.0620877437898164,0.4276451654595103,0.03818181818181815,0.023272727272727244,-0.006545454545454588,-0.009818181818181882,-0.009454545454545516,-0.011272727272727323,-0.004727272727272769,-0.009454545454545516
12,12,0.96,0.9601455323702515,0.9384701621248707,0.9949982752673335,3.348955335216358,0.8848177393696331,1.6297313187698,0.35207049146295527,1.2447837874691206,0.0647272727272727,0.030909090909090876,-0.006545454545454588,0.0007272727272726765,-0.011636363636363667,-0.00545454545454549,-0.007636363636363686,-0.004727272727272758
13,13,0.9818181818181818,0.9817537412904599,0.9676973353443942,0.9985754985754987,2.89707758450269,1.3813618400713739,1.337148258617695,0.8316918101241729,1.1210178850362045,0.15163636363636365,0.018909090909090896,0.000727272727272732,0.000727272727272732,-0.002909090909090928,-0.001454545454545464,-0.0021818181818181958,-0.000363636363636366
14,14,0.9709090909090909,0.9705595489781536,0.9469180675450553,0.9972739663789186,2.3313766579910262,1.4535831417144167,1.2072826663015737,1.991284632240837,0.6923605783922636,0.0727272727272728,0.029454545454545476,0.00036363636363637706,-0.00618181818181811,0.003272727272727294,0.0007272727272727431,-0.00036363636363633266,-0.0018181818181817854
15,15,0.9345454545454546,0.9330850281793679,0.8909658438576349,0.9832807118254879,2.0072308117221986,1.7349145946961746,2.5468051673585124,1.3286517183993376,0.538892476522227,0.17418181818181822,0.02181818181818187,0.000363636363636366,-0.0018181818181817965,0.0018181818181818299,0.0,-0.0036363636363636264,-0.0029090909090908946
16,16,0.96,0.9595517039160747,0.9249532551419344,0.9913309535951045,2.545021938502317,1.2877840273415948,1.8643587586253196,1.2601269477825225,1.0201225182771754,0.12981818181818178,0.003636363636363593,0.003999999999999915,0.002545454545454473,-0.0007272727272727431,-0.002909090909090939,0.0,-0.001454545454545464
17,17,0.96,0.9595855957061723,0.9283675799086758,0.9908675799086759,2.05103495574438,1.906693201049303,1.1270621321895444,1.299379846418227,1.454542515725759,0.1294545454545454,0.014545454545454518,-0.0036363636363636598,0.0007272727272727098,0.00036363636363633266,0.0032727272727272163,0.0010909090909090647,0.0010909090909090647
18,18,0.9418181818181818,0.9405514864282637,0.9021028701335607,0.9907644217107132,3.414233490218653,-0.0890884829709527,2.5274707677384782,1.3468535694916246,0.38138903497384047,0.05527272727272725,0.031272727272727244,-0.001818181818181852,-0.0061818181818182215,0.0072727272727272085,-0.006909090909090953,0.005818181818181745,-0.0036363636363636598
19,19,0.9636363636363636,0.9634653151726322,0.947942557304612,0.9924744545705606,2.5442415814526864,1.3238172718533645,1.6306435111700261,1.073192661860452,1.148828942639113,0.19745454545454544,0.02290909090909087,0.000363636363636366,-0.003272727272727294,-0.0018181818181818299,-0.0043636363636363916,0.0010909090909090979,-0.004727272727272758
20,20,0.9709090909090909,0.9709090909090909,0.9486748786860768,0.9934677118327734,3.3061449016652067,1.4375528361088796,2.1255787025421347,0.9612302958760239,-0.016028532845830806,0.057818181818181845,0.03236363636363637,0.004000000000000026,0.0072727272727273196,0.005818181818181856,0.006909090909090953,0.0061818181818182215,0.004727272727272758
21,21,0.9636363636363636,0.963375210545022,0.9353946706887883,0.9941344058991117,2.3636398743470193,1.03416341488324,1.641400285307934,2.0500541850763447,0.6770199469112872,0.0789090909090909,0.014545454545454528,-0.0036363636363636598,0.0010909090909090979,-0.003272727272727294,0.0021818181818181958,-0.0021818181818181958,-0.003272727272727294
22,22,0.9636363636363636,0.9631140574536802,0.9295454545454545,0.9939669421487604,2.737939447568827,1.8071917155869994,1.9256501425692631,0.172793611134727,0.7256020044161139,0.041818181818181824,0.014181818181818174,-0.0021818181818181958,0.003272727272727294,-0.005818181818181856,-0.000363636363636366,-0.003272727272727294,0.0
23,23,0.96,0.9596063263198394,0.9304385825520419,0.9922135706340378,2.588889405508726,0.8864527207146292,1.695759160194991,2.1616784612241835,0.25958320608957397,0.14763636363636362,0.008363636363636318,-0.002909090909090928,0.0010909090909090534,0.003636363636363571,0.0003636363636363438,0.0047272727272726685,0.0032727272727271937
24,24,0.9418181818181818,0.9406280991735536,0.8936516764659145,0.988002542507548,2.4245726580612055,1.0894595331047634,2.0210163964963455,1.7347878470305549,0.5894366248220954,0.16036363636363635,0.009454545454545405,-0.0007272727272727541,0.0018181818181817523,0.009090909090909038,0.002545454545454484,-0.002909090909090928,-1.1102230246251566e-17
25,25,0.9563636363636364,0.9553150105708245,0.9171356635071091,0.995779028436019,2.521500060583488,0.7013945198612914,1.6989508819595578,3.0050127800431046,-0.11031856026705592,0.10763636363636368,0.04509090909090917,-0.00618181818181811,-0.011636363636363589,-0.007999999999999941,-0.010181818181818136,-0.0010909090909090534,-0.012363636363636332
26,26,0.9563636363636364,0.9563636363636364,0.9336069531627234,0.9931595042652503,2.952242825915633,1.793898851104959,0.9637962479486536,1.709308395434545,0.30839137663953714,0.11600000000000006,0.02109090909090914,0.002909090909090939,0.00036363636363637706,0.005090909090909123,0.0043636363636363916,0.0043636363636363916,0.001818181818181841
27,27,0.96,0.9593093261769541,0.9229438274585546,0.9950909383550619,2.530815847749691,1.4810067843509354,1.6283075459262548,1.14760104390728,0.973307347363682,0.11854545454545451,0.016727272727272702,0.0072727272727272085,-0.000363636363636366,0.0003636363636363438,0.0043636363636362805,0.005454545454545401,0.0032727272727271937
28,28,0.9563636363636364,0.9563636363636364,0.9298827129015809,0.9943906170321265,2.3389918834399532,1.5319733336155912,1.208816370250598,1.8257366788148508,0.9009173316430548,0.0803636363636364,0.015272727272727316,-0.0021818181818181294,-0.0003636363636363549,-0.003272727272727227,-0.0018181818181817744,-0.006181818181818122,0.000363636363636366
29,29,0.9636363636363636,0.9633292612575929,0.9286894273127753,0.9921989720998532,2.8240831500044683,1.5953405682809263,1.6406540027865788,1.2149983085472429,0.5017096701588402,0.0818181818181818,0.021818181818181813,0.0036363636363636598,-0.003272727272727294,0.0,-0.005818181818181856,-0.0036363636363636485,-0.004000000000000026
30,30,0.9490909090909091,0.9490909090909091,0.9244742623979911,0.989406779661017,2.6758485098999656,2.308467553479248,1.938010433349866,0.651499425684157,0.24524932523377457,0.06363636363636363,0.028000000000000014,-0.002909090909090928,-0.004000000000000026,-0.001454545454545464,-0.004727272727272758,-0.00545454545454549,-0.0018181818181818299
31,31,0.96,0.9596161919040479,0.9314187068424357,0.9951349654739485,2.8777025592152317,0.6750202148650428,1.896056307481849,1.902250436655443,0.20548438438439004,0.09163636363636359,0.02254545454545449,0.002545454545454484,0.002545454545454484,-0.002909090909090928,-0.0036363636363636598,0.0,-0.000727272727272732
32,32,0.9672727272727273,0.9673828726220526,0.9522727272727273,0.9958677685950413,3.2544916052352253,1.0922973261422864,2.1937650667366246,1.4560813085587134,-0.4475324812251482,0.04945454545454545,0.015999999999999993,0.004000000000000026,-0.0036363636363636377,0.000363636363636366,-0.007272727272727231,-0.0032727272727272718,-0.005090909090909057
33,33,0.9636363636363636,0.9638719400670148,0.9505870841487281,0.9958414872798435,2.5264285291473034,1.4862398213111851,1.5214233117888245,1.334894830872597,0.7664590778522701,0.10109090909090908,0.011999999999999966,0.0021818181818181958,0.0014545454545454527,0.0,-0.005090909090909123,0.000727272727272732,0.0
