,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_scaled
0,0,0.8189300411522634,0.8129159318048208,0.7745956873315364,0.8654537286612758,0.4853042655138158,1.8362726573643093,0.2937093989287418,0.8804670824063255,0.7483122355821417,0.0938271604938272,0.08888888888888893,0.06584362139917699,0.05185185185185189
1,1,0.8559670781893004,0.8557549651353735,0.838441265060241,0.8920933734939759,1.3042086188272566,1.58257031874961,0.4675757316557927,0.5756939291848423,0.4469115147128148,0.11358024691358022,0.13045267489711931,0.10123456790123457,0.04074074074074072
2,2,0.823045267489712,0.8193287178022302,0.7894386016886388,0.8589097911420529,1.8087629727384988,1.3270047273370178,-0.2559451735450633,0.8099170779923086,0.838653457895875,0.09135802469135804,0.09506172839506175,0.10699588477366258,0.024279835390946546
3,3,0.8395061728395061,0.8381297517509063,0.8103527607361963,0.8637269938650306,1.1997870046650538,1.1162739220459852,0.2895810497605566,1.1127568154971577,0.766044953338515,0.09835390946502053,0.11275720164609049,0.10576131687242793,0.056790123456790076
4,4,0.8024691358024691,0.803488144228885,0.745455355551595,0.8013723044020673,1.084390729672983,1.6409317962639902,0.43018503588110824,-0.3046776873737072,1.5716471331167512,0.07366255144032921,0.09382716049382717,0.07572016460905352,0.018930041152263367
5,5,0.823045267489712,0.8232663593006574,0.8087975243147656,0.8321544356027114,1.4916591252699867,1.5093328394711523,0.19881351985136986,1.028694209838306,0.48535611879547697,0.13374485596707822,0.14897119341563786,0.111522633744856,0.07078189300411523
6,6,0.8353909465020576,0.8348008336802678,0.8064074479737131,0.8620716632764825,0.9492156233010968,1.2327315325112584,0.11871593889989332,1.1355867836153086,1.0601766894229834,0.09259259259259256,0.11893004115226335,0.09465020576131684,0.039094650205761285
7,7,0.8518518518518519,0.8523985890652558,0.8289221173836558,0.8782184551415321,0.9499127723943938,1.1448920843719286,0.06237459106590609,1.344447828058043,0.9797108910599215,0.11851851851851851,0.13168724279835392,0.10864197530864197,0.039917695473251025
8,8,0.8477366255144033,0.8479139562509795,0.8371880928060703,0.8750912009338976,0.8735736182411886,1.386080108548818,-0.04235578558032223,1.455968020668293,0.7269129894377548,0.11687242798353914,0.15308641975308646,0.11234567901234571,0.05144032921810704
9,9,0.8024691358024691,0.8017814403356571,0.7700466200466201,0.8553224553224553,0.8543437383993386,1.2245084612410213,0.3852650540821078,1.448117682560181,0.7727991924523606,0.09382716049382718,0.09670781893004116,0.07489711934156379,0.021810699588477367
10,10,0.8641975308641975,0.8613452950575256,0.8344319360094801,0.8951266479040143,0.8402412225760362,1.4398235470759242,0.5196635323259386,0.7039993835199727,0.8675436127979834,0.11893004115226333,0.1329218106995884,0.11687242798353906,0.06090534979423863
11,11,0.8395061728395061,0.83689934613836,0.8180779665857489,0.8883335713265743,0.9753778629232311,1.6079157312042283,0.02790374163678832,1.2106211418437103,0.2915687654929664,0.09423868312757196,0.11604938271604937,0.10288065843621394,0.05720164609053493
