,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.leftlow_humidity_fd3_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.lefttop_humidity_fd3_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.left_CO2_vd_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_humidity_fd1_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.lefttop_temperature_fd2_scaled
0,0,0.9818181818181818,0.9820065474062853,0.98155702872684,0.9971103178650349,2.9902235800084624,0.713284776121628,1.8087394869170057,2.623677137210438,0.8667633515368515,0.09709090909090907,0.013454545454545441,0.01090909090909089,0.01090909090909089,0.008000000000000007,0.0072727272727273196,0.006909090909090953,0.006545454545454588,0.0061818181818182215,0.005454545454545478,0.005090909090909123,0.005090909090909123,0.004000000000000026,0.0036363636363636598,0.0036363636363636598,0.0036363636363636598,0.0036363636363636598,0.003272727272727294,0.0,0.0,0.0,0.0,0.0,0.0,-0.000363636363636366,-0.000727272727272732,-0.000727272727272732,-0.000727272727272732
1,1,0.9709090909090909,0.9712957362272431,0.9679068208479973,0.995810289927937,2.837498863743755,1.1223545240828925,1.0342003016152674,2.3879446175552648,2.049724408142398,0.10000000000000005,0.006545454545454588,0.000363636363636366,0.000363636363636366,0.001454545454545464,-0.0003636363636363549,0.003272727272727294,1.1102230246251566e-17,0.0018181818181818299,-0.00036363636363632155,-0.0014545454545454195,0.001818181818181841,0.002909090909090928,2.2204460492503132e-17,0.003272727272727294,-0.0010909090909090647,-0.00036363636363633266,1.1102230246251566e-17,-0.002545454545454484,-0.0036363636363635488,-0.0003636363636363549,0.0,-0.004363636363636303,1.1102230246251566e-17,-0.0007272727272726875,0.001454545454545464,-0.003999999999999915,-0.0043636363636362805
2,2,0.9745454545454545,0.9746228767820143,0.9653170119271814,0.9982736974262398,2.6988029178523583,0.6096940252152945,1.7074805143689646,2.9733675802534445,1.2850222639745061,0.10981818181818177,0.005818181818181767,0.002545454545454484,-0.000363636363636366,-0.001090909090909109,0.0036363636363635488,0.0,0.004727272727272647,0.0007272727272726986,-0.0007272727272727763,0.006181818181818133,-0.001454545454545464,-0.0043636363636363916,0.0,-0.000727272727272732,0.0,0.0,-0.000363636363636366,0.0,0.0,0.0,-0.000363636363636366,0.0,-0.000363636363636366,-0.000363636363636366,0.0036363636363635488,0.0,-0.000363636363636366
3,3,0.9563636363636364,0.9557685950413224,0.9206502494769033,0.9930790278448415,2.534360580986885,0.7390315007059465,0.9694761463357181,2.5513168117776828,2.1120996565978665,0.06836363636363642,0.003636363636363682,0.002909090909090928,0.0025454545454545617,0.0025454545454545617,0.001818181818181841,-0.006545454545454477,-0.002909090909090861,-0.0014545454545454195,-0.005090909090909024,0.0014545454545455082,-0.014545454545454495,0.00036363636363637706,-0.00290909090909085,0.00036363636363637706,-0.00618181818181811,-0.003999999999999937,0.0,-0.005818181818181745,-0.002545454545454484,-0.003636363636363571,-0.0032727272727271937,-0.0021818181818181294,2.2204460492503132e-17,-0.0039999999999999255,-0.0010909090909090424,0.00036363636363638817,-0.002181818181818118
4,4,0.9854545454545455,0.9852882298679664,0.96875,0.9988892180094787,2.785111865611602,0.6010026339742119,1.7177277436691172,3.0006746079341116,1.0126820904204201,0.15490909090909094,0.02400000000000003,0.01890909090909092,0.010545454545454603,0.010181818181818214,0.008727272727272783,0.0,0.003272727272727294,0.002909090909090928,0.002909090909090928,0.014909090909090927,0.001454545454545464,-0.0025454545454545617,0.0010909090909090979,0.002909090909090928,0.0,0.0021818181818181958,0.002909090909090928,-0.000363636363636366,0.0,0.0,-0.001454545454545464,-0.0018181818181818299,0.0,0.001454545454545464,0.000363636363636366,0.005090909090909123,0.000363636363636366
5,5,0.9854545454545455,0.9854545454545455,0.9766275709671937,0.995835458099609,3.219826413502011,0.20871929937890624,1.3139909139278738,2.899341629179511,1.264364728831629,0.1505454545454546,0.02145454545454547,0.013454545454545464,0.012363636363636387,0.002909090909090928,0.000363636363636366,0.000363636363636366,0.0,0.000363636363636366,0.004727272727272758,0.016000000000000025,0.008363636363636396,0.000363636363636366,0.0,0.009454545454545516,0.004000000000000026,0.0,0.0043636363636363916,0.000363636363636366,0.000363636363636366,0.0018181818181818299,0.0,0.0,0.000727272727272732,0.000727272727272732,0.0,0.0,0.0036363636363636598
6,6,0.9854545454545455,0.98552812858783,0.9852472089314195,0.9994925329853559,2.755713674590376,1.0034388460611172,0.7279103162024494,3.1627594389826026,0.8224811102306157,0.13418181818181818,0.012727272727272743,0.012000000000000021,0.002909090909090928,0.005090909090909123,0.0,0.0,0.0,0.002909090909090928,-0.0010909090909090979,0.0021818181818181958,-0.0025454545454545174,-0.0021818181818181958,-0.003272727272727294,0.003272727272727294,0.0,-0.000727272727272732,0.0,-0.0036363636363636598,0.0021818181818181958,0.0036363636363636598,0.0,0.0036363636363636598,0.0036363636363636598,0.0,0.0,-0.000363636363636366,0.0
7,7,0.9672727272727273,0.9674053017372468,0.9473201174743024,0.9965124816446402,2.8104870790837775,0.32764430520535204,2.048128153386926,2.9348989076699077,0.8882618083577978,0.068,0.0036363636363636485,0.0021818181818181958,0.0010909090909090979,-0.006181818181818155,-0.0065454545454544984,0.0,0.000727272727272732,0.000363636363636366,-0.004363636363636359,-0.006909090909090887,-0.009454545454545438,-0.005454545454545434,-0.003272727272727294,0.0,-0.0036363636363636598,-0.0025454545454545617,-0.003272727272727294,-0.005454545454545434,0.000727272727272732,-0.003272727272727294,0.0,-0.0072727272727272085,-0.0036363636363636598,0.001454545454545464,-0.0010909090909090979,-0.0076363636363635965,-0.0036363636363636598
8,8,0.9745454545454545,0.974455237806644,0.956175632646221,0.9958940841293782,2.9903934384285034,0.8445489117421988,1.5671544260646584,2.530296773800343,1.293566839223512,0.06763636363636358,0.00727272727272722,0.008727272727272672,0.0032727272727272163,0.00618181818181811,0.0003636363636363549,0.0003636363636363549,0.0,0.002545454545454484,0.0021818181818181403,0.0072727272727272085,0.0047272727272726685,0.0003636363636363549,0.0,0.0007272727272727098,0.0,0.0032727272727271937,0.0,0.0,0.0,0.0,0.0,0.0,0.0007272727272727098,0.0,-0.000363636363636366,0.0036363636363635488,0.0036363636363635488
9,9,0.96,0.9598186648468157,0.922463768115942,0.9932367149758454,2.6822828812239696,0.5733225906406697,1.6305486296640082,3.8082270938868095,0.8415686836208014,0.10145454545454542,-0.001818181818181852,0.002909090909090861,-0.00036363636363637706,0.0014545454545454195,0.0003636363636363549,0.0014545454545454195,0.0,0.0021818181818181294,-0.001454545454545464,0.004363636363636303,-0.003272727272727294,0.0,-0.000363636363636366,0.0,-0.000363636363636366,-0.001454545454545464,0.002909090909090839,0.0032727272727271937,0.0,-0.000363636363636366,0.0,0.0,0.0,-0.000363636363636366,-0.000727272727272732,0.0,-0.000363636363636366
10,10,0.9745454545454545,0.9744753279147649,0.9616409952606635,0.998074644549763,3.163444087648228,0.9003683874706753,1.0459362581234604,2.7428385512642657,0.9963683842836762,0.12072727272727266,0.003636363636363593,0.0032727272727271937,0.003272727272727205,0.0014545454545454306,-0.003272727272727294,-0.001454545454545464,-0.0010909090909091202,-0.000727272727272732,-0.001818181818181852,0.0003636363636363438,0.003999999999999971,-0.001454545454545464,-0.000727272727272732,-0.000363636363636366,-0.001454545454545464,0.0,0.0,0.0,-0.000727272727272732,-0.000363636363636366,0.0010909090909090647,0.0,-0.000363636363636366,-0.0010909090909090979,-0.000727272727272732,-0.000363636363636366,0.0
11,11,0.9636363636363636,0.963890793302558,0.9487506374298827,0.9958354580996089,2.938504412354314,-0.016124502278519214,0.8996908994289763,3.369851635225245,1.7305319972372877,0.12181818181818183,-0.006545454545454554,-0.0061818181818182215,-0.007272727272727287,-0.003272727272727294,-0.005454545454545478,-0.0065454545454545765,-0.001454545454545464,-0.002909090909090928,0.004363636363636359,-0.00036363636363638817,0.006545454545454521,-0.0043636363636363916,0.000363636363636366,-0.006545454545454588,0.002909090909090928,-0.0021818181818181958,-0.00436363636363638,-0.0010909090909090979,-0.0010909090909090979,-0.004727272727272758,-0.0043636363636363916,-0.002909090909090928,-0.000363636363636366,-0.004000000000000026,-0.0043636363636363916,0.0032727272727272718,-0.003272727272727294
12,12,0.9672727272727273,0.9678378240370376,0.9650741635046568,0.9975853742669886,2.6295392258992702,0.4066372037351836,1.1112987967142414,3.467003348298952,1.3322222399734165,0.12545454545454549,-0.007999999999999974,0.0,-0.0003636363636363549,-0.003999999999999981,-0.001454545454545464,0.000363636363636366,-0.000727272727272732,0.000727272727272732,0.000727272727272732,-0.005454545454545445,-0.0021818181818181737,-0.000363636363636366,-0.0010909090909090979,-0.002909090909090928,-0.0036363636363636485,0.0036363636363636598,0.000727272727272732,0.0,0.0,0.003272727272727294,0.003272727272727294,-0.0025454545454545617,0.0,0.0018181818181818299,-0.0025454545454545617,-0.006181818181818155,0.004000000000000026
13,13,0.9818181818181818,0.9820017574003906,0.9816909669850846,0.9989106753812635,3.2137189590177955,0.6595591829167765,1.0851510290834798,2.1467347570746265,1.6661539712803184,0.07163636363636364,-0.002909090909090928,-0.0036363636363636598,-0.004727272727272758,-0.004000000000000015,-0.00436363636363637,-0.000363636363636366,0.0010909090909090979,-0.008363636363636384,0.0061818181818182,-0.004727272727272747,0.0036363636363636485,0.003272727272727294,0.0,0.0021818181818181958,-0.0010909090909090979,0.000727272727272732,0.0025454545454545617,0.0,0.0036363636363636598,-0.000363636363636366,-0.0018181818181818299,0.0,-0.007636363636363652,-0.000727272727272732,0.0010909090909090979,-0.0018181818181818299,0.0
14,14,0.9890909090909091,0.9891217112299465,0.9872406481902165,0.9991670452824474,2.9131416747866585,1.0152837889354576,1.2315144144258168,3.0437330538510174,0.6793063800770555,0.1341818181818182,0.012363636363636387,0.01090909090909098,0.0072727272727273196,0.005090909090909123,0.004000000000000026,0.0,0.0010909090909090979,0.0,-0.0018181818181817744,0.006545454545454599,0.004727272727272758,0.0,0.0,0.000363636363636366,0.0,0.001454545454545464,0.0036363636363636598,0.0,0.0,0.000363636363636366,0.0,0.000363636363636366,0.001454545454545464,0.000363636363636366,0.0025454545454545617,0.0,0.0
15,15,0.96,0.9600999553770636,0.9482634902411022,0.9911021814006888,2.5365033891790083,0.683957423384342,1.9316295636514427,2.882855710007065,1.1170215520059679,0.07345454545454543,0.034545454545454525,0.01672727272727269,0.016363636363636337,0.009090909090909038,0.002545454545454484,0.0032727272727271937,0.002545454545454484,0.0021818181818181294,-0.003272727272727294,0.005454545454545401,0.0021818181818181403,-0.0025454545454545617,0.0039999999999999255,0.0010909090909090647,0.0007272727272726986,-1.1102230246251566e-17,0.004727272727272658,0.0007272727272727098,0.0032727272727271937,-2.2204460492503132e-17,0.003636363636363571,0.005818181818181755,0.0003636363636363549,-0.00036363636363637706,0.00290909090909085,-1.1102230246251566e-17,0.00545454545454539
16,16,0.9672727272727273,0.9669059395676975,0.9366394696583376,0.9949005609382968,4.05790359594326,-0.498904411484152,1.4985064766945149,2.2798347215198547,1.4640460964937625,0.10436363636363635,0.005818181818181845,0.006545454545454588,0.00545454545454549,0.003272727272727294,-0.007636363636363575,-0.003272727272727294,0.0,0.0,-0.0040000000000000036,0.0025454545454545617,-0.0014545454545454527,-0.004727272727272735,0.0,-0.0025454545454545617,-0.000363636363636366,0.0,-0.0021818181818181958,0.0,0.0,0.0,-0.004000000000000015,0.0,-0.0010909090909090868,-0.0036363636363636598,-0.0036363636363636598,-0.0025454545454545396,-0.0018181818181818299
17,17,0.9781818181818182,0.9780330578512396,0.9597195042400521,0.9968199608610567,2.3277366296663646,0.7165795739239258,1.3522240498765512,2.302640641365789,2.6204317734002203,0.07927272727272724,0.023272727272727233,0.021818181818181757,0.019999999999999952,0.014909090909090905,0.0040000000000000036,0.005090909090909057,-0.0025454545454545617,0.000727272727272732,0.0025454545454545396,0.011636363636363622,0.005090909090909102,0.0,-0.0018181818181818299,-0.000727272727272732,-0.001454545454545464,0.007999999999999941,-0.0021818181818181958,-0.000363636363636366,0.0021818181818181958,-0.0036363636363636598,0.006181818181818177,0.0003636363636363549,0.0018181818181818188,-0.000363636363636366,0.006545454545454532,0.0029090909090908946,0.0003636363636363549
18,18,0.9672727272727273,0.9673525484783682,0.9585109406081274,0.9933930093776641,2.673362547322521,0.6222266125742228,1.5607458106140943,2.176959160572712,2.0056618697463375,0.09490909090909092,0.0232727272727273,0.017454545454545455,0.018545454545454552,0.013090909090909087,0.001454545454545464,0.005090909090909113,0.008363636363636373,0.002909090909090928,0.001454545454545464,0.005818181818181845,0.007636363636363663,0.0025454545454545617,0.000727272727272732,0.007272727272727297,0.003272727272727294,0.000727272727272732,0.004000000000000026,0.001454545454545464,-0.000363636363636366,0.000363636363636366,0.0043636363636363916,0.0043636363636363916,0.0043636363636363916,0.00436363636363638,0.005818181818181845,0.004727272727272747,0.007272727272727308
