,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backtop_CO2_fd2_scaled
0,0,0.8930041152263375,0.8916420510490041,0.870507637017071,0.959718478586403,3.2499073672331176,0.5652040891594939,0.8045547221859566,0.928810508642965,0.3116918547420624,0.10288065843621404,0.06543209876543213,0.016460905349794285,0.013580246913580295,0.012345679012345723,-0.0037037037037036535,-0.007407407407407363,-0.009876543209876487
1,1,0.8806584362139918,0.8814560406503226,0.874585843373494,0.9580572289156627,3.443339218389579,0.7372250571063029,0.3310249063978228,0.8596714497795854,0.43769386301570673,0.1090534979423868,0.15349794238683126,-0.01522633744855969,-0.0012345679012345846,0.008230452674897104,-0.009876543209876553,-0.0012345679012345733,-0.006995884773662553
2,2,0.8477366255144033,0.8489779406704375,0.8427270034069028,0.9229003110650275,3.585985552216934,1.0553944041268353,0.6776638283800834,1.0892515652917933,-0.4166446360549702,0.07818930041152267,0.09629629629629631,-0.0004115226337448541,0.012757201646090566,0.006172839506172856,-0.004115226337448541,-0.00987654320987651,-0.008641975308641936
3,3,0.897119341563786,0.8975883221336864,0.8883052147239264,0.9586656441717791,3.4667786190016225,0.6503442460833032,0.2203963669441214,1.1779661129742698,0.35198935922622665,0.1452674897119342,0.1283950617283951,-0.0008230452674897082,0.0016460905349794386,0.03127572016460907,0.00658436213991771,0.0012345679012345956,-0.0008230452674896971
4,4,0.8847736625514403,0.8883007056142711,0.8855373373730173,0.9614150775262876,3.562138401191328,0.6988279514128437,0.19522283852293407,1.1160249522317869,0.28057360765933387,0.10864197530864195,0.1559670781893004,0.006584362139917666,-1.1102230246251566e-17,0.009053497942386801,-0.005349794238683148,0.0008230452674897082,-0.0037037037037037203
5,5,0.8148148148148148,0.8150461899658041,0.7998452696728559,0.9105511346890658,3.399571464966765,0.5395374476508116,0.9549607908186647,1.022773215943244,0.22867988342779627,0.08559670781893,0.0724279835390946,-0.00905349794238688,-0.0218106995884774,0.0008230452674896527,-0.007407407407407451,-0.03127572016460911,-0.02839506172839512
6,6,0.9094650205761317,0.9097710245858394,0.898920356751682,0.9577530902832108,3.5884155327122413,0.9816226999849322,0.47526452409503167,1.303281580327315,-0.598609741177404,0.14197530864197527,0.14485596707818926,0.0012345679012345512,-1.1102230246251566e-17,0.016049382716049342,0.011522633744855959,0.006172839506172811,0.006995884773662519
7,7,0.8683127572016461,0.8700931441672183,0.8597473212857828,0.938829361906285,2.8488792316969844,0.6678022855837802,0.5821677114914282,1.423911078599194,0.3219898925850916,0.10823045267489717,0.13991769547325106,-0.007407407407407374,-0.0032921810699587995,0.007818930041152328,-0.0037037037037036535,-0.006584362139917643,-0.013168724279835332
8,8,0.8847736625514403,0.8859048649931922,0.8877498905588793,0.9492922807529549,2.9990614921456404,0.8030548047290104,0.848517874899817,1.376377092251547,-0.34180267217801225,0.11810699588477362,0.1156378600823045,0.011111111111111072,0.005349794238683092,0.02222222222222221,0.00987654320987651,0.0,0.003292181069958833
9,9,0.8888888888888888,0.8906325280473537,0.8911421911421912,0.9493395493395493,3.3607480939808436,0.14466687843431156,0.8408321563651966,0.9073473621370047,0.8829952476262987,0.13045267489711931,0.0880658436213991,-0.0061728395061728895,-0.0037037037037037646,0.01769547325102875,-0.004526748971193461,0.0028806584362139564,-0.008641975308642025
