,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_CO2_scaled,feature_importance.backlow_CO2_scaled,feature_importance.back_CO2_vd_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.back_CO2_vd_fd2_scaled
0,0,0.9300411522633745,0.9292737107229861,0.9128481581311769,0.9687032045522611,3.8903268331783027,0.137177036497976,0.7160189270304578,1.4562859054087995,-0.1424582346666948,0.07489711934156376,0.06790123456790123,0.054320987654320974,0.011934156378600801,0.00905349794238679,0.0016460905349794165,0.0004115226337448541,0.0,0.0,-0.0004115226337448652,-0.0024691358024691245,-0.005761316872427957
1,1,0.8806584362139918,0.8817383705849893,0.8774849397590361,0.9637801204819277,3.7620878134377005,0.256361825014735,0.6018374384702979,1.2741969979798906,0.1558747823199642,0.1288065843621399,0.023868312757201648,0.02510288065843621,-0.0024691358024691245,-0.01522633744855969,-0.007407407407407407,-0.011111111111111127,-0.006172839506172844,-0.0028806584362139898,-0.013168724279835398,-0.01522633744855969,-0.013168724279835398
2,2,0.8641975308641975,0.8653046497871469,0.8607243371352392,0.9354169752629239,2.8204465177545126,0.3971361554903306,0.04734062137552128,2.076060571002817,0.8769746094544477,0.10246913580246911,0.0650205761316872,0.04485596707818923,0.009876543209876498,0.00411522633744853,0.01687242798353903,0.0024691358024691024,0.0020576131687242484,0.010288065843621342,0.002057613168724237,-0.0020576131687243147,-0.005349794238683181
3,3,0.9012345679012346,0.9018255745014316,0.8945552147239264,0.9653374233128834,3.8108418033295552,0.054318263976855886,0.6344929705002094,1.4992130128683174,0.12643351165531583,0.13004115226337448,0.05514403292181071,0.025102880658436234,0.008230452674897104,0.010699588477366273,0.0028806584362139898,0.003703703703703687,0.004115226337448541,0.020576131687242816,0.013991769547325117,0.017695473251028826,0.0012345679012345622
4,4,0.9094650205761317,0.9119071826261369,0.9127160933879879,0.9657815006237747,4.301896828018323,0.2898507396137491,0.058655699306855054,1.522433964787973,0.01563911693800165,0.13127572016460903,0.023868312757201617,0.06790123456790122,0.007407407407407374,0.004115226337448541,0.006172839506172811,0.006584362139917666,-0.004115226337448574,0.023045267489711908,0.0012345679012345512,-0.0012345679012345846,-0.0004115226337448541
5,5,0.8559670781893004,0.8568058046460802,0.8496905393457117,0.9333185971117006,2.6183949050931936,0.5337632864378679,1.0602796967302754,2.1645023104515113,-0.21977648417628964,0.04526748971193414,0.05390946502057612,0.03374485596707817,-0.0037037037037036978,-0.0012345679012345622,-0.004938271604938249,-0.0032921810699588438,-0.01152263374485597,0.008230452674897115,-0.004526748971193417,-0.0028806584362139898,-0.0028806584362139898
6,6,0.9259259259259259,0.9264119012498141,0.9214129244249726,0.9571272101392583,3.872600646782357,0.39260934923182095,-0.046533191159079654,1.4834765602708038,0.40994872454991194,0.15267489711934154,0.06378600823045268,0.0637860082304527,0.014403292181069971,0.0032921810699588438,0.004115226337448541,0.00493827160493826,0.004526748971193395,0.01152263374485597,-0.0020576131687242705,0.0012345679012345622,0.003703703703703687
7,7,0.8847736625514403,0.8863315011463159,0.8791779945626099,0.9430673276827123,3.666687127385878,0.35909952284052166,0.707957036698082,1.329520182404975,0.05368051555485162,0.07283950617283946,0.041975308641975274,0.0502057613168724,0.005349794238683103,-0.003703703703703731,-0.008641975308642002,0.006172839506172811,-0.006172839506172867,0.005349794238683081,-0.005349794238683159,-0.018518518518518545,-0.0016460905349794386
8,8,0.8888888888888888,0.8902219461452756,0.8957390923683058,0.9487085947760104,3.332572358908015,0.18074268747377975,0.37352054155599224,1.6730738047218496,0.447550390150209,0.07201646090534973,0.06337448559670776,0.04238683127572013,0.007407407407407385,0.004938271604938227,0.0032921810699588104,-5.551115123125783e-17,0.0020576131687242484,0.013580246913580197,0.0061728395061728,0.0061728395061728,0.003703703703703687
9,9,0.9053497942386831,0.9068351164847827,0.91002331002331,0.9609168609168609,3.9745656356504706,0.12288052147537293,0.27783291520368275,1.4460457757786167,0.34467766548372897,0.11069958847736623,0.03868312757201645,0.03333333333333331,-0.0012345679012345622,-0.017695473251028836,0.004115226337448541,-0.0012345679012345622,0.0,0.006995884773662531,-0.009053497942386834,-0.0004115226337448541,-0.0020576131687242817
10,10,0.9135802469135802,0.9129638088272543,0.8989408976447933,0.9534883720930233,3.282340603688317,0.45476340890231376,0.5838673897779665,1.8369794782474471,-0.053837283248689964,0.06131687242798348,0.09999999999999994,0.05308641975308638,0.019341563786008174,-0.0037037037037037646,0.0037037037037036757,0.0028806584362139676,0.0008230452674896971,-0.0037037037037037533,0.006584362139917666,-0.0004115226337448874,0.0016460905349794052
11,11,0.9259259259259259,0.926310366290595,0.9278166500071399,0.970798229330287,2.9886302576136496,0.6922234400687552,-0.0007128862942819081,2.157922540111173,0.05625518712368109,0.1308641975308642,0.04773662551440331,0.04320987654320988,0.020576131687242795,0.003292181069958855,0.009053497942386846,0.0037037037037036978,0.0012345679012345622,0.028806584362139908,0.008230452674897092,0.01152263374485597,0.005761316872427957
12,12,0.8888888888888888,0.8874162182573399,0.8677055702917772,0.965148835838491,4.120811469208331,0.2309116866777654,0.6414876226992884,1.2984094939019069,-0.23528421831754057,0.08518518518518514,0.02345679012345673,0.04156378600823041,0.006584362139917655,-0.009876543209876609,-4.4408920985006264e-17,-0.008230452674897193,-0.00246913580246918,0.0012345679012345178,-0.0037037037037037533,-2.2204460492503132e-17,-0.002880658436214034
13,13,0.8806584362139918,0.8815371902945457,0.8728527607361963,0.9361196319018406,3.569656622936112,0.6835106692570003,0.9473614651733487,1.2537678408741941,-0.4137291159257022,0.11440329218106995,0.03251028806584359,0.06090534979423866,0.0057613168724279795,0.005761316872427957,0.014814814814814826,0.010288065843621375,-1.1102230246251566e-17,0.022633744855967086,0.006172839506172823,0.00493827160493826,-0.0024691358024691358
14,14,0.9135802469135802,0.9134275888088524,0.8984509466437177,0.9655765920826161,3.3572247002763507,0.4219261308953276,0.5935020488005982,1.8776430381459952,-0.32789468541402295,0.08600823045267483,0.07777777777777772,0.04444444444444441,0.0057613168724279466,-0.0004115226337448985,0.0008230452674896748,0.0024691358024691024,-0.004115226337448608,0.023868312757201603,0.0004115226337448208,-0.0028806584362140453,-3.3306690738754695e-17
15,15,0.9012345679012346,0.901477136961008,0.8951149425287357,0.9681697612732095,3.2609226111174783,0.08769687337248713,0.16848505750260034,2.0212236921918945,0.5873069970775471,0.10823045267489713,0.09588477366255146,0.03168724279835392,0.009876543209876543,0.003703703703703709,0.006172839506172844,-0.012345679012345678,0.004115226337448541,0.016049382716049398,0.009053497942386846,0.0020576131687242705,0.0024691358024691245
16,16,0.9053497942386831,0.905805062183663,0.9047293406276994,0.9624964008062193,2.7256281606428763,0.19874458220420804,0.7470982023354027,2.0588373594039004,0.14215882929510557,0.08271604938271601,0.05061728395061728,0.029629629629629627,-0.0057613168724279795,0.011111111111111105,0.00493827160493826,0.003292181069958833,-0.007818930041152273,-0.0020576131687242817,-0.006995884773662553,-0.010288065843621397,0.006584362139917666
17,17,0.8888888888888888,0.8874162182573399,0.8677055702917772,0.9510757441791925,3.244629666143286,0.3522485512195353,1.0451756844832707,2.070562098196316,-0.5666592553144648,0.11563786008230448,0.05349794238683121,0.044855967078189264,0.008230452674897082,0.004938271604938238,-0.0008230452674897637,0.0016460905349794052,0.0016460905349793941,0.012757201646090488,0.009465020576131643,0.007407407407407374,-0.0008230452674897415
