,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled
0,0,0.9218106995884774,0.9219187019073778,0.9149820305480683,0.962638514525307,2.4978791382710224,0.3363281645987999,1.6616067976769369,1.3049703688494352,0.6406496753211467,0.2189300411522634,0.05802469135802472,0.028395061728395087,0.022222222222222254,0.020987654320987693,0.015226337448559713,0.010699588477366295,-0.0012345679012345512
1,1,0.9094650205761317,0.9099571317822333,0.9051581325301205,0.967921686746988,3.2231317537021535,0.42458631554656473,1.1945538137650573,0.8867154329914385,0.595138873238463,0.19053497942386827,0.04403292181069955,0.013580246913580219,-0.0037037037037037203,0.004526748971193395,0.02551440329218104,0.011111111111111072,0.006584362139917666
2,2,0.8806584362139918,0.8816313589038564,0.8787216708635758,0.9566730854688195,3.1904480163105164,0.4154636280157372,1.7404404034295808,0.7973399077559282,0.5060817094559354,0.12551440329218105,0.0448559670781893,0.00864197530864197,-0.0016460905349794165,0.005761316872427957,0.0028806584362139676,-0.0008230452674897193,-0.005349794238683125
3,3,0.9053497942386831,0.905196877167463,0.8912576687116565,0.9607361963190184,2.94059736149002,0.1589427560302115,1.5522094993743107,0.951718453290983,0.9309205121125722,0.2288065843621399,0.051440329218106984,0.025514403292181055,-0.0024691358024691358,-0.002880658436214001,0.017695473251028816,0.005349794238683115,0.0012345679012345512
4,4,0.9094650205761317,0.911557183219704,0.9074140081981821,0.9607913027980752,3.2711659049223267,0.2327043178135336,1.2366737632301528,0.8786249280414056,0.755057677605876,0.188477366255144,0.06172839506172837,0.01769547325102878,-0.0012345679012345733,0.007818930041152227,0.005349794238683103,0.0028806584362139676,0.0020576131687242705
5,5,0.8559670781893004,0.8557808826080939,0.8420645446507515,0.9304450338933097,3.3803118438353326,0.14473054007822897,1.3560153786120148,0.9324379648557575,0.9726828732089081,0.1650205761316872,0.03950617283950616,0.0028806584362139898,-0.004526748971193428,-0.009876543209876553,-0.006172839506172856,-0.013991769547325117,-0.017283950617283973
6,6,0.8888888888888888,0.8890794702703874,0.8734157408856205,0.9525895790956033,3.2838227031043234,0.30694061823508945,1.4614853183078482,0.812865928332432,0.6081863489756688,0.1716049382716049,0.04156378600823039,0.023045267489711897,0.0008230452674896748,0.004938271604938238,0.02139917695473248,0.002469135802469091,0.00041152263374480966
7,7,0.9176954732510288,0.9179992161473643,0.9066448104909643,0.9592995362226132,2.3240534720595605,0.24327497434609818,1.855709285346517,1.1195117196554039,1.0672238966703471,0.19876543209876546,0.06419753086419758,0.03292181069958855,-0.009465020576131643,0.008230452674897182,0.021399176954732545,-0.00041152263374480966,0.001646090534979483
8,8,0.8724279835390947,0.8735779181928656,0.8732671822559464,0.9382022471910112,3.5304171326558653,0.26915708790206594,1.4107576758369615,0.6972354125118844,0.797414983259295,0.1880658436213992,0.027983539094650223,0.011934156378600869,-0.009465020576131666,-0.0028806584362139676,-0.013168724279835342,-0.008641975308641924,-0.01275720164609051
9,9,0.8930041152263375,0.8939948178631307,0.8874125874125874,0.951048951048951,2.616191533967288,-0.03750855071638066,1.3479002662783823,1.3962001264793835,1.2955093559108752,0.20987654320987653,0.024279835390946546,0.01481481481481487,-0.0012345679012345401,-0.004526748971193373,0.007407407407407462,0.0004115226337448985,0.0061728395061729
10,10,0.9053497942386831,0.9049575752910973,0.892571470893201,0.9559324544511925,3.097998432123571,-0.05603823003123611,1.498911728519209,1.5725130233141051,0.713867469428475,0.1925925925925926,0.03703703703703702,0.003703703703703687,0.009053497942386812,-0.002880658436214001,0.01728395061728394,0.011934156378600836,0.0008230452674897082
11,11,0.9259259259259259,0.926065539223434,0.9238897615307725,0.9750107096958446,2.59164824971954,0.07404436781536326,1.271289486966432,1.7753152556369967,0.7250885548027336,0.2,0.04320987654320989,0.038683127572016474,0.011934156378600824,0.006584362139917699,0.022633744855967076,0.010288065843621408,0.016872427983539107
12,12,0.9053497942386831,0.9040952970340301,0.8856100795755968,0.9664750957854407,2.9001799359168543,0.045669398939265804,1.5418967411138869,1.0101563439018106,1.2014743710265,0.23209876543209873,0.05267489711934155,0.00411522633744853,-0.005349794238683103,-0.0049382716049382715,0.014403292181069949,0.0024691358024691245,-0.003292181069958855
13,13,0.8683127572016461,0.8669373662680223,0.841372699386503,0.9437883435582822,2.477803795151408,0.4583551196000697,1.4659556603613617,1.0903426291873228,1.1289397162898798,0.19341563786008237,0.049794238683127635,0.01769547325102886,0.002880658436214023,0.0061728395061728895,-0.008230452674897092,-0.00041152263374480966,-0.008641975308641936
