,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.left_CO2_vd_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.leftlow_CO2_fd1_scaled
43,43,0.9563636363636364,0.9560418953244065,0.9227010028896822,0.9899711031786504,3.095095930662448,0.22926467327668804,2.5363773697413796,0.7009921043075975,1.5037042592920398,0.10000000000000005,0.003636363636363693,-0.004727272727272658,0.003636363636363682,-0.003999999999999915,-0.0003636363636363549,-0.002909090909090839,0.000363636363636366,0.0072727272727273196,0.002909090909090928,0.000727272727272732,1.1102230246251566e-17
44,44,0.96,0.9598544676297485,0.9321349651538331,0.9926058133605303,2.9207094758828243,0.5284724262691046,1.976592665254477,0.7847232981888421,2.0597769303967257,0.0647272727272727,0.01781818181818179,0.0003636363636363549,0.0014545454545454085,-0.000727272727272732,0.0018181818181817744,0.0003636363636363549,-0.000363636363636366,-0.000727272727272732,-0.000363636363636366,0.0,-0.000363636363636366
45,45,0.9418181818181818,0.9407156580905192,0.8981538225831163,0.9899647617588478,2.666334533402306,1.6676252952363766,2.0553057881765513,0.49928076064484916,1.353088753039346,0.10945454545454543,0.012363636363636321,0.0072727272727272085,-0.00545454545454549,-0.0036363636363636598,0.0007272727272727098,-0.00545454545454549,0.0003636363636363549,-0.0036363636363636598,-0.004000000000000026,-0.0036363636363636598,0.0
46,46,0.9636363636363636,0.9624415965825659,0.9112193859951707,0.9973266643670231,4.143476566528998,-0.1467548502308285,2.6959830913749125,0.32655989157005394,1.1272798701981324,0.03818181818181817,0.0021818181818181624,-0.00872727272727275,-0.001454545454545464,-0.0018181818181818299,-0.0072727272727273196,-0.007636363636363663,-0.005818181818181845,-0.0025454545454545617,-0.0018181818181818299,-0.0025454545454545617,0.002909090909090928
47,47,0.9490909090909091,0.9484792107117689,0.9156822656368317,0.994926548538543,2.404540583239636,1.23164075939755,1.8558838838864973,0.7090360573313946,1.897854657770507,0.09418181818181817,0.020363636363636372,0.0021818181818181958,-0.005454545454545467,-0.000727272727272732,-0.002909090909090928,-0.0010909090909090979,0.0036363636363636598,0.0,-0.002909090909090928,-0.002909090909090928,-0.0036363636363636598
48,48,0.9672727272727273,0.9663696835315461,0.9222760496345402,0.9950705422403536,2.8849270257581714,0.33230791064388326,1.8971941851908745,1.2675240057233907,1.5770216832265465,0.11272727272727275,0.010909090909090913,0.0025454545454545617,0.0018181818181818299,-0.000727272727272732,0.000363636363636366,-0.000727272727272732,0.0025454545454545617,-0.000727272727272732,-0.0036363636363636598,-0.000727272727272732,0.0
49,49,0.9527272727272728,0.952183129226063,0.9118661607450845,0.9919799931010693,2.7923674936787615,0.13285518566551707,2.2722624731622894,1.663562987335204,1.3131494057390947,0.11054545454545459,0.0036363636363636598,-0.0021818181818181958,-0.0018181818181818078,-0.0025454545454545617,-0.0025454545454545617,-0.0025454545454545617,-0.0025454545454545617,-0.005454545454545423,-0.0025454545454545617,-0.0018181818181818299,-0.0025454545454545617
50,50,0.9527272727272728,0.9521367053998632,0.9073054000361207,0.9909698392631389,3.3220411086997803,0.3230894879537256,2.016558774441009,1.773686124057639,0.6321753406757963,0.11890909090909092,0.006545454545454588,-0.003272727272727294,-0.0025454545454545396,-0.0025454545454545617,-0.0036363636363636598,-0.003272727272727294,0.0,-0.004363636363636359,0.0,-0.0025454545454545617,0.0036363636363636598
51,51,0.9709090909090909,0.9704565656565658,0.9378233873749569,0.9963780614004829,3.0384528029739934,0.463841865870611,2.6296620084795754,1.2298848411004975,0.9018357833459959,0.06218181818181821,0.002181818181818218,0.0072727272727273196,0.0014545454545454861,0.000363636363636366,1.1102230246251566e-17,0.002909090909090928,0.00545454545454549,0.0021818181818181958,-0.0010909090909090534,0.000727272727272732,0.0018181818181818299
52,52,0.96,0.9590330566477355,0.9178054981725727,0.9942793580168441,2.4709711279209023,0.7068324738614544,2.4878434599480848,1.2172935810735397,1.2304355008388579,0.09709090909090905,0.010909090909090858,0.0,-0.0007272727272727431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003636363636363549
53,53,0.9563636363636364,0.9563636363636364,0.936046511627907,0.9944186046511627,3.3395059188243033,0.3280521142070566,2.083688593562423,0.2266801320894362,2.1256286719336237,0.05890909090909095,0.00981818181818186,-0.0010909090909090758,0.0003636363636364215,1.1102230246251566e-17,-0.0003636363636363549,-0.0032727272727271937,-0.0043636363636362805,0.003272727272727294,-0.003636363636363571,0.0007272727272727431,-0.0007272727272727098
54,54,0.9490909090909091,0.9484312950850856,0.912154739485248,0.9885436283741369,2.751927609956211,0.8570160397073096,2.0590285794654513,1.264266313344061,1.2769637752702678,0.09745454545454549,0.004727272727272735,-0.0036363636363636598,-0.0014545454545454527,0.000363636363636366,-0.0025454545454545617,-0.000727272727272732,-0.005090909090909123,0.0018181818181818299,-0.0036363636363636598,-0.0025454545454545617,-0.003272727272727294
55,55,0.9381818181818182,0.9379508777749477,0.8955243187305968,0.9901690238013108,2.9000386232587267,0.9512251943185237,1.8805230036968699,1.370985393266549,1.1410104348592827,0.08909090909090915,-0.008727272727272695,-0.009454545454545405,-0.002545454545454506,0.000363636363636366,-0.007999999999999941,-0.0072727272727272085,-0.010909090909090868,-0.003272727272727227,-0.005818181818181745,-0.0036363636363635488,-0.0072727272727272085
56,56,0.9745454545454545,0.974645792738919,0.960538197579917,0.9957558244536753,2.9001810699228097,0.3183396280254044,2.3722437298258345,1.4058100473191248,1.161079257871583,0.1043636363636363,0.008363636363636318,0.0007272727272727098,0.0014545454545454085,0.00290909090909085,0.0039999999999999255,0.0003636363636363549,0.0003636363636363549,-0.003272727272727294,0.0,0.0007272727272727098,0.006545454545454477
57,57,0.9527272727272728,0.9518673087212413,0.9090909090909091,0.9929752066115702,2.7924863332929766,1.0157059966966877,1.931100110897615,1.5505652664298744,0.8575503237020464,0.1265454545454546,0.0043636363636363916,-0.0010909090909090868,-0.002545454545454551,-0.0036363636363636485,-0.001454545454545464,-0.0010909090909090979,0.0,-0.002909090909090928,0.0,-0.002909090909090928,-0.000363636363636366
58,58,0.9527272727272728,0.9525721891563004,0.9248350233381619,0.9917914051183003,3.298360694188626,0.687661260175265,2.172383099333075,1.3465128453404995,0.6202057950544215,0.0661818181818182,-0.0007272727272727208,0.0018181818181818299,0.003272727272727294,-0.0010909090909090979,-0.012727272727272698,-0.010181818181818136,-0.000727272727272732,-0.0014545454545454527,-0.002909090909090928,-0.002909090909090928,-0.005818181818181789
59,59,0.9781818181818182,0.9780209476622033,0.9577596464388918,0.996260411354751,2.660254865331374,0.44724876559539023,2.5268975262952043,1.256299013494291,1.38502822805767,0.1145454545454545,0.013090909090909052,0.0069090909090908535,0.002545454545454551,0.0,0.003272727272727294,0.003272727272727294,0.003272727272727294,0.000363636363636366,0.0,0.0,0.0
60,60,0.96,0.960162035456635,0.9347008076358296,0.994309838472834,3.130485943587563,0.24424707007834445,1.7858849120161457,1.4816854942101403,1.487400394530925,0.11818181818181817,0.0065454545454544984,0.004727272727272647,-0.001090909090909109,0.0,-0.0025454545454545617,-0.0036363636363636598,-2.2204460492503132e-17,-0.002909090909090928,0.0003636363636363438,-0.002545454545454573,-0.004000000000000026
61,61,0.9636363636363636,0.9636363636363636,0.9388888888888889,0.9946666666666667,3.144411649902184,0.4315203640684682,2.137837364316633,0.9366414250491947,1.603913873321378,0.12072727272727275,0.007999999999999985,0.000727272727272732,-0.000727272727272732,-0.003272727272727294,-0.002909090909090928,-0.0061818181818182215,0.0010909090909090979,0.0,0.0,0.0,-0.003272727272727294
