,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled
0,0,0.8271604938271605,0.8214197530864197,0.7836927223719676,0.8814016172506738,1.378958873605804,0.6786989313585086,0.33755660141534566,1.6099725434423342,0.8635357715591441,0.10534979423868314,0.08518518518518518,0.08518518518518517,0.06748971193415639
1,1,0.7983539094650206,0.7937232802882767,0.7570030120481928,0.8629518072289157,0.6927266994798331,0.9432145173414773,-0.1477077119300947,1.414349542227808,1.5400420355514026,0.08641975308641978,0.05884773662551442,0.06913580246913582,0.0637860082304527
2,2,0.7942386831275721,0.7886749738601591,0.7539994074951859,0.8517256702710709,2.1090550794513567,0.6371861450633352,-0.25767527007730273,0.7222554842600264,1.7949006842217607,0.08106995884773668,0.0695473251028807,0.07654320987654326,0.06337448559670784
3,3,0.7942386831275721,0.7904418969233784,0.7511503067484663,0.8656441717791411,1.3239855631841875,0.5317870573907553,0.21263870077599195,2.0493819680325807,0.7779291643465538,0.07654320987654326,0.09012345679012349,0.05884773662551444,0.06008230452674902
4,4,0.7983539094650206,0.7929092523386572,0.710880413473534,0.8747103903047585,1.543028288996933,0.34797312250956364,0.26189960519112915,0.9038146638530669,2.035519571164019,0.07119341563786011,0.06049382716049384,0.045679012345679046,0.04855967078189303
5,5,0.7530864197530864,0.7485139460448103,0.7161803713527851,0.8261862658414383,1.4693651312111708,0.4768481510012998,-0.3034132962439067,1.6579090957302083,1.7146273311404088,0.062139917695473244,0.0683127572016461,0.039094650205761326,0.05267489711934158
6,6,0.831275720164609,0.8258186704985462,0.7790251916757941,0.8921921452041933,1.3681893630820958,0.41059477556841767,0.1438901527406059,1.7016715764902919,1.3739539961286635,0.0839506172839506,0.0691358024691358,0.0950617283950617,0.06913580246913578
7,7,0.7736625514403292,0.7703404229940015,0.7195346233807772,0.8563889333120103,1.5509367943853434,0.8110158781659689,0.4779209140232208,1.1832026463749483,0.6461167220199107,0.09300411522633747,0.02757201646090538,0.058436213991769556,0.030041152263374515
8,8,0.8189300411522634,0.8151377488009985,0.7883773529840945,0.8939880344374725,2.3535663920979997,0.44679432216027504,-0.1479460281440934,1.1699200262802698,1.127667602814787,0.09176954732510292,0.0938271604938272,0.07530864197530869,0.06790123456790129
9,9,0.7901234567901234,0.7917679743766699,0.7677156177156177,0.8671328671328672,1.5197216620349823,0.880118835848237,0.46327639112170604,1.9856542637958579,0.16385888183371722,0.06049382716049377,0.05637860082304521,0.0621399176954732,0.0658436213991769
10,10,0.7901234567901234,0.7800156225496863,0.7376684935565101,0.840023700192564,1.0850829762761964,0.30630703470618936,0.37368900490594587,1.082535952146182,2.0225485160088774,0.08683127572016455,0.07160493827160488,0.07695473251028802,0.04320987654320983
11,11,0.8024691358024691,0.7961698646437603,0.770205626160217,0.8601313722690276,1.8833703223841793,0.4401417286098191,0.49514455141506797,1.8172216170878284,0.4973265259126439,0.09012345679012349,0.0794238683127572,0.09588477366255146,0.06748971193415639
12,12,0.7901234567901234,0.7803011024885838,0.7399425287356322,0.8243442381373416,1.0872632637738222,0.4425409934242051,0.40660435452530325,2.092513446112298,1.2074658542818038,0.0753086419753086,0.07242798353909459,0.07119341563786004,0.04567901234567897
13,13,0.7818930041152263,0.7783229222215308,0.738765337423313,0.8092791411042944,2.2582517658534456,0.49158902882374705,0.14273114042240553,1.8477682807215177,0.5251917593799557,0.11028806584362141,0.07325102880658436,0.0868312757201646,0.0588477366255144
14,14,0.8024691358024691,0.8024691358024691,0.7718666875293381,0.8592552026286966,2.3372819804245415,0.6886556616560918,-0.030668618559692634,1.0237684171347836,0.9163000516508679,0.0794238683127572,0.059670781893004135,0.0757201646090535,0.05925925925925925
15,15,0.8477366255144033,0.8427744510257587,0.8102343059239611,0.8910993221338048,1.9074519534845995,0.3317062100680588,0.01656908695770052,1.1262806724516157,1.6893751596518267,0.08888888888888889,0.10534979423868314,0.0991769547325103,0.05473251028806588
16,16,0.8024691358024691,0.7987111956831491,0.7752303484019579,0.8646703138496976,2.02618023122933,0.5332816637288922,-0.10650341699545261,0.7986043477733544,1.7001875216542195,0.08189300411522633,0.08106995884773661,0.0683127572016461,0.0728395061728395
17,17,0.7736625514403292,0.7662863461193709,0.7296640141467727,0.834659593280283,2.0744581933067523,0.7735009126875144,-0.1599173718388859,1.9945907340578644,0.40147152658710894,0.07942386831275723,0.058847736625514416,0.07160493827160498,0.05884773662551444
