,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_CO2_vd_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd1_scaled
0,0,0.9203539823008849,0.9200512678014081,0.9079565109957993,0.9640847943638986,2.7056094920650957,0.01303639381043576,-0.4887901051968425,2.9117887481110527,1.3989188870890685,0.0986323411102172,0.0658889782783588,0.056798069187449694,0.03620273531777951,0.03065164923571999,0.029766693483507613,0.01721641190667742,0.014641995172968648,0.014159292035398252,0.004987932421560748,0.0031375703942075673,0.0018503620273531806
1,1,0.917940466613033,0.9172876996251385,0.9014784984898605,0.9682496763986768,3.014808454944661,0.11201438794542182,-0.9059213686096454,2.2887085896034622,2.0697427462443723,0.07932421560740147,0.07007240547063556,0.06210780370072404,0.029364440868865603,0.009251810136765903,0.04376508447304903,0.012791633145615466,0.011826226870474677,0.022123893805309734,0.001045856798069189,0.0004022526146419958,-0.0006436041834271932
2,2,0.912308930008045,0.9117301888427403,0.8955821371610846,0.9627519211251269,3.3911620092486974,0.33066704376503997,-0.5826914976215135,2.873426672746138,0.5238148996721909,0.09533386967015281,0.0660498793242156,0.03153660498793236,0.030651649235719967,0.03153660498793236,0.03443282381335473,0.004183427192276756,0.018181818181818167,0.014641995172968636,-0.0011263073209975883,0.0001609010458567983,-0.000482703137570395
3,3,0.914722445695897,0.9145901644455953,0.9054405974432411,0.9681450223419822,2.6821540695220225,-0.1141857167316291,-0.9244125789029128,2.8348795596457226,1.979650990209465,0.1227674979887369,0.06532582461786,0.06814159292035397,0.04135156878519706,0.01979082864038617,0.051327433628318556,0.011343523732904282,0.021319388576025722,0.02485921158487525,-0.002091713596138378,-0.0022526146419951766,-0.0014481094127111848
4,4,0.919549477071601,0.9193368573546361,0.9056215290086258,0.9665809996455158,3.060136593125512,-0.6556265687252109,-0.9017924554631365,2.964421265991197,2.2339810005272787,0.1123893805309734,0.06468222043443281,0.045374094931617016,0.031456154465003994,0.013837489943684656,0.0655671761866452,0.00667739340305713,0.006596942880128731,0.01335478680611426,0.0008849557522123908,0.0001609010458567983,-0.0006436041834271932
5,5,0.9404666130329847,0.9404666130329847,0.9315328914851932,0.9750343891241046,2.697790137895187,-0.17715181444342423,-0.9744851787361546,2.993201990265872,1.899936178970301,0.11906677393403058,0.07304907481898633,0.06878519710378117,0.04167337087691074,0.016894609814963824,0.04835076427996783,0.018744971842317004,0.020675784392598585,0.02204344328238137,0.0027353177795655715,0.0016090104585679832,0.0004022526146419958
6,6,0.9227674979887369,0.9225167816803935,0.9091717315401526,0.9728612910431093,2.9280594966929967,-0.20927308254805504,-0.33903603821443234,2.798028293935329,1.4043176644940427,0.10297666934835077,0.06910699919549476,0.04360418342719223,0.027111826226870493,0.009332260659694303,0.04247787610619465,0.005872888173773139,0.015526950925181037,0.016653258246178627,-0.0022526146419951766,-0.0011263073209975883,-0.002011263073209979
7,7,0.9300080450522928,0.9300784254549294,0.9203024241700501,0.971862311917841,2.150578829179951,0.03595063289294959,-0.5837545500392266,2.821567759111905,2.0849222712399293,0.10353982300884956,0.07506033789219631,0.05301689460981494,0.05253419147224454,0.023572003218020953,0.055671761866452105,0.01544650040225264,0.014722445695897046,0.03435237329042641,0.0002413515687851975,0.00482703137570395,0.0005631536604987942
8,8,0.9235720032180209,0.9234219947760127,0.9068118029624868,0.9736516728900318,2.353504806566193,0.33784978991960407,-0.7209771114169924,2.6656233908493276,1.8269936905001503,0.0934835076427997,0.06822204344328238,0.06419951729686242,0.04006436041834267,0.015124698310539041,0.06411906677393402,0.009010458567980707,0.010860820595333887,0.024296057924376547,-0.0001609010458567983,-0.0015285599356395841,-0.0005631536604987942
9,9,0.916331456154465,0.9160599259952183,0.9052185257664709,0.9693922119175246,2.0225745473148273,0.002673515798674749,-0.8715579933713912,2.778545560183904,2.529077708887605,0.09774738535800478,0.0757039420756235,0.06331456154465002,0.04577634754625901,0.006838294448913929,0.06991150442477875,0.01617055510860823,0.01544650040225264,0.02534191472244567,0.0011263073209975883,-0.0016090104585679832,-0.0011263073209975883
