,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled
0,0,0.8495575221238938,0.8468160738551856,0.8175895437906919,0.8975066227639192,-0.17306110902001684,-0.08345545065598375,1.6738137408876788,1.773025752009978,2.8457476821855914,0.10707964601769908,0.08012872083668546,0.07811745776347548,0.07232502011263073
1,1,0.8535800482703138,0.8492576643210515,0.8141435351646771,0.8922306917877175,0.6329200626765213,-0.22105199314800358,1.4582314175970226,1.1030589417496122,3.015198856676782,0.10925181013676585,0.08350764279967822,0.06693483507642799,0.07779565567176187
2,2,0.8592115848753017,0.8553345343073931,0.8201754385964912,0.8874380165289255,1.9356892302763602,-0.4161413141801606,1.157325837597258,1.2720833191455425,2.298111039378976,0.12759452936444085,0.08720836685438457,0.06975060337892196,0.06999195494770716
3,3,0.8535800482703138,0.8506784869629425,0.8240307647115315,0.8961083713231763,0.5180791894258548,0.018013295953704732,1.768238579656809,2.497831617254997,1.2529665235001182,0.12679002413515686,0.08728881737731298,0.06444086886564762,0.06484312148028962
4,4,0.8720836685438456,0.868131089624663,0.8291932529835755,0.906490015360983,0.982696043321438,-0.20011618437906414,1.5824448289480146,1.118449218016408,2.5552346706415086,0.11681415929203545,0.0847144006436042,0.06669348350764279,0.07103781174577635
5,5,0.8616251005631537,0.8603298914355002,0.8321706534231321,0.9020163043154628,0.5162444848754372,-0.13574614348274783,1.623394479228236,1.2459431749092653,2.7862955903654583,0.11287208366854384,0.08777152051488338,0.08037007240547064,0.07666934835076429
6,6,0.8656476267095736,0.861586661328975,0.8232089745247639,0.9000593677627169,0.3349253460731025,-0.11043024801031069,1.4582115662231314,2.033038418366417,2.3895471925201712,0.12582461786001609,0.08559935639581659,0.06218825422365244,0.06717618664521319
7,7,0.8664521319388576,0.8634919895160176,0.827064425603057,0.8928618342488656,0.8404308686638147,-0.21808899554516734,1.3345438454170302,1.6043406521271926,2.5209732059328385,0.1121480289621883,0.09308125502815771,0.07988736926790026,0.07707160096540629
8,8,0.8809332260659695,0.877925507558883,0.8361575459333812,0.9022045550087786,0.746071821953023,-0.24248645639669633,1.7229167183143954,1.19251852162409,2.5690736771951683,0.12896218825422365,0.09139179404666134,0.0751407884151247,0.08197908286403863
9,9,0.8463395012067578,0.8425654016687204,0.8121486712612382,0.8788054113843273,0.9699870552973414,-0.3845529854605397,1.1450295255309173,1.531925892758833,2.936809845340483,0.13483507642799678,0.09340305711987126,0.06854384553499597,0.07530168946098151
10,10,0.8527755430410298,0.8493981044703452,0.8165364809350228,0.8944338367181623,0.9242222976511972,-0.1985239544213048,1.8586289501118964,1.6072355387938524,2.0008851746361827,0.11922767497988736,0.07876106194690266,0.06806114239742558,0.058487530168946075
11,11,0.8455349959774738,0.8392402167601117,0.793757274020432,0.8867310111329251,0.9042748399363463,0.07405439327749999,1.2130717207766963,1.3147072066183159,2.464760054762059,0.10659694288012869,0.0851971037811746,0.061786001609010446,0.05888978278358807
12,12,0.8382944489139179,0.8308807359159953,0.7859501355515908,0.8780470143893228,0.5368089706980783,-0.1625098701384012,1.0977428554762216,1.7093768202780912,3.007272232914734,0.08978278358809327,0.07280772325020113,0.048833467417538176,0.06983105390185036
13,13,0.8567980691874497,0.8518649099552885,0.8118746171125178,0.891335803261472,0.8767613104186246,-0.22630438102231004,1.2919545184614174,0.9746690272611206,3.207117495810182,0.11971037811745774,0.07940466613032986,0.054143201930812526,0.0660498793242156
14,14,0.8592115848753017,0.8563363388879501,0.8225320903296431,0.8980054263702761,1.1138038263162795,-0.03049986283156575,1.30751454655663,1.521212108430256,2.1335374473748736,0.11552695092518099,0.09106999195494772,0.06870474658085277,0.06275140788415123
15,15,0.8487530168946098,0.8463451806805277,0.8091577439072315,0.8873797619119596,0.8592859912229798,0.10023322073137501,1.5916072345751733,1.1640881475932865,2.3203195756002692,0.11488334674175378,0.08045052292839903,0.05913113435237327,0.07103781174577635
16,16,0.8479485116653258,0.8454656413664646,0.8163738014558595,0.8891047214413125,0.9318427656205595,-0.1764109178676581,1.2998994487358664,1.4924887758816854,2.579353300846531,0.11914722445695894,0.08664521319388578,0.0749798873692679,0.07063555913113435
17,17,0.8543845534995977,0.8518519082977237,0.8221334314247979,0.905765576847325,0.2852159405198649,-0.09618862880072312,1.1496422903160006,2.119683301332288,2.54747633574689,0.1324215607401448,0.09106999195494772,0.05953338696701527,0.06444086886564762
18,18,0.8600160901045857,0.8570986109382949,0.8275129724020756,0.908036575285852,0.5668510409584385,-0.011512629215437324,1.2619192383330682,1.6961451546627915,2.4750488440097977,0.12091713596138373,0.09106999195494773,0.06918744971842317,0.07031375703942075
19,19,0.8576025744167337,0.8560183805543662,0.8292515158949914,0.903797623637447,0.2917517013631361,0.0484756559922082,1.2673189326668994,1.8494935024617274,2.3930624461432886,0.1263073209975865,0.09855189058728883,0.061786001609010446,0.07723250201126308
20,20,0.8519710378117458,0.8484878035086475,0.8175696912895889,0.8925885499411382,0.9310683905359715,-0.10313734675097434,1.7708923779682637,1.9449067025596767,1.587423393049902,0.11005631536604984,0.08680611423974258,0.05921158487530167,0.0754625905068383
21,21,0.8511665325824618,0.8472268974275018,0.8134402416223213,0.8858794764849707,0.6661815166018207,-0.20475816843067246,1.4381869472138564,1.6337437236655163,2.586960891455258,0.12284794851166529,0.09541432019308126,0.06210780370072404,0.0743362831858407
