,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_CO2_vd_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd3_scaled
0,0,0.914722445695897,0.914817057282147,0.9064811143482683,0.9739830250372081,1.1115547818196387,-0.49959144021437324,-0.5487029009585893,4.274322152234494,2.2564867392817862,0.07683024939662109,0.04875301689460978,0.04843121480289618,0.04191472244569585,0.04183427192276745,0.03073209975864838,0.012711182622687067,0.009251810136765903,0.008205953338696715,0.0015285599356395841,0.0012067578439259874,0.0008849557522123908
1,1,0.9283990345937249,0.9280365965303821,0.9156421688479792,0.9726103840069034,1.5599069934958365,0.07832234011151912,-0.48608440073709386,4.159999520294683,1.2089370589207726,0.058970233306516476,0.05776347546259049,0.050281576830249364,0.02960579243765089,0.038938053097345125,0.04054706355591309,0.02381335478680615,0.010136765888978294,0.007562349155269521,0.0008045052292839916,0.0013676588897827858,0.0037007240547063613
2,2,0.917940466613033,0.917586865164743,0.9039553429027114,0.9630042047266928,1.7156614214478645,-0.3448919891219819,-0.40853503307034145,4.365584087911479,1.3681622399542739,0.08262268704746581,0.05293644408688654,0.03427192276749793,0.03258246178600155,0.040386162510056264,0.038857602574416686,0.0243765084473049,0.0094931617055511,0.01544650040225264,0.002172164119066777,0.0,-0.0008045052292839916
3,3,0.9251810136765889,0.9252373529172173,0.919132475807955,0.9723394399534517,1.2461819979505586,-0.465049594304326,-0.27742880614526333,4.003557167013197,2.127311627154959,0.0743362831858407,0.058728881737731276,0.05526950925181011,0.055913113435237305,0.046500402252614606,0.03572003218020914,0.03950120675784389,0.011665325824617878,0.017860016090104614,0.004344328238133554,0.0016894609814963823,0.0001609010458567983
4,4,0.9348350764279968,0.9348976143275001,0.9266129032258064,0.9694139194139193,1.6362928798576435,-0.0984567964137086,-0.16252103418898506,3.8073074306590473,1.4441451938227565,0.07674979887369268,0.06065969428801286,0.03137570394207567,0.049477071600965386,0.041110217216411914,0.033869670152856024,0.01713596138374902,0.006918744971842328,0.015526950925181037,8.045052292839915e-05,0.0006436041834271932,0.0037007240547063613
5,5,0.9356395816572808,0.9357664129087303,0.9279867921944132,0.9760228903537762,0.9058965132180367,-0.5500938978625429,-0.3031168614751779,4.418187872648895,2.135463909121564,0.09195494770716013,0.05808527755430408,0.0363636363636364,0.04786806114239741,0.045615446500402224,0.04666130329847144,0.02574416733708773,0.011826226870474677,0.015848753016894635,0.0004022526146419958,0.005229283990345945,0.0
6,6,0.9340305711987128,0.9337720797956761,0.9213274279063752,0.9742631931627147,1.435073470359268,-0.28536689593517905,-0.548896403703489,4.274639702398038,1.7728331393949286,0.07224456958970234,0.056476267095736096,0.032582461786001646,0.048189863234110994,0.025020112630732137,0.037248592115848814,0.02099758648431218,0.009895414320193096,0.014722445695897046,-0.0001609010458567983,0.0012872083668543865,-0.0013676588897827858
7,7,0.913113435237329,0.9127485810268574,0.8957487461189395,0.9687037258180081,0.7356615799490633,-0.17968458968421064,-0.33327977584642743,4.180989791540234,2.1753098702318816,0.06379726468222043,0.0565567176186645,0.05374094931617053,0.04561544650040221,0.046017699115044206,0.04609814963797261,0.022445695897023287,0.006033789219629937,0.010136765888978294,-0.0001609010458567983,-0.0029766693483507687,0.001045856798069189
8,8,0.9332260659694288,0.9332518464356625,0.9206613665026335,0.9780780929300923,1.5685188766271496,-0.18659599229678359,-0.4456834449827657,3.979637993308856,1.7091296378282128,0.0758648431214803,0.06331456154465002,0.05325824617860013,0.03805309734513277,0.04963797264682218,0.04392598551890588,0.02180209171359617,0.012872083668543866,0.013274336283185861,0.0006436041834271932,0.0001609010458567983,0.0015285599356395841
9,9,0.914722445695897,0.9146777758320921,0.9060580277375989,0.9646217986896962,1.4082839804389906,-0.37595305337814144,-0.507005018884037,4.092241889184255,2.01301351425737,0.06749798873692678,0.04585679806918741,0.04786806114239739,0.052775543041029736,0.04070796460176986,0.04022526146419947,0.04215607401448105,0.013274336283185861,0.010136765888978294,0.002011263073209979,0.00193081255028158,-0.0011263073209975883
