,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd3_scaled
0,0,0.6702214930270713,0.7280108254397835,0.6894089469838435,0.6801575058861735,0.19417555373256767,0.018867924528301883,0.02436423297785062,0.02969647251845775
1,1,0.6644790812141099,0.7189003436426117,0.682250818651728,0.6744174717869611,0.12288761279737492,0.012141099261689825,0.022969647251845804,0.024282198523379872
2,2,0.6726825266611977,0.7280163599182005,0.6912208059321805,0.7937281805634488,0.14298605414274002,0.011977030352748108,0.025020508613617598,0.044872846595570115
3,3,0.6702214930270713,0.7254098360655737,0.6885659386755433,0.704830721766664,0.1304347826086958,0.015750615258408596,0.025430680885972,0.03371616078753059
4,4,0.6587366694011485,0.7134986225895317,0.6762969879028984,0.696347866092934,0.11452009844134536,0.009433962264150941,0.022477440525020542,0.014356029532403669
5,5,0.667760459392945,0.7224126113776559,0.6857906416605776,0.8240697139454953,0.09253486464315008,0.01550451189499591,0.025184577522559426,0.029286300246103347
6,6,0.6620180475799836,0.7154696132596685,0.6793550918784336,0.6701726610917161,0.1361771944216571,0.013863822805578185,0.02075471698113207,0.009351927809680083
7,7,0.6669401148482362,0.7215363511659808,0.6849056859083651,0.6986969229520176,0.09114027891714516,0.00705496308449538,0.02797374897456928,0.02485643970467588
8,8,0.6702214930270713,0.7239010989010989,0.6880842196422289,0.8082677058807609,-0.02846595570139454,0.013125512715340348,0.022231337161607856,0.032895816242821896
9,9,0.6529942575881871,0.7076710435383552,0.6702227273957403,0.6418865524613678,0.13789991796554557,0.004019688269073063,0.01599671862182117,0.02321575061525849
10,10,0.6669401148482362,0.7219178082191781,0.6850261156666937,0.7062406971394549,0.07432321575061518,0.006726825266611947,0.02075471698113196,0.027071369975389725
11,11,0.6579163248564397,0.7122153209109731,0.6752916023923574,0.6415996860707422,0.1595570139458572,0.013207547169811429,0.012797374897456915,0.011402789171451877
12,12,0.6636587366694011,0.7184065934065934,0.6814862926578442,0.8353224540607833,0.07128794093519275,0.011730926989335533,0.006972928630024522,0.04749794913863825
13,13,0.6694011484823625,0.7237834132967786,0.6874401234066737,0.7794430461963141,0.1345365053322396,0.017063166529942442,0.024118129614438155,0.020590648072190243
14,14,0.6685808039376538,0.7229080932784636,0.6865551676544613,0.6729263078130496,0.16423297785069735,0.014684167350287214,0.031173092698933536,0.025102543068088568
15,15,0.660377358490566,0.7156593406593407,0.6781873291656517,0.639522611025412,0.16636587366694017,0.00410172272354381,0.021164889253486363,0.018047579983592965
16,16,0.660377358490566,0.7128987517337032,0.6773443208573516,0.8358528862547698,-0.09803117309269904,0.010336341263330606,0.024856439704675992,0.02370795734208364
17,17,0.6628383921246924,0.7163561076604554,0.680240047630646,0.7123650239506374,0.08310090237899925,0.011648892534864674,0.018211648892534904,0.02739950779327327
18,18,0.6652994257588187,0.720164609053498,0.683256204162269,0.7407837406294824,0.09548810500410176,0.015668580803937737,0.026004922067268232,0.019442165709598003
19,19,0.6685808039376538,0.7229080932784636,0.6865551676544613,0.7599997293713296,0.06365873666940114,0.009762100082034375,0.05061525840853165,0.01894995898277274
20,20,0.6595570139458573,0.7131997235659986,0.6768206543801251,0.7833265676165734,0.099343724364233,0.005742411812961423,0.02206726825266614,0.010500410172272323
21,21,0.6595570139458573,0.7124047124047124,0.6765797948634679,0.7275094043462965,0.1239540607054963,0.010992616899097696,0.02083675143560293,0.023461853978671066
22,22,0.6587366694011485,0.7123098201936376,0.6759356986279126,0.7257665557089119,0.17350287120590646,0.00894175553732568,0.017145200984413522,0.011566858080393705
23,23,0.6620180475799836,0.7178082191780822,0.6800776704284052,0.6656599280127736,0.17637407711238717,0.00951599671862191,0.017063166529942442,0.022969647251845804
24,24,0.6538146021328958,0.7065368567454798,0.6705055343563098,0.6227436334605289,0.16111566858080384,0.020262510254306698,0.011566858080393705,0.019688269073010578
25,25,0.6694011484823625,0.7230240549828179,0.6871992638900165,0.7618643609103948,-0.005988515176374221,0.011156685808039302,0.028219852337981965,0.027153404429860473
26,26,0.6620180475799836,0.7166437414030261,0.6797163811534194,0.740327731319856,0.11616078753076298,0.011074651353568554,0.03330598851517641,0.01657095980311729
27,27,0.6652994257588187,0.7174515235457064,0.6824131958539688,0.7064977943763362,0.013043478260869712,0.011402789171452099,0.022149302707136997,0.026086956521739202
28,28,0.6570959803117309,0.710124826629681,0.6740453573651592,0.6806865849368082,0.11812961443806391,0.010418375717801465,0.021000820344544535,0.015094339622641395
