,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_mid_temperature_scaled,feature_importance.C_mid_temperature_fd1_scaled,feature_importance.C_mid_temperature_fd2_scaled,feature_importance.C_mid_temperature_fd3_scaled,feature_importance.C_mid_humidity_scaled,feature_importance.C_mid_humidity_fd1_scaled,feature_importance.C_mid_humidity_fd2_scaled,feature_importance.C_mid_humidity_fd3_scaled,feature_importance.C_top_temperature_scaled,feature_importance.C_top_temperature_fd1_scaled,feature_importance.C_top_temperature_fd2_scaled,feature_importance.C_top_temperature_fd3_scaled,feature_importance.C_top_humidity_scaled,feature_importance.C_top_humidity_fd1_scaled,feature_importance.C_top_humidity_fd2_scaled,feature_importance.C_top_humidity_fd3_scaled
0,0,0.9018961253091509,0.9030154849225754,0.9069321533923305,0.9808587348410357,-0.005276174773289344,-0.0023907666941466177,-8.244023083259222e-05,0.004286892003297682,-0.027205276174773307,0.01879637262984335,0.015333882934872145,0.006677658697444189,-0.02753503709810401,0.023330585325638697,0.013190436933223415,0.01211871393239905,0.0015663643858203624,0.017971970321516872,0.02300082440230855,0.02333058532563892,0.0018961253091508423,0.0069249793899422984,0.005276174773289344,0.002061005770816249,0.0007419620774938851,0.03157460840890347,0.030420445177246402,0.03091508656224229,0.001401483924154956,0.004039571310799683,0.007007419620775002,0.004781533388293457
1,1,0.9398186314921682,0.9371231696813093,0.9412924724134164,0.9737599694089369,0.0004946413849959974,0.00041220115416329417,0.0005770816158287007,-0.00024732069249777666,0.002555647155811913,-0.0017312448474855469,0.0004946413849957754,0.001401483924154956,0.0014839241549876592,-0.0044517724649628665,-0.0034624896949713158,-0.0005770816158284786,-8.244023083259222e-05,0.0027205276174773196,0.0026380873866446164,0.0013190436933222527,8.244023083259222e-05,0.003215169002473095,0.0032976092333059093,0.0029678483099752073,8.244023083259222e-05,0.0023083264633141365,0.0019785655399835456,0.001813685078318139,0.00016488046166540649,0.0037098103874689814,0.00453421269579557,0.003544929925803797
2,2,0.9348722176422094,0.932420872540633,0.9367761935977275,0.978963181470556,0.011624072547403164,0.004204451772464979,0.0037922506183017957,0.003132728771640725,-0.0002473206924979987,0.007172300082440297,0.007007419620774891,0.0058532563891179334,-0.0008244023083265883,0.004204451772464868,0.003957131079967202,0.006265457543281117,-0.00041220115416329417,-0.00016488046166529546,-0.00024732069249777666,-0.0005770816158283676,-0.0020610057708160268,0.006512778235779004,0.005276174773289344,0.0037098103874690924,-0.002473206924979432,0.006430338004946523,0.002802967848310023,0.002885408079142504,-0.00181368507831825,0.004863973619126161,0.004699093157460976,0.0037922506183015736
3,3,0.9422918384171476,0.9403747870528109,0.9445140937397575,0.9871217087293784,0.0014839241549876592,-0.0004122011541630721,-0.0007419620774937741,-0.0009068425391591806,-0.0003297609233305909,-0.0011541632316570682,-0.0011541632316571793,-0.0011541632316570682,-0.0003297609233305909,-0.0022258862324813222,-0.0022258862324815443,-0.001813685078318139,-0.0017312448474854358,-0.00041220115416329417,0.0008244023083264773,0.002473206924979321,-0.0008244023083266994,-0.001813685078318139,-0.0014839241549874371,-0.0016488046166527326,-0.00181368507831825,0.001071723000824476,0.002061005770816249,0.0023907666941468397,-0.0013190436933222527,-0.0012366034624895494,-0.0015663643858202514,-0.0005770816158284786
4,4,0.921681780708986,0.9208992506244796,0.925337321096908,0.9812629738883426,0.001401483924154956,-0.0009068425391590695,0.00395713107996698,0.007749381698268776,-0.005276174773289344,0.010222588623248097,0.0076669414674360725,-0.0014839241549876592,-0.011706512778235756,0.00849134377576255,0.007749381698268776,-0.0006595218466611819,0.0005770816158283676,0.013107996702390712,0.012118713932398939,0.015498763396537552,0.0015663643858203624,0.004286892003297349,0.0055234954657872315,0.00420445177246509,-0.0018961253091508423,0.014179719703215077,0.01821929101401476,0.01788953009068428,0.002061005770816249,0.008079142621599478,0.004946413849958642,0.004699093157460754
5,5,0.9373454245671888,0.934931506849315,0.9392043592264832,0.9726401179941002,-0.001401483924154956,-0.00016488046166540649,0.0004946413849958864,0.00016488046166529546,0.001731244847485769,0.008903544929925733,0.00906842539159114,0.008408903544929847,0.0006595218466611819,0.007254740313272889,0.008161582852432181,0.006842539159109595,0.0007419620774938851,0.00214344600164873,0.0023907666941468397,0.002143446001648952,-0.0026380873866446164,0.003215169002473095,0.0037922506183016846,0.003957131079967091,-8.244023083270324e-05,0.002802967848310023,0.002885408079142726,0.0015663643858203624,-0.0009892827699916618,0.0032976092333059093,0.0029678483099754294,0.0030502885408081326
6,6,0.9447650453421269,0.9426860564585116,0.9467155577406314,0.9874440074292583,-0.0003297609233305909,0.0006595218466610708,-0.0006595218466612929,0.0009892827699915507,0.00016488046166529546,-0.0007419620774938851,-8.244023083270324e-05,-0.0011541632316570682,-0.0018961253091510644,-0.001401483924155067,-0.00016488046166529546,-0.0018961253091510644,-0.00041220115416329417,0.0008244023083265883,0.0006595218466611819,-0.0002473206924978877,-8.244023083259222e-05,0.0013190436933222527,0.00041220115416318315,1.1102230246251565e-16,0.0002473206924979987,0.000741962077493663,-0.00041220115416329417,0.0003297609233304799,-0.0003297609233305909,-0.0005770816158287007,-0.0004946413849959974,8.244023083259222e-05
7,7,0.9282769991755977,0.9271966527196652,0.9316235114170217,0.9765117994100295,0.004616652926628162,-8.244023083270324e-05,0.0008244023083264773,0.0016488046166530657,0.002473206924979321,-0.003627370156636389,-0.005605935696620046,-0.0055234954657873425,0.0008244023083265883,-0.003544929925803686,-0.0037922506183015736,-0.0019785655399834345,-0.0009892827699917728,-0.0023083264633141365,-0.0022258862324813222,-0.002061005770816138,-0.00041220115416318315,-0.003544929925803686,-0.0034624896949712047,-0.004616652926628162,-0.0012366034624898825,0.0011541632316569572,0.0005770816158285896,0.00041220115416318315,-0.0004946413849958864,-0.0034624896949709827,-0.0030502885408077995,-0.003874690849134277
8,8,0.9183841714756801,0.9165964616680707,0.9212307440183547,0.9646973669835025,0.007502061005770777,0.0012366034624895494,0.001071723000824365,0.0012366034624896605,-0.0006595218466612929,0.0018961253091508423,0.000741962077493663,-0.0014839241549876592,-0.0016488046166530657,0.0006595218466612929,0.0003297609233303689,0.0005770816158285896,-0.001071723000824476,0.0006595218466609598,0.0002473206924978877,0.001401483924154845,0.001071723000824365,-0.0037922506183016846,-0.0037098103874689814,-0.0029678483099752073,-0.0004946413849956643,0.002802967848309912,0.0016488046166529546,0.0023083264633140255,0.0015663643858200293,-0.0034624896949712047,-0.0027205276174774307,-0.002802967848310023
9,9,0.9406430338004946,0.9382504288164666,0.9424041297935103,0.9816125860373648,0.0006595218466611819,0.0004946413849958864,-0.00016488046166529546,8.244023083259222e-05,-0.003874690849134277,8.244023083259222e-05,-8.244023083270324e-05,-1.1102230246251565e-16,0.001071723000824476,-0.0006595218466611819,-0.0017312448474856579,-0.0013190436933224747,-0.0022258862324815443,0.0014839241549878812,-0.0013190436933222527,0.001071723000824476,0.0030502885408079106,0.0030502885408079106,0.003544929925803797,0.003874690849134388,-0.0023083264633142475,0.0018961253091508423,0.0019785655399835456,0.0029678483099754294,0.003215169002473095,0.0023083264633141365,0.0019785655399835456,0.002473206924979321
