,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
0,0,0.9236393176279447,0.9193825042881647,0.9255374843870419,0.9536926306837812,0.004467912266450047,0.05442729488220954,0.0715678310316814,0.032331437855401934,0.006742485783915453,0.029163281884646564,0.06612510154346063,0.004630381803411798
1,1,0.9179528838342811,0.9120974760661444,0.918671769114247,0.9470621063541417,-0.003168155970755482,0.046791226645004014,0.08147847278635245,0.0025182778229081437,0.00463038180341202,0.03566206336311939,0.019090170593013878,0.011697806661250976
2,2,0.9212022745735174,0.9155787641427328,0.9219431821201732,0.9547423529724415,0.0007311129163281027,0.01445978878960208,0.04427294882209576,0.013322502030869154,-0.002274573517465406,0.02981316003249379,0.04151096669374488,0.0005686433793663515
3,3,0.9195775792038993,0.9135371179039301,0.9200390656142868,0.9588349411358261,0.0012185215272136896,0.055564581640942245,0.058407798537774114,0.000893582453290076,-0.0012185215272134675,0.01705930138099121,0.029975629569455653,0.006255077173030199
4,4,0.9268887083671812,0.9228130360205832,0.9288088973929682,0.949241276674905,0.004224207961007309,0.04142973192526411,0.040373679935012174,0.030706742485783978,0.004630381803411798,0.05134037367993505,0.011454102355808238,0.012591389114541052
5,5,0.9187652315190902,0.9124343257443083,0.9190199048606128,0.9455552898030772,0.00032493907392361354,0.07327376116978068,0.058407798537774225,0.02404549147034918,0.011860276198212727,0.02047116165718932,0.034362307067424824,0.024695369618196628
6,6,0.9203899268887084,0.9149305555555556,0.9213266363708842,0.9555914321401048,-0.0021121039805036546,0.03460601137286767,0.05865150284321696,0.004955320877335412,-0.0017059301380992764,0.01478472786352547,0.01462225832656372,0.005361494719740012
7,7,0.9325751421608448,0.9282627484874676,0.9339299476467617,0.9498657949985383,0.011047928513403749,0.024370430544273014,0.010722989439480024,0.014134849715678244,0.008123476848091116,0.019902518277822856,0.03184402924451657,0.01941510966693727
8,8,0.9301380991064175,0.9259896729776248,0.9318119003959713,0.9485768954795505,0.009179528838342943,0.0778229082047116,0.03005686433793664,0.0059301380991064745,0.003980503655564571,0.055158407798537756,0.024695369618196517,0.010885458976441886
9,9,0.9187652315190902,0.9125874125874126,0.9191541098620745,0.9510723112493025,-0.001137286758732703,0.010316815597075535,0.052315190901706,0.015840779853777187,-0.003086921202274606,0.024695369618196628,0.011941510966693825,0.030950446791226716
