,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_CO2_vd_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_low_temperature_scaled,feature_importance.B_low_temperature_fd1_scaled,feature_importance.B_low_temperature_fd2_scaled,feature_importance.B_low_temperature_fd3_scaled,feature_importance.B_low_humidity_scaled,feature_importance.B_low_humidity_fd1_scaled,feature_importance.B_low_humidity_fd2_scaled,feature_importance.B_low_humidity_fd3_scaled,feature_importance.B_top_temperature_scaled,feature_importance.B_top_temperature_fd1_scaled,feature_importance.B_top_temperature_fd2_scaled,feature_importance.B_top_temperature_fd3_scaled,feature_importance.B_top_humidity_scaled,feature_importance.B_top_humidity_fd1_scaled,feature_importance.B_top_humidity_fd2_scaled,feature_importance.B_top_humidity_fd3_scaled
0,0,0.9652029826014913,0.9632867132867133,0.9660508809284776,0.9815622828017607,0.0014084507042252392,-0.009113504556752416,0.006545153272576543,0.005219552609776246,0.0024855012427507095,-0.006959403479701809,-0.008782104391052203,0.0012427506213753547,-0.00016570008284988447,-0.004308202154100993,-0.0002485501242749377,-0.0018227009113505055,-0.0022369511184755497,0.00894780447390231,-0.01068765534382754,0.007290803645401911,0.005882352941176561,0.0014084507042252392,-0.0017398508699254522,-0.0004971002485502085,-0.005219552609776357,0.01292460646230309,0.005136702568351192,0.019221209610604806,0.008782104391052425,-0.0021541010770504965,-0.0014913007456504035,-0.0022369511184755497
1,1,0.9511184755592378,0.9483814523184602,0.9518468055999911,0.9835425791291109,0.0048053024026512015,-0.00024855012427504874,0.0010770505385252482,0.016735708367854207,-0.002651201325600705,-0.005965202982601503,-0.009030654515327363,0.0004971002485500975,-0.001657000828500288,-0.013256006628003414,-0.005633802816901401,-0.0025683512841755407,-0.005302402651201299,0.0012427506213752437,0.006296603148301605,-0.00165700082850051,0.00033140016570032405,0.0014913007456502925,-0.0017398508699253412,-0.0018227009113503945,0.001657000828500399,0.001325600662800297,0.007042253521126751,-0.009113504556752305,-0.0014084507042252392,0.0011599005799503015,-0.0027340513670257582,-0.0012427506213752437
2,2,0.9188069594034797,0.9180602006688964,0.9223492161556877,0.9819373807133479,-0.008533554266777266,-0.0024026512013257673,0.0,-0.003976801988401002,-0.020298260149130165,-0.0014913007456502925,0.009196354598177359,-0.023612261806130852,-0.017812758906379567,-0.01035625517812766,0.002319801159900492,0.009362054681027243,0.040265120132560006,0.03811101905550962,0.04730737365368698,-0.018641259320629766,-0.005053852526926472,-0.006710853355426649,-0.01565865782932896,-0.0008285004142501995,-0.02270091135045582,0.028748964374482155,0.0021541010770504965,-0.025434962717481358,-0.009113504556752305,-0.009610604805302403,-0.0061309030654514984,-0.0031483015741509135
3,3,0.9378624689312345,0.9361702127659575,0.9403180609644429,0.9763688315700054,0.0009113504556753638,-0.010853355426677758,-0.017564208782104407,0.006628003314001818,-0.0041425020712511085,-0.009196354598177137,-0.006710853355426649,-0.003314001657000798,-0.0009113504556752527,-0.005385252692626352,0.002734051367025536,0.014913007456503813,-0.0034797017398507935,-0.01176470588235301,0.004639602319801206,0.0030654515327258602,0.0021541010770506075,-0.006296603148301605,-0.003314001657000798,-0.0051367025683513035,0.0038939519469760597,-0.006379453189726547,-0.0051367025683513035,0.0,0.0,0.000994200497100195,0.0002485501242749377,0.0031483015741508025
4,4,0.9734879867439934,0.9717813051146384,0.9738148560837572,0.9908266496033892,-0.000994200497100195,0.002319801159900603,0.0018227009113503945,0.0041425020712511085,0.0037282518641260642,-0.0011599005799501905,-0.001325600662800408,0.002734051367025536,0.0010770505385252482,8.285004142505326e-05,-0.0008285004142503105,0.000662800331400204,0.0005799502899751507,0.0004971002485500975,0.0010770505385253593,-0.0005799502899750397,-0.00024855012427504874,0.0017398508699253412,-0.0009113504556751417,0.004308202154100993,-0.00016570008285021753,0.004059652029825944,0.009942004971002394,0.0004971002485502085,0.0024855012427505985,0.00016570008284988447,0.002651201325600594,0.001657000828500177
5,5,0.9494614747307374,0.9472774416594641,0.9509642222786094,0.9730646602605827,-0.006213753106876552,-0.0038111019055510065,-0.002071251035625443,-0.0018227009113506165,-0.0019055509527754477,0.0005799502899751507,0.000662800331400315,0.00024855012427504874,-0.0014913007456502925,-0.011847555923777953,-0.008036454018226946,-0.0030654515327258602,-0.001325600662800297,0.0009113504556753638,-0.002651201325600594,-0.001657000828500399,-0.004473902236950988,-0.0025683512841757627,-0.004888152444076255,0.0007456503728251462,8.285004142505326e-05,0.01433305716652844,0.004556752278376153,-0.0024855012427505985,-0.003976801988400891,0.0012427506213752437,0.0005799502899751507,0.0010770505385252482
6,6,0.9444904722452361,0.9425878320479862,0.9465292410886665,0.9746174552916388,-0.01599005799502906,0.0001657000828499955,-0.001988400994200501,-0.0008285004142503105,0.001325600662800186,-0.0038111019055508955,-0.011599005799502904,-0.002651201325600816,-0.004473902236950988,-0.006296603148301383,0.0015741507870754567,-0.0028997514498758648,0.0030654515327257492,-0.0010770505385252482,-0.0020712510356255542,0.001988400994200612,0.000331400165699991,-0.0012427506213753547,-0.00024855012427515977,0.0,-0.007373653686827075,0.0010770505385251372,-0.0017398508699254522,0.0004971002485500975,0.0010770505385253593,-1.1102230246251565e-16,-0.0011599005799503015,-0.0034797017398510155
7,7,0.9536039768019884,0.9515570934256056,0.955069613759474,0.987059122050241,0.0038111019055508955,-0.00041425020712515526,-0.001988400994200501,-0.000331400165700213,-0.005385252692626463,-0.004971002485501197,-0.0014913007456504035,-0.01342170671085341,-0.0021541010770504965,-0.0024855012427505985,0.004639602319801095,0.0014913007456504035,0.0036454018227009,-0.0035625517812758467,-0.00836785418392716,0.018558409279204713,0.0008285004142503105,-0.0028997514498757537,-0.0002485501242749377,-0.0034797017398509045,-0.0028169014084504784,0.018309859154929553,-0.009444904722452296,-0.005633802816901512,0.004639602319801095,-0.002651201325600594,0.008533554266777155,0.002319801159900381
8,8,0.9569179784589892,0.9545454545454546,0.9577283960151364,0.9805914411482408,-0.01284175642087837,-2.220446049250313e-16,-0.006876553438276645,0.0014084507042253502,-0.005633802816901623,-0.007207953603976747,0.0015741507870753457,-0.0004971002485503195,-0.006048053024026556,0.009610604805302403,0.004142502071250886,0.013504556752278463,-0.004059652029825833,-0.0022369511184756607,0.022535211267605382,0.0005799502899751507,-0.0071251035625519155,-0.000662800331400093,-0.000331400165700102,0.001657000828500399,0.004225352112676051,-0.0022369511184756607,0.013090306545153196,0.010273405136702385,0.003065451532725638,0.0019055509527754477,-0.00869925434962704,-0.00952775476387746
9,9,0.9660314830157415,0.9641921397379912,0.9669389803956179,0.9898034045651622,0.0017398508699252302,0.0015741507870754567,0.002319801159900603,0.009693454846727456,0.008036454018226835,-0.0019055509527754477,-0.002982601491300696,0.004639602319801206,0.00041425020712504423,0.000994200497100195,0.0028997514498755317,0.002982601491300807,-0.00530240265120141,-8.285004142516428e-05,-0.0004971002485500975,-0.0008285004142501995,-0.0038939519469760597,-0.0017398508699254522,0.0025683512841756517,-0.001325600662800297,0.004225352112676051,0.008450704225352212,0.0019055509527755587,0.009776304888152398,0.002734051367025536,0.004556752278376153,0.0031483015741505804,0.0020712510356255542
10,10,0.9685169842584921,0.9665492957746479,0.9689330670873648,0.9951678563154353,-0.0024855012427507095,-0.0032311516155758557,0.0005799502899751507,0.0030654515327258602,0.0032311516155757447,-0.00165700082850051,0.002982601491300696,0.0010770505385252482,0.008699254349627261,-0.0038111019055510065,0.005965202982601281,0.015492957746478742,0.002071251035625443,0.00505385252692625,0.00422535211267594,0.0035625517812757357,0.010521955260977656,0.0014913007456504035,-0.0007456503728251462,0.000662800331400093,-0.0014084507042254613,0.0017398508699254522,0.002982601491300696,0.0022369511184755497,0.000331400165700102,0.0038111019055510065,-0.00024855012427504874,0.002651201325600594
11,11,0.9345484672742337,0.9329940627650551,0.9372124709023311,0.9715035910108889,-0.005302402651201299,-0.003976801988401002,-0.01151615575807774,0.001325600662800297,0.001657000828500399,-0.010604805302402598,-0.005385252692626241,-0.008285004142502106,-0.000994200497100084,-0.008782104391052203,-0.0057995028997513964,-0.0001657000828499955,0.000331400165700102,-0.0035625517812759577,-0.00704225352112664,0.0057995028997515075,-0.002734051367025536,-0.0028997514498755317,-0.000662800331400093,-0.0020712510356255542,0.0009113504556754748,-0.0034797017398506824,8.285004142505326e-05,0.00480530240265109,-0.005302402651201299,0.00024855012427504874,-0.0022369511184754387,0.004308202154100993
12,12,0.9569179784589892,0.9545454545454546,0.9577283960151364,0.9786994031530288,-0.0011599005799503015,0.0010770505385252482,0.005302402651201299,-0.0015741507870753457,0.003314001657000687,0.002071251035625443,0.001657000828500399,0.000331400165699991,0.00198840099420039,0.009527754763877239,0.001325600662800186,-0.0011599005799503015,-0.0014084507042253502,-0.0011599005799503015,-0.0012427506213754658,0.0007456503728251462,0.004308202154101104,-0.005633802816901623,0.0012427506213752437,-0.0038111019055510065,0.003314001657000687,-0.0004971002485503195,0.009362054681027354,0.004142502071250886,0.007125103562551693,0.001325600662800297,0.0025683512841755407,-0.0019055509527754477
13,13,0.9527754763877382,0.9503051438535309,0.9537347064858841,0.9721351897002527,0.0038111019055508955,-0.0004971002485502085,0.002071251035625443,0.013835956917978343,-8.285004142494223e-05,-0.0004971002485502085,-0.0009113504556753638,0.0002485501242749377,-0.0005799502899750397,-0.0028169014084507005,-0.001988400994200501,-0.0004971002485499865,-0.0038111019055510065,0.0012427506213753547,0.0004971002485502085,-0.0024855012427505985,-0.009113504556752305,-0.0022369511184755497,-0.0028169014084507005,-0.0027340513670257582,-0.000662800331400093,0.0009113504556752527,0.011433305716652908,0.008782104391052092,0.000331400165700102,-0.0007456503728252573,-0.000662800331400315,0.0004142502071249332
14,14,0.9386909693454847,0.936426116838488,0.9405359487219089,0.9441931533598844,0.029908864954432568,0.00041425020712504423,0.0009113504556753638,0.0030654515327258602,-0.0032311516155757447,0.004308202154101104,0.0018227009113503945,0.0025683512841757627,0.009279204639602412,0.0014913007456502925,-0.0008285004142501995,-0.0038111019055510065,-0.00033140016569987996,-0.002319801159900492,0.0048053024026512015,0.0014084507042252392,-0.002982601491300696,0.001325600662800519,0.000994200497100195,0.006379453189726547,-0.003728251864125842,0.01151615575807785,0.0036454018227009,-0.0014084507042253502,0.002651201325600705,0.0009113504556753638,0.004391052195526157,-0.0011599005799501905
15,15,0.9411764705882353,0.938950988822012,0.9429768432201053,0.9750863276811226,0.06785418392709197,0.0014084507042253502,-8.285004142516428e-05,0.003065451532725638,-0.0028997514498757537,0.001988400994200501,-0.000662800331400093,0.018392709196354606,-0.006379453189726547,0.0008285004142501995,0.004888152444076255,0.005633802816901401,-0.006379453189726547,-0.007290803645401911,-0.002982601491300585,0.004971002485501086,0.010936205468102811,0.0028997514498756427,-0.0025683512841756517,0.000662800331400204,0.0011599005799503015,-0.004059652029826055,0.01035625517812766,0.005716652858326454,0.0051367025683513035,0.002319801159900492,0.003728251864125842,0.0021541010770504965
16,16,0.9270919635459818,0.9258010118043845,0.9301131913109673,0.9807817481769139,0.004556752278376042,-0.0024855012427505985,-1.1102230246251565e-16,-0.003976801988400891,0.0008285004142503105,-0.009362054681027465,-0.014995857497928866,-0.01201325600662806,-0.009030654515327141,-0.005633802816901401,-0.007539353769676849,-0.01176470588235301,-0.0015741507870754567,0.004556752278376153,-0.009113504556752416,0.006296603148301494,-0.0009113504556752527,-0.003976801988401113,-0.0030654515327257492,-0.003976801988400891,0.0014913007456505145,0.0012427506213752437,0.015078707539353808,0.0038939519469759487,0.0017398508699253412,-0.002319801159900492,-0.002982601491300696,-0.003976801988401113
17,17,0.951946975973488,0.9498269896193772,0.9534051167768057,0.9860386350848934,-0.0011599005799501905,-0.000331400165700213,0.0015741507870754567,0.0031483015741506915,-0.004722452361226148,-0.00165700082850051,0.0,-0.0025683512841756517,-0.0004971002485500975,-0.000331400165700213,-0.0028169014084507005,-0.000994200497100195,-0.000331400165700213,-0.00024855012427504874,-0.002319801159900603,-0.0048053024026512015,0.0021541010770507185,-0.0024855012427504874,-0.0009113504556751417,-0.0021541010770506075,-0.0012427506213754658,0.00024855012427504874,0.0033968516984259622,0.0032311516155757447,0.00041425020712515526,-0.0011599005799504125,0.0012427506213753547,0.000331400165700102
18,18,0.9353769676884839,0.9333333333333333,0.9375420606114095,0.976912171927231,0.0025683512841756517,-0.006876553438276867,-0.004971002485501197,0.0014913007456504035,-0.004639602319801095,-0.002402651201325434,-0.0001657000828499955,-0.0030654515327257492,-0.007953603976802004,-0.006213753106876441,-0.001657000828500288,-0.01035625517812755,0.0025683512841756517,-0.007622203811101902,0.002734051367025647,0.0044739022369512105,-0.0038111019055510065,-0.0004971002485499865,-0.0004971002485499865,-0.0009113504556751417,-0.0011599005799501905,0.009693454846727345,-0.0019055509527755587,-0.01176470588235301,0.0015741507870754567,-0.0031483015741508025,-0.0022369511184755497,0.0014913007456506255
19,19,0.9196354598177299,0.9188284518828452,0.9231256136712156,0.9628515163884691,-0.007539353769677071,0.0004142502071249332,0.0025683512841756517,0.007373653686826853,0.01317315658657825,-0.0035625517812759577,-0.007373653686826742,-0.00588235294117645,0.0038111019055508955,-0.011267605633802802,-0.009859154929577674,-0.0036454018227009,-0.00836785418392716,-0.003645401822701011,0.0024026512013257673,0.008616404308202097,-0.0025683512841757627,0.001988400994200501,0.000994200497100195,-0.0038111019055510065,0.005302402651201188,-0.01930405965202986,0.02187241093620551,0.001325600662800297,-0.0027340513670257582,0.0005799502899751507,-0.0024855012427507095,8.285004142516428e-05
20,20,0.9552609776304888,0.9525483304042179,0.9557287931776309,0.9781726112330793,0.0017398508699253412,0.0030654515327257492,0.0001657000828499955,0.004225352112675829,0.000994200497100195,0.0038939519469759487,-0.0011599005799503015,0.013256006628003192,-0.004639602319801317,0.0014913007456502925,0.020961060480530258,0.0024855012427504874,0.010687655343827651,0.0024855012427504874,0.0019055509527755587,0.0009113504556753638,0.0028997514498757537,0.0012427506213754658,0.000662800331400093,0.0041425020712509975,-0.000331400165700102,0.0024855012427507095,0.011267605633802691,0.03927091963545992,0.004639602319801095,0.0034797017398506824,-0.00016570008284988447,0.0024026512013256562
21,21,0.9328914664457332,0.9303525365434222,0.9346543583067639,0.9659819291064947,0.00024855012427515977,-0.004639602319801317,-0.009444904722452296,8.285004142516428e-05,0.001988400994200501,-0.0036454018227009,-0.0030654515327257492,-0.0020712510356255542,-0.0067937033968517024,-0.0044739022369513215,-0.0015741507870754567,-0.0004971002485502085,-0.0018227009113505055,1.1102230246251565e-16,-0.0007456503728252573,0.011516155758077962,-0.0035625517812758467,-0.006959403479701698,-0.0038939519469759487,-0.0007456503728252573,-0.0057995028997515075,0.015907207953603897,0.0007456503728252573,-0.00041425020712515526,0.004391052195526046,-0.004639602319801095,-0.004308202154101215,0.0002485501242749377
22,22,0.9337199668599834,0.931740614334471,0.9359892655803537,0.9755938130909172,0.0031483015741508025,-0.0004142502071253773,0.004308202154101104,-0.0004971002485502085,0.009113504556752305,-0.00024855012427515977,0.006296603148301494,0.010521955260977656,0.0027340513670257582,0.00198840099420039,0.011930405965203117,-0.004391052195526157,-0.0035625517812758467,0.014333057166528329,0.007290803645401689,-0.002319801159900603,-0.0008285004142503105,-0.0057995028997515075,0.006710853355426538,0.004556752278376042,-0.004308202154100993,0.003976801988401002,-0.0025683512841756517,-0.0033968516984259622,-0.001325600662800408,-0.0004971002485502085,0.007290803645401689,0.000331400165699991
23,23,0.9353769676884839,0.9336734693877551,0.9378771664662467,0.9797254062641351,-0.005219552609776135,-0.0007456503728252573,-0.0031483015741508025,-0.000662800331400093,-0.000331400165699991,-0.005136702568351192,-0.009113504556752305,-0.008367854183927048,-0.0038111019055508955,-0.008202154101077053,-0.004556752278376042,-0.0028997514498757537,-0.0022369511184755497,-0.0009113504556753638,-0.0004971002485502085,0.000994200497100084,-0.0014084507042252392,-0.005302402651201299,-0.002651201325600705,-0.0020712510356255542,-0.001325600662800186,0.005882352941176561,-0.004722452361226037,-0.0022369511184756607,-0.008285004142502106,-8.285004142494223e-05,-0.0015741507870752347,-0.003314001657000798
24,24,0.9527754763877382,0.9503916449086162,0.9538464084374966,0.9769094138543517,0.009776304888152398,-0.0014084507042252392,0.0009113504556750307,0.01342170671085341,0.0012427506213753547,-0.0061309030654516095,-0.006379453189726658,-0.0038111019055508955,-0.0019055509527753367,-0.003976801988401002,-0.007705053852526733,0.004142502071250886,-0.001657000828500288,-0.0010770505385253593,-8.285004142516428e-05,0.004308202154100993,0.0007456503728250352,-0.004639602319801095,-0.0007456503728252573,-0.000994200497100306,-0.0024855012427505985,0.014664457332228653,-0.0038939519469761708,0.008119304059652,-0.0028997514498757537,0.002651201325600705,0.002982601491300696,-0.0017398508699255633
25,25,0.9502899751449876,0.9475524475524476,0.9510704080844632,0.9770804143728694,0.006213753106876552,0.0048053024026512015,0.007870753935377062,0.0021541010770504965,-0.0032311516155758557,0.002402651201325545,-0.003645401822701011,-0.00041425020712504423,-0.0008285004142501995,0.007125103562551693,0.01118475559237786,0.007042253521126751,-0.0014913007456505145,0.00041425020712515526,0.010770505385252704,0.0014913007456502925,0.001988400994200612,0.023363711681855803,-0.002402651201325545,0.01035625517812755,0.0007456503728251462,0.0024026512013257673,0.001657000828500399,0.0054681027340514055,0.006959403479701698,0.004059652029826055,0.010190555095277554,0.006296603148301605
26,26,0.9536039768019884,0.9509632224168126,0.9542877000981874,0.9827427379941087,-0.004308202154101215,-0.006545153272576654,0.004971002485501197,0.0017398508699254522,-0.00041425020712515526,-0.00530240265120141,-0.007622203811101902,-0.00563380281690129,0.005550952775476459,0.0004971002485499865,0.0022369511184756607,0.0072908036454018,0.009693454846727345,0.0007456503728252573,0.005385252692626241,0.008202154101077053,-0.0018227009113505055,-0.001657000828500399,-1.1102230246251565e-16,0.008782104391052203,0.002651201325600705,0.008450704225352101,-8.285004142516428e-05,-0.009196354598177248,-0.0031483015741506915,-0.0034797017398507935,0.001325600662800186,0.0077879038939520084
27,27,0.9345484672742337,0.9307624890446976,0.9350901338216961,0.9698873603036086,0.0032311516155757447,-0.0004142502071249332,-0.0012427506213752437,-0.0057995028997513964,-0.0001657000828499955,-0.0015741507870754567,0.001988400994200501,-0.0011599005799504125,0.000994200497100306,0.003976801988400891,0.0030654515327257492,0.012261806130903108,-0.002402651201325434,0.0025683512841758738,0.0020712510356255542,0.0057995028997515075,-0.00563380281690129,0.008285004142501995,0.002651201325600816,0.001325600662800408,-0.0028997514498757537,0.006876553438276645,-0.004556752278376042,0.007207953603976747,0.0018227009113505055,-0.0001657000828499955,0.0007456503728251462,0.008616404308202319
