,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled
0,0,0.8474855729596042,0.8282265552460538,0.8437643395607997,0.8616737681634437,-0.003544929925803797,0.03544929925803797,0.09480626545754323,0.05333882934872225
1,1,0.8466611706512778,0.8284132841328413,0.8433327870643504,0.8779962853709166,0.00016488046166518444,0.09043693322341295,0.04303380049464123,0.039323990107172135
2,2,0.8425391591096455,0.8199811498586239,0.8378878509778215,0.8813913470993118,-0.0018961253091509533,0.04814509480626539,0.10065952184666116,0.06586974443528437
3,3,0.8532563891178895,0.8354898336414048,0.8498456790123456,0.8728313121380967,0.009645507007419507,0.09117889530090673,0.06281945589447635,0.06026380873866444
4,4,0.8400659521846661,0.8203703703703704,0.8364798426745329,0.8568256309406752,-0.0030502885408080216,0.029596042868920036,0.11821929101401485,0.059604286892003255
5,5,0.8334707337180544,0.8011811023622047,0.8262263738664919,0.8579509450453402,0.006677658697444189,0.07938994229183838,0.09645507007419607,0.06347897774113753
6,6,0.841714756801319,0.8192090395480226,0.8371162460395498,0.8751420299355402,-0.0023083264633141365,0.07568013190436929,0.09818631492168173,0.0342126957955482
7,7,0.8466611706512778,0.8271375464684015,0.8428793838085873,0.8744810444662952,0.004699093157460865,0.03248145094806254,0.09406430338004945,0.06463314097279471
8,8,0.8408903544929925,0.8187793427230047,0.8364579919152191,0.8668523981208347,0.0002473206924978877,0.025061830173124355,0.07098103874690853,0.07856553998351201
9,9,0.8408903544929925,0.8160152526215443,0.8355511854036928,0.8717934010706873,-0.0013190436933223637,0.032234130255564764,0.06084089035449303,0.13075020610057708
10,10,0.8491343775762572,0.8297674418604651,0.845307549437343,0.8764885829782585,0.0003297609233304799,0.04039571310799661,0.09991755976916727,0.05523495465787298
11,11,0.8367683429513603,0.8128544423440454,0.8319198623402163,0.8726510433737573,-0.0022258862324813222,0.022671063478977627,0.09373454245671886,0.04237427864798027
12,12,0.841714756801319,0.8185255198487713,0.8368895444116683,0.8616819621981864,-0.001071723000824476,0.040560593569661796,0.03033800494641381,0.13792250618301727
13,13,0.8128606760098929,0.7727727727727728,0.8045558833169453,0.8692751010597617,-0.02341302555647151,0.0714756801319043,0.04328112118713934,0.033800494641385015
14,14,0.843363561417972,0.8200757575757576,0.8384327542882115,0.8829427510105976,-0.002061005770816249,0.045919208573784065,0.1572959604286891,0.03586150041220115
15,15,0.8334707337180544,0.8083491461100569,0.8283800393313667,0.8779525838522888,-0.003215169002473206,0.022671063478977738,0.07724649629018954,0.051690024732069184
16,16,0.8441879637262985,0.823199251637044,0.8399978149240686,0.8627745001638807,0.0037098103874690924,0.03602638087386645,0.08070898598516074,0.06273701566364376
17,17,0.7996702390766695,0.7910576096302665,0.8005981645362177,0.8450371462908335,0.0005770816158284786,0.0055234954657873425,-0.005193734542456641,0.060511129431162436
18,18,0.8351195383347073,0.8161764705882353,0.8319635638588441,0.8717360428274883,-0.003874690849134499,0.1022258862324813,0.03511953833470727,0.024896949711459282
19,19,0.8375927452596867,0.8157156220767072,0.8333715721621326,0.8653337703485195,0.0017312448474855469,0.010140148392415504,0.14262159934047813,0.08252267106347899
20,20,0.8458367683429514,0.8253968253968254,0.8417677264284934,0.870771878072763,0.002061005770816249,0.01945589447650453,0.1128606760098928,0.07938994229183849
21,21,0.8293487221764221,0.8116469517743403,0.8267890309188244,0.8697066535562111,0.01574608408903555,0.03305853256389113,0.054740313272877206,0.02184666117065126
22,22,0.8400659521846661,0.8210332103321033,0.8367065443024145,0.8674915328307659,0.0013190436933221417,0.036850783182192925,0.04146743610882109,0.11228359439406421
23,23,0.8260511129431163,0.8051708217913204,0.8225691030263302,0.8588577515568666,-0.00453421269579557,0.029760923330585443,0.0623248145094808,0.0376751854905194
24,24,0.8483099752679307,0.8264150943396227,0.8436291379875451,0.8831885720528789,-0.006018136850783118,0.08631492168178068,0.08977741137675188,0.06438582028029671
25,25,0.8334707337180544,0.8105065666041276,0.8290601442150114,0.8686960559379437,-0.003215169002473206,0.01854905193734535,0.08656224237427868,0.06413849958779871
26,26,0.8524319868095631,0.8331780055917987,0.8485073200043702,0.8800912269201353,-0.0013190436933223637,0.0859027205276175,0.07592745259686728,0.05952184666117066
27,27,0.8474855729596042,0.8294930875576036,0.8442177428165629,0.8762810007647766,0.003957131079967091,0.037757625721351995,0.10478153338829344,0.0648804616652926
28,28,0.8351195383347073,0.8109640831758034,0.8302633016497323,0.8718671473833717,-0.002061005770816249,0.03940643033800484,0.08878812860676011,0.05424567188788132
29,29,0.8334707337180544,0.809433962264151,0.8287200917731892,0.8689719217742817,-0.0015663643858203624,0.019291014014839236,0.06512778235779049,0.08491343775762583
30,30,0.8375927452596867,0.8139754485363551,0.8328048180924288,0.8823254670599803,-0.0015663643858202514,0.03965375103050284,0.02580379225061835,0.10008244023083268
31,31,0.8392415498763397,0.8192771084337349,0.8355948869223205,0.8684775483448051,-0.005028854080791345,0.045589447650453585,0.0449299258037924,0.059934047815333846
32,32,0.8450123660346249,0.8233082706766918,0.8405427182344587,0.8647246804326449,0.0006595218466611819,0.0719703215169002,0.05144270403957141,0.04550700741962077
33,33,0.8384171475680132,0.8168224299065421,0.834256527914345,0.870957609526931,-0.00041220115416318315,0.033470733718054535,0.05968672712283607,0.08713932399010726
34,34,0.8375927452596867,0.8129154795821463,0.8324647656506063,0.8724079536763902,-0.0032976092333057982,0.062077493816982576,0.06224237427864787,0.04278647980214356
35,35,0.8375927452596867,0.8139754485363551,0.8328048180924288,0.8648721730580138,-0.0013190436933221417,0.07279472382522678,0.06570486397361919,0.03841714756801329
36,36,0.843363561417972,0.8214285714285714,0.8388861575439747,0.8649950835791543,-8.244023083259222e-05,0.04550700741962077,0.07370156636438585,0.06067600989282773
37,37,0.8524319868095631,0.8350230414746543,0.8491874248880149,0.8811864962307441,0.0004946413849958864,0.1060181368507832,0.10700741962077509,0.017065127782357914
38,38,0.832646331409728,0.8079470198675497,0.827721785207036,0.8688817873921119,-0.0018961253091508423,0.022918384171475736,0.04938169826875516,0.10882110469909323
39,39,0.8351195383347073,0.8109640831758034,0.8302633016497323,0.8609963946247132,0.0017312448474855469,0.0275350370981039,0.08854080791426211,0.08788128606760093
40,40,0.8342951360263808,0.8123249299719888,0.8301718015951054,0.8725390582322735,-0.0014839241549876592,0.04237427864798016,0.09299258037922509,0.0409727947238252
41,41,0.8450123660346249,0.8265682656826568,0.8416762263738664,0.8777204195345788,-0.0011541632316570682,0.04237427864798016,0.08837592745259693,0.05185490519373448
42,42,0.8227535037098104,0.7946513849092646,0.817215666994428,0.8471293564951382,-0.005688375927452638,0.023495465787304326,0.10321516900247318,0.05787304204451771
43,43,0.8483099752679307,0.8293135435992579,0.8446492953130121,0.8737080738555664,0.0006595218466611819,0.017065127782357803,0.08812860676009893,0.09612530915086559
44,44,0.8425391591096455,0.8213283442469598,0.8383412542335846,0.8803397793073311,0.003957131079967091,0.049876339653751045,0.08895300906842529,0.05993404781533396
45,45,0.8219291014014839,0.8074866310160428,0.8206380421719655,0.8546159729050584,0.010964550700741982,0.009810387469084914,0.04740313272877161,0.06982687551525146
46,46,0.8301731244847486,0.801923076923077,0.8242734622528133,0.8646263520157325,8.244023083259222e-05,0.045671887881286066,0.07947238252267097,0.04517724649629018
47,47,0.8458367683429514,0.8266913809082483,0.8422211296842566,0.8768682399213373,0.00041220115416329417,0.05086562242374293,0.05762572135201993,0.06034624896949703
48,48,0.8375927452596867,0.8139754485363551,0.8328048180924288,0.874814268545832,-0.0006595218466610708,0.05267930750206107,0.06669414674361096,0.051690024732069295
49,49,0.8441879637262985,0.8228678537956888,0.8398844641101278,0.8663908008303289,0.006512778235779004,0.0206100577081616,0.10478153338829355,0.14666117065127782
50,50,0.8524319868095631,0.8356290174471993,0.8494141265158964,0.8740085217961324,0.00816158285243207,0.08845836768342952,0.09126133553173954,0.03173948887056888
51,51,0.8087386644682605,0.7975567190226877,0.808745766415383,0.8339806620780073,-0.010717230008244094,0.019950535861500307,0.007089859851607594,0.05053586150041223
52,52,0.843363561417972,0.8217636022514071,0.8389995083579154,0.8687752649404565,0.0009068425391591806,0.06372629843363564,0.09398186314921686,0.021681780708985965
53,53,0.8408903544929925,0.8224471021159153,0.8377048508685677,0.8459357587676171,0.006018136850783229,0.06521022258862319,0.0549051937345425,0.07790601813685083
54,54,0.8474855729596042,0.8285449490268767,0.8438776903747405,0.8686277723150879,0.0033800494641383905,0.02737015663643838,0.0957131079967023,0.0992580379225062
