,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_CO2_vd_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled
0,0,0.8761279737489746,0.8678915135608049,0.8762469215988742,0.934856972747693,-0.0019688269073011577,0.021657095980311736,0.049466776045939076,0.07653814602132891
1,1,0.8630024610336341,0.8538932633420823,0.8630510676301048,0.9324077832805606,0.0037735849056602655,0.01599671862182117,0.09909762100082031,0.050287120590648104
2,2,0.8662838392124692,0.8593615185504746,0.8673134691889259,0.9317555681848936,0.0026251025430679142,0.003855619360131235,0.08506972928630019,0.063740771123872
3,3,0.8564397046759639,0.8463564530289728,0.8562122811290629,0.931674379583773,-0.014027891714520124,0.010992616899097696,0.05742411812961434,0.06759639048400323
4,4,0.8580803937653815,0.8512467755803955,0.8593069199751022,0.9239614624773348,-0.0002461033634125753,0.005332239540607131,0.04856439704675963,0.03412633305988522
5,5,0.8630024610336341,0.8571428571428571,0.8646166544883764,0.9298882303591242,-0.007054963084495602,0.029286300246103347,0.03543888433141906,0.07891714520098436
6,6,0.8638228055783429,0.8576329331046312,0.8652607507239317,0.9371248410056561,-0.001640689089417502,0.003117309269893398,0.10328137817883509,0.05840853158326509
7,7,0.867104183757178,0.856637168141593,0.8663919785662093,0.9296717274228031,-0.0036095159967185486,0.03388022969647242,0.05520918785890072,0.08531583264971287
8,8,0.8564397046759639,0.8513169073916738,0.8585004465373062,0.9245406078319938,0.0009844134536503013,0.04257588187038541,0.049548810500410045,0.030106644790812154
9,9,0.8662838392124692,0.859603789836348,0.8674338989472545,0.9339909610024086,-0.0028712059064807116,0.007136997538966239,0.07481542247744055,0.07104183757178018
10,10,0.8638228055783429,0.8568965517241379,0.8648994614489458,0.9277583827230657,0.0022969647251844805,0.020672682526661212,0.034290401968826933,0.0672682526661198
11,11,0.859721082854799,0.853721129170231,0.8613176909961842,0.9204378771887094,0.001476620180475785,0.013863822805578296,0.04150943396226414,0.04815422477440523
12,12,0.874487284659557,0.8620378719567178,0.8725501339611919,0.9306947037969203,0.007547169811320753,0.0351927809680066,0.05717801476620188,0.07793273174733395
13,13,0.8630024610336341,0.8573868488471392,0.864737084246705,0.9307731861113365,0.0003281378178835448,0.011566858080393816,0.054306808859721056,0.05184577522559464
14,14,0.867104183757178,0.8571428571428571,0.8666328380828665,0.9322318746447998,0.0037735849056604875,0.029368334700574206,0.09721082854799024,0.0970467596390483
15,15,0.8736669401148482,0.8656195462478184,0.8739533436172229,0.9331953127114285,0.002543068088597167,0.015176374077112365,0.052666119770303554,0.04692370795734191
16,16,0.8613617719442166,0.8546861564918314,0.8626058834672945,0.9230061432708181,-0.00024610336341268635,0.005824446267432393,0.04938474159146844,0.03921246923707966
17,17,0.8695652173913043,0.8623376623376623,0.870371573164461,0.9250602148791642,0.00418375717801478,-0.0019688269073011577,0.0852337981952419,0.1072190319934373
18,18,0.8777686628383922,0.8670829616413916,0.8765716760033557,0.9312061919839787,0.008121410992616984,0.02206726825266614,0.0554552912223133,0.07465135356849883
19,19,0.859721082854799,0.8529664660361135,0.8609564017211984,0.9266000920137478,-0.004019688269073063,0.003117309269893398,0.06652994257588174,0.06045939294503688
20,20,0.8613617719442166,0.8546861564918314,0.8626058834672945,0.9274904603393683,-0.009680065627563517,0.010008203445447172,0.06792452830188689,0.046103363412633436
21,21,0.8556193601312552,0.8498293515358362,0.8573746312684366,0.9315011772347163,-0.004019688269072952,0.03347005742411824,0.08867924528301896,0.056931911402789304
22,22,0.8662838392124692,0.8593615185504746,0.8673134691889259,0.934072149603529,0.005086136177194334,0.02009844134536498,0.04372436423297765,0.07735849056603772
23,23,0.8547990155865464,0.8491048593350383,0.8566101052745527,0.9234256177099401,0.001640689089417502,0.015176374077112365,0.07317473338802305,0.07998359310910585
24,24,0.8736669401148482,0.8653846153846154,0.8738329138588943,0.9351384265649104,0.0037735849056603765,0.023297785069729238,0.07473338802296958,0.05693191140278908
25,25,0.8835110746513536,0.8723021582733813,0.8818029282022137,0.9371031907120241,-0.005004101722723475,0.036013125512715405,0.06940114848236267,0.08400328137817892
26,26,0.8679245283018868,0.8610871440897325,0.8689629509350221,0.9344266731617547,0.0018867924528302993,0.03043478260869581,0.12009844134536507,0.0387202625102544
27,27,0.8556193601312552,0.8485370051635112,0.8567724824767936,0.9216746502124434,-0.0017227235438884714,0.009433962264150941,0.0668580803937654,0.04930270713699758
28,28,0.8613617719442166,0.8544358311800172,0.8624854537089659,0.9361018646315391,-0.0052502050861360505,0.00041017227235440323,0.09680065627563583,0.040689089417555335
29,29,0.8679245283018868,0.8593886462882097,0.8681199426267219,0.929636545695651,-0.00295324036095157,0.007793273174733439,0.056193601312551356,0.051435602953240345
30,30,0.8613617719442166,0.8508384819064431,0.8607994370923655,0.9303591242456225,-0.007547169811320642,0.008449548810500418,0.05840853158326509,0.09196062346185396
31,31,0.8646431501230517,0.8576358930112166,0.8656639874428297,0.9326066953533058,0.006316652994257654,0.04651353568498784,0.0807219031993438,0.04060705496308448
32,32,0.8679245283018868,0.8603642671292281,0.8686016616600363,0.9305106763010474,0.0015586546349467545,-0.004429860541427355,0.0826086956521741,0.0420016406890894
33,33,0.867104183757178,0.8537906137184116,0.8650672512245947,0.9194636139752645,-0.006398687448728513,0.10344544708777681,0.05061525840853154,0.03552091878589003
34,34,0.8556193601312552,0.8445229681978799,0.8549660361018646,0.9152391004302995,-0.0015586546349466435,0.03092698933552107,0.07719442165709589,0.08342904019688269
35,35,0.8621821164889254,0.855917667238422,0.8636112689778355,0.928421422965549,0.002789171452009964,0.009105824446267508,0.0846595570139459,0.09245283018867922
