,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled
0,0,0.9216326530612244,0.9163763066202091,0.9223049074818986,0.9572217752748725,0.020081632653061177,0.01657142857142857,0.0028571428571428914,-0.0020408163265306367,0.032163265306122346,0.013877551020408219,0.003102040816326257,0.01795918367346927
1,1,0.9110204081632653,0.9044697633654689,0.9111826226870474,0.9513783856261733,-0.007836734693877467,0.0034285714285715585,0.005142857142857338,0.006775510204081847,-0.012244897959183598,0.0032653061224490187,0.016163265306122665,0.020979591836734812
2,2,0.9371428571428572,0.9341317365269461,0.9392464467685706,0.9660793778492893,0.030857142857142916,0.01795918367346938,0.026122448979591928,0.007020408163265435,0.012979591836734583,0.014448979591836775,0.03028571428571436,0.010857142857142787
3,3,0.9404081632653061,0.9365768896611643,0.9413850898364173,0.9583909895414321,0.022857142857142798,0.08057142857142852,0.07436734693877556,0.004816326530612258,0.14057142857142857,0.04791836734693866,0.05404081632653046,0.019102040816326493
4,4,0.9208163265306123,0.9149868536371604,0.9210378117457764,0.9550710646285867,0.004244897959183702,0.11608163265306126,0.003673469387755257,-0.006448979591836768,-0.005224489795918386,0.14040816326530625,0.03142857142857147,-0.0026938775510204627
5,5,0.9151020408163265,0.910958904109589,0.9170085813891125,0.9493027621346206,0.14383673469387748,0.03167346938775506,0.027673469387755167,0.0106122448979592,0.08383673469387753,0.02081632653061216,0.035591836734693905,0.13755102040816325
6,6,0.9314285714285714,0.9278350515463918,0.9331791364977207,0.9646661303298472,0.006612244897959196,0.0004081632653060163,0.014693877551020251,0.009387755102040818,0.006612244897959196,0.009469387755102088,0.009632653061224405,0.02424489795918372
7,7,0.916734693877551,0.9102112676056338,0.9166130329847144,0.9533065164923571,-0.011673469387755264,0.010530612244898041,0.018693877551020477,0.0002448979591836986,-0.017632653061224413,0.016244897959183602,0.02889795918367344,0.016326530612244983
8,8,0.9028571428571428,0.9005847953216374,0.9065366049879324,0.9505819254491821,0.03893877551020397,0.043265306122449054,0.012816326530612043,0.012979591836734583,0.020408163265306034,0.025061224489795975,0.018530612244897715,0.038367346938775526
9,9,0.8759183673469387,0.8756137479541735,0.881027085009386,0.9603083936712256,0.07077551020408157,0.011755102040816312,0.03208163265306119,0.026612244897959103,-0.017551020408163365,0.06922448979591833,0.1388571428571428,0.08424489795918355
10,10,0.6857142857142857,0.7357584076870282,0.704639313488871,0.9061142397425583,0.008081632653061277,0.0058775510204082115,0.002530612244898034,0.004734693877550988,-0.03542857142857159,-0.0004081632653060163,0.0106122448979592,0.001224489795918382
11,11,0.9314285714285714,0.9263157894736842,0.9316505765620811,0.9623974255832664,0.06914285714285706,0.006775510204081514,0.01355102040816325,0.012244897959183598,0.09542857142857142,0.010285714285714342,0.020653061224489844,0.017877551020408
12,12,0.9338775510204081,0.9298701298701298,0.935069723786538,0.9622284794851167,0.031183673469387885,0.01975510204081643,0.0065306122448980375,0.007836734693877578,0.07142857142857129,0.008081632653061055,0.035346938775510095,0.025061224489795975
13,13,0.926530612244898,0.9213286713286714,0.9269777420219898,0.9614132475194422,-0.00032653061224485747,0.0214693877551021,0.014040816326530647,0.0014693877551021917,-0.00922448979591839,0.01934693877551008,0.006857142857142895,0.03510204081632673
14,14,0.8383673469387755,0.8462732919254659,0.8474524001072674,0.943239474389917,0.08669387755102043,0.08122448979591845,0.06669387755102041,0.09036734693877546,0.028081632653061295,0.09787755102040807,0.13755102040816325,0.15151020408163263
15,15,0.84,0.8456692913385827,0.8479485116653258,0.9534566908018234,0.06775510204081625,0.059346938775510116,0.041306122448979465,0.049142857142857155,-0.04546938775510201,0.059755102040816244,0.09575510204081616,0.09657142857142853
16,16,0.9183673469387755,0.912739965095986,0.9188924644676857,0.9514990614105658,0.007918367346938848,0.007183673469387752,0.006775510204081625,-0.00310204081632659,-0.0046530612244898295,0.01085714285714301,0.03338775510204084,0.007346938775510181
17,17,0.9208163265306123,0.916162489196197,0.9220568517028693,0.9528533118798607,0.05787755102040826,0.06236734693877555,0.011918367346938852,0.0033469387755101776,0.10114285714285731,0.03910204081632662,0.00922448979591839,0.04040816326530605
18,18,0.913469387755102,0.9078260869565218,0.9142196299275945,0.9529176722982033,0.0886530612244898,0.02424489795918372,0.004081632653061162,0.019265306122448922,0.14530612244897956,0.01053061224489793,0.04661224489795923,0.01632653061224487
19,19,0.926530612244898,0.9235993208828522,0.9291432019308126,0.9521962992759452,0.11885714285714288,0.010204081632653073,0.013795918367346949,0.011020408163265216,0.11363265306122439,0.024653061224489847,0.015510204081632617,0.044816326530612294
