,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled
0,0,0.7534246575342466,0.7589285714285714,0.7769171516603903,0.9060253337897979,0.3095890410958904,0.028310502283105055,-0.009589041095890427,-0.006849315068493067,0.21643835616438356,0.02100456621004565,-0.013242009132420018,0.0036529680365297024
1,1,0.8721461187214612,0.8409090909090909,0.8628038343033209,0.9228004108182128,0.03561643835616435,-0.010958904109588996,-0.008219178082191636,-0.02511415525114158,0.2716894977168951,0.004566210045662156,0.008675799086758085,-0.01963470319634708
2,2,0.8812785388127854,0.8539325842696629,0.8736733995207121,0.921858952413557,0.21324200913242009,0.004109589041095818,0.006849315068493178,-0.00913242009132409,0.008219178082191747,-0.0004566210045662267,0.005022831050228271,-0.005022831050228382
3,3,0.8904109589041096,0.8681318681318682,0.8860407394727834,0.9165525504964054,0.24794520547945198,0.017351598173515947,0.017808219178082174,0.04155251141552507,0.18493150684931514,0.06255707762557072,0.026484018264840148,0.01735159817351617
4,4,0.8812785388127854,0.8539325842696629,0.8736733995207121,0.920147209859637,0.0981735159817353,0.008219178082191747,0.015525114155251263,-0.0031963470319634757,0.026484018264840148,-0.0036529680365295913,-0.0036529680365295913,0.008675799086758085
5,5,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.9304176651831565,0.054337899543378865,-0.014155251141552583,-0.016894977168949832,-0.015525114155251263,0.2735159817351597,-0.007305936073059294,0.005936073059360614,0.006392694063926951
6,6,0.9041095890410958,0.8877005347593583,0.9038428620335501,0.9129578911331735,0.33287671232876703,0.032420091324200984,0.025570776255707695,0.025570776255707695,0.20365296803652966,0.03515981735159823,0.021461187214611877,0.047945205479452024
7,7,0.8904109589041096,0.8666666666666667,0.8845429647381033,0.9202327969873331,0.06621004566210043,0.02100456621004565,0.005022831050228271,0.009589041095890427,0.06073059360730604,0.02374429223744301,0.009132420091324311,0.012328767123287787
8,8,0.8904109589041096,0.8666666666666667,0.8845429647381033,0.9236562820951729,0.25296803652968036,0.03196347031963476,0.0420091324200913,0.005936073059360725,0.07808219178082187,0.05022831050228305,0.01963470319634708,0.015525114155251263
9,9,0.8995433789954338,0.8791208791208791,0.8954125299554947,0.9127011297500855,0.2566210045662102,0.045662100456621,0.011415525114155112,0.07716894977168953,0.27260273972602744,0.010045662100456765,0.01050228310502288,0.021461187214611988
10,10,0.8904109589041096,0.8666666666666667,0.8845429647381033,0.9247689147552208,0.10091324200913254,0.03515981735159823,-0.00776255707762552,-0.0018264840182647957,0.07945205479452055,-0.0036529680365295913,0.005936073059360725,-0.007762557077625631
11,11,0.8949771689497716,0.8743169398907104,0.891475522081479,0.9172372475179733,0.2831050228310502,0.026484018264840148,0.06438356164383563,0.013242009132420018,0.15753424657534243,0.029680365296803624,0.004109589041095818,0.0474885844748858
12,12,0.8995433789954338,0.8791208791208791,0.8954125299554947,0.9203183841150291,0.193607305936073,0.012328767123287787,0.007305936073059405,0.013698630136986245,0.11506849315068501,0.024200913242009126,0.00913242009132409,0.0022831050228311334
