,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled
0,0,0.8565737051792829,0.8021978021978022,0.8432800109379273,0.9198113207547169,0.01035856573705185,0.06972111553784865,0.06454183266932267,0.09760956175298807
1,1,0.8286852589641435,0.7860696517412935,0.8350082034454471,0.9145474432595023,0.0816733067729084,0.12669322709163344,0.1278884462151394,0.12430278884462143
2,2,0.8645418326693227,0.8380952380952381,0.883921246923708,0.9097621000820345,0.2442231075697211,0.3135458167330677,0.32390438247011955,0.2904382470119522
3,3,0.8725099601593626,0.8490566037735849,0.8947908121410992,0.9269209734755264,0.06254980079681283,0.26533864541832675,0.297609561752988,0.306374501992032
4,4,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9258955427946405,0.2302788844621514,0.3274900398406376,0.36852589641434264,0.3183266932270916
5,5,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9161881323489198,0.26613545816733064,0.3235059760956175,0.32151394422310764,0.34382470119521913
6,6,0.8605577689243028,0.8309178743961353,0.876196335794367,0.9026524473612251,0.1533864541832669,0.4075697211155379,0.41992031872509966,0.42470119521912353
7,7,0.8406374501992032,0.7619047619047619,0.810090237899918,0.9191960623461853,0.019920318725099695,0.04023904382470134,0.05537848605577689,0.07888446215139444
8,8,0.8685258964143426,0.8450704225352113,0.891646158053049,0.9183757178014766,0.2860557768924302,0.2768924302788843,0.2864541832669324,0.31235059760956174
9,9,0.8565737051792829,0.8269230769230769,0.8730516817063168,0.9235712332512989,0.04980079681274907,0.2689243027888445,0.2641434262948207,0.23067729083665334
10,10,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9180339075745146,0.033466135458167345,0.3760956175298806,0.40239043824701204,0.37330677290836656
11,11,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9194011484823627,0.17768924302788836,0.3326693227091634,0.3621513944223108,0.27609561752988043
12,12,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9152310637134263,0.199601593625498,0.3418326693227093,0.32549800796812756,0.32470119521912355
13,13,0.8764940239043825,0.8544600938967136,0.9002255947497949,0.9284933005195516,0.12430278884462143,0.35019920318725106,0.3374501992031873,0.3219123505976095
14,14,0.8685258964143426,0.8436018957345972,0.8893560295324037,0.91106097894449,0.19920318725099595,0.29163346613545815,0.30478087649402386,0.305577689243028
15,15,0.8326693227091634,0.7717391304347826,0.8198318293683347,0.8760596117035822,0.21792828685258958,0.25537848605577695,0.2725099601593626,0.28446215139442244
16,16,0.8725099601593626,0.8476190476190476,0.8925006836204539,0.9240497675690457,0.3274900398406374,0.3749003984063745,0.39601593625498016,0.3828685258964144
17,17,0.8605577689243028,0.8387096774193549,0.8876469783975937,0.9176237353021602,0.2788844621513944,0.346613545816733,0.38167330677290845,0.3645418326693227
18,18,0.8884462151394422,0.86,0.8982089144107193,0.9396363139185124,0.14900398406374493,0.26254980079681267,0.20159362549800786,0.3071713147410359
19,19,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9304757998359311,0.2250996015936254,0.3027888446215139,0.3474103585657372,0.37131474103585665
20,20,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9373120043751708,0.2187250996015936,0.3366533864541833,0.3796812749003984,0.3721115537848605
21,21,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9146158053048947,0.03784860557768932,0.3752988047808765,0.4035856573705179,0.4095617529880477
22,22,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9251777413180202,0.10876494023904382,0.31992031872509963,0.299601593625498,0.33466135458167345
23,23,0.8366533864541833,0.7980295566502463,0.8458777686628385,0.9192644243915777,0.0916334661354582,0.19442231075697214,0.17689243027888446,0.18605577689243025
24,24,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9292452830188679,0.2573705179282868,0.3203187250996017,0.3573705179282869,0.3681274900398406
25,25,0.8565737051792829,0.8269230769230769,0.8730516817063168,0.916393218485097,0.026693227091633465,0.19521912350597603,0.1872509960159362,0.16693227091633467
26,26,0.8725099601593626,0.8490566037735849,0.8947908121410992,0.9195378725731475,0.14462151394422307,0.25219123505976093,0.3119521912350598,0.23904382470119512
27,27,0.8605577689243028,0.8387096774193549,0.8876469783975937,0.9333470057424119,0.27609561752988043,0.31832669322709173,0.349003984063745,0.3609561752988047
28,28,0.7928286852589641,0.7373737373737373,0.7929655455291222,0.864711512168444,-0.00836653386454178,0.09681274900398396,0.09123505976095603,0.1350597609561751
29,29,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9263057150669948,0.28764940239043824,0.2888446215139443,0.31474103585657365,0.2936254980079682
30,30,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9234345091605142,0.016334661354581614,0.3904382470119523,0.39322709163346614,0.38087649402390444
31,31,0.852589641434263,0.8246445497630331,0.8721971561389117,0.911744599398414,0.20916334661354574,0.3011952191235061,0.2824701195219125,0.2904382470119522
32,32,0.852589641434263,0.8246445497630331,0.8721971561389117,0.9317063166529943,0.04262948207171313,0.24382470119521904,0.2079681274900398,0.20996015936254975
33,33,0.8605577689243028,0.8387096774193549,0.8876469783975937,0.9235028712059065,0.22948207171314738,0.35019920318725106,0.3450199203187252,0.3573705179282869
34,34,0.8685258964143426,0.8405797101449275,0.8847757724911129,0.9079846869018321,0.2235059760956175,0.38725099601593616,0.38685258964143426,0.3876494023904382
35,35,0.8685258964143426,0.8421052631578947,0.8870659010117583,0.9259639048400328,0.22948207171314738,0.3561752988047808,0.3872509960159363,0.3804780876494024
36,36,0.8406374501992032,0.8058252427184466,0.8536026797921794,0.9060021875854525,0.19243027888446218,0.15617529880478076,0.1780876494023904,0.1756972111553785
37,37,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9063439978124146,0.24621513944223106,0.3788844621513945,0.37888446215139443,0.36294820717131476
38,38,0.8645418326693227,0.839622641509434,0.8862113754443532,0.9304074377905387,0.17848605577689236,0.3366533864541833,0.3442231075697212,0.3250996015936256
39,39,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9146158053048947,0.22749003984063743,0.29999999999999993,0.29482071713147406,0.2928286852589641
40,40,0.8406374501992032,0.8058252427184466,0.8536026797921794,0.9015586546349467,0.12031872509960151,0.27450199203187264,0.2697211155378486,0.2888446215139443
41,41,0.8605577689243028,0.8205128205128205,0.862455564670495,0.9019004648619088,0.0063745019920319335,0.197211155378486,0.17450199203187244,0.17131474103585653
