,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_humidity_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_humidity_fd3_scaled
0,0,0.8513011152416357,0.7894736842105263,0.8426369442397446,0.951424711373127,-0.0026022304832713505,-0.005204460966542923,-0.008550185873606009,-0.006691449814126504,0.008550185873605787,0.0018587360594796154,0.0026022304832713505,-0.0011152416356877692,0.012267657992565018,0.0007434944237918462,0.007806691449814163,-0.011895910780669317,0.014498141263940556,-0.006691449814126504,-0.011895910780669317,0.00037174721189581206,0.0022304832713755385,-0.0070631970260224275,-0.011895910780669317,0.004832713754646778,0.007806691449814052,-0.012639405204461052,0.0070631970260224275,0.004460966542750855,-1.1102230246251565e-16,0.0026022304832713505,-0.0029739776951672736,-1.1102230246251565e-16
1,1,0.8921933085501859,0.8465608465608465,0.8867600098255957,0.9622328666175387,-0.0033457249070629747,0.010408921933085402,0.0007434944237919572,1.1102230246251565e-16,0.014126394052044744,-0.0033457249070631967,-0.009293680297397744,0.008550185873606009,0.0003717472118960341,0.008550185873605898,0.009293680297397855,-0.017100371747211796,-0.02639405204460976,0.0033457249070631967,0.0022304832713755385,-0.0033457249070631967,-0.015613382899628436,0.009293680297397855,1.1102230246251565e-16,0.01003717472118959,-0.015985130111524137,0.0029739776951673846,0.0003717472118960341,-0.015241635687732513,-0.0037174721189590088,0.0018587360594796154,-0.00892193308550182,-0.016728624535316095
2,2,0.8550185873605948,0.7936507936507936,0.8454618029968066,0.9549250798329649,-1.1102230246251565e-16,0.004460966542750966,0.0014869888475835813,0.0007434944237918462,0.018215613382899565,0.0033457249070630857,-0.008921933085501932,-0.005947955390334547,0.01635687732342006,-0.0014869888475838033,-0.014869888475836368,-0.010780669144981436,0.0007434944237918462,-0.0003717472118959231,0.0003717472118959231,-0.008178438661709975,-0.014869888475836368,-0.0018587360594796154,0.008178438661709975,-0.0026022304832714616,-0.0014869888475835813,-0.004832713754646889,-0.0070631970260223165,-0.01895910780669141,-0.020446096654275214,-0.03159851301115224,-0.010408921933085513,-0.02750929368029731
3,3,0.8921933085501859,0.8397790055248618,0.8763203144190617,0.9689265536723164,0.004460966542750966,1.1102230246251565e-16,0.0003717472118960341,0.0033457249070631967,0.0029739776951673846,0.009665427509293778,0.004460966542751077,0.010408921933085513,0.005576208178438846,-0.005576208178438513,-0.006319702602230581,0.0022304832713755385,-0.012639405204461163,-0.0022304832713753164,-0.0022304832713753164,0.011524163568773282,0.0033457249070631967,0.008550185873606009,0.012267657992565018,0.009293680297397855,-0.004089219330854932,-0.004460966542751077,0.0014869888475835813,0.009293680297397855,0.004089219330855043,0.014126394052044744,-0.0029739776951672736,0.008921933085501932
4,4,0.8661710037174721,0.8144329896907216,0.8643760746745272,0.9508720216163105,-0.0022304832713754275,-0.005947955390334547,-0.00892193308550182,-0.0022304832713754275,0.004832713754646889,0.005947955390334547,0.0007434944237918462,0.009293680297397744,0.0018587360594795044,-0.006691449814126393,-0.0026022304832713505,-0.00892193308550182,-0.005947955390334547,0.0014869888475835813,0.0026022304832713505,-0.00631970260223047,-0.0007434944237918462,-0.0029739776951673846,-0.0014869888475835813,0.0022304832713754275,-0.016728624535315872,-0.0007434944237918462,-0.0003717472118959231,0.003717472118959231,-0.00631970260223047,0.006691449814126393,0.008550185873605898,-0.0011152416356876582
5,5,0.895910780669145,0.8541666666666666,0.8948047162859248,0.9654875951854582,0.0011152416356879913,-0.0029739776951674957,0.008178438661710086,-0.0003717472118960341,0.0070631970260223165,0.004832713754647,-0.0007434944237917351,0.005576208178438735,0.004089219330855154,0.009665427509293667,0.01747211895910772,0.020817843866171026,-0.0011152416356876582,0.004460966542751077,0.006691449814126504,0.010408921933085513,0.0003717472118961451,-0.0037174721189591198,0.0033457249070633077,0.009665427509293889,-0.0037174721189588977,1.1102230246251565e-16,0.003717472118959231,0.0033457249070633077,-0.005204460966542923,-0.0014869888475835813,-0.005576208178438846,0.00892193308550182
6,6,0.8810408921933085,0.8297872340425532,0.8730655858511422,0.9587939081306804,0.0026022304832714616,-0.0026022304832713505,0.005576208178438624,-0.0011152416356877692,0.0074349442379181285,-0.0003717472118959231,-0.0029739776951672736,-0.013011152416356753,0.008550185873605898,-0.0011152416356877692,-0.00520446096654259,-0.009293680297397744,0.01152416356877306,0.0018587360594795044,-0.011895910780668983,-0.007806691449814163,0.0007434944237917351,-0.011895910780668983,0.0033457249070633077,-0.020817843866171026,0.004089219330855043,-0.0037174721189590088,0.0,-0.005204460966542812,-0.0007434944237918462,-0.0011152416356877692,0.018215613382899676,0.013382899628252787
7,7,0.8773234200743495,0.8235294117647058,0.8676308032424467,0.9538811102923115,0.0003717472118960341,-0.0007434944237918462,1.1102230246251565e-16,-0.004089219330854932,0.01747211895910783,1.1102230246251565e-16,-0.0029739776951672736,0.0014869888475838033,0.005947955390334547,-0.0007434944237916241,-0.0026022304832713505,-0.0037174721189590088,1.1102230246251565e-16,-0.0022304832713754275,0.004089219330855043,-0.008178438661709864,0.0026022304832714616,-0.0037174721189590088,0.0033457249070633077,0.0011152416356878803,0.006691449814126393,-0.01524163568773218,-0.011895910780668983,-0.005947955390334436,-0.0022304832713752054,-0.0074349442379180175,-0.01263940520446083,-0.0018587360594795044
8,8,0.8921933085501859,0.8527918781725888,0.8971997052321297,0.9680668140506019,-0.0022304832713753164,0.0022304832713755385,0.0007434944237917351,0.0003717472118960341,0.0037174721189591198,-0.0018587360594793934,0.006691449814126504,-0.005204460966542701,0.005204460966542701,0.004089219330855043,0.01003717472118959,0.008550185873605898,-0.004460966542750855,-0.008178438661710197,-0.0022304832713754275,0.01003717472118959,-0.013011152416357086,0.0003717472118960341,-0.00037174721189581206,-0.004460966542750855,-0.0074349442379180175,-0.008178438661710086,-0.0029739776951672736,-0.01003717472118959,0.0037174721189591198,-0.0007434944237916241,1.1102230246251565e-16,0.005204460966542701
9,9,0.9182156133828996,0.8804347826086957,0.9091439449766643,0.9725497420781135,-0.0003717472118960341,-0.0003717472118960341,-0.005204460966542923,0.00037174721189581206,0.007806691449814052,-0.0037174721189591198,-0.0003717472118960341,-0.0003717472118960341,0.0070631970260222054,0.004089219330854821,0.01152416356877306,0.0037174721189588977,0.01152416356877306,0.005947955390334547,-0.005947955390334658,-0.0022304832713755385,-0.004832713754647,0.005204460966542701,0.012639405204460719,0.024163568773234334,0.014498141263940445,-0.0029739776951672736,-1.1102230246251565e-16,-0.004460966542750855,0.0011152416356876582,-0.0018587360594796154,0.005576208178438624,0.01635687732341995
