,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_humidity_fd3_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
0,0,0.8916666666666667,0.8539325842696629,0.8792596944770859,0.9185517038777908,0.012916666666666798,0.0029166666666665675,0.0033333333333332993,0.007083333333333441,0.011666666666666603,-0.00666666666666671,0.003750000000000031,0.004583333333333384,0.12,0.009166666666666767,0.0016666666666667052,-0.005833333333333468,0.11291666666666678,0.0050000000000002265,0.002083333333333326,-0.0025000000000000577,-0.0004166666666668428,0.005833333333333468,0.01333333333333342,0.0025000000000001688,0.022083333333333455,0.02833333333333321,0.016250000000000098,0.014583333333333282,0.0029166666666667895,0.002083333333333548,0.015833333333333477,0.007083333333333441
1,1,0.8708333333333333,0.8143712574850299,0.8459165687426558,0.9428613396004701,-0.00708333333333333,0.0029166666666666785,0.006249999999999978,0.0024999999999999467,0.011249999999999982,0.004583333333333384,0.0012499999999998623,-0.008750000000000036,0.011666666666666825,0.008750000000000036,0.003750000000000142,0.0,0.032083333333333464,-0.0004166666666667318,-0.0029166666666666785,-0.004166666666666652,0.010416666666666519,0.0024999999999999467,0.008750000000000147,0.011249999999999982,0.02833333333333332,0.0008333333333332416,0.007500000000000062,0.00374999999999992,0.01000000000000012,0.005833333333333135,0.0029166666666666785,0.012916666666666798
2,2,0.875,0.8214285714285714,0.8513513513513513,0.928686839012926,-0.0024999999999998357,0.0012499999999999734,-0.007499999999999951,-0.0029166666666666785,0.01416666666666655,-0.01041666666666663,-0.012499999999999845,0.0029166666666666785,0.012499999999999956,-0.0029166666666666785,-0.0016666666666667052,0.004999999999999893,0.022499999999999964,-0.004583333333333273,-0.014166666666666772,-0.0033333333333332993,0.0016666666666667052,0.005833333333333357,0.0016666666666667052,0.004166666666666652,0.0279166666666667,-0.005833333333333357,-0.010000000000000009,-0.008333333333333193,0.0024999999999998357,-0.005416666666666736,0.0033333333333332993,0.004166666666666652
3,3,0.8625,0.8,0.8350470035252644,0.970108695652174,-0.00749999999999984,0.0004166666666667318,0.0008333333333333526,-0.0033333333333332993,0.019583333333333286,-0.016666666666666607,0.006250000000000089,0.012500000000000067,0.02083333333333348,-0.016666666666666607,-0.011666666666666714,-0.020416666666666528,0.022916666666666696,-0.009999999999999898,-0.002083333333333215,-0.024166666666666448,0.02083333333333326,0.007916666666666794,0.007916666666666572,0.005416666666666736,0.025416666666666865,-0.005833333333333357,-0.008750000000000036,-0.01708333333333334,0.01041666666666663,0.0004166666666667318,0.012916666666666687,-0.0004166666666666208
4,4,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.9676850763807285,-0.006666666666666821,-0.004166666666666541,0.0,-0.0004166666666666208,-0.008333333333333304,-0.004999999999999893,-0.006666666666666821,0.011666666666666603,0.012916666666666465,-0.014583333333333393,-0.006249999999999978,-0.008333333333333304,0.015000000000000124,-0.015000000000000124,-0.02041666666666686,-0.009999999999999898,0.01041666666666663,0.0012500000000001954,0.005833333333333246,0.0004166666666667318,0.01083333333333325,-0.005833333333333357,-0.018333333333333535,-0.01041666666666674,-0.0008333333333332416,0.002083333333333437,-0.0016666666666667052,-0.0050000000000000044
5,5,0.8833333333333333,0.8409090909090909,0.8683901292596945,0.9272179788484136,0.00041666666666650976,0.0033333333333334103,1.1102230246251565e-16,0.00708333333333333,0.01833333333333309,0.00374999999999992,0.007916666666666683,0.0004166666666667318,0.0024999999999999467,0.0012499999999999734,0.02874999999999983,0.012499999999999956,0.03500000000000003,0.011666666666666603,0.0012499999999999734,-0.0016666666666667052,0.0008333333333333526,0.021250000000000102,-0.005416666666666625,-0.00041666666666650976,0.11541666666666672,0.0508333333333334,0.015416666666666634,0.029166666666666674,0.002083333333333326,0.010833333333333361,0.023333333333333206,0.0029166666666667895
6,6,0.8666666666666667,0.8095238095238095,0.8425381903642772,0.9589453584018801,0.006250000000000089,-0.0029166666666667895,0.0029166666666665675,-0.002083333333333437,-1.1102230246251565e-16,-0.0016666666666667052,-0.0008333333333332416,-0.0004166666666667318,0.03916666666666668,0.0050000000000000044,-0.0016666666666667052,-0.007500000000000062,0.022916666666666696,0.0024999999999999467,0.0008333333333333526,-0.004166666666666652,0.0012499999999999734,-0.005833333333333246,0.002083333333333326,-0.007500000000000062,0.026249999999999996,-0.0004166666666667318,-0.002083333333333326,-0.005416666666666625,-0.0033333333333334103,0.0033333333333331883,-0.0024999999999999467,0.007500000000000062
7,7,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.921195652173913,0.0025000000000000577,0.0029166666666666785,0.003750000000000031,0.004999999999999893,0.10958333333333337,0.0016666666666665941,-0.012916666666666798,0.012083333333333446,-0.0008333333333332416,0.004166666666666652,0.02750000000000008,-0.014583333333333393,0.07874999999999999,0.018750000000000044,0.03541666666666665,0.008333333333333415,-0.0012499999999998623,0.011666666666666603,0.005833333333333246,0.005416666666666625,0.11250000000000004,0.0012499999999999734,0.01749999999999996,-0.0012500000000000844,0.08499999999999996,0.022083333333333344,0.0029166666666666785,0.0033333333333334103
8,8,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.950719741480611,-0.008750000000000147,-0.0033333333333331883,-0.010833333333333472,-0.0016666666666667052,0.020000000000000018,-0.01416666666666666,-0.012500000000000067,-0.012916666666666687,-0.0024999999999999467,-0.004166666666666652,-0.002083333333333326,-0.007500000000000062,0.01708333333333334,-0.007500000000000062,-0.004166666666666652,-0.014583333333333504,0.0012499999999999734,0.0050000000000000044,-0.004166666666666652,0.0033333333333331883,0.009583333333333277,-0.00958333333333361,-0.011250000000000204,-0.01375000000000004,0.008749999999999925,-0.0033333333333334103,0.008749999999999925,-0.00041666666666650976
9,9,0.85,0.7777777777777778,0.8187426556991775,0.9612220916568743,-0.007499999999999951,0.0050000000000000044,-0.004999999999999893,0.004166666666666541,0.008750000000000036,0.0033333333333332993,-0.002083333333333215,0.005416666666666736,0.0004166666666666208,-0.010000000000000009,0.0,-0.004583333333333273,0.019166666666666665,-0.014583333333333282,-0.003750000000000031,-0.01750000000000007,0.014166666666666772,0.019583333333333286,0.02124999999999999,0.009166666666666656,0.01666666666666672,-0.01416666666666655,-0.0050000000000001155,-0.013749999999999929,0.009999999999999898,0.022916666666666585,0.0033333333333332993,0.006249999999999978
10,10,0.85,0.7804878048780488,0.8207990599294948,0.9248678025851939,-0.025000000000000022,-0.010416666666666852,-0.00666666666666671,0.00374999999999992,-0.004583333333333273,-0.006249999999999978,0.0008333333333334636,0.004583333333333273,-0.0029166666666665675,-0.007499999999999951,-0.0016666666666665941,-0.015000000000000013,0.019999999999999907,-0.009583333333333388,-0.007916666666666572,-0.014999999999999902,-0.003750000000000031,-0.0004166666666666208,0.0004166666666666208,-0.0025000000000000577,0.03708333333333336,-0.018333333333333424,-0.007916666666666572,-0.015000000000000013,0.0004166666666666208,-0.004583333333333273,0.00374999999999992,-0.012500000000000067
11,11,0.8,0.68,0.7535252643948296,0.961075205640423,-0.0012500000000000844,0.0,-0.002083333333333326,0.004166666666666874,-0.0029166666666667895,0.0008333333333334636,-0.0016666666666667052,-0.0024999999999999467,-0.0029166666666666785,0.003750000000000031,-0.0004166666666666208,-0.0016666666666667052,0.015833333333333366,-0.0016666666666667052,0.0,-0.0004166666666666208,0.0,0.0025000000000000577,-0.002083333333333215,-0.004166666666666763,0.014583333333333393,-0.002083333333333326,-0.006666666666666599,-0.003750000000000142,0.0050000000000001155,-0.0004166666666666208,-0.0012500000000000844,0.003750000000000142
12,12,0.8625,0.8,0.8350470035252644,0.9630581668625147,-0.0024999999999999467,0.0004166666666667318,0.003750000000000031,0.0050000000000001155,0.004166666666666652,0.00666666666666671,-0.0050000000000000044,0.0016666666666668162,0.010833333333333472,0.009583333333333388,0.01708333333333345,0.004583333333333273,0.033333333333333215,0.0008333333333333526,-0.0024999999999999467,-0.002083333333333326,-0.0029166666666666785,0.013333333333333308,-0.010833333333333361,0.01666666666666683,0.019583333333333286,0.010000000000000231,-0.012499999999999956,-0.007083333333333219,0.03208333333333335,-0.0016666666666667052,0.00666666666666671,0.013333333333333308
13,13,0.8541666666666666,0.7928994082840237,0.8303466509988249,0.9155405405405406,-0.019166666666666776,0.0,0.0029166666666666785,-0.0012500000000000844,0.013333333333333086,0.006249999999999978,0.0029166666666665675,-0.006666666666666599,0.0012499999999999734,0.010000000000000009,-0.003750000000000142,-1.1102230246251565e-16,0.0016666666666665941,0.0029166666666666785,0.0016666666666668162,-0.0016666666666667052,-0.0029166666666666785,-0.0012500000000000844,0.014583333333333393,-0.004583333333333384,0.025833333333333264,-0.003750000000000142,-0.0012500000000000844,-0.006666666666666599,-0.010833333333333361,-0.0029166666666666785,0.005416666666666736,-0.0012500000000000844
14,14,0.85,0.7804878048780488,0.8207990599294948,0.9597532314923619,-0.007916666666666572,-0.004166666666666652,0.0012500000000000844,0.0033333333333332993,-0.0012500000000000844,-0.003750000000000031,0.0004166666666666208,0.007500000000000062,0.004583333333333384,0.0012500000000000844,0.0033333333333332993,-0.02083333333333337,0.026666666666666505,-0.0016666666666665941,0.0033333333333332993,-0.011250000000000093,0.02749999999999997,-0.0004166666666666208,0.0008333333333332416,0.0012499999999998623,0.019999999999999907,-0.0025000000000000577,-0.005416666666666736,-0.02833333333333332,0.005416666666666736,0.002083333333333326,-0.0016666666666665941,-0.0008333333333333526
15,15,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.9452115158636897,-0.011666666666666825,-0.0016666666666667052,-0.0008333333333332416,-0.0008333333333332416,0.016666666666666607,0.0,0.002083333333333215,-0.007083333333333219,0.003750000000000031,0.0004166666666667318,-0.005416666666666625,-0.012916666666666576,0.015416666666666523,0.0008333333333333526,-0.01375000000000004,-0.009583333333333499,-0.00374999999999992,-0.0008333333333332416,0.0008333333333333526,0.015416666666666745,0.005833333333333357,-0.009583333333333277,-0.005833333333333357,-0.007500000000000062,0.01041666666666663,0.009166666666666545,0.004999999999999893,0.005416666666666625
16,16,0.8458333333333333,0.7730061349693251,0.8153642773207991,0.8447414806110459,-0.005416666666666625,0.0012500000000000844,-0.003750000000000031,-0.003749999999999809,-0.0008333333333333526,-1.1102230246251565e-16,0.007083333333333219,0.0004166666666666208,-0.005416666666666736,0.0012500000000000844,0.0029166666666665675,-0.0024999999999999467,0.05833333333333335,-0.003750000000000031,-0.009166666666666767,-0.0033333333333334103,-0.0025000000000000577,-0.004166666666666541,-0.0016666666666665941,0.0016666666666667052,0.039583333333333304,1.1102230246251565e-16,-0.005833333333333246,-0.0024999999999999467,0.009583333333333277,-0.002083333333333326,0.0016666666666667052,0.0050000000000000044
17,17,0.875,0.8214285714285714,0.8513513513513513,0.9093713278495887,-0.009166666666666656,0.0012499999999999734,0.0029166666666666785,-0.0016666666666665941,0.01750000000000007,-0.002083333333333437,0.0025000000000000577,-0.0025000000000000577,0.007499999999999951,0.010000000000000009,0.0033333333333332993,0.0029166666666666785,0.00374999999999992,-0.0050000000000001155,-0.0004166666666666208,0.0008333333333332416,0.005416666666666514,-0.0004166666666666208,-0.0016666666666665941,0.011250000000000093,0.008750000000000036,0.00708333333333333,-0.007916666666666572,-0.0004166666666666208,-0.00708333333333333,0.00374999999999992,0.012916666666666687,0.010000000000000009
18,18,0.8625,0.8047337278106509,0.839159811985899,0.8703730904817861,0.007083333333333552,-0.0004166666666666208,0.0008333333333333526,-0.0004166666666666208,0.04041666666666677,-0.009166666666666656,0.015833333333333366,-0.0033333333333332993,0.016666666666666607,-0.008750000000000036,0.01749999999999996,-0.007083333333333219,0.12416666666666676,0.032916666666666816,0.018750000000000044,0.007499999999999951,-0.019583333333333286,0.016249999999999987,0.002083333333333437,0.025000000000000022,0.1775000000000001,0.021666666666666723,0.029583333333333295,0.03791666666666671,0.007499999999999951,0.010833333333333472,0.01749999999999996,0.010833333333333472
19,19,0.8708333333333333,0.8165680473372781,0.847972972972973,0.9374265569917745,-0.005416666666666625,-0.0025000000000000577,-0.0004166666666667318,0.004583333333333384,0.02375000000000005,-0.007499999999999951,0.004583333333333384,0.008333333333333304,0.02041666666666675,0.004583333333333384,0.004583333333333384,0.01375000000000004,0.03416666666666668,0.005416666666666625,-0.0025000000000000577,-0.006250000000000089,0.02416666666666667,-0.002083333333333437,0.016250000000000098,0.01333333333333342,0.019583333333333397,0.007083333333333219,-0.0025000000000000577,-0.007499999999999951,0.01416666666666666,-0.0012499999999999734,0.009166666666666656,0.0004166666666667318
20,20,0.8791666666666667,0.8284023668639053,0.8567861339600471,0.9560076380728554,-0.005416666666666625,-0.0008333333333332416,0.004583333333333273,0.0,0.025416666666666643,-0.005416666666666625,-0.009999999999999898,0.007083333333333108,0.005416666666666736,-0.0012500000000000844,0.008749999999999925,0.0008333333333333526,0.02416666666666656,0.004166666666666652,0.0008333333333333526,-0.015833333333333477,0.015833333333333366,0.011249999999999982,0.015833333333333144,0.007499999999999951,0.013333333333333308,-0.0008333333333332416,-0.007916666666666683,-0.015416666666666856,0.030416666666666536,-0.002083333333333326,-0.0016666666666664831,0.004166666666666652
21,21,0.8958333333333334,0.8603351955307262,0.8846944770857814,0.9481492361927145,-0.021250000000000102,-0.0008333333333334636,-0.002083333333333437,0.00374999999999992,0.015416666666666634,-0.0004166666666666208,0.007083333333333441,0.002083333333333326,0.023333333333333206,0.0025000000000000577,-0.0004166666666666208,0.006666666666666599,0.030416666666666647,0.0004166666666666208,-0.002083333333333437,-0.0004166666666668428,0.011666666666666714,0.006249999999999978,0.0024999999999998357,0.004166666666666541,0.010833333333333361,0.0004166666666666208,0.0008333333333332416,0.0008333333333332416,0.005833333333333468,0.0008333333333332416,0.0033333333333332993,0.009166666666666656
22,22,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.8403349001175089,0.006249999999999867,0.004166666666666652,0.0029166666666666785,0.00666666666666671,0.010833333333333472,0.023333333333333317,0.0033333333333334103,0.008333333333333304,0.16541666666666655,0.018333333333333424,0.01416666666666666,0.0025000000000000577,0.10708333333333342,0.019166666666666665,0.02750000000000008,0.018749999999999822,0.006249999999999867,0.0216666666666665,0.00666666666666671,0.0008333333333333526,0.0704166666666668,0.03208333333333335,0.043333333333333224,0.06000000000000005,-0.002083333333333326,0.030416666666666536,0.004999999999999893,0.007916666666666572
23,23,0.875,0.8235294117647058,0.8534077555816686,0.952262044653349,-0.012083333333333335,-0.0004166666666666208,-0.012499999999999956,-0.0004166666666666208,-0.0029166666666666785,-0.006249999999999978,-0.02083333333333337,-0.0029166666666666785,0.026666666666666616,-0.02124999999999988,-0.0029166666666666785,-0.017916666666666914,0.006666666666666599,-0.01416666666666655,-0.016666666666666607,-0.02041666666666675,-0.01750000000000007,-0.0029166666666666785,-0.00374999999999992,0.008333333333333193,0.008333333333333193,-0.015833333333333144,-0.014166666666666772,-0.016250000000000098,0.004166666666666763,-0.01083333333333325,-0.006666666666666599,0.004166666666666763
24,24,0.8708333333333333,0.8208092485549133,0.8520857814336076,0.9348560517038778,-0.011249999999999982,0.0,-0.0033333333333334103,-0.0025000000000000577,0.022500000000000075,-0.01083333333333325,-0.007083333333333108,-0.0024999999999999467,0.0029166666666666785,-0.012916666666666687,0.0004166666666666208,-0.007916666666666572,0.005416666666666625,-0.00666666666666671,-0.003750000000000031,-0.008749999999999925,-0.004999999999999893,-0.011249999999999982,-0.003750000000000031,-0.008333333333333304,0.03166666666666662,-0.004999999999999893,0.0,-0.013333333333333308,-0.009999999999999787,-0.0008333333333333526,-0.008333333333333304,0.004166666666666541
25,25,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.8980611045828437,-0.009166666666666545,0.0029166666666665675,-0.004166666666666652,0.002083333333333326,0.00041666666666650976,0.004583333333333384,0.0012499999999999734,-0.0050000000000000044,0.0012499999999999734,0.0012499999999999734,0.0029166666666667895,0.0033333333333334103,0.02041666666666664,0.0033333333333334103,0.002083333333333326,0.0033333333333334103,0.004166666666666541,0.014999999999999902,0.0024999999999999467,0.00708333333333333,0.05583333333333329,0.005833333333333468,0.0016666666666667052,0.0033333333333331883,-0.004166666666666652,-1.1102230246251565e-16,0.007916666666666683,0.007500000000000062
26,26,0.8791666666666667,0.8284023668639053,0.8567861339600471,0.958210928319624,-0.0012499999999998623,0.0024999999999999467,0.005833333333333246,0.0004166666666667318,0.009166666666666767,0.002083333333333215,0.022499999999999964,-0.0012499999999998623,0.015833333333333366,0.0012499999999999734,0.004999999999999893,-0.0016666666666664831,0.007499999999999951,-0.005833333333333357,-0.016250000000000098,-0.0004166666666667318,0.010000000000000009,0.002083333333333215,0.00666666666666671,0.008333333333333304,0.04375000000000007,-0.012916666666666798,0.003750000000000031,-0.008750000000000036,0.017916666666666803,0.018750000000000044,0.01083333333333325,0.0029166666666666785
27,27,0.8416666666666667,0.7654320987654321,0.8099294947121034,0.9546856639247945,-0.007916666666666461,-0.0004166666666667318,-0.003750000000000031,0.0012499999999999734,0.0050000000000000044,0.007499999999999951,-0.0033333333333332993,-0.004583333333333162,0.01666666666666672,0.0029166666666665675,-0.003750000000000031,0.011249999999999982,0.00749999999999984,-0.005833333333333246,-0.0016666666666667052,-0.002083333333333326,0.016249999999999987,-0.00374999999999992,0.00708333333333333,0.01708333333333334,-0.0008333333333333526,0.0008333333333333526,-0.010416666666666519,-0.018749999999999933,0.012499999999999845,0.0050000000000000044,0.007499999999999951,0.009999999999999898
