,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_fd3_scaled
0,0,0.8122448979591836,0.7653061224489796,0.8128374538221086,0.8593350383631714,-0.002448979591836764,0.0791836734693876,0.223265306122449,0.170204081632653
1,1,0.7346938775510204,0.5962732919254659,0.6922421142369992,0.849175902244956,0.002448979591836653,0.027755102040816326,0.021632653061224416,0.023673469387755164
2,2,0.7959183673469388,0.7282608695652174,0.78243108837738,0.8107416879795397,0.004897959183673528,0.06734693877551023,0.07387755102040827,0.08938775510204089
3,3,0.6816326530612244,0.35,0.5912546177891447,0.8701335606706451,-0.005714285714285783,0.0077551020408161975,0.0053061224489795444,0.04653061224489796
4,4,0.8040816326530612,0.7473684210526316,0.7976342710997442,0.7686132423984088,0.013469387755102091,0.056734693877550924,0.11877551020408161,0.06040816326530607
5,5,0.8,0.743455497382199,0.794366297243535,0.7998721227621484,-0.0016326530612245094,0.13877551020408174,0.19020408163265312,0.18163265306122456
6,6,0.6244897959183674,0.0,0.5,0.8560670645069621,0.0,0.0,0.0,0.0
7,7,0.8163265306122449,0.7692307692307693,0.8161054276783177,0.8254475703324808,0.005714285714285894,0.07755102040816331,0.16897959183673472,0.14653061224489794
8,8,0.6244897959183674,0.0,0.5,0.8296391020176187,0.0,0.0,0.0,0.0
9,9,0.6938775510204082,0.4444444444444444,0.6205598181301506,0.8214691673770959,-0.03755102040816327,0.029387755102040725,0.016734693877551,0.06489795918367347
10,10,0.6244897959183674,0.0,0.5,0.8184853651605569,0.0,0.0,0.0,0.0
11,11,0.8204081632653061,0.7684210526315789,0.8150397840295538,0.8551435066780336,0.019183673469387763,0.048979591836734615,0.09551020408163258,0.11061224489795918
12,12,0.8040816326530612,0.7525773195876289,0.8019678886047172,0.7540494458653026,0.010204081632652962,0.16081632653061217,0.15102040816326534,0.223265306122449
13,13,0.7224489795918367,0.5,0.6521028701335607,0.8722648479681727,0.0032653061224490187,0.03714285714285703,0.047755102040816344,0.022448979591836782
14,14,0.7673469387755102,0.6815642458100558,0.7465544188689969,0.8527280477408354,-0.0028571428571428914,0.0955102040816328,0.1155102040816327,0.14897959183673481
15,15,0.6408163265306123,0.12,0.5260727479397557,0.856635407786303,-0.001224489795918382,0.011428571428571455,0.013469387755102091,0.014285714285714346
16,16,0.8040816326530612,0.7473684210526316,0.7976342710997442,0.7694657573174196,0.006938775510204054,0.038775510204081653,0.16653061224489807,0.19346938775510203
17,17,0.763265306122449,0.6506024096385542,0.7281187837453822,0.8631713554987213,-0.012244897959183487,0.03142857142857147,0.07306122448979602,0.12530612244897965
18,18,0.7591836734693878,0.6335403726708074,0.7183503836317136,0.8545751633986929,0.005714285714285783,0.02693877551020396,0.03469387755102038,0.02122448979591829
19,19,0.6244897959183674,0.0,0.5,0.7524154589371981,0.0,0.0,0.0,0.0
20,20,0.6244897959183674,0.0,0.5,0.8556408070474567,0.0,0.0,0.0,0.0
21,21,0.7142857142857143,0.5454545454545454,0.6629013924410344,0.796817277635692,-0.011836734693877582,0.03510204081632662,0.056734693877551035,0.09061224489795927
