,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled
0,0,0.7625,0.7298578199052133,0.7765863689776733,0.8713278495887191,0.12124999999999997,0.03208333333333324,0.02416666666666667,0.022083333333333344,0.18874999999999997,0.0024999999999999467,0.022499999999999964,0.02041666666666675
1,1,0.8291666666666667,0.7897435897435897,0.8306404230317275,0.9072414806110458,0.09750000000000003,0.04375000000000007,0.0345833333333333,0.011666666666666603,0.2466666666666667,0.05166666666666664,0.029166666666666674,0.043333333333333335
2,2,0.8541666666666666,0.7953216374269005,0.8324030552291422,0.891671562867215,0.01083333333333325,0.004166666666666652,-0.003750000000000142,-0.002083333333333326,0.049583333333333424,-0.0033333333333332993,-0.0004166666666668428,-0.0004166666666668428
3,3,0.8375,0.8,0.8394535840188013,0.9049647473560518,0.09291666666666676,0.07291666666666685,0.0345833333333333,0.033333333333333215,0.2679166666666667,0.06583333333333341,0.05291666666666672,0.05500000000000005
4,4,0.8458333333333333,0.806282722513089,0.8441539365452408,0.913924794359577,0.03208333333333335,0.012916666666666576,0.02749999999999997,0.011666666666666603,0.24916666666666665,0.05791666666666673,0.05249999999999999,0.04625000000000001
5,5,0.8,0.7735849056603774,0.8172737955346651,0.8993830787309051,0.1150000000000001,0.04083333333333339,0.019583333333333286,0.029166666666666785,0.22916666666666674,0.05791666666666673,0.0675,0.03500000000000003
6,6,0.7958333333333333,0.7562189054726368,0.801556991774383,0.8932873090481787,0.09333333333333327,0.04083333333333328,0.009583333333333277,0.023749999999999938,0.20625000000000004,0.013333333333333308,0.026666666666666616,0.025833333333333264
7,7,0.8583333333333333,0.8089887640449438,0.8440070505287897,0.9150264394829613,-0.010833333333333361,0.008749999999999925,0.011666666666666603,0.020000000000000018,0.2041666666666665,0.009166666666666545,0.02083333333333326,0.016666666666666496
8,8,0.775,0.75,0.7949471210340775,0.8979876615746182,0.11958333333333326,0.0558333333333334,0.01708333333333334,0.0245833333333334,0.21083333333333332,0.060416666666666674,0.04749999999999999,0.04875000000000007
9,9,0.7958333333333333,0.7741935483870968,0.8180082256169212,0.8982814336075206,0.11249999999999993,0.04249999999999998,0.0379166666666666,0.03874999999999995,0.2416666666666667,0.03749999999999987,0.04083333333333339,0.015833333333333255
10,10,0.825,0.776595744680851,0.8190364277320799,0.9004847238542891,0.09624999999999995,0.025416666666666643,0.029999999999999916,0.009583333333333277,0.20750000000000002,0.02458333333333329,0.05249999999999988,0.026249999999999885
11,11,0.7875,0.7536231884057971,0.7989130434782609,0.8925528789659224,0.10083333333333322,0.042916666666666714,0.017916666666666692,0.023749999999999938,0.19458333333333322,0.04458333333333331,0.03374999999999995,0.03833333333333322
12,12,0.7916666666666666,0.7422680412371134,0.7899529964747356,0.887852526439483,0.09416666666666662,0.03125,0.018749999999999822,0.0,0.20333333333333325,0.01041666666666663,0.021666666666666612,0.026666666666666727
13,13,0.7875,0.751219512195122,0.7968566392479437,0.8968125734430081,0.10291666666666666,0.032916666666666594,0.02750000000000008,-0.004583333333333384,0.22124999999999984,0.03416666666666657,0.03833333333333333,0.01749999999999996
14,14,0.825,0.7835051546391752,0.8252056404230317,0.9006316098707403,0.09458333333333324,0.04666666666666652,0.01833333333333309,0.019999999999999907,0.23249999999999993,0.04499999999999993,0.05583333333333329,0.04833333333333334
15,15,0.8666666666666667,0.8260869565217391,0.8589894242068155,0.916642185663925,0.05166666666666664,0.043333333333333224,0.036250000000000004,0.026249999999999996,0.2587499999999999,0.05499999999999994,0.0675,0.03375000000000017
16,16,0.775,0.7326732673267327,0.7805522914218567,0.8893948296122209,0.09083333333333332,0.014583333333333393,0.03083333333333349,0.00666666666666671,0.1808333333333334,0.02041666666666664,0.04083333333333339,0.03125
17,17,0.8583333333333333,0.8,0.8357814336075206,0.8845475910693302,0.00708333333333333,0.0008333333333333526,1.1102230246251565e-16,0.0033333333333334103,0.08666666666666656,1.1102230246251565e-16,0.0008333333333333526,0.0004166666666667318
18,18,0.8583333333333333,0.8,0.8357814336075206,0.9012191539365454,0.0033333333333331883,1.1102230246251565e-16,0.0008333333333333526,0.0024999999999999467,0.12374999999999992,0.0029166666666665675,0.0004166666666667318,-0.0004166666666667318
19,19,0.7833333333333333,0.7475728155339806,0.7934782608695652,0.893581081081081,0.10333333333333339,0.025833333333333375,0.019999999999999907,0.018749999999999933,0.2170833333333334,0.0429166666666666,0.008750000000000036,0.01708333333333345
20,20,0.8583333333333333,0.8,0.8357814336075206,0.8793331374853114,0.011666666666666603,0.0004166666666667318,-0.0008333333333333526,-0.0008333333333333526,0.043333333333333224,-0.0029166666666665675,0.0033333333333334103,0.0016666666666665941
