,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
0,0,0.8661087866108786,0.8461538461538461,0.8830227743271222,0.9622153209109731,0.023430962343096273,0.0046025104602509526,-0.0029288702928872423,-0.0008368200836820217,0.0004184100418409553,0.003765690376569153,0.004602510460251175,0.006276150627615107,0.001255230125522977,0.0008368200836820217,0.006276150627614996,0.0020920502092049986
1,1,0.9121338912133892,0.8900523560209425,0.9143374741200828,0.9703490091688849,0.012970711297071391,0.0029288702928867982,0.004602510460251175,0.017573221757322344,0.010460251046025326,0.021338912133891386,0.008786610878661172,0.01213389121338937,0.008368200836820217,0.011715481171548192,0.02092050209205032,0.006276150627615218
2,2,0.8493723849372385,0.8269230769230769,0.8653504880212954,0.9382579118603963,0.0020920502092049986,0.005439330543933085,-0.009623430962342971,-0.01589958158995808,-0.0058577405857739295,-0.006694560669455951,-0.020920502092050097,-0.012970711297071169,0.001255230125523088,-0.0029288702928869093,-0.005439330543932974,0.01004184100418426
3,3,0.9037656903765691,0.8729281767955801,0.8953342206447796,0.9704229517894114,0.0020920502092051096,-0.001255230125522755,-0.0008368200836817996,0.0033472803347280866,0.010460251046025104,-0.006276150627614885,0.008368200836820217,0.005439330543933196,-0.002510460251045954,-0.0020920502092048876,2.220446049250313e-16,0.0033472803347281976
4,4,0.8535564853556485,0.8292682926829268,0.8667184265010353,0.9622892635314995,0.08744769874476988,0.0033472803347280866,0.0008368200836820217,-0.002510460251045954,0.13723849372384933,-0.01380753138075308,-0.006276150627614996,-0.003765690376568931,-0.004184100418409997,0.0368200836820084,-0.0033472803347279756,-0.0004184100418409553
5,5,0.8619246861924686,0.8374384236453202,0.8735211475894706,0.9463916001183081,-0.004602510460251064,0.004602510460251175,-0.017154811715481166,-0.02468619246861914,0.0016736401673641543,-0.015062761506276168,-0.00878661087866106,0.005439330543933196,0.00794979079497915,-0.009623430962342971,0.006276150627615107,-0.01673640167364021
6,6,0.9037656903765691,0.8743169398907104,0.8973676427092576,0.9719757468204673,0.005857740585774263,-0.005020920502091908,0.003765690376569264,0.004602510460251286,0.028033472803347226,-0.007531380753138084,-0.007531380753138306,-0.009623430962343305,-0.001255230125522977,0.0020920502092052207,-0.0016736401673639323,0.0004184100418412884
7,7,0.8661087866108786,0.8160919540229885,0.8484545992309968,0.9481662230109436,0.009205020920502127,0.003765690376569153,-0.01380753138075319,-0.004184100418409997,0.011715481171548192,0.004184100418410108,0.022175732217573296,0.023849372384937118,-0.0008368200836820217,0.014225941422594146,0.0071129707112971285,-0.001255230125522977
8,8,0.8702928870292888,0.8530805687203792,0.8904909790002957,0.9643596569062407,-0.028033472803347115,-0.005020920502091908,-0.011715481171548081,0.009623430962343305,-0.007531380753137862,0.01004184100418426,0.012133891213389258,0.011297071129707237,0.012133891213389258,-0.0046025104602509526,-0.02343096234309605,0.0179916317991633
9,9,0.8619246861924686,0.835820895522388,0.8714877255249927,0.9520851818988465,0.015481171548117123,-0.006694560669456062,-0.0004184100418408443,0.011715481171548192,0.1313807531380753,-0.00041841004184106634,0.01757322175732212,0.006694560669456173,0.007531380753138195,-0.013807531380752969,-0.043096234309623394,0.0020920502092051096
10,10,0.8744769874476988,0.8557692307692307,0.8918589174800355,0.9721236320615202,0.006694560669456062,0.004602510460251064,-0.012552301255230103,-0.011297071129707126,0.052719665271966365,-0.010041841004184038,0.013807531380753302,0.01087866108786606,0.0033472803347280866,0.0058577405857740406,-0.0071129707112969065,-0.010460251046025104
11,11,0.8326359832635983,0.8058252427184466,0.8456447796509908,0.9460958296362023,0.032217573221757334,-0.017991631799163188,-0.011297071129707126,-0.009623430962343194,-0.0058577405857740406,-0.02092050209205021,0.0004184100418409553,-0.010041841004184149,0.0,-0.010041841004184149,-0.006694560669455951,-0.014225941422594146
12,12,0.8828451882845189,0.8541666666666666,0.884427684117125,0.9228778467908902,0.010041841004184149,0.002510460251046065,0.00794979079497915,-0.002510460251046176,0.019246861924686165,0.017573221757322233,0.001255230125522977,0.0,0.04351464435146457,0.02468619246861936,0.00711297071129724,-0.004184100418410108
13,13,0.895397489539749,0.8502994011976048,0.8722641230405206,0.9731588287488908,-0.0029288702928869093,0.009205020920502127,0.013389121338912124,0.005439330543933085,0.01757322175732212,1.1102230246251565e-16,0.006276150627615107,0.006276150627615107,0.024267782426778295,0.004184100418410108,0.0020920502092051096,0.0071129707112969065
