,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
0,0,0.8832684824902723,0.8192771084337349,0.8513833992094861,0.9613306982872201,0.10466926070038907,0.02645914396887139,0.02996108949416343,0.011284046692606853,-1.1102230246251565e-16,0.003112840466925948,-0.00311284046692617,0.012451361867704125
1,1,0.8715953307392996,0.7975460122699386,0.8350790513833992,0.9635704874835309,0.04435797665369656,0.010894941634241095,0.02996108949416343,0.019844357976653737,0.014007782101167376,0.014396887159533134,0.01322957198443564,-1.1102230246251565e-16
2,2,0.8560311284046692,0.7516778523489933,0.8013175230566535,0.9742424242424244,0.059922178988326746,-0.01789883268482506,0.0019455252918287869,0.009727626459143934,-0.005058365758755068,0.0007782101167315147,-0.004280155642023553,0.003112840466926059
3,3,0.8443579766536965,0.7619047619047619,0.8114624505928854,0.9379446640316206,0.058754863813229474,0.0284046692607004,0.045136186770427966,0.03307392996108949,-0.020622568093385363,0.016731517509727678,0.01206225680933859,0.011673151750972721
4,4,0.867704280155642,0.7848101265822784,0.8248353096179183,0.9664690382081687,0.010116731517509803,0.03190661478599233,0.002334630350194433,0.02101167315175101,0.007392996108949279,0.015953307392996163,0.007392996108949279,0.014785992217898891
5,5,0.914396887159533,0.8888888888888888,0.9237154150197628,0.9812911725955205,0.14591439688715957,0.013618677042801508,0.0077821011673151474,0.028404669260700288,0.0046692607003890885,0.00038910505836564635,0.006614785992217764,0.012451361867704236
6,6,0.867704280155642,0.7875,0.827239789196311,0.9708827404479579,0.04941634241245141,-0.015175097276264649,-0.006614785992217986,0.014785992217898891,0.02101167315175101,-0.008560311284046773,0.007392996108949501,0.006614785992217764
7,7,0.8793774319066148,0.8208092485549133,0.8555665349143611,0.9646245059288537,0.08443579766536957,0.007782101167315036,0.014007782101167376,0.026459143968871612,0.007782101167315036,0.010894941634241095,0.008560311284046551,0.012451361867704125
8,8,0.8949416342412452,0.8491620111731844,0.8797101449275362,0.953425559947299,0.0642023346303503,0.051361867704280195,0.03540856031128392,0.06731517509727636,0.03735408560311293,0.03268482490272362,0.03424124513618665,0.03735408560311271
9,9,0.8754863813229572,0.8048780487804879,0.8405138339920948,0.9656785243741766,0.03463035019455252,0.01011673151750958,0.025680933852140098,0.01750972762645897,0.008171206225680794,0.005058365758754735,0.0003891050583658684,0.0027237354085601906
