,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.front_CO2_vd_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_humidity_fd3_scaled
0,0,0.7584541062801933,0.6710526315789473,0.7380434782608696,0.868241965973535,-0.032367149758454006,-0.0033816425120771765,0.0024154589371980784,0.006280193236715026,0.0033816425120773985,-0.016425120772946777,-0.011111111111111072,-0.017391304347825987,0.02898550724637694,0.005314009661835817,-0.011111111111111072,0.01449275362318847,0.008695652173913104,-0.023188405797101352,-0.02946859903381638,-0.02608695652173898,-0.014975845410627908,0.006280193236715026,-0.01256038647342983,0.013526570048309261,0.020289855072463947,-0.033333333333333215,-0.014975845410627908,-0.03574879227053129,-0.04347826086956519,-0.0009661835748792091,-0.0014492753623187582,0.0009661835748793202
1,1,0.8502415458937198,0.8165680473372781,0.8402173913043478,0.9236294896030246,0.006280193236715026,-0.005797101449275477,-0.007246376811594235,0.0038647342995168366,0.05555555555555558,0.010144927536231974,0.0004830917874396601,0.007729468599033784,0.029951690821255927,0.0038647342995168366,-0.0024154589371980784,0.009178743961352764,0.04009661835748779,-0.02801932367149762,-0.02898550724637683,-0.021256038647343156,0.0,0.0014492753623188692,-0.007729468599033895,0.009661835748792313,0.037198067632850274,-0.022705314009661914,-0.04057971014492756,-0.0270531400966183,-0.020289855072463947,0.009178743961352764,0.0,-0.0033816425120772875
2,2,0.8405797101449275,0.8070175438596491,0.8315217391304348,0.8968809073724008,0.0,0.0038647342995168366,0.0004830917874396601,0.0019323671497584183,0.02415458937198056,-0.00048309178743954906,-0.0028985507246377384,0.0028985507246376274,0.10434782608695659,0.0,0.0014492753623188692,0.0014492753623188692,0.017874396135265647,0.0019323671497584183,-0.0033816425120772875,-0.0019323671497585293,-0.008212560386473444,0.011594202898550732,0.018840579710144856,0.017391304347826098,0.01256038647342994,-0.011594202898550843,-0.0014492753623187582,0.005314009661835817,-0.0028985507246377384,0.017874396135265647,0.01256038647342994,0.0038647342995168366
3,3,0.8067632850241546,0.7752808988764045,0.8010869565217391,0.899054820415879,-0.006763285024154575,-0.011111111111111072,-0.005314009661835706,0.005797101449275366,0.15362318840579703,-0.007729468599033895,0.008212560386473444,-0.009661835748792313,0.1671497584541063,-0.011594202898550732,-0.018840579710144967,-0.030917874396135248,0.038164251207729594,-0.04541062801932372,-0.050241545893719874,-0.03864734299516903,-0.07101449275362326,-0.005314009661835817,0.009178743961352653,0.007729468599033895,0.0782608695652175,-0.018357487922705196,-0.03768115942028982,-0.05603864734299524,-0.08695652173913049,0.0038647342995169476,-0.01642512077294689,-0.01304347826086949
4,4,0.7922705314009661,0.7361963190184049,0.7782608695652173,0.8474480151228734,-0.019806763285024287,0.005797101449275255,0.0024154589371980784,0.008212560386473444,0.03816425120772948,0.0033816425120772875,-0.0033816425120772875,-0.004347826086956497,0.021739130434782483,0.004347826086956497,0.0019323671497584183,-0.0004830917874396601,0.03816425120772948,-0.006763285024154575,-0.008695652173913104,-0.006763285024154575,-0.0033816425120772875,0.0033816425120772875,0.007246376811594124,0.0028985507246377384,0.049758454106280214,0.008212560386473444,0.0028985507246377384,-0.009178743961352653,-0.01739130434782621,0.007246376811594124,0.013526570048309261,0.010628019323671412
5,5,0.8260869565217391,0.8064516129032258,0.825,0.9051039697542533,-0.07004830917874394,-0.0038647342995168366,-0.0019323671497584183,-0.0019323671497584183,0.11304347826086958,0.008695652173912993,0.0019323671497585293,0.02753623188405796,0.06570048309178744,0.006763285024154464,-0.01642512077294689,0.005314009661835706,0.050241545893719874,0.0009661835748793202,-0.01352657004830915,-0.0019323671497584183,-0.06666666666666676,-0.007246376811594124,0.012077294685990392,0.008212560386473444,0.1357487922705315,-0.017874396135265647,-0.01304347826086949,-0.030434782608695587,-0.02753623188405796,-0.0009661835748792091,0.017391304347826098,0.022705314009661914
6,6,0.8115942028985508,0.7719298245614035,0.8021739130434782,0.8909262759924386,-0.023188405797101352,0.0014492753623187582,-0.004347826086956497,0.007246376811594124,0.04299516908212575,-0.010628019323671523,-0.016908212560386437,-0.0038647342995169476,0.03091787439613536,0.004830917874396157,-0.014009661835748588,-0.0028985507246377384,0.051690821256038744,-0.007246376811594124,-0.01594202898550723,-0.021256038647342934,-0.019806763285024176,0.0024154589371981894,-0.006280193236714915,0.0009661835748792091,0.04009661835748801,-0.015458937198067568,-0.005797101449275366,-0.02753623188405785,-0.019323671497584405,-0.004347826086956497,0.02995169082125615,0.034782608695652195
7,7,0.782608695652174,0.7398843930635838,0.7739130434782608,0.8657844990548205,-0.0314009661835748,0.004347826086956608,-0.008212560386473333,-0.008695652173912993,0.08164251207729467,0.023671497584541124,0.01545893719806768,0.008212560386473444,0.026086956521739202,0.020289855072463836,-0.01497584541062802,-0.0024154589371979673,0.11207729468599026,0.006280193236715026,-0.0033816425120771765,-0.035265700483091744,-0.06376811594202902,0.01545893719806768,0.01497584541062802,0.01400966183574881,0.024637681159420333,-0.0014492753623187582,-0.018357487922705307,-0.01352657004830915,-0.06425120772946846,0.012077294685990392,0.01642512077294689,0.005314009661835817
8,8,0.7101449275362319,0.6385542168674698,0.6967391304347826,0.8094517958412099,-0.10048309178743964,0.0019323671497585293,0.009661835748792202,-0.0028985507246376274,0.061352657004830946,-0.0009661835748790981,-0.0024154589371980784,0.008695652173913215,0.06811594202898552,-0.0033816425120772875,0.0014492753623188692,-0.02608695652173898,0.01594202898550734,-0.010628019323671412,-0.007246376811594235,-0.031884057971014346,0.007246376811594235,-0.0024154589371979673,-0.0009661835748790981,0.0033816425120772875,0.14492753623188404,-0.004830917874396046,-0.004830917874396268,-0.03574879227053129,-0.050724637681159424,-0.005797101449275255,0.004830917874396046,-0.006280193236714915
9,9,0.8115942028985508,0.7796610169491526,0.8054347826086956,0.9027410207939508,-0.049275362318840665,-0.006280193236714915,0.0024154589371981894,-0.016908212560386326,0.0922705314009662,0.01594202898550734,-0.005314009661835706,-0.0028985507246377384,0.05458937198067637,-0.010628019323671412,-0.014492753623188248,0.009178743961352653,0.05700483091787445,-0.020289855072463725,-0.008695652173912882,-0.020289855072463725,-0.016908212560386437,0.012077294685990392,0.024154589371980784,0.004347826086956608,0.024637681159420333,-0.0236714975845409,-0.013526570048309261,-0.01159420289855062,-0.05942028985507242,-0.005797101449275366,0.01642512077294689,0.0028985507246377384
