,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
0,0,0.867704280155642,0.8425925925925926,0.8945652173913043,0.9791831357048748,-0.0007782101167316258,0.18715953307392996,0.15252918287937756,0.0568093385214008,0.003112840466925948,0.08560311284046696,0.12762645914396886,0.13229571984435795
1,1,0.867704280155642,0.8425925925925926,0.8945652173913043,0.9789855072463769,-0.005836575875486472,0.13424124513618674,0.11712062256809341,0.08249027237354079,0.35019455252918297,0.15136186770428017,0.054474708171206254,0.007782101167315036
2,2,0.867704280155642,0.8333333333333334,0.8801383399209486,0.8700263504611331,0.0035019455252917053,0.015953307392996163,0.02996108949416343,0.024513618677042825,0.007782101167315036,0.013229571984435862,0.01634241245136192,-1.1102230246251565e-16
3,3,0.642023346303502,0.0,0.5,0.9469038208168642,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
4,4,0.8521400778210116,0.7912087912087912,0.8367588932806325,0.9424242424242425,-0.005836575875486583,0.016731517509727567,0.010505836575875449,0.011284046692606964,-0.0077821011673153695,0.014396887159533023,0.015953307392996163,0.009727626459143934
5,5,0.642023346303502,0.0,0.5,0.9070487483530961,-1.1102230246251565e-16,0.0015564202334630295,0.0015564202334630295,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
6,6,0.9221789883268483,0.8979591836734694,0.9297760210803689,0.9814888010540184,-0.0019455252918287869,0.13424124513618674,0.13501945525291836,0.10311284046692615,0.22412451361867713,0.0696498054474709,0.015564202334630295,0.10661478599221796
7,7,0.8093385214007782,0.6666666666666666,0.7481225296442688,0.9435441370223979,0.0011673151750972721,-0.0023346303501945442,0.019844357976653626,0.01634241245136181,0.014007782101167265,-0.0015564202334630295,0.0023346303501945442,0.01478599221789878
8,8,0.8793774319066148,0.8558139534883721,0.906060606060606,0.9513833992094861,0.007782101167315036,0.18093385214007784,0.05758754863813231,0.13151750972762644,-0.01945525291828798,0.1914396887159533,0.015564202334630184,-0.025680933852140098
9,9,0.7431906614785992,0.4406779661016949,0.6413043478260869,0.9549407114624506,0.06264591439688716,0.00739299610894939,0.018287937743190597,0.04513618677042808,0.0077821011673151474,0.014396887159533023,0.010505836575875449,0.03268482490272373
10,10,0.7431906614785992,0.5217391304347826,0.6653491436100132,0.902239789196311,0.06575875486381322,0.027237354085603127,0.048249027237354136,0.03190661478599233,0.05836575875486383,0.01634241245136192,0.02529182879377434,0.03424124513618687
11,11,0.9027237354085603,0.8803827751196173,0.9242424242424243,0.9842555994729908,0.00038910505836575737,0.12412451361867693,0.114396887159533,0.01945525291828787,0.009727626459143934,0.0988326848249027,0.04785992217898816,0.08988326848249029
