,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_temperature_fd1_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_temperature_fd1_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd3_scaled
0,0,0.8605577689243028,0.782608695652174,0.8235233798195243,0.9511211375444354,0.0035856573705178585,0.007171314741035939,0.008764940239043839,-0.003984063745019806,-0.01195219123505964,-0.008764940239043728,0.002788844621513964,0.016733067729083673,0.01912350597609569,0.02589641434262946,-0.004382470119521975,0.007968127490039945,-0.0031872509960159112,0.002788844621513964,-0.0007968127490038945,0.006772908366533881,-0.006772908366533881,0.007171314741035939,0.009561752988047845,0.0063745019920319335,-0.01195219123505964,0.008764940239043839,0.00517928286852587,0.005577689243027928,-0.0031872509960159112,0.00039840637450194727,0.0019920318725099584,0.005577689243027928
1,1,0.900398406374502,0.8663101604278075,0.8961922340716435,0.9674596663932185,-0.002788844621513964,-0.0023904382470119057,0.0011952191235059528,0.014342629482071767,0.005577689243027928,0.005577689243027928,-0.006772908366533659,-0.0019920318725098474,0.005577689243027928,0.007171314741035939,0.0019920318725099584,-0.004382470119521753,-0.0031872509960159112,-0.01195219123505964,-0.01195219123505964,-0.007968127490039723,-0.0063745019920318224,-0.002788844621513742,0.019920318725099695,0.014342629482071767,0.015139442231075773,0.005179282868526092,-0.004382470119521975,-0.0015936254980079,-0.007968127490039723,-0.009960159362549792,-0.01713147410358562,-0.009960159362549792
2,2,0.8286852589641435,0.7817258883248731,0.8304279464041564,0.9358764014219306,-0.004780876494023811,-0.0019920318725099584,-0.003984063745019806,-0.013944223107569709,0.0035856573705178585,0.0011952191235059528,-0.0015936254980079,-0.013944223107569709,-0.007968127490039723,0.0011952191235059528,-0.0031872509960159112,-0.009960159362549792,0.0011952191235059528,-0.01195219123505964,-0.01354581673306765,0.0063745019920319335,-0.011155378486055745,-0.0003984063745020583,-0.03784860557768921,-0.0019920318725099584,-0.016334661354581725,-0.008366533864541892,-0.009960159362549792,0.0019920318725099584,-0.009960159362549792,-0.010756972111553798,-0.014342629482071656,-0.01035856573705174
3,3,0.9043824701195219,0.8620689655172413,0.8855961170358218,0.9622641509433962,-0.0035856573705177475,0.013545816733067761,0.0063745019920319335,-0.009561752988047734,0.016334661354581614,0.018326693227091684,0.014342629482071767,0.017529880478087678,0.03266932270916334,-0.009163346613545675,-0.006772908366533659,-0.0023904382470119057,0.0019920318725099584,-0.0007968127490038945,-0.0015936254980079,0.01235059760956192,0.010756972111553798,0.011952191235059861,0.005179282868526092,0.002788844621514075,-0.015936254980079556,0.005976095617529986,0.0019920318725099584,0.008366533864542003,0.004382470119521864,0.007171314741035939,0.019920318725099695,0.012350597609561698
4,4,0.8804780876494024,0.8484848484848485,0.8873393491933279,0.9660924254853706,-0.0019920318725099584,-0.0015936254980079,-0.007968127490039723,-0.006772908366533881,-0.0019920318725099584,-0.006772908366533881,-0.0031872509960159112,-0.004780876494023811,-0.004382470119521975,-0.0011952191235059528,-0.015139442231075662,-0.0063745019920318224,-0.008764940239043728,-0.007171314741035828,-0.010756972111553798,0.002788844621513964,0.0035856573705178585,-0.0019920318725099584,0.022709163346613548,0.025099601593625454,-0.008366533864541892,-0.004382470119521975,-0.0035856573705179695,-0.007171314741035828,0.00039840637450194727,-0.021513944223107484,0.00039840637450194727,-0.0063745019920318224
5,5,0.8605577689243028,0.779874213836478,0.8212332512988789,0.9560432048126881,-0.0035856573705179695,0.0011952191235059528,0.0011952191235059528,0.004382470119521864,-0.004382470119521975,-0.003984063745019806,-0.005577689243027817,1.1102230246251565e-16,-0.00517928286852587,0.00836653386454178,0.0063745019920319335,0.0007968127490040056,-0.018326693227091573,0.0019920318725099584,0.0035856573705178585,-0.01195219123505964,-0.0031872509960159112,-0.002788844621513964,0.011155378486055856,0.0011952191235059528,0.0011952191235059528,-0.0007968127490038945,-0.015139442231075662,-0.004382470119521975,0.00039840637450194727,-0.0019920318725099584,-0.023505976095617553,-0.0003984063745020583
6,6,0.896414342629482,0.8617021276595744,0.8930475799835931,0.9589827727645612,-0.0023904382470119057,0.007968127490039945,-0.012749003984063645,-0.012749003984063645,0.005577689243027928,0.0063745019920319335,0.0035856573705178585,0.013147410358565703,0.0023904382470120167,0.00517928286852587,0.011155378486055856,0.009561752988047845,0.026693227091633465,0.012350597609561698,0.007569721115537997,0.004780876494023922,1.1102230246251565e-16,-0.0011952191235058418,-0.0023904382470119057,0.015936254980079778,-0.006772908366533659,0.005179282868526092,-0.004780876494023811,-0.004382470119521753,-0.005179282868525759,-0.011155378486055745,0.005577689243027928,0.0015936254980080111
7,7,0.8446215139442231,0.7547169811320755,0.8040743779053869,0.9541974295870933,-0.008764940239043728,-0.01912350597609558,-0.01872509960159363,-0.004382470119521975,-0.01912350597609558,-0.0019920318725099584,0.014741035856573714,-0.0003984063745020583,0.02031872509960153,-0.0031872509960159112,-0.004780876494023811,0.0007968127490040056,-0.0015936254980079,0.021912350597609542,0.018326693227091684,-0.0003984063745020583,0.0019920318725099584,0.0031872509960160222,0.005577689243027928,-0.01354581673306765,-0.007968127490039723,-0.009163346613545786,1.1102230246251565e-16,0.0011952191235059528,-0.007968127490039723,-0.010756972111553798,0.02031872509960153,-0.01035856573705174
8,8,0.8685258964143426,0.835820895522388,0.8779053869291769,0.9573420836751436,-0.002788844621513964,-0.007569721115537886,-0.009163346613545786,-0.003984063745019806,-0.009561752988047734,-0.01195219123505964,-0.005976095617529875,-0.00517928286852587,-0.01035856573705174,-0.005976095617529875,-0.003984063745019806,-0.003984063745019806,-0.01673306772908356,-0.008764940239043728,-0.007569721115537886,-0.006772908366533881,0.0023904382470120167,-0.002788844621513964,0.01035856573705185,0.004780876494023922,-0.006772908366533881,-0.0023904382470119057,-0.008366533864541892,-0.006772908366533881,-0.004382470119521975,-0.004780876494023811,-0.009960159362549792,-0.02231075697211149
9,9,0.8924302788844621,0.8629441624365483,0.8990634399781241,0.9612387202625103,-0.003984063745019806,-0.005976095617529875,-0.0031872509960159112,-0.00039840637450183625,0.0007968127490040056,-0.0023904382470119057,0.0011952191235061749,-0.012350597609561809,0.004382470119522086,-0.0011952191235059528,-0.003984063745019806,0.010756972111553798,0.002788844621513964,-0.004780876494023811,1.1102230246251565e-16,-0.0023904382470119057,-0.01553784860557772,-0.0035856573705179695,-0.0007968127490038945,0.005976095617529875,0.021513944223107595,0.002788844621513964,0.0031872509960160222,0.008764940239043839,-0.01553784860557772,0.01035856573705185,0.009960159362549792,-0.004780876494023811
