,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled
0,0,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.9229323308270677,0.003555555555555645,0.0,0.004444444444444473,0.0,-0.014666666666666606,0.004444444444444473,-0.0004444444444444695,0.002666666666666817,0.015111111111111075,-0.0022222222222223476,0.002666666666666817,-0.0022222222222221255
1,1,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.9081399150049035,-0.000888888888888828,0.003555555555555645,0.004000000000000115,0.000888888888888939,0.012444444444444258,0.0031111111111110645,0.004444444444444473,0.001777777777777767,0.003555555555555423,0.0031111111111110645,0.03022222222222215,0.004444444444444473
2,2,0.8888888888888888,0.8648648648648649,0.8859104282445243,0.9220333442301405,-0.003555555555555534,0.000888888888888939,-0.0013333333333334085,0.0022222222222221255,-0.004000000000000226,0.01777777777777767,0.03155555555555545,0.02399999999999991,0.23733333333333317,0.015555555555555545,0.02488888888888874,0.039111111111111097
3,3,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9070774762994444,-0.003555555555555534,-0.002666666666666706,-0.000888888888888828,-0.004444444444444473,0.016444444444444373,0.001777777777777656,-0.001777777777777656,-0.007555555555555538,-0.001777777777777878,-0.0022222222222223476,0.001777777777777656,0.000888888888888828
4,4,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.9136155606407322,0.0057777777777776596,-1.1102230246251565e-16,-0.004444444444444362,-0.000888888888888828,0.09155555555555539,0.005777777777777882,-0.0013333333333332975,-0.007555555555555649,-0.001777777777777878,0.06533333333333324,0.028888888888888853,-0.006666666666666599
5,5,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.9119810395554103,-0.003555555555555534,-0.0022222222222221255,-0.003555555555555756,-0.004444444444444584,-0.008000000000000118,0.000888888888888939,0.011555555555555652,-0.0040000000000000036,0.09111111111111114,0.008888888888888946,0.021777777777777896,0.004888888888888943
6,6,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9141059169663288,-0.005333333333333412,-0.000888888888888828,-0.009333333333333416,-0.010222222222222355,0.04266666666666663,-0.004444444444444473,-0.008888888888889057,-0.009777777777777885,0.08177777777777773,-0.004000000000000115,-0.011111111111111072,-0.0039999999999998925
7,7,0.8222222222222222,0.8095238095238095,0.8378963713631906,0.9086302713305002,-0.0697777777777776,-0.006222222222222129,-0.010666666666666713,-0.022222222222222254,0.23155555555555551,0.058666666666666645,0.0022222222222222365,0.06133333333333324,0.14533333333333331,0.04355555555555557,0.10711111111111116,0.0417777777777778
8,8,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9154135338345866,0.0013333333333334085,0.0004444444444443585,-0.0004444444444443585,0.003555555555555534,-0.000888888888888828,-0.0031111111111112866,-0.001777777777777656,-0.001777777777777878,0.016000000000000014,-0.0013333333333334085,0.0,0.000888888888888828
9,9,0.8888888888888888,0.8571428571428571,0.877533507682249,0.9194181104936253,0.01688888888888873,-0.0040000000000000036,0.0022222222222221255,0.020000000000000018,0.10844444444444434,0.0417777777777778,0.01644444444444426,0.022666666666666724,0.1884444444444443,0.023111111111111082,0.015555555555555434,0.016444444444444484
