,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_fd3_scaled
0,0,0.7397260273972602,0.7574468085106383,0.7710972269770626,0.8355015405682985,0.017808219178082174,0.15251141552511416,0.08721461187214608,0.2616438356164384
1,1,0.5799086757990868,0.0,0.5,0.7933926737418692,0.0,0.0,0.0,0.0
2,2,0.8356164383561644,0.8105263157894737,0.8358010955152345,0.8947278329339267,-0.018721461187214516,0.07579908675799096,0.2429223744292237,0.04474885844748855
3,3,0.7945205479452054,0.7513812154696132,0.7868880520369737,0.8956692913385826,-0.02100456621004576,0.026027397260274032,0.026940639269406486,0.03789954337899548
4,4,0.7077625570776256,0.5,0.6581650119821978,0.8697363916466964,0.034703196347032006,0.06712328767123299,0.09178082191780823,0.12328767123287676
5,5,0.7945205479452054,0.7169811320754716,0.7704125299554947,0.8115371448134199,-0.002739726027397249,0.018721461187214627,0.046575342465753455,0.024200913242009237
6,6,0.771689497716895,0.7159090909090909,0.7597141389934954,0.8571550838753851,-0.05753424657534245,0.10182648401826488,0.21187214611872152,0.1205479452054794
7,7,0.5799086757990868,0.0,0.5,0.5896097226977063,0.0,0.0,0.0,0.0
8,8,0.7990867579908676,0.7582417582417582,0.7923228346456692,0.9044847654912701,-0.057077625570776225,0.06484018264840197,0.03561643835616435,0.08858447488584476
9,9,0.8401826484018264,0.8292682926829268,0.8517203012666894,0.9007189318726463,0.0182648401826484,0.02100456621004565,0.09817351598173507,0.13470319634703198
10,10,0.5799086757990868,0.0,0.5,0.8840294419719275,0.0,0.0,0.0,0.0
11,11,0.6210045662100456,0.1782178217821782,0.5489130434782609,0.8179561793906196,-0.00045662100456611565,0.0004566210045662267,0.005022831050228271,0.008219178082191858
12,12,0.7534246575342466,0.6666666666666666,0.7304861348853133,0.8360150633344745,-0.005936073059360614,0.031050228310502304,-0.00502283105022816,0.005479452054794609
