,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
0,0,0.8619246861924686,0.8374384236453202,0.8735211475894706,0.9299763383614315,-0.0016736401673640433,0.002510460251046176,0.0008368200836821327,0.002510460251046176,0.001255230125523199,0.009623430962343194,1.1102230246251565e-16,0.004184100418410108,-0.002510460251045843,0.004184100418410108,0.0071129707112971285,0.001255230125523199
1,1,0.899581589958159,0.8762886597938144,0.9041333924874297,0.9727151730257321,0.002510460251046176,-0.005020920502092019,-0.0004184100418408443,0.022175732217573074,0.06443514644351467,0.040167364016736484,0.0167364016736401,0.0167364016736401,0.1384937238493722,0.04476987447698744,0.07907949790794966,0.014644351464435101
2,2,0.9288702928870293,0.914572864321608,0.9401434486838214,0.9730848861283644,0.00041841004184073327,0.019246861924686276,0.020920502092050097,0.02301255230125543,0.18451882845188283,0.07280334728033477,0.03138075313807531,0.030543933054393402,0.08828451882845179,0.09205020920502094,0.08870292887029274,0.0008368200836819106
3,3,0.8828451882845189,0.8679245283018868,0.9047619047619048,0.9572611653356995,0.00711297071129724,0.03347280334728031,-0.00502092050209213,0.011297071129707237,0.2648535564853557,0.10041841004184104,0.08912133891213392,0.023012552301255318,0.22301255230125527,0.11966527196652732,0.05523012552301254,0.03138075313807531
4,4,0.9163179916317992,0.900990099009901,0.9299393670511682,0.9665039929015085,0.002510460251046176,0.03933054393305446,0.02175732217573234,0.019665271966527342,0.11297071129707104,0.07112970711297062,0.0548117154811717,0.00794979079497915,0.2405857740585775,0.07196652719665286,0.03765690376569031,0.01882845188284532
5,5,0.9288702928870293,0.914572864321608,0.9401434486838214,0.9719018041999409,0.0029288702928869093,0.02887029288702947,0.01841004184100392,0.015481171548117123,-0.0004184100418412884,0.06359832635983265,0.015481171548117123,0.015062761506276057,0.22343096234309612,0.12761506276150625,0.012552301255230103,0.01171548117154797
6,6,0.895397489539749,0.8792270531400966,0.9129325643300799,0.9616237799467613,-0.0020920502092048876,0.00794979079497915,0.009205020920502127,0.01171548117154797,0.10585774058577413,0.03640167364016733,0.05732217573221765,0.0029288702928871313,0.11171548117154817,0.03933054393305446,0.08451882845188274,0.0029288702928871313
7,7,0.891213389121339,0.875,0.9095312037858622,0.9674652469683526,-0.0008368200836819106,0.008368200836820106,0.01004184100418426,0.011297071129707126,0.034309623430962444,0.048117154811715634,-0.0033472803347278646,0.013389121338912346,0.3581589958158996,0.08493723849372381,0.07489539748953977,0.008368200836820106
8,8,0.895397489539749,0.8743718592964824,0.9047988760721679,0.9659124519372967,-0.001255230125522866,0.0016736401673641543,0.015062761506276168,0.005857740585774152,0.02468619246861925,0.08117154811715477,0.04560669456066946,0.06945606694560658,0.2606694560669456,0.1238493723849372,0.10836820083681997,0.041004184100418506
9,9,0.899581589958159,0.8762886597938144,0.9041333924874297,0.9630286897367641,-0.0058577405857740406,0.04225941422594148,0.008786610878661172,0.01171548117154797,0.00502092050209213,0.09205020920502094,0.06694560669456062,0.05397489539748945,0.31548117154811717,0.0451882845188285,0.08953974895397476,0.010460251046025104
10,10,0.9163179916317992,0.8969072164948454,0.9218056787932565,0.9741940254362614,0.02468619246861936,0.01506276150627639,0.01882845188284532,0.025941422594142338,0.38075313807531386,0.17071129707112964,0.08451882845188285,-2.220446049250313e-16,0.3518828451882845,0.12677824267782423,0.1322175732217572,0.07866108786610881
11,11,0.8493723849372385,0.8144329896907216,0.8511165335699498,0.9270925761608991,-0.005020920502091908,-0.001255230125522977,-0.002510460251045954,-0.003765690376568931,-0.008368200836819994,0.004184100418409997,0.0008368200836820217,-0.0016736401673639323,-0.007531380753137973,0.006276150627615218,0.0058577405857740406,-0.002510460251045954
12,12,0.8619246861924686,0.847926267281106,0.8877551020408163,0.9475007394262052,-0.00041841004184106634,0.030125523012552335,-0.006276150627614996,0.019246861924686165,0.14518828451882848,0.09958158995815902,0.06652719665271978,0.012133891213389147,0.20041841004184102,0.08158995815899595,0.013389121338912124,0.019246861924686276
13,13,0.8744769874476988,0.8529411764705882,0.8877920733510796,0.9643596569062407,-0.0020920502092048876,-0.007949790794978928,-0.014225941422594035,0.008368200836820106,0.06778242677824253,0.048953974895397434,0.02677824267782425,0.011715481171548303,0.13389121338912136,0.05313807531380754,0.011715481171548081,0.05230125523012563
14,14,0.8577405857740585,0.8172043010752689,0.8518189884649512,0.9396628216503993,-0.0046025104602509526,0.0008368200836820217,0.00041841004184106634,0.0016736401673640433,-0.011715481171548081,0.019246861924686165,0.01589958158995819,0.009205020920502016,-0.009205020920502127,0.015481171548117012,0.011715481171548081,0.002510460251046065
