,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.front_CO2_vd_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled
0,0,0.7955555555555556,0.7444444444444445,0.785183066361556,0.8756129454069957,-0.010222222222222244,0.04799999999999993,0.08222222222222231,0.06044444444444452
1,1,0.8044444444444444,0.75,0.7910264792415822,0.8859921542987905,0.01288888888888895,0.07644444444444454,0.10133333333333316,0.10711111111111093
2,2,0.7733333333333333,0.7085714285714285,0.7580091533180777,0.8694017652827721,0.014222222222222247,0.06177777777777771,0.11377777777777787,0.10844444444444445
3,3,0.8133333333333334,0.7692307692307693,0.8052468126838837,0.8667048054919909,0.001777777777777767,0.08044444444444443,0.09200000000000008,0.1213333333333333
4,4,0.7511111111111111,0.6666666666666666,0.7291598561621445,0.865969271003596,0.039111111111111097,0.07288888888888889,0.09244444444444444,0.09333333333333327
5,5,0.76,0.6785714285714286,0.7383540372670807,0.8707093821510297,0.002666666666666706,0.045777777777777806,0.08177777777777784,0.09733333333333327
6,6,0.7822222222222223,0.72,0.767203334423014,0.8620464203988232,0.016888888888888953,0.0768888888888889,0.08044444444444443,0.1093333333333334
7,7,0.7955555555555556,0.7415730337078652,0.783507682249101,0.8661327231121282,0.016444444444444484,0.06177777777777782,0.07466666666666666,0.10888888888888881
8,8,0.7466666666666667,0.6586826347305389,0.7237250735534488,0.8492154298790454,0.017777777777777892,0.0675555555555557,0.10444444444444456,0.11511111111111105
9,9,0.7466666666666667,0.6586826347305389,0.7237250735534488,0.8648251062438705,0.029333333333333544,0.08444444444444443,0.09199999999999997,0.08355555555555572
10,10,0.7555555555555555,0.6706586826347305,0.7329192546583851,0.8586956521739131,0.051999999999999935,0.0875555555555555,0.08844444444444444,0.11333333333333329
11,11,0.7955555555555556,0.7415730337078652,0.783507682249101,0.8736515201046093,-0.008888888888888835,0.05377777777777781,0.09199999999999997,0.07733333333333337
12,12,0.7822222222222223,0.72,0.767203334423014,0.86441647597254,0.02400000000000002,0.052444444444444405,0.10711111111111116,0.0835555555555556
13,13,0.7644444444444445,0.6900584795321637,0.7454642039882314,0.8430042497548219,0.03022222222222226,0.06577777777777771,0.09422222222222232,0.12888888888888883
14,14,0.7688888888888888,0.6941176470588235,0.7492236024844721,0.8803530565544295,0.0022222222222221255,0.0497777777777777,0.03777777777777769,0.10799999999999987
15,15,0.7644444444444445,0.6900584795321637,0.7454642039882314,0.8542007191892775,0.0537777777777777,0.07111111111111101,0.12711111111111117,0.13022222222222224
16,16,0.7866666666666666,0.7272727272727273,0.7726381170317097,0.8720987250735535,-0.008000000000000007,0.052888888888888874,0.05377777777777781,0.06888888888888878
17,17,0.7822222222222223,0.7167630057803468,0.765527950310559,0.8742236024844721,0.006666666666666821,0.04444444444444451,0.08000000000000007,0.10266666666666668
18,18,0.7422222222222222,0.6233766233766234,0.7082379862700229,0.8743870545930043,-0.000888888888888828,0.06622222222222218,0.09422222222222221,0.10800000000000021
19,19,0.76,0.686046511627907,0.7417048054919908,0.8634357633213469,-0.011555555555555541,0.033777777777777795,0.03866666666666674,0.06577777777777782
20,20,0.8,0.7486033519553073,0.7889424648577967,0.8688296829029094,-0.0057777777777775485,0.05777777777777793,0.09911111111111115,0.09022222222222231
21,21,0.8088888888888889,0.7624309392265194,0.799812030075188,0.8564073226544622,0.000888888888888828,0.10799999999999998,0.09422222222222221,0.12311111111111106
22,22,0.8,0.7486033519553073,0.7889424648577967,0.8828048381824125,-0.026222222222222147,0.0715555555555556,0.10400000000000009,0.05466666666666675
23,23,0.7466666666666667,0.6545454545454545,0.7220496894409938,0.8723439032363518,0.007111111111111068,0.06577777777777771,0.08133333333333326,0.11377777777777776
24,24,0.7422222222222222,0.6506024096385542,0.7182902909447533,0.8621281464530892,0.02533333333333332,0.06177777777777771,0.09866666666666657,0.0862222222222222
25,25,0.7955555555555556,0.7444444444444445,0.785183066361556,0.8653971886237333,0.01200000000000001,0.052888888888888874,0.10044444444444456,0.12577777777777777
26,26,0.6622222222222223,0.42424242424242425,0.607061131088591,0.8677672441974502,0.0013333333333332975,0.0497777777777777,0.039555555555555566,0.04488888888888887
27,27,0.76,0.6823529411764706,0.7400294213795358,0.8706276560967636,0.04755555555555557,0.07422222222222219,0.09377777777777785,0.10799999999999998
28,28,0.7777777777777778,0.7126436781609196,0.7617685518143185,0.8664596273291925,0.020444444444444376,0.07111111111111112,0.09822222222222221,0.10711111111111116
29,29,0.8088888888888889,0.7542857142857143,0.7947858777378227,0.8834586466165414,0.012888888888888839,0.06399999999999995,0.0848888888888889,0.0902222222222222
30,30,0.7377777777777778,0.5986394557823129,0.6977770513239621,0.881497221314155,0.007999999999999896,0.08044444444444443,0.09911111111111115,0.10311111111111104
31,31,0.7822222222222223,0.72,0.767203334423014,0.8689931350114417,0.013333333333333308,0.07111111111111112,0.0955555555555555,0.08933333333333338
32,32,0.7911111111111111,0.7374301675977654,0.7797482837528604,0.8712814645308925,0.0048888888888888316,0.0564444444444443,0.10755555555555552,0.09155555555555561
33,33,0.7822222222222223,0.72,0.767203334423014,0.8604936253677673,0.028888888888888964,0.05688888888888888,0.06755555555555559,0.1008888888888888
34,34,0.7733333333333333,0.7052023121387283,0.7563337692056227,0.8511768551814318,0.03866666666666663,0.057777777777777595,0.10311111111111104,0.12088888888888882
35,35,0.7866666666666666,0.7142857142857143,0.7659365805818895,0.8882804838182412,-0.01777777777777778,0.057777777777777706,0.058222222222222175,0.06711111111111112
36,36,0.7866666666666666,0.7303370786516854,0.7743135011441648,0.8666230794377248,-0.008000000000000118,0.03866666666666663,0.05511111111111111,0.07999999999999985
37,37,0.7555555555555555,0.6745562130177515,0.7345946387708402,0.8637626675384112,0.027111111111111086,0.06266666666666665,0.08933333333333326,0.1133333333333334
