,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.front_CO2_vd_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled
0,0,0.855072463768116,0.8369565217391305,0.8532608695652174,0.9401701323251418,-0.024154589371980673,0.008695652173912993,0.009661835748792313,0.014009661835748921,0.18937198067632843,0.009661835748792313,0.01449275362318847,0.011594202898550732,0.22850241545893724,0.02705314009661841,0.004830917874396157,0.004830917874396157
1,1,0.9227053140096618,0.9148936170212766,0.9239130434782609,0.9489603024574669,0.0033816425120773985,0.018357487922705418,0.025603864734299542,0.0304347826086957,0.2647342995169081,0.07536231884057965,0.06811594202898552,0.057487922705314,0.25748792270531384,0.09613526570048303,0.07004830917874394,0.05652173913043479
2,2,0.8454106280193237,0.8333333333333334,0.8478260869565217,0.9162570888468808,-0.018840579710144967,0.021256038647343045,0.020772946859903385,0.019323671497584627,0.2724637681159421,0.01352657004830915,0.01207729468599028,0.0019323671497584183,0.29903381642512084,0.018840579710144856,0.005797101449275366,0.0014492753623188692
3,3,0.8260869565217391,0.8217821782178217,0.8336956521739131,0.9267485822306238,-0.016908212560386437,0.022222222222222254,0.02801932367149762,0.024637681159420333,0.26763285024154604,0.025603864734299653,0.020772946859903496,0.015942028985507117,0.22946859903381644,0.02946859903381649,0.01352657004830915,0.009661835748792202
4,4,0.821256038647343,0.8159203980099502,0.8282608695652174,0.9368620037807183,-0.0028985507246376274,0.010628019323671412,0.01690821256038655,0.007729468599033784,0.23478260869565226,0.006280193236715026,-0.0014492753623188692,1.1102230246251565e-16,0.18357487922705318,0.01449275362318836,-0.007729468599033784,-0.010144927536231751
5,5,0.8502415458937198,0.8306010928961749,0.8478260869565217,0.9248582230623819,-0.048309178743961456,0.010144927536231974,0.010144927536231974,0.010628019323671523,0.18695652173913035,0.007246376811594235,0.005797101449275366,0.0009661835748792091,0.18550724637681149,0.021256038647343045,0.007246376811594235,0.009178743961352764
6,6,0.8647342995169082,0.851063829787234,0.8652173913043478,0.9370510396975426,-0.035748792270531515,0.01256038647342983,0.02801932367149751,0.019806763285024176,0.26521739130434774,0.018840579710144967,0.005797101449275255,0.007729468599033673,0.20434782608695645,0.034782608695652195,0.016908212560386437,-0.0004830917874396601
7,7,0.7294685990338164,0.7431192660550459,0.7445652173913044,0.9092627599243858,-0.03623188405797095,0.008212560386473444,0.017874396135265647,0.010628019323671523,0.2714975845410628,0.011111111111111183,0.0009661835748793202,-0.0009661835748790981,0.2521739130434782,0.01642512077294689,0.004347826086956608,0.013043478260869601
8,8,0.7971014492753623,0.7961165048543689,0.8065217391304348,0.9344045368620039,-0.06328502415458936,-0.0024154589371980784,0.018357487922705307,0.004347826086956497,0.3086956521739131,0.005797101449275366,0.0004830917874396601,-0.0014492753623188692,0.24444444444444446,0.011594202898550732,0.0019323671497584183,0.0009661835748792091
9,9,0.8743961352657005,0.8686868686868687,0.8804347826086957,0.9310018903591682,0.004347826086956497,0.01594202898550723,0.032850241545893666,0.024637681159420333,0.3265700483091788,0.019806763285024176,0.01159420289855062,0.005314009661835706,0.2942028985507247,0.030917874396135248,0.017874396135265758,0.009661835748792202
