,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled
0,0,0.8847736625514403,0.8833068242066197,0.8614106019766397,0.9360587002096437,2.0455393085502314,0.8598573982876717,1.0477927605574264,1.6319712269188518,0.028527791187524194,0.09670781893004111,0.048971193415637826,0.04691358024691354,0.03415637860082301
1,1,0.8765432098765432,0.8753645004923123,0.854066265060241,0.9454066265060241,2.55278637317767,0.6592945364353059,1.616028529569298,0.5410491995692231,0.15569982098307933,0.09053497942386832,0.01069958847736625,0.03168724279835392,0.022633744855967086
2,2,0.8353909465020576,0.8358093824249635,0.8226559028292105,0.8997185602133018,1.9229374044479277,0.8581366589223564,1.7897368021756872,1.3705371261712016,-0.11671639422220342,0.07037037037037033,0.009465020576131656,0.0222222222222222,0.02057613168724277
3,3,0.8765432098765432,0.8757086534864312,0.8538726993865031,0.9382668711656442,1.3706253713566074,0.775391252051864,1.4734254883042708,1.7557744534918085,0.16011504508934252,0.1271604938271605,0.019753086419753107,0.039917695473251025,0.027160493827160504
4,4,0.8683127572016461,0.8713559028650238,0.8532792728568883,0.9306718944929603,1.3571616078542605,0.8860476997765429,1.0029220017378966,2.125318497415089,0.17222084521546216,0.08930041152263378,0.04032921810699591,0.03786008230452679,0.02839506172839511
5,5,0.8271604938271605,0.8262210087973304,0.8069186560565871,0.9031093427645152,2.3603517642788643,0.5508135852953545,1.4715544677984336,1.3237787875798726,0.030678906367113564,0.08724279835390948,0.016049382716049398,0.032098765432098775,0.025514403292181066
6,6,0.8888888888888888,0.8890794702703874,0.8734157408856205,0.9391331560006259,1.7102433025376347,1.3076382633257273,1.64997482732735,1.3537533150075522,-0.6872368542610435,0.11399176954732507,0.029629629629629582,0.049794238683127524,0.045267489711934096
7,7,0.8683127572016461,0.8696881481352701,0.8559491444106828,0.9195586118663043,1.9328587960255008,0.8253259840014391,1.7044379164883112,1.1402420623739655,-0.07322445134051195,0.0843621399176955,-0.0008230452674896748,0.024279835390946546,0.022222222222222275
8,8,0.8559670781893004,0.857265391508074,0.85553772070626,0.9301036042609075,1.7206546876206623,0.7190777885004815,1.278953274225343,1.3611646626426197,0.5375395981879949,0.08395061728395062,0.02263374485596705,0.05061728395061728,0.02222222222222221
9,9,0.8765432098765432,0.8776863283036123,0.8685314685314685,0.9395493395493395,1.8233495414233298,0.7572461257340225,1.4689517892162893,1.4586634977570443,0.1176016579443206,0.07242798353909466,0.019753086419753096,0.026748971193415638,0.014814814814814803
10,10,0.8847736625514403,0.8833946471509803,0.8635017034513406,0.9363057324840764,1.8890693624355874,0.9809116120001652,0.6149140944667615,1.978567052360414,0.18050811220506544,0.13127572016460903,0.02263374485596704,0.031275720164609035,0.01851851851851847
11,11,0.9012345679012346,0.9012345679012346,0.8959017563901186,0.9610167071255176,2.110440020308985,1.0081962600369319,1.378803484561189,1.150690547665006,-0.3657823090292611,0.102880658436214,0.010288065843621397,0.030864197530864203,0.03127572016460907
12,12,0.8765432098765432,0.8746963142509271,0.8530061892130858,0.9514441497200118,2.3041900042093313,1.0365683567303818,0.8513759656249279,1.1310339017245745,0.10032768552922706,0.08189300411522635,0.012757201646090543,0.017283950617283973,0.024691358024691357
