,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_temperature_scaled,feature_importance.backlow_CO2_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_humidity_fd3_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_humidity_fd2_scaled
0,0,0.9423868312757202,0.942219805146512,0.9335130278526504,0.9902665468703205,2.2012507675703885,1.4712183615294445,1.9992165927967689,1.5417122560797474,0.5128651034676338,0.13909465020576137,0.07037037037037042,0.022222222222222254,0.005761316872428058,0.005349794238683203,0.004526748971193473,0.004526748971193473,0.0024691358024691913,0.001646090534979472,0.0008230452674897637,-0.00041152263374480966,-0.0008230452674896748
1,1,0.9465020576131687,0.9469861661243056,0.9506777108433735,0.9935240963855421,2.384169532704413,1.7013346944949408,1.6007616853399125,1.2319642153411616,0.7626365473161876,0.1304526748971194,0.07366255144032925,0.05267489711934159,0.0049382716049383045,0.0016460905349794275,0.015226337448559701,-0.003703703703703687,0.0016460905349794275,-0.0008230452674897082,0.004115226337448585,-0.0028806584362139785,-0.0032921810699588104
2,2,0.9176954732510288,0.9187441272414238,0.9257887720337727,0.9822989186787143,1.7278245679756525,1.5139843478947155,1.5634341970303958,1.698345603554552,1.1160277025533316,0.15349794238683132,0.08189300411522639,0.03333333333333338,0.0037037037037037646,0.004938271604938338,0.0061728395061729,-0.0032921810699588216,-0.005761316872427957,0.004526748971193461,3.3306690738754695e-17,0.00246913580246918,-0.003703703703703665
3,3,0.9588477366255144,0.9592056497595319,0.9629601226993865,0.9910276073619633,1.4753255174894706,2.0265718431239383,1.9564418151699432,2.04532606318975,0.2647813451557814,0.13127572016460903,0.08600823045267487,0.03662551440329215,0.008230452674897082,0.00905349794238679,0.018930041152263342,0.005349794238683103,-0.006172839506172867,0.009053497942386801,-0.002880658436214001,-0.006172839506172878,0.004938271604938249
4,4,0.9423868312757202,0.9432308617077656,0.9401176260916058,0.9878809481375869,2.339100920316254,1.9613670750763343,0.8762762809514697,1.9910343817589709,0.7659296884532396,0.14938271604938275,0.07818930041152268,0.023045267489711984,0.005349794238683192,0.00246913580246918,0.026337448559670806,-0.003703703703703665,0.0020576131687243147,-0.010288065843621352,0.0037037037037037533,0.004115226337448619,0.0028806584362140453
5,5,0.9218106995884774,0.9224253931194727,0.9238505747126436,0.9779693486590039,1.465828972469839,2.300934800089545,1.6739958572009963,1.761867848277637,0.46337440295070365,0.15226337448559674,0.0740740740740741,0.028806584362139943,0.006172839506172856,0.013580246913580295,0.012757201646090576,-0.0024691358024691136,0.0008230452674897303,0.004115226337448585,-0.0024691358024691245,-0.006995884773662519,-0.005761316872427957
6,6,0.9547325102880658,0.9552290901083172,0.9599045532780472,0.9860741667970583,1.7706523056942136,1.5590189643425214,1.4914962063066042,2.3309871401289732,0.5480380124057634,0.13209876543209878,0.10205761316872426,0.0316872427983539,0.011111111111111082,0.01069958847736624,0.025925925925925918,0.0004115226337448541,0.003292181069958833,0.004526748971193395,0.011111111111111117,0.0016460905349794165,0.003703703703703687
7,7,0.9588477366255144,0.9589996080736821,0.9552214936830321,0.982648328802175,2.0467474196705573,1.4133877632573126,1.4628018823196698,1.5581294298807282,1.179453592194333,0.1633744855967078,0.10370370370370367,0.04650205761316869,0.009876543209876498,0.011522633744855914,0.033333333333333305,0.011934156378600768,0.0020576131687242705,0.018930041152263332,0.006995884773662519,0.0012345679012345622,0.013991769547325051
8,8,0.9588477366255144,0.9591840346918006,0.965161243251131,0.9900043776448271,1.3658184687824815,1.8112045739549278,1.759418499069518,1.6795344688617393,1.0743294730559243,0.17777777777777776,0.11522633744855966,0.04567901234567898,0.008230452674897082,0.003292181069958833,0.021810699588477332,0.0016460905349794165,0.0020576131687242484,0.013580246913580197,0.010699588477366217,0.003703703703703687,0.004938271604938249
9,9,0.9300411522633745,0.9307852681009499,0.9315850815850816,0.9876456876456876,2.2192418095242004,2.123545506769963,1.4689261957074085,1.5712031067750138,0.2510061849019443,0.1374485596707819,0.07860082304526748,0.0279835390946502,0.00781893004115225,0.003292181069958833,0.007407407407407418,-0.005349794238683103,0.007818930041152227,-0.0037037037037036978,-0.004115226337448552,0.004115226337448541,-0.006995884773662553
