,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd3_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_temperature_fd1_scaled
0,0,0.9745454545454545,0.9746356712842651,0.9626891041985381,0.9963454020057794,2.36436688353017,1.3030878066418607,1.5163315432612088,2.134717543373434,1.628315199591946,0.19090909090909086,0.01927272727272721,0.011272727272727212,0.006545454545454477,0.006545454545454477,0.005454545454545379,0.003999999999999959,0.003999999999999915,0.0003636363636363549,-0.0003636363636363993,-0.0010909090909090979,-0.001090909090909109
1,1,0.9672727272727273,0.9673857466255894,0.9516507457683928,0.995810289927937,2.907152477367353,1.5643376527654558,0.7451291936062266,2.5114755681135477,1.0426872972060426,0.19418181818181818,0.02072727272727274,0.004000000000000026,0.0043636363636363916,0.0061818181818181885,0.0003636363636363549,0.00436363636363638,0.01018181818181817,-0.001454545454545464,0.004000000000000015,0.005818181818181845,0.00036363636363637706
2,2,0.9745454545454545,0.9746228767820143,0.9653170119271814,0.9957627118644068,2.3927010155771207,1.5494456851451024,1.5457281529028137,2.483288260277547,1.4080557967400333,0.20545454545454542,0.025454545454545407,0.0032727272727272384,0.00363636363636356,0.003999999999999937,0.0018181818181817744,0.003999999999999959,0.0003636363636363438,-3.3306690738754695e-17,0.0032727272727271937,0.005454545454545379,0.0
3,3,0.96,0.9593093261769541,0.9229438274585546,0.9934814099468856,2.553831968890663,2.0145466898004947,1.1533181917240856,1.2084418302479614,1.8619994209939335,0.17018181818181816,0.02472727272727271,0.004363636363636292,0.008727272727272672,0.0025454545454544953,0.0076363636363635965,0.003636363636363593,0.0021818181818181403,0.006545454545454488,0.003999999999999948,0.0029090909090908725,0.0014545454545454085
4,4,0.9781818181818182,0.9779323448019496,0.9585678317535544,0.9996297393364928,2.319520933269266,1.587997827281873,1.5093193329930095,2.753125612319569,0.387350197313092,0.21381818181818182,0.027636363636363615,0.006181818181818144,-0.0018181818181818299,-0.008000000000000052,-0.001454545454545464,-0.0036363636363636598,0.000363636363636366,-0.0018181818181818299,-0.0018181818181818299,-0.0021818181818181958,-0.003272727272727294
5,5,0.9672727272727273,0.9669059395676975,0.9366394696583376,0.99473057963624,1.9215128466179605,2.0399792912811856,1.210188021650639,2.46820526397312,1.466639425253919,0.13963636363636364,0.03490909090909091,0.004727272727272735,-0.004727272727272714,0.0032727272727272826,0.004000000000000026,0.011272727272727268,0.0018181818181818299,0.003272727272727294,0.004727272727272735,-0.0029090909090909054,-0.003999999999999992
6,6,0.9818181818181818,0.9817704822459874,0.972488038277512,0.998767580107293,2.8258722396833003,1.468965970599223,1.5178793947283427,1.4627128394728794,1.3634346837400384,0.20290909090909087,0.029090909090909067,0.004727272727272747,0.008000000000000007,0.0010909090909090979,0.001454545454545464,0.000363636363636366,0.000363636363636366,0.0,0.000727272727272732,0.0,-0.003272727272727294
7,7,0.96,0.9607673818606804,0.9511288546255506,0.9932085168869309,1.884945897958528,2.1592103852574094,1.56877518083432,1.9142670259957004,1.4133367008163442,0.13381818181818178,0.011999999999999966,0.0014545454545454085,0.0007272727272727098,-0.00545454545454549,-0.000363636363636366,-0.006909090909090953,-0.0061818181818182215,-0.007636363636363686,-0.00290909090909095,0.0007272727272727098,-0.0036363636363636598
8,8,0.9672727272727273,0.9673857466255894,0.9516507457683928,0.9963968493380257,3.1584804773745034,1.4057734765690435,1.5336685229797293,2.758478854377268,0.21366701540889121,0.15563636363636366,0.014181818181818207,0.0,0.001454545454545464,0.0040000000000000036,0.0043636363636363916,0.003272727272727294,-0.005090909090909079,-0.001454545454545464,0.00436363636363638,0.0021818181818181958,-0.000363636363636366
9,9,0.9745454545454545,0.9744300594479736,0.9490338164251207,0.9953623188405798,2.8761878730197705,1.7456726217450396,0.8301417416573101,2.7428031128748125,0.5210679440909356,0.153090909090909,0.025090909090909032,0.002545454545454506,0.0014545454545454195,0.01054545454545448,0.0025454545454544953,0.004363636363636303,0.004363636363636303,0.002909090909090861,0.008727272727272684,0.0007272727272726986,0.0014545454545453972
10,10,0.9672727272727273,0.9673607086720937,0.9569016587677726,0.9964454976303317,2.403546888476001,1.4706281856705952,0.9770491987090972,2.519681575741712,1.4342318992629322,0.21527272727272734,0.009454545454545483,-0.002909090909090928,0.000363636363636366,-0.001454545454545464,0.006545454545454565,-0.0014545454545454527,-0.0018181818181818299,0.0010909090909090979,-0.007272727272727253,-0.0025454545454545396,-0.002181818181818185
11,11,0.9636363636363636,0.9636363636363636,0.941568927417984,0.99473057963624,2.5409744754235213,1.3530018350310242,0.7175482034745465,2.5835875689968555,2.1136997831447935,0.17418181818181816,0.014545454545454528,0.004363636363636347,-0.000363636363636366,0.000727272727272732,0.0072727272727272415,0.007999999999999974,0.002181818181818185,0.005090909090909079,0.009090909090909049,-0.0010909090909090979,0.002181818181818185
12,12,0.9818181818181818,0.9818843328955688,0.9740427733701276,0.9987926871334943,2.5186891830712863,1.7712528942107855,0.9494843787466707,2.4742335209873185,0.9285245358266192,0.1829090909090909,0.019999999999999997,0.00945454545454546,0.0061818181818182215,0.005090909090909123,0.0018181818181818299,0.004000000000000026,0.002909090909090928,0.0021818181818181958,0.006545454545454565,0.0036363636363636598,0.0036363636363636598
13,13,0.9818181818181818,0.9820017574003906,0.9816909669850846,0.9990782637841461,2.91928806962396,2.0772856560876387,1.0390685042522145,1.7907996205715995,1.122789937192825,0.17636363636363636,0.021090909090909084,-0.003272727272727294,0.000727272727272732,0.0021818181818181958,0.000727272727272732,0.0021818181818181958,0.0025454545454545617,-0.000727272727272732,0.004727272727272735,0.0021818181818181958,-0.0018181818181818299
14,14,0.9927272727272727,0.9927678401263306,0.9953051643192488,0.9998485536877177,3.232651400187579,1.5121565801367503,1.182521924536313,1.902340323679319,0.9055792305776936,0.21127272727272722,0.03672727272727268,0.005454545454545401,0.0072727272727272085,0.007636363636363585,0.005818181818181755,0.0014545454545454195,0.0010909090909090647,-2.2204460492503132e-17,0.0065454545454544984,0.004363636363636292,0.0025454545454544953
15,15,0.9527272727272728,0.9526062376346358,0.9333381171067738,0.9885189437428243,2.898305242460627,1.489282222825673,1.6411074314446894,1.7023570092105123,1.715097756543326,0.21563636363636368,0.026545454545454584,0.011636363636363677,0.002909090909090928,0.007636363636363675,0.009090909090909139,0.007636363636363675,-0.0014545454545454527,-0.0007272727272727098,0.003272727272727294,0.0018181818181818299,0.005090909090909123
16,16,0.9745454545454545,0.9746356712842651,0.9626891041985381,0.995580486146524,2.4414962529495674,1.2975395933858842,1.600525480878568,2.4620253314553135,0.8446362040263956,0.172,0.017090909090909025,0.007999999999999941,0.0014545454545454085,0.002545454545454484,-0.0036363636363636598,-0.00036363636363638817,-0.001454545454545475,-0.002909090909090928,0.0003636363636363549,0.0003636363636363549,-0.0025454545454545617
17,17,0.9709090909090909,0.9707107438016529,0.9485078277886496,0.9959230267449446,2.4528165691271813,1.4432100040199227,1.5853429973342918,1.7775502963167182,1.4846808673073695,0.16036363636363643,0.028000000000000025,0.016000000000000014,0.0036363636363636598,0.0010909090909091202,0.002909090909090939,0.001090909090909109,0.0007272727272727431,0.005090909090909123,-0.00036363636363633266,-0.0010909090909090647,0.001454545454545464
18,18,0.9636363636363636,0.9634524058031521,0.9462205171923842,0.9958795112247798,2.793419281253141,1.3162231323162539,1.2175206497109283,1.664381943824308,1.6180972983388544,0.19745454545454544,0.035272727272727254,-0.0010909090909090979,0.001454545454545464,0.0,0.0058181818181818005,0.007999999999999962,-0.001454545454545475,-0.0036363636363636377,0.0029090909090909167,-0.004727272727272758,0.0018181818181817965
