,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_CO2_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled
0,0,0.934156378600823,0.9335467154397196,0.918800539083558,0.9747678945792155,1.1281703163408765,2.890931498180449,2.3613851428445933,1.2629084164402389,-0.6138734407774845,0.2744855967078189,0.23415637860082303,0.15349794238683123
1,1,0.9465020576131687,0.9467237465835433,0.9448795180722891,0.9826054216867469,1.5057937658128313,2.5461153051785304,1.9802127416572064,0.2834945179508355,0.952598866018231,0.3123456790123457,0.23991769547325106,0.1711934156378601
2,2,0.9053497942386831,0.9066314006882482,0.9136053917938083,0.9657828469856318,1.202961636009232,3.2078620942185796,0.857641588006684,1.02967627161516,1.2591099378568384,0.29465020576131684,0.24773662551440329,0.18024691358024691
3,3,0.9506172839506173,0.9506172839506173,0.9440950920245399,0.9858895705521473,0.9561457497572924,2.796944275817112,1.4316239146656526,1.299728286553164,0.5554843588282449,0.34074074074074073,0.26584362139917694,0.2049382716049383
4,4,0.934156378600823,0.934496048076295,0.9186865086437355,0.9826234182855107,1.9320790396168135,2.31258101994384,1.7210395209835132,0.7880663809713032,0.3446551108791871,0.2806584362139917,0.24650205761316868,0.19670781893004113
5,5,0.9382716049382716,0.9386310591340343,0.9392130857648099,0.9696433834364868,0.7589473390629928,3.2177797365558427,1.0984751088560798,1.1497384655322085,0.8517076244110707,0.3238683127572016,0.29094650205761313,0.17489711934156374
6,6,0.9423868312757202,0.9430981049636742,0.9473869503989986,0.9717571585041465,0.8571801843587518,2.827279732923166,1.5470754759600818,1.6262586132554075,0.17803388869353273,0.26296296296296295,0.24403292181069963,0.1613168724279836
7,7,0.9506172839506173,0.9507995296884185,0.9455061570446186,0.9701743163281625,1.6709819442818348,2.2258240323486596,2.3023258738547576,1.1789417227243066,-0.09968071783040613,0.27695473251028807,0.2308641975308642,0.18106995884773663
8,8,0.9382716049382716,0.938721667403838,0.9418138041733548,0.9819057347147235,0.5351220460790564,2.8521070939696966,1.347419854532484,1.3814462778205532,0.820843727661091,0.3526748971193415,0.2588477366255143,0.19588477366255136
9,9,0.9382716049382716,0.9389281777361322,0.941025641025641,0.9864024864024865,1.0792155429039711,2.8897178432215034,1.9333256360651756,0.8403431950538415,0.3067031722712882,0.3094650205761317,0.2580246913580246,0.16008230452674893
10,10,0.9506172839506173,0.9507428147274891,0.9486372389275664,0.9842245593245446,1.5046114260391172,2.5280980698230575,1.521819818383718,1.3152623259070482,0.31655790274345147,0.29876543209876544,0.21275720164609052,0.1522633744855967
11,11,0.9629629629629629,0.9629258682967122,0.9599814365272026,0.9897186919891475,1.1056670301166407,2.4889645331711865,1.7791060814528312,1.4530679016405523,0.2813782159987667,0.3246913580246913,0.26008230452674885,0.1530864197530864
12,12,0.9382716049382716,0.9386310591340343,0.9392130857648099,0.9809902740937224,0.15809285894121503,2.8522363495538436,1.7570296710057394,1.5728370108040082,0.5963944802409559,0.24855967078189295,0.254320987654321,0.1580246913580246
13,13,0.9053497942386831,0.9045380587248933,0.8848926380368098,0.9604294478527609,1.45856895337352,2.7069140815320316,1.671426090214981,1.1661546853771654,0.2653690911702402,0.25555555555555554,0.231275720164609,0.17983539094650203
14,14,0.9506172839506173,0.9504402501040804,0.9394852135815991,0.9797371303395399,1.225761817782429,2.3290306947089916,2.233785893812316,1.9250220855041595,-0.53961680592706,0.26008230452674896,0.2794238683127572,0.14650205761316873
15,15,0.9670781893004116,0.9671590456536693,0.9667329796640142,0.9935160624815796,1.0582268274990603,2.3686091534449942,2.2199606865449364,0.8426801274048508,0.596003456389709,0.31646090534979426,0.24567901234567904,0.16296296296296298
