,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled
0,0,0.8724279835390947,0.8718643688529462,0.8547843665768194,0.9366576819407006,1.0299015745890459,1.6608429122219723,1.3916366199462373,0.934855783838618,0.8042361188531418,0.11440329218107,0.10082304526748972,0.08395061728395062,0.04773662551440331
1,1,0.9135802469135802,0.9143622683546474,0.9140813253012048,0.961144578313253,1.7691834211946984,1.6286983618595294,1.0822872395348846,1.1260462433984595,-0.13592524060975447,0.1423868312757201,0.12880658436213985,0.11728395061728389,0.06131687242798349
2,2,0.8600823045267489,0.8616249193734574,0.860168863872019,0.937416679010517,1.801812251130591,1.8888291439997091,1.2621736747341747,0.6166957929566574,0.2673119082381923,0.1193415637860082,0.10329218106995883,0.09012345679012343,0.03497942386831271
3,3,0.8641975308641975,0.8655536946541145,0.8574003067484663,0.9396472392638037,1.3207998076102727,1.9302061298453024,1.4152234055216457,1.2638247247336403,-0.1205356759563008,0.11275720164609049,0.11687242798353906,0.10576131687242792,0.02551440329218102
4,4,0.8930041152263375,0.8969862336041322,0.9069684548208875,0.9399394047406878,2.0786999759115035,1.2880576656417442,0.9843842241162759,0.8281041515036998,0.5707717852750387,0.14403292181069963,0.1267489711934157,0.1032921810699589,0.06172839506172843
5,5,0.8353909465020576,0.8357952282683465,0.8234969053934571,0.9012673150604185,2.534337957080622,1.5056755500601742,1.124047765550802,0.8495887277041038,0.10854614828965571,0.10164609053497937,0.08065843621399173,0.10370370370370367,0.014403292181069949
6,6,0.8683127572016461,0.8699385256312554,0.8618369582225003,0.9245814426537318,2.618751424349079,1.3810587181919831,0.96367054485405,0.6656116802585164,0.2270342203369249,0.12674897119341572,0.12098765432098771,0.12345679012345682,0.06584362139917702
7,7,0.8806584362139918,0.8813095832260495,0.8648248840556533,0.9408284023668639,1.4027119603277953,1.203495619891564,1.415465656747459,1.0970865430998753,0.6410658392569402,0.10823045267489713,0.10041152263374484,0.11893004115226335,0.039094650205761305
8,8,0.8600823045267489,0.8614559074917335,0.8611556982343499,0.9347730920764629,2.2646476193257077,1.3306682884368,1.3145243737800771,0.6012903282766718,0.36376199317436847,0.13374485596707814,0.12633744855967075,0.07119341563786005,0.047736625514403254
9,9,0.8806584362139918,0.8815935540573221,0.8715617715617716,0.9454545454545455,1.6215534759001586,1.5053620090854278,0.8811287787106901,1.0932841481375128,0.699112450689697,0.13004115226337448,0.11687242798353906,0.11687242798353907,0.05802469135802466
10,10,0.8888888888888888,0.8884284579504187,0.8745741371648645,0.9350466597541104,1.8872781315445026,1.0459695042569495,0.9889187346540086,1.1410625523069124,1.0347992589843122,0.10699588477366251,0.12139917695473246,0.07201646090534974,0.05267489711934152
11,11,0.897119341563786,0.8975741712620839,0.8964729401684992,0.9674425246323004,2.616905653833326,1.5730340158666025,0.887483316259515,0.336410360158529,0.21591648041812694,0.15761316872427986,0.12345679012345681,0.12345679012345681,0.08641975308641978
12,12,0.8683127572016461,0.8679665198205662,0.8542219274977896,0.9352343059239611,2.0800421904823723,1.743143665325426,0.9998338075411145,0.9228860169567693,0.10165741184098989,0.10946502057613172,0.10288065843621404,0.11111111111111113,0.046502057613168765
13,13,0.8518518518518519,0.8518518518518519,0.8322852760736197,0.9339723926380368,2.415685029691582,1.0985200017021695,0.6179463534410874,0.7490915741697997,1.0520417262589705,0.08806584362139917,0.10164609053497942,0.11481481481481479,0.11152263374485596
14,14,0.9094650205761317,0.9100589904164396,0.9024018150524175,0.9566578000312941,1.793244537677988,1.52403672245537,1.0881592790492638,1.1998533964769948,0.1607100408761613,0.13950617283950614,0.12716049382716046,0.11604938271604937,0.10164609053497939
15,15,0.9135802469135802,0.9136882219840419,0.9072723253757737,0.9694223401119952,2.064611485149401,1.5341369278088706,0.9942182564124881,0.5383615030891898,0.37271166340786704,0.14773662551440325,0.15061728395061724,0.13251028806584356,0.03703703703703699
16,16,0.8724279835390947,0.8716851115345183,0.8591275554275842,0.9386697379786927,1.9958926605860954,1.2286500536864573,1.2084560020119424,1.1716671428770467,0.11857732849070592,0.10617283950617287,0.1094650205761317,0.08971193415637863,0.027160493827160504
17,17,0.8806584362139918,0.8801798735521932,0.8663793103448276,0.9541703507220748,1.8366704212915186,1.6139953934093303,1.237801850573669,0.7595436903045543,0.3105303815222701,0.1193415637860082,0.08353909465020574,0.10370370370370367,0.04238683127572016
18,18,0.8806584362139918,0.8810605289748684,0.8750182401867794,0.936524150007296,1.6714623464364875,1.4628710002973424,0.6534347377668044,1.2851899714277377,0.7501158133054054,0.12098765432098764,0.14074074074074072,0.06296296296296296,0.041975308641975295
19,19,0.8888888888888888,0.8903615595204379,0.8877622377622377,0.9527583527583527,1.5948964034742497,1.7817841846751643,1.126211946617653,1.2883898738465944,-0.05628593978932622,0.12633744855967075,0.11193415637860078,0.08559670781892999,0.10123456790123453
