,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled
0,0,0.9300411522633745,0.9295096409508206,0.9156558849955077,0.9863731656184487,2.6027795145662584,1.6070770181244092,1.1896230693384449,1.1444740970097578,1.3592882928931591,0.3065843621399177,0.16502057613168722,0.11028806584362139
1,1,0.9465020576131687,0.9468596044294549,0.9477786144578313,0.9902861445783132,2.3299666753314505,2.686883981722834,0.9741080500876431,1.1622581538461747,0.43880925676866356,0.34855967078189304,0.1522633744855967,0.13950617283950623
2,2,0.9218106995884774,0.9228694179598573,0.9316027255221448,0.9708191379054956,1.6754331423410778,2.957252620013575,1.1060340334382517,0.9904520497211058,0.7125856497641726,0.31193415637860084,0.18477366255144034,0.14650205761316876
3,3,0.9423868312757202,0.9421978408719858,0.9315950920245399,0.9842791411042945,2.1540146339499353,2.740030323976488,1.2754508215499107,1.099656482040368,0.3277732209723326,0.3477366255144033,0.19629629629629636,0.13580246913580254
4,4,0.9588477366255144,0.959260839828034,0.9564694350383176,0.9864551773302441,1.6366922355261637,2.3857982668059416,1.4448461806862616,1.527629413172665,0.6115182104296998,0.3320987654320987,0.2053497942386831,0.18106995884773655
5,5,0.9423868312757202,0.9426600587649278,0.9424182139699381,0.9774535809018569,1.8304299246985007,2.8582454653678346,0.8643494255625751,1.3915474067961104,0.6127292086034636,0.32880658436214,0.21522633744855968,0.15349794238683132
6,6,0.9588477366255144,0.9592406397535913,0.9629166014708184,0.9777812548896887,2.6565787863251713,1.9813351294859791,1.8350141077146036,0.9804178092406336,0.19393443443375769,0.3279835390946502,0.15884773662551438,0.1362139917695473
7,7,0.9506172839506173,0.9507995296884185,0.9455061570446186,0.9667359667359667,1.7760281279260912,2.474391701929872,2.071230026601509,0.4287663453585521,0.8953916133228411,0.3320987654320988,0.18065843621399175,0.1637860082304527
8,8,0.9506172839506173,0.9509318801477359,0.9539252881949511,0.9897854954034729,2.744669019813449,2.3494301407922182,1.1212652857348946,1.2329581411254043,-0.018047541102120892,0.3720164609053498,0.1744855967078189,0.13909465020576134
9,9,0.9711934156378601,0.9714191337379744,0.9754079254079254,0.9959595959595959,2.238537835103211,2.147821108452246,0.7698016805862969,0.7447281854667381,1.2939735344120218,0.36872427983539097,0.2148148148148148,0.15679012345679016
10,10,0.9588477366255144,0.9588477366255144,0.9550066656791587,0.9805954673381722,1.8232120289075402,2.7668457212146076,1.313272663900742,2.0006206811593437,-0.0829909524285475,0.342798353909465,0.1604938271604938,0.13580246913580243
11,11,0.9670781893004116,0.9670781893004116,0.9653005854633729,0.9924318149364557,2.4320522611286766,2.3274773477655675,1.826564034208754,0.6745844736777821,0.283413656851822,0.3580246913580247,0.174485596707819,0.1320987654320988
12,12,0.9382716049382716,0.9383487299886014,0.9341290893015031,0.9830533451223107,1.8282004374753622,1.9937294501939429,1.2666910593359242,1.4192198443440338,0.969929202674415,0.3115226337448559,0.16748971193415632,0.11646090534979418
13,13,0.9423868312757202,0.9419973716270011,0.9284125766871165,0.9680214723926381,1.8445985409731573,2.0999506451727017,0.9522521471335842,1.5920965015020156,1.3485553807932291,0.3374485596707819,0.18559670781893006,0.17942386831275722
14,14,0.9547325102880658,0.9546525465189226,0.9459787200751055,0.9811453606634329,2.192183448656603,2.425695855674846,1.5646053176382897,0.7041466461322067,0.9718876111832553,0.3349794238683127,0.19259259259259257,0.13209876543209875
15,15,0.9794238683127572,0.9794495766628671,0.9788903625110521,0.9912319481284998,1.9612132167036573,2.197703028088333,1.5528457883542093,1.057279468868952,0.764350862453536,0.34156378600823045,0.19711934156378597,0.15349794238683126
16,16,0.9423868312757202,0.9423868312757202,0.9387777137921105,0.9927296285632019,1.3038330699415355,2.415686114394977,0.9760893472630248,1.5418556285957021,1.1794784160351905,0.32674897119341567,0.15720164609053505,0.09341563786008235
17,17,0.9753086419753086,0.9753086419753086,0.9731432360742706,0.9859269083407015,2.7087799214567805,1.7857526207348546,1.508313890304271,0.429790260348991,1.2924020852578217,0.33127572016460904,0.17983539094650208,0.1271604938271605
18,18,0.9547325102880658,0.9545628351773403,0.9476871443163578,0.9926309645410769,2.6622816692795634,2.0758078080469655,1.4731151868462709,0.3898734522384098,1.1878999812721802,0.34485596707818933,0.17901234567901234,0.14074074074074072
19,19,0.9588477366255144,0.9592287761012039,0.9629370629370629,0.9941724941724942,2.468920931352534,1.2633434836542845,1.0915643531430954,1.130737451078929,1.4537717324376254,0.32510288065843623,0.21193415637860086,0.16172839506172837
20,20,0.9506172839506173,0.9507892078173202,0.9461471793255594,0.987945162306965,2.158007325942462,1.9159194725835123,1.8476311097780111,1.544837602274446,0.043635286247479185,0.34238683127572017,0.21316872427983538,0.1522633744855967
21,21,0.9465020576131687,0.9463989973424818,0.9349512234127619,0.983208060131137,1.388105963201395,2.8459227108036766,1.5402513073671316,1.3403673106297431,0.5023225359087969,0.31934156378600825,0.16049382716049382,0.1403292181069959
22,22,0.9465020576131687,0.9468248470192656,0.9480817656643461,0.9880017775144423,2.444416018143987,2.4476736575535707,1.3879370031162386,1.0422097940403805,0.5562979377418155,0.34732510288065843,0.17736625514403298,0.12880658436213993
23,23,0.9547325102880658,0.9548124740572089,0.9491411913016073,0.9955089820359281,2.2734751632039996,2.058841309958897,1.41559178838299,0.9134215776943231,0.8546921138008424,0.3382716049382716,0.14567901234567898,0.14979423868312755
24,24,0.934156378600823,0.9343237529699854,0.9306399051992298,0.9795585839134944,1.4590364438861358,2.594416442670336,0.9989107285838458,1.188217652474363,1.120398136056729,0.32057613168724275,0.19876543209876543,0.11481481481481479
25,25,0.9670781893004116,0.9669827457980069,0.9608041329739443,0.9958820005989818,2.301956953644496,2.5907538715120753,1.2150560998543614,0.6477705030533936,0.6560799001406487,0.3703703703703704,0.1769547325102881,0.15061728395061733
26,26,0.9670781893004116,0.9669342283590715,0.9556151940545003,0.9779521056977705,1.770558181252161,1.5443687303546363,0.9288870584238925,1.6669064285649617,1.8082627791786339,0.34567901234567905,0.19958847736625518,0.16049382716049385
27,27,0.9423868312757202,0.9423868312757202,0.9314665592264303,0.984286865431104,2.7186287488870358,2.5210553046235655,0.8338301069944555,0.6102001968491517,0.6110824194446457,0.3341563786008231,0.1452674897119342,0.1312757201646091
28,28,0.9506172839506173,0.9506172839506173,0.9451054216867469,0.9860692771084336,2.2650907009989956,1.9755083872476857,1.1277238682880524,1.3969889584907782,0.6729299160081422,0.3218106995884774,0.15802469135802472,0.11851851851851851
29,29,0.9423868312757202,0.9423868312757202,0.9395092460881935,0.9783072546230441,2.8054951315657326,2.4045561405578857,1.2972352651169845,0.6252390030964967,0.3977025766549088,0.3242798353909465,0.16625514403292183,0.10740740740740744
30,30,0.9629629629629629,0.963024628019885,0.9592074592074592,0.9897435897435898,2.602152744206505,1.9926856531033106,1.3049381699329123,0.7282994315134241,0.8533837608297118,0.3502057613168724,0.21069958847736622,0.17037037037037028
31,31,0.9670781893004116,0.9672068522995194,0.964546783625731,0.987735542560104,1.961751203959529,1.8037518648594195,1.356580816143463,1.5391157847370445,0.916023324118991,0.3724279835390946,0.17489711934156382,0.11810699588477372
32,32,0.9423868312757202,0.9430131546289403,0.9475308641975309,0.9886450236244475,1.7961386653787406,3.063123620215669,1.226328196623796,0.30012511697611016,1.103500723522066,0.36748971193415647,0.20164609053497945,0.20164609053497945
33,33,0.9588477366255144,0.9591615635676939,0.9629380053908356,0.9961814914645104,1.484391071057063,2.8364704836089705,0.85809890650911,0.742408605569436,1.4330762801844452,0.35061728395061725,0.22263374485596704,0.18641975308641973
34,34,0.9465020576131687,0.9462945825369673,0.9384164222873901,0.9809384164222873,1.970488911620302,2.309198312459317,1.7496015320758853,1.2057346631360837,0.29066865136496944,0.3094650205761317,0.20617283950617288,0.14979423868312758
