,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_temperature_scaled
0,0,0.9636363636363636,0.9636363636363636,0.941568927417984,0.99473057963624,1.7461094343875234,2.280441361663623,1.7615210209849763,1.6821807065124283,1.197143651401511,0.2647272727272727,0.1,0.011999999999999978
1,1,0.9672727272727273,0.9676031633207032,0.958647561588738,0.992626110273169,2.3829486970429112,1.9949199732437708,1.7011721675392855,0.7082196904002916,1.743064924947041,0.2636363636363636,0.12472727272727276,0.00690909090909092
2,2,0.9781818181818182,0.9781818181818182,0.9676318267419963,0.9968612680477088,1.885987248019494,2.7230801163859177,1.6156928983782566,0.5676715760668214,1.4744579346177857,0.29745454545454547,0.1290909090909091,0.014545454545454528
3,3,0.9672727272727273,0.9669422912247513,0.9404876871076775,0.9949299855142444,2.179103598800812,2.698107967575149,1.5278420738414324,1.2756427319380257,1.0467978157261328,0.2701818181818182,0.16072727272727275,0.022545454545454556
4,4,0.9818181818181818,0.9815550835942678,0.9609375,0.9982968009478673,1.9972419209468608,1.3466245530974952,1.9587036159998479,1.2003117799029621,1.8245827615963803,0.2843636363636364,0.11236363636363636,0.014181818181818174
5,5,0.9818181818181818,0.9820065474062853,0.98155702872684,0.995410504844467,1.94675372793614,2.513417460650818,1.2279429196722473,0.8879808420278671,1.8327965772203003,0.2610909090909091,0.16254545454545455,0.03890909090909089
6,6,0.9818181818181818,0.9817704822459874,0.972488038277512,0.9993475424097434,1.7169383112178118,2.18128509768656,1.339159756205007,1.5048157099017834,1.5389321466940693,0.3163636363636364,0.10800000000000001,0.016000000000000004
7,7,0.9563636363636364,0.9563636363636364,0.924284140969163,0.9945851688693098,1.6640034443135847,2.7533602995956783,1.5060750630214434,1.831436894837831,0.7456870437994637,0.22800000000000006,0.09527272727272731,0.0021818181818182404
8,8,0.9818181818181818,0.9816197285860206,0.960700519524049,0.9985754985754985,1.8985133289777718,2.4782838982308166,1.529874067154546,1.354471169682371,1.362847663857032,0.2741818181818182,0.12836363636363637,0.013454545454545452
9,9,0.9709090909090909,0.9709090909090909,0.9468599033816425,0.9946859903381642,1.8207948801778484,3.125749218106876,1.6405729222242964,0.8960053642098219,1.4307635244621628,0.2312727272727273,0.1316363636363637,0.012363636363636377
