,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_fd3_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled
0,0,0.9094650205761317,0.9089232645259511,0.8943171608265947,0.9803833483078767,1.3430320874503174,0.5628519538837263,1.328893303155485,2.807943011307402,0.5048346983382289,0.19711934156378597,0.029629629629629606,0.023868312757201617,-0.0004115226337448874,-0.0016460905349794386,-0.0024691358024691466,-0.002469135802469169,-0.007818930041152305
1,1,0.9300411522633745,0.9308278277767381,0.9352786144578313,0.96875,2.3853368583775825,0.9119662679090499,0.6274424082277572,3.311684176343997,-0.467248851845033,0.23004115226337446,0.06913580246913578,0.04320987654320986,0.020987654320987658,0.0024691358024691245,0.012345679012345656,0.00781893004115224,0.0028806584362139785
2,2,0.9012345679012346,0.9023234724989112,0.9051621981928604,0.9603762405569546,2.6473371096899645,0.5091678476288377,0.7526997336709722,2.577665121979127,0.02766789058671061,0.22674897119341564,0.04773662551440331,0.04609053497942387,0.01440329218106996,0.004115226337448552,0.01028806584362143,0.0057613168724279795,-0.0028806584362139898
3,3,0.9423868312757202,0.9427315851258352,0.9411426380368098,0.9855061349693252,1.365059147210316,-0.052697957909331725,1.476479364948317,2.9570130247614497,1.041012789208086,0.24855967078189298,0.05720164609053503,0.08312757201646095,0.017283950617283984,0.006584362139917743,0.0032921810699588993,0.020164609053497984,0.004526748971193473
4,4,0.9300411522633745,0.9320574091847361,0.9424345036535378,0.9846729638210658,2.2282520475729473,0.7408408787660921,0.7838797034040198,2.453532835660192,0.5079523665012063,0.23868312757201643,0.042798353909465,0.0530864197530864,0.00987654320987653,0.006995884773662531,0.008230452674897092,-0.0008230452674897303,-0.00864197530864197
5,5,0.9218106995884774,0.9219083913188951,0.9162245800176835,0.9676539935160625,1.1679125854751535,1.360623596242445,2.2360417083684543,2.0045070248977273,-0.039783467935814255,0.25761316872427986,0.0497942386831276,0.0497942386831276,0.027160493827160525,0.007818930041152305,0.012345679012345723,0.027160493827160525,0.016460905349794275
6,6,0.9135802469135802,0.9149801930694973,0.9193396964481302,0.972461273666093,2.3217198996953545,-0.32040581024747605,1.2458113167687594,3.219345570359202,0.4415126345932523,0.20370370370370364,0.0222222222222222,0.013580246913580197,-0.0032921810699588884,-0.00905349794238688,-0.006995884773662609,-0.0004115226337448874,-0.0032921810699588993
7,7,0.934156378600823,0.934844074067635,0.9336718375179913,0.9818487126179434,1.6393682969892638,0.5897588303312103,1.6087737683711643,2.560488373774285,0.028106721360985715,0.21728395061728395,0.042798353909464994,0.044855967078189285,0.00905349794238679,0.009876543209876498,0.0024691358024691245,0.013168724279835365,0.0012345679012345401
8,8,0.9053497942386831,0.9062029715624487,0.9087261053553188,0.9709616226470159,1.5281015963589644,0.34126915100569427,1.389457760062939,2.8546785730996347,0.6401727733054975,0.25349794238683127,0.033333333333333326,0.044032921810699586,0.02016460905349793,0.007818930041152227,0.0,0.007407407407407385,-0.00781893004115226
9,9,0.9176954732510288,0.9186804842513574,0.9191142191142192,0.9689199689199689,2.641401981888893,0.8641676707070278,0.7925935143395274,2.213904093266566,0.1848499519850543,0.22962962962962968,0.06131687242798358,0.0592592592592593,0.002057613168724326,0.007407407407407451,0.005761316872428058,0.008230452674897193,-0.001646090534979372
10,10,0.934156378600823,0.9339774290713316,0.9253814249740779,0.9900014812620352,1.8516428414918609,0.7769786107003325,1.576931624942233,2.970740171135594,-0.19761640452034193,0.2193415637860082,0.01975308641975305,0.018106995884773647,0.02139917695473249,-0.006584362139917732,-0.011934156378600857,0.002057613168724259,-0.0016460905349794496
11,11,0.9135802469135802,0.9133102094342405,0.9059688704840783,0.9782236184492361,1.7946773017509297,1.3429709010110642,0.3103000758175141,2.9028643014064714,0.3157429001239158,0.21604938271604932,0.036625514403292134,0.04279835390946498,0.0008230452674896748,-0.006584362139917732,-0.0028806584362140453,-0.016049382716049422,-0.01111111111111116
12,12,0.9300411522633745,0.9297606155305959,0.9200928381962865,0.9840848806366047,2.294981289600999,0.48463082128609253,1.5641635802467653,2.5153797349373503,-0.07375410563908384,0.22716049382716047,0.024691358024691336,0.03580246913580246,0.01152263374485597,0.00781893004115225,-0.0012345679012345622,-0.0016460905349794386,-0.004115226337448552
13,13,0.9012345679012346,0.9012345679012346,0.8881901840490798,0.963036809815951,1.990364382452926,0.6978507295720866,1.5609513089296816,2.663661660118249,-0.1826243317189828,0.1876543209876543,0.04403292181069962,0.042798353909465035,0.006584362139917699,0.00864197530864197,0.004115226337448541,0.004526748971193406,0.006172839506172823
14,14,0.9423868312757202,0.9430981049636742,0.9473869503989986,0.9831012361132844,2.486542312769583,0.6232246896649878,1.4808693897081082,2.729420883178756,-0.5225213807670323,0.22674897119341572,0.0415637860082305,0.038683127572016515,0.010288065843621463,0.005349794238683192,0.0032921810699589106,0.0061728395061728895,-0.0024691358024691024
15,15,0.9259259259259259,0.9259259259259259,0.9194297082228117,0.9820218096080165,1.9828303717806166,0.3082565931732209,0.797622217230753,2.8668096367396187,0.4270512448636536,0.22469135802469134,0.03827160493827161,0.038683127572016474,0.006584362139917699,0.0032921810699588438,0.0012345679012345622,0.025514403292181086,-0.0037037037037036978
16,16,0.9218106995884774,0.9218921394631989,0.9179743737402821,0.9791246760725597,2.4428984691580573,0.7387240334308489,1.2078856814480883,2.3879477165338194,-0.10252615800277678,0.22139917695473255,0.018106995884773693,0.025514403292181076,0.004526748971193461,-0.012345679012345656,-0.01563786008230449,0.002469135802469169,0.0024691358024691466
17,17,0.9382716049382716,0.9384950745271078,0.9366710875331565,0.9725169466548776,1.6227838853020176,0.6775851099929057,1.5887741716881878,2.573540654993202,0.3090421580311465,0.24938271604938267,0.042798353909464994,0.05555555555555551,0.020164609053497894,0.011111111111111061,0.0032921810699588216,0.007407407407407374,-0.0008230452674897415
18,18,0.9218106995884774,0.9217163457620798,0.914599445498322,0.9774551291405225,1.5980594878344194,1.3840363824340196,0.9098948715311325,2.9547537138474995,-0.10179246494949125,0.24567901234567904,0.025102880658436234,0.03662551440329222,0.0016460905349794496,-0.000411522633744843,-0.006172839506172823,0.021399176954732535,0.0024691358024691466
19,19,0.9382716049382716,0.9390897552891322,0.9444055944055945,0.9672105672105672,2.762407220618668,0.3190178915479782,1.645576664113934,2.3513382865246,-0.3437029916613499,0.2436213991769547,0.0502057613168724,0.0473251028806584,0.027983539094650157,0.003292181069958833,0.0024691358024691024,0.02263374485596704,0.005349794238683103
20,20,0.9300411522633745,0.9301647326338686,0.9204223132682005,0.9771509612354239,1.4505640303852143,0.0665064354437728,1.1180243936271894,2.9174296972360674,1.1529417330887128,0.2502057613168724,0.050617283950617264,0.06790123456790123,0.02716049382716047,-0.0020576131687242817,-0.0012345679012345622,-1.1102230246251566e-17,-0.0032921810699588438
21,21,0.9300411522633745,0.9299063811401687,0.9155205501359347,0.9880857188549497,2.503377136422879,0.2336303206368627,1.5153986874748189,2.794250810790825,-0.32054626664409763,0.21111111111111108,0.028395061728395055,0.026748971193415627,0.009465020576131678,0.005349794238683103,-0.0037037037037036978,-0.004938271604938283,-0.011111111111111117
22,22,0.9300411522633745,0.9307482809118127,0.9353429121611614,0.9660790993926825,1.9657458723911674,0.07509326421909987,1.055969376685147,2.594514746360424,1.085804411318685,0.24115226337448553,0.06543209876543209,0.06419753086419752,0.023868312757201637,0.01358024691358024,0.003292181069958833,0.030041152263374483,0.016872427983539086
23,23,0.9382716049382716,0.9387854804126204,0.9371651433974157,0.9803813425780019,2.263417176018357,0.967232675818105,0.7365919111189877,2.4744274196110507,0.19793780557812837,0.2024691358024691,0.04444444444444441,0.0444444444444444,0.016049382716049332,0.013991769547325039,0.0020576131687242262,0.020164609053497883,0.006584362139917666
