,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_CO2_fd1_scaled
0,0,0.8847736625514403,0.8824369046591268,0.8557951482479784,0.9321653189577718,3.167241414073882,-0.21486479580500914,1.5606892435772115,0.8960827681375819,0.23052194038441878,0.1267489711934156,0.044855967078189264,0.04238683127572011,0.010288065843621363
1,1,0.8518518518518519,0.851408596901704,0.8324171686746988,0.9368222891566265,2.6267014223370024,0.31475847997976675,1.8697759172354953,1.505791412745899,-0.03247427767810044,0.11604938271604939,0.005349794238683125,0.04238683127572017,0.006172839506172856
2,2,0.831275720164609,0.8310501906343362,0.8142127092282625,0.9169752629240112,2.829500299856094,-0.35557652266070794,1.4095275484576684,1.1160754154100099,0.5718412193511446,0.08477366255144031,0.015226337448559658,0.020576131687242795,0.016049382716049367
3,3,0.8765432098765432,0.8772819681267896,0.8666027607361964,0.9416411042944786,2.721764419403301,0.09585469163660133,1.6657647504760102,1.0874234118636228,0.43488480161984006,0.1374485596707819,0.010288065843621418,0.054320987654320994,0.013991769547325106
4,4,0.8888888888888888,0.8907620447024812,0.8723935127428266,0.9492960256638745,2.564966515773313,0.27033123141537285,0.8970565249284654,1.9098735141892762,0.37406331665479214,0.11316872427983535,0.02345679012345674,0.06502057613168719,0.025925925925925873
5,5,0.8065843621399177,0.8046528561360966,0.7807250221043325,0.8936044798113764,2.569237836072601,0.061956368461063185,1.4667049405959207,1.6957332212994474,0.46720233654601656,0.10123456790123456,0.006172839506172834,0.028395061728395045,0.004938271604938249
6,6,0.8847736625514403,0.8843605835761874,0.8634407760913785,0.940854326396495,3.2035042075895377,-0.008059912037158161,1.1914984790698206,2.0121869169531625,-0.38105748250456084,0.1596707818930041,0.023045267489711897,0.052674897119341535,0.014403292181069949
7,7,0.8641975308641975,0.8644517565049432,0.8415960339037263,0.9233967695506157,2.996460902383491,-0.058091949890366944,1.207990981980867,1.134614963993531,0.6637551427848912,0.12839506172839502,0.010699588477366195,0.0502057613168724,0.011111111111111072
8,8,0.8641975308641975,0.8643556907103332,0.8549175543557566,0.9276229388588939,2.733132649662978,0.09586043942676568,0.8974968602294641,1.636416424019031,0.539486187397253,0.14732510288065837,0.015226337448559613,0.04485596707818924,0.015226337448559602
9,9,0.8641975308641975,0.8652616304790218,0.8526806526806527,0.931934731934732,3.0867699355977525,-0.8955348502106333,1.4619983480281682,0.7759580797069605,0.6694391527475599,0.12263374485596704,0.01893004115226332,0.0275720164609053,-0.0069958847736625975
