,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd1_scaled
0,0,0.9709090909090909,0.9709090909090909,0.9532551419343872,0.99473057963624,2.19524202933128,1.0757076509863615,1.550335719254392,2.170475128719813,1.2376437923818828,0.19381818181818183,0.006909090909090943,0.0010909090909091202,-0.0021818181818181294
1,1,0.9781818181818182,0.9783305785123966,0.9724317077258253,0.9963130551365845,2.3855295904347877,0.7791678186133093,2.051160275846144,1.5909219472728673,1.468080591678678,0.2476363636363636,0.01527272727272726,0.002181818181818185,0.004000000000000015
2,2,0.9745454545454545,0.9747720048546495,0.971476773383553,0.9971751412429379,2.114327388389276,0.44753485875120286,1.773985056877881,2.205148876585278,1.6266228882573845,0.24436363636363634,0.005090909090909024,-0.004000000000000026,0.00290909090909085
3,3,0.96,0.9590076158730829,0.9164654756156446,0.9939642684693385,1.6409037322769928,0.8091509047699186,2.077237648503766,1.3170502508602382,2.2519521705390155,0.1905454545454545,0.007636363636363585,0.0043636363636362805,0.003272727272727205
4,4,0.9709090909090909,0.9702100070472164,0.9375,0.9969638625592416,2.06221654843046,0.3097727441914834,2.1090054808357848,2.102715636047347,1.68989651509797,0.2847272727272727,-0.0007272727272726653,0.010181818181818226,-0.00036363636363633266
5,5,0.96,0.9598544676297485,0.9321349651538331,0.9919258881523032,1.7737118054546137,1.3501849712917382,1.866704485108269,1.9456230330152218,1.4331303791385024,0.1898181818181818,0.011999999999999955,0.0003636363636363438,0.0032727272727272163
6,6,0.9781818181818182,0.9780659340659341,0.9649122807017544,0.9978251413658112,2.271936218985536,0.29455487193611485,2.2847905235809667,1.8704372628118828,1.2221772841193557,0.2719999999999999,0.008727272727272684,0.007999999999999952,-0.001454545454545464
7,7,0.9636363636363636,0.9633292612575929,0.9286894273127753,0.9954111600587372,1.500735031555889,1.507267266872089,1.802968845324068,1.6284613238022934,1.4041350885577464,0.16436363636363632,-1.1102230246251566e-17,0.0021818181818181515,0.004363636363636347
8,8,0.9745454545454545,0.974455237806644,0.956175632646221,0.9949723479135244,3.0750666625281515,0.3832901487552062,2.075818853437164,1.3652168377367373,1.4040607208976543,0.22363636363636358,-3.3306690738754695e-17,-0.001090909090909109,0.0014545454545454195
9,9,0.9672727272727273,0.9668144918312491,0.9268115942028985,0.9940096618357488,2.1662781338161454,0.3149742755809268,1.9167352234469461,2.071359678883401,1.7761900009109877,0.19381818181818183,0.005454545454545478,-0.005090909090909057,-0.004727272727272691
10,10,0.9709090909090909,0.9705764597359325,0.9483856635071091,0.998074644549763,1.8838721027318286,0.654791853334512,1.6842215291857772,2.1929994241135633,1.5321648085214452,0.26799999999999996,0.0007272727272727541,0.001454545454545464,0.004000000000000026
11,11,0.9745454545454545,0.9746356712842651,0.9626891041985381,0.9968553459119497,2.5572376251734608,0.9451566325999914,1.378591895422426,2.186805795882828,1.1082276060523955,0.22399999999999992,0.0010909090909090534,0.0018181818181817965,0.0021818181818181403
12,12,0.96,0.9601455323702515,0.9384701621248707,0.9959468782338737,2.8048709591022796,0.19807744782302952,1.887168825905186,1.887319869813503,0.9728635693625864,0.21745454545454543,-0.0036363636363636598,-0.010181818181818214,-0.011636363636363667
13,13,0.9781818181818182,0.9783305785123966,0.9724317077258253,0.9984079101726161,2.5864916543723813,0.6508232603979637,1.9259991568964745,2.1466695253143993,0.9541422669129512,0.2378181818181818,-0.000727272727272732,-0.004000000000000026,0.0014545454545454527
14,14,0.9709090909090909,0.9707386102483392,0.952635165833712,0.995910949568378,2.2336152112972107,1.0971183374660896,1.813821589720196,2.4653306676332534,0.7396380934874995,0.2592727272727274,0.0010909090909091202,0.0040000000000000365,0.002181818181818207
15,15,0.9418181818181818,0.9405200250483269,0.9008323765786452,0.991747990815155,2.3147527991443915,0.2944958457959724,2.8103140936092683,2.0164075683886504,0.8770115617811474,0.25709090909090904,-0.006909090909090953,-0.0025454545454545842,-0.0061818181818182215
16,16,0.96,0.9595517039160747,0.9249532551419344,0.9944756076831549,2.3788723939169705,0.9180694459909561,1.8582151106014446,2.1343888929315753,0.9243138922211067,0.2145454545454545,0.0010909090909090647,-0.002545454545454573,0.00363636363636356
17,17,0.9527272727272728,0.9525681738893585,0.9238013698630136,0.9903783431180692,2.237665623870373,0.852652007310891,1.8973232227177772,1.8897062312148543,1.6406407596027688,0.21563636363636368,-0.0072727272727272085,-0.004363636363636347,0.001454545454545464
18,18,0.9418181818181818,0.9412150210236334,0.9119778346121057,0.9915458937198067,1.7795872003605073,0.6416426628649999,2.204152991571464,2.0821095794221796,1.5035654393277855,0.24763636363636357,-2.2204460492503132e-17,0.0029090909090908725,0.0014545454545454195
19,19,0.9672727272727273,0.9670389978660734,0.9503935376967689,0.9959265396299365,2.2188335059621016,1.2035774643859416,2.0703960232259466,1.8214098426182528,0.8586756545318428,0.29600000000000004,-0.004363636363636336,-0.009454545454545415,-0.007999999999999974
20,20,0.9636363636363636,0.9639350553998132,0.9442889137737962,0.9944008958566629,2.1439572587248645,0.7603495921474893,2.2611372375993724,2.239865458247009,1.1626744813082053,0.20436363636363636,0.0018181818181818188,-0.007636363636363652,-0.000727272727272732
21,21,0.9636363636363636,0.963375210545022,0.9353946706887883,0.9946371711077594,2.2799207926539835,0.5239003469083922,2.378678145343857,1.5929913520187584,1.362422771700782,0.21054545454545454,0.000727272727272732,-0.002909090909090928,-0.0036363636363636598
22,22,0.9709090909090909,0.970491245962944,0.9409090909090909,0.9966115702479339,2.2030831162037847,0.36143851220096174,2.0640464241072767,1.8457448325773194,1.291396860629505,0.22254545454545455,0.0072727272727273196,0.00545454545454549,0.0021818181818181958
23,23,0.9563636363636364,0.9560809446468548,0.9281344350866041,0.993723184490704,2.3740936400613752,0.06965795058155004,2.40640236694886,2.2966756756440128,0.9815053688006381,0.23563636363636364,0.0007272727272727541,-0.0010909090909090647,0.004000000000000026
24,24,0.9454545454545454,0.9445366675435013,0.902272366121087,0.9878436357857937,2.2524939849794214,0.3967196994298233,2.2414472628994107,1.6817836004771731,1.550532372864227,0.2272727272727273,-0.0010909090909090979,0.0010909090909090979,0.002909090909090928
25,25,0.9709090909090909,0.9705764597359325,0.9483856635071091,0.9955568720379147,1.9219424279717532,0.6298653820918322,2.1874865226191265,2.7232618650356173,0.9926420646234095,0.24981818181818186,0.005090909090909123,0.003636363636363671,0.004000000000000026
26,26,0.9563636363636364,0.9563636363636364,0.9336069531627234,0.993320457106068,2.560550619381276,1.3824652115489802,1.7502735504965141,1.9756852927100317,0.5822321966873537,0.22509090909090915,0.0007272727272727431,-0.0018181818181817744,-0.0007272727272726875
27,27,0.9672727272727273,0.9669422912247513,0.9404876871076775,0.9948495090938355,2.5019820192614213,0.6523275434420396,2.3878962289364987,1.9381238300700947,0.7602054452599454,0.24654545454545454,0.002909090909090928,0.004727272727272758,0.004727272727272758
28,28,0.96,0.9601417691609883,0.9393166751657318,0.9950705422403535,2.5801593828596094,0.5194777664790595,1.3054642751974408,1.320699478095672,2.4692273333770864,0.20218181818181816,-3.3306690738754695e-17,-0.008000000000000052,-0.0072727272727273196
29,29,0.9745454545454545,0.9746485680178586,0.9599394273127753,0.9950440528634361,2.37838666867011,0.8759858015540471,1.7591231418398978,2.379253307072462,0.7804193764724385,0.2094545454545454,0.005818181818181745,-0.004727272727272758,-0.00036363636363637706
30,30,0.9636363636363636,0.9634066711931006,0.9398932831136222,0.9896421845574388,1.59441774029593,0.9849324492274818,2.140286048299231,1.6954357927313541,2.052715834501158,0.2254545454545454,0.012727272727272698,0.005818181818181811,0.0018181818181818188
31,31,0.9709090909090909,0.9707253369544804,0.9506826741996234,0.9950564971751412,2.0299624858650347,1.0388091749547046,2.4412369668512133,2.165454308203054,0.2322812502814804,0.23781818181818187,0.009090909090909139,0.004727272727272758,0.001454545454545464
