,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_humidity_fd3_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_humidity_fd1_scaled
0,0,0.96,0.9606731104680991,0.9536800951895292,0.9898011218765935,2.450686286113061,3.56469368314614,0.45160467933270754,0.06478669459271509,1.650295496934625,0.1047272727272727,0.09781818181818178,0.031272727272727244,0.0236363636363636,0.010545454545454502,0.008363636363636306,0.006181818181818133,0.003999999999999948
1,1,0.9454545454545454,0.946005272201172,0.9240824534942182,0.9888553712083124,2.2792010933770785,3.3285294818786624,0.40203074229378893,1.5692655254973185,0.6450428225668186,0.08399999999999999,0.15090909090909094,0.014545454545454528,0.003999999999999971,0.0036363636363636598,-0.0036363636363636598,-0.0018181818181818299,0.0003636363636363549
2,2,0.96,0.9603560076287349,0.9498979912115505,0.986346516007533,1.6739818910533317,3.7236673120789874,0.8179625990352165,1.1751059313800203,0.8597524921426891,0.10872727272727271,0.09418181818181813,0.021454545454545414,0.01854545454545452,0.004363636363636303,0.006181818181818122,0.008727272727272672,0.012727272727272688
3,3,0.9490909090909091,0.9502842737161721,0.9484548527281507,0.9852728150651859,1.9367826549362066,3.1569826918677975,0.7081899491809409,0.9598952405531725,1.4296313413064892,0.1090909090909091,0.08727272727272728,0.026909090909090917,0.02218181818181818,0.005454545454545467,0.009090909090909084,0.00436363636363637,0.018181818181818188
4,4,0.9745454545454545,0.9746138845227394,0.967083827014218,0.9948163507109005,2.1056251622233653,2.819585351266121,0.9316505846067846,0.5577531517326891,1.9234561486050799,0.1232727272727272,0.15199999999999994,0.037454545454545386,0.041090909090909046,0.009818181818181771,0.01563636363636357,0.010181818181818136,0.02254545454545449
5,5,0.9527272727272728,0.9535227669168443,0.941993880673126,0.9881862995070542,2.6410506418103554,3.599809236845588,0.6885116206283455,0.6553669302686874,0.2724516952174401,0.07490909090909094,0.07018181818181823,0.022909090909090924,0.0036363636363636598,0.000363636363636366,0.0025454545454545617,0.000363636363636366,0.004727272727272758
6,6,0.9636363636363636,0.9636363636363636,0.9501594896331738,0.9902131361461505,2.004195681511765,3.0785959296258048,0.7158678420684599,1.0222507830889576,1.4846435643683675,0.10581818181818181,0.13781818181818184,0.024363636363636344,0.008727272727272705,0.0003636363636363549,-1.1102230246251566e-17,0.0036363636363636377,0.0178181818181818
7,7,0.96,0.9613097913322632,0.9675569016152716,0.9870594713656388,1.8042389407546036,3.528613981753526,0.7691738268682905,0.8497864351497125,1.2988577468114142,0.10399999999999995,0.08981818181818178,0.035999999999999976,0.020727272727272695,0.00727272727272722,0.0032727272727271937,0.009818181818181759,0.02036363636363634
8,8,0.96,0.9604038662808594,0.9471258588905648,0.9883526059996648,2.418022281327078,3.3268535129031123,0.2815328320856188,0.7022512909372098,1.2606085090821666,0.08799999999999995,0.10436363636363633,0.01599999999999997,0.0018181818181817965,0.003636363636363582,-0.0021818181818181958,0.005454545454545412,0.010545454545454502
9,9,0.9454545454545454,0.9470012475406071,0.9316425120772946,0.9848309178743961,2.4542905746613863,2.9782140106118136,0.5174718929583043,1.0697000743016152,1.340889240743378,0.05927272727272727,0.0898181818181818,0.027636363636363626,0.006181818181818166,-0.000727272727272732,-0.001818181818181841,0.0018181818181818299,-0.0025454545454545617
10,10,0.9454545454545454,0.9456011811201558,0.926355154028436,0.9903732227488151,1.9169011025652256,3.169448053085371,0.742046446918033,0.7954013820659475,1.4494554838361888,0.10109090909090908,0.1189090909090909,0.026909090909090883,0.009090909090909071,-0.00436363636363638,-0.0010909090909090979,0.0010909090909090647,0.011272727272727257
11,11,0.9490909090909091,0.9501058530510584,0.9397416284208737,0.9897161312255652,1.9525951898942455,3.5000966098197246,0.35121399101970635,1.6086140460331555,0.40989623377938406,0.10109090909090912,0.09745454545454549,0.024363636363636386,0.028363636363636358,0.008363636363636384,0.011636363636363622,0.005454545454545467,0.007272727272727264
12,12,0.96,0.9611810210404811,0.9679630907209382,0.9955156950672646,1.4795570170857764,3.8484635060592454,0.30116343906273746,1.469125937171416,0.7976103436584414,0.1145454545454545,0.07054545454545451,0.03818181818181815,0.014909090909090882,0.00618181818181811,0.0039999999999999255,0.0029090909090908833,0.010909090909090868
13,13,0.9745454545454545,0.9751153514152016,0.9841628959276019,0.9931288754818166,2.34204199897562,3.5045115575609636,0.5276087264599509,0.36997619576439933,1.2162671175916293,0.09490909090909086,0.08909090909090903,0.023272727272727223,0.030181818181818133,0.005090909090909035,0.019999999999999917,0.007999999999999952,0.01490909090909085
14,14,0.9818181818181818,0.9817655621733989,0.971111615932152,0.9976525821596244,2.7360796837970804,3.064583100112913,0.4034206974179229,0.9788518606026876,0.6817347152310137,0.10727272727272727,0.11054545454545454,0.038545454545454536,0.013090909090909108,0.000727272727272732,0.003272727272727294,0.0040000000000000036,0.007272727272727287
15,15,0.9490909090909091,0.9500258592553539,0.9511696326061998,0.9827066590126292,1.9647653411587434,2.8702308563201475,0.493917866260813,1.3262677970630368,1.7681995763489753,0.11345454545454547,0.11963636363636362,0.035272727272727275,0.02327272727272729,0.00690909090909092,0.008000000000000007,0.01200000000000001,0.009090909090909084
