,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd1_scaled
0,0,0.9672727272727273,0.9671536553334305,0.9438211796702363,0.992775794662587,3.134781121612626,2.1131488910673304,1.0870435896490018,0.40446779862654814,0.3753271231950263,0.152,0.038909090909090914,0.037090909090909105,0.024363636363636375
1,1,0.9563636363636364,0.9563636363636364,0.9308697838109603,0.9911178146472264,2.7600987563557986,2.030011776611669,0.714143323307864,1.1412713540783532,0.9294070520616284,0.17454545454545461,0.06327272727272733,0.05309090909090913,0.019636363636363695
2,2,0.9527272727272728,0.9525798399701402,0.926789077212806,0.9924670433145009,2.6917721868433033,1.6718345848151563,0.991024243388209,1.0439600051745765,1.054535680904413,0.19781818181818184,0.03345454545454548,0.01563636363636368,0.00945454545454547
3,3,0.9345454545454546,0.9326651522877939,0.8744970223724449,0.976259455979398,2.7678447648603695,2.0973356140111887,1.0262521088096832,1.2412503917021407,0.3489699756825738,0.128,1.1102230246251566e-17,0.01054545454545457,0.04981818181818185
4,4,0.9745454545454545,0.9741771170319751,0.9507553317535544,0.9989632701421801,2.6418838641742095,1.6080978521710958,1.1757474314338747,1.1167395951173003,0.6122179504073632,0.19599999999999995,0.028727272727272667,0.014181818181818129,0.01236363636363631
5,5,0.9490909090909091,0.9490909090909091,0.9181964983851776,0.985041645419004,2.8932084951927903,1.9735948580907061,1.0499747350154511,0.8895424754920223,1.0530705318604598,0.14400000000000004,0.0330909090909091,0.07818181818181819,0.04872727272727273
6,6,0.9672727272727273,0.9671868680427772,0.9525518341307815,0.9959402638828476,2.9185200272960046,1.008305270301625,1.2205309686313137,1.3269244340077737,0.9489692778443783,0.21927272727272729,-0.0014545454545454417,0.008000000000000007,0.0301818181818182
7,7,0.9454545454545454,0.9452274041747726,0.9012481644640236,0.9881607929515419,2.593591843075114,1.6578266220956652,0.32056878749074585,1.937145583408175,1.1620224440637832,0.12799999999999997,0.017454545454545424,0.021454545454545438,0.044727272727272706
8,8,0.96,0.9598582308390118,0.9331322272498743,0.9865091335679571,3.469167870067745,1.3724997948631918,0.9562179632400013,1.3888398113127387,0.3586795385679358,0.1585454545454545,0.006181818181818122,0.031272727272727216,0.013818181818181775
9,9,0.9636363636363636,0.9636363636363636,0.9335748792270531,0.9879227053140097,3.600685414626247,1.1407463879425506,1.2250247526562832,0.8686670280306568,0.45686298698383454,0.14618181818181814,0.023999999999999976,0.012363636363636354,0.014181818181818151
10,10,0.9563636363636364,0.9555964733902531,0.9225784952606635,0.9920023696682465,2.787290659942346,1.8256982626953802,0.8923648593302447,1.6819614434637826,0.2997687017457546,0.18436363636363642,0.041090909090909136,0.01563636363636368,0.033454545454545515
11,11,0.9672727272727273,0.9678234540193539,0.9653663097059324,0.9943906170321265,3.1688301622884354,1.4572554692402,0.9022747615863402,1.1765921661239902,0.9902546230150668,0.17745454545454545,0.03527272727272727,0.048363636363636386,0.024363636363636375
12,12,0.9454545454545454,0.9460345102040424,0.9221283201103829,0.9892204208347707,2.913722580783522,1.31573618383524,0.512474964226519,1.097696691965907,1.5248321779668363,0.16545454545454547,0.025818181818181796,0.041818181818181796,0.018909090909090896
13,13,0.9818181818181818,0.9818809703475496,0.9746941511647393,0.9984079101726161,2.330911514607559,1.670630343729628,0.8351228764255488,1.1541138459567788,1.3251498731805038,0.18,0.02981818181818181,0.05818181818181819,0.018181818181818167
14,14,0.9709090909090909,0.9705595489781536,0.9469180675450553,0.9914432833560503,3.1219310559232265,2.064443008759846,1.1412335956139639,1.0954863432749087,0.12356516829200519,0.21490909090909094,0.03672727272727276,0.014181818181818217,0.033090909090909115
15,15,0.9236363636363636,0.9226099139770906,0.8837543053960965,0.9760332950631458,3.0203293051235267,1.8110404713992627,1.545038397897858,1.1007542025039918,0.3911994357891142,0.18472727272727268,0.020363636363636316,0.029818181818181765,0.004363636363636325
16,16,0.9563636363636364,0.9560418953244065,0.9227010028896822,0.9888662247152813,3.087983399130818,1.6634208486946163,1.1877620086545517,0.7081935007153504,0.7835407430655332,0.15200000000000005,0.013454545454545497,0.014181818181818217,0.03272727272727279
17,17,0.9636363636363636,0.9628529043623383,0.9240052185257664,0.9818166992824526,3.2648841819306065,1.1990634919709935,0.8308715407174196,1.1066847820318917,1.1116233635682549,0.172,0.028727272727272702,0.04290909090909091,0.029090909090909077
18,18,0.9345454545454546,0.932719921587846,0.8873969877806195,0.98820687695368,2.3243306109151547,1.5707337660611396,1.447667467939289,0.5723430789837626,1.3729292262148827,0.17054545454545458,0.014909090909090927,0.03272727272727275,0.018545454545454566
19,19,0.9563636363636364,0.9561583782071585,0.9384493233913284,0.9895747031206849,2.625993359450112,2.476148726125897,0.6249751452416533,1.1307532256118946,0.3294789740045288,0.22290909090909095,0.03272727272727279,0.09563636363636369,0.03381818181818187
20,20,0.9490909090909091,0.9486487046274401,0.9017357222844344,0.9861888764464353,2.1985904638894063,1.6418369949777991,1.0974297638920392,0.6872946962739063,1.759589856363613,0.12981818181818183,0.0629090909090909,0.042181818181818195,0.05345454545454546
21,21,0.9563636363636364,0.9557201542851768,0.9168761521702697,0.987766046589576,2.605636811331537,1.7843582617144433,0.5649126580404096,1.7545421492585438,0.8858183716809962,0.14400000000000002,0.016727272727272778,0.05490909090909096,0.001090909090909109
22,22,0.96,0.9595746925170355,0.9272727272727272,0.9924793388429752,2.939821562154062,1.484511612882796,0.6867496231558012,0.6380708288720911,1.7083230066731556,0.18218181818181817,0.026545454545454518,0.017818181818181778,0.041454545454545424
23,23,0.9490909090909091,0.9472628374515166,0.8919434292070555,0.986969648816145,2.541527012240298,1.345454570948698,1.246857409651939,1.3983556339479686,1.07139079050515,0.16618181818181818,0.013454545454545464,0.05018181818181818,0.005818181818181811
24,24,0.9309090909090909,0.9302291090979048,0.8867392340696012,0.9856189416812331,2.1069317856869736,1.866458773985598,1.8307927724865214,0.4992972800315771,1.002836884479697,0.12836363636363637,0.016000000000000004,0.01636363636363637,0.007636363636363663
25,25,0.9345454545454546,0.9329725158562369,0.8865891587677726,0.9869668246445498,2.6740652173533532,1.518218976899121,0.9362943676779845,1.0084835796746816,1.2257018271323032,0.16800000000000004,0.000727272727272732,0.012363636363636387,0.04436363636363638
26,26,0.9454545454545454,0.9449038187079191,0.9072911636890391,0.9824561403508772,2.209584241715762,1.9580175305120904,0.7663086842584393,1.054417403854715,1.67586022869903,0.16799999999999998,0.0338181818181818,0.05636363636363635,0.028727272727272712
27,27,0.9490909090909091,0.9472140863620685,0.8901496861419604,0.9897794946080798,2.7924079530354446,2.2107311551881677,1.3206689375462217,0.5397413183408397,0.5947272882055328,0.1632727272727273,0.04109090909090912,0.012727272727272709,0.009454545454545448
28,28,0.9563636363636364,0.9563636363636364,0.9298827129015809,0.9868264490906,2.7246708856264408,2.1220509275530324,0.9028636927325405,1.5407078544397503,0.09940023990176118,0.14654545454545462,0.01745454545454551,0.008727272727272773,0.037090909090909154
29,29,0.9563636363636364,0.9567123647528197,0.9324981644640236,0.9866923641703378,2.176782337300377,1.9337248598292724,0.93455010072049,1.6757614755152277,0.6715412813770153,0.15200000000000008,0.025454545454545507,0.09200000000000005,0.0069090909090909645
30,30,0.9454545454545454,0.9452844307347771,0.9159996861268047,0.9794413057124922,2.6856045631140533,1.7953166853004685,0.7024112410733331,1.625072581786445,0.8312323123308198,0.1956363636363636,0.0367272727272727,0.058909090909090876,-0.0043636363636363916
31,31,0.9672727272727273,0.9671706584408661,0.9483678593848086,0.9937225360954174,2.1572255074394637,2.1522703291485006,0.7655910476532765,1.2033949243721325,0.8224635852616491,0.18400000000000002,0.04290909090909091,0.045818181818181834,0.02072727272727274
32,32,0.96,0.9603936736801604,0.9477272727272728,0.9939669421487604,3.3071992783211908,1.7481824254382834,0.7474439213977685,0.9182065348089875,0.7992375675289942,0.1610909090909091,0.058545454545454526,0.07636363636363631,0.012363636363636321
33,33,0.96,0.9601312245600535,0.9416585127201565,0.9958414872798435,2.9275554927916967,2.0060033733374554,0.9130290887821543,-0.07718819867941557,1.2626038075484052,0.1578181818181818,0.04109090909090905,0.04945454545454543,0.043636363636363605
34,34,0.9745454545454545,0.974267620020429,0.9491788168258757,0.9932126696832579,2.512750983747534,1.6059853123712373,1.243349453247374,1.4824486558188588,0.5659573727030213,0.1832727272727272,0.03854545454545448,0.034545454545454504,0.017818181818181754
35,35,0.9490909090909091,0.9483199643493762,0.9038330783613803,0.985721570627231,2.860762960542706,1.697090025212961,0.8478984192445044,2.0817331666255923,0.4760570234468548,0.16072727272727275,0.010181818181818191,0.07054545454545455,0.011636363636363634
36,36,0.9490909090909091,0.9471635472370766,0.8882909328114807,0.990296803652968,2.565445401485865,2.2866398547528246,0.8472431025676134,0.5067716151315441,1.030543643583112,0.14618181818181816,0.030181818181818178,0.0036363636363636264,0.006545454545454532
37,37,0.9745454545454545,0.9746248414146798,0.9649213411727315,0.9953917050691243,2.238129380569081,1.489307046182209,0.3829169426345457,1.163289938934259,2.173664615565402,0.18836363636363632,0.049454545454545404,0.06763636363636359,0.0225454545454545
38,38,0.9490909090909091,0.9487773212349484,0.9193798449612403,0.9847286821705427,2.660140535109076,2.1389597429341483,0.5985476593175839,0.946605713326943,1.168574341835835,0.15672727272727274,0.045818181818181834,0.03672727272727274,0.03963636363636366
39,39,0.96,0.9598783364854061,0.9383720930232557,0.9924031007751938,2.6080628279147224,1.856119432671992,1.0483311871098162,1.1180687579974478,0.6619573573814715,0.18763636363636366,0.018909090909090855,0.01927272727272724,0.022545454545454514
40,40,0.9563636363636364,0.9563636363636364,0.9298827129015809,0.9926908040115587,2.5763472251019164,1.376332405516877,0.3177624930930213,0.5534187936233014,2.3097102483366085,0.17418181818181827,0.09054545454545458,0.0665454545454546,0.06727272727272733
41,41,0.9490909090909091,0.9478975444656461,0.9082417582417583,0.9897435897435898,2.2068728282445393,1.9618223404036095,0.4724104635964988,1.160670886638465,1.5545404228137372,0.14763636363636365,0.02400000000000001,0.042181818181818195,0.03345454545454547
42,42,0.9527272727272728,0.9529545167040423,0.9135499693439607,0.9866135295319844,2.289248247437415,1.9052959409956483,0.5699005348676889,2.042469272733104,0.8530765577451606,0.12981818181818186,0.022909090909090945,0.01818181818181821,0.018545454545454577
43,43,0.9563636363636364,0.9560418953244065,0.9227010028896822,0.9847866734659187,2.7130289358457618,1.7329018386201858,0.24021495054688713,1.0375482929692075,1.487996370487848,0.16181818181818183,0.030909090909090962,0.0476363636363637,0.06981818181818186
44,44,0.96,0.9601417691609883,0.9393166751657318,0.9884412714601394,1.8432994394627806,1.4089757858986223,0.6778278880630809,1.6858581928465066,1.7781799890885686,0.16727272727272724,0.0338181818181818,0.06363636363636359,0.03890909090909088
45,45,0.9381818181818182,0.9379984203124699,0.9075379194116746,0.983759767121189,2.45613334227677,2.535148951431552,0.757913943281668,0.9940855798438692,0.7402177459767655,0.16218181818181823,0.03490909090909096,0.07127272727272731,0.029090909090909157
