,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled
0,0,0.917940466613033,0.9178940846245086,0.9083673809482764,0.9670901787715276,1.6879965826134884,-0.5158307937609631,-0.24594287118174868,2.7599118752879095,2.8365876271216703,0.11906677393403053,0.09412711182622688,0.08777152051488338,0.07192276749798873,0.06975060337892196,0.06926790024135157,0.06251005631536603,0.05189058728881735
1,1,0.918744971842317,0.9177945116368625,0.8992636272112757,0.965094203940745,2.075407507923626,-0.34164309382685365,-0.03640279232396988,2.6517909670350535,2.289670489429228,0.08753016894609814,0.07876106194690266,0.060981496379726455,0.05720032180209169,0.06307320997586482,0.06218825422365244,0.04392598551890583,0.05172968624296055
2,2,0.9203539823008849,0.9197748552235983,0.9040031897926635,0.9530752501087429,2.7880853682739444,-0.5140325980390984,-0.5749580367477244,2.4965238359522677,2.453803044798916,0.1329042638777152,0.09726468222043441,0.09066773934030573,0.08125502815768304,0.08310539018503622,0.06516492357200321,0.07039420756234915,0.06701528559935639
3,3,0.915526950925181,0.9155054663660999,0.9075858231509255,0.968306020189695,1.7421683644044093,0.06295929913206125,-0.22631643193387804,2.7601912962887103,2.0804417674891615,0.10901045856798064,0.08390989541432022,0.08109412711182624,0.08149637972646824,0.06363636363636363,0.06653258246178599,0.0560740144810941,0.05358004827031373
4,4,0.9316170555108608,0.9315949215919894,0.9216501240694789,0.9653284887155855,1.9916371190458748,-0.22480200283463503,0.05809274453806673,2.372077749479405,2.336295951911664,0.12381335478680608,0.09935639581657285,0.06234915526950924,0.084473049074819,0.0663716814159292,0.06315366049879323,0.04617860016090101,0.0480289621882542
5,5,0.9267900241351569,0.9267654853740844,0.915469746503028,0.9729412675444081,1.6511026344102273,-0.18779156574373512,-0.018835944656055585,2.6192671179749203,2.4159985955795493,0.12333065164923569,0.09316170555108612,0.05181013676588895,0.07288817377312953,0.08028962188254225,0.059050683829444874,0.04199517296862425,0.05406275140788412
6,6,0.9275945293644409,0.9272615973293863,0.9133906633906634,0.968170649988832,2.588879284490591,-0.6320377116804176,-0.5751328954737632,2.7382269809062296,2.4579681199268015,0.12107803700724051,0.07876106194690266,0.07851971037811747,0.08310539018503622,0.06057924376508446,0.0569589702333065,0.04947707160096537,0.0469026548672566
7,7,0.910699919549477,0.9100942594726542,0.8905988774779079,0.9615357057559111,1.510302608633757,0.026412619258768786,-0.18975598051529016,2.886572695280318,2.227667155718938,0.10691874497184226,0.09259855189058724,0.08543845534995977,0.08954143201930809,0.06106194690265485,0.06894609814963797,0.06757843925985518,0.05526950925181011
8,8,0.9300080450522928,0.9298706689001378,0.9144962165236529,0.9720474047330547,2.537281028916139,-0.10846686861587895,-0.298209902672548,2.521145122621428,1.8972606305210882,0.10691874497184231,0.09308125502815771,0.09798873692679005,0.0760257441673371,0.05164923572003215,0.05921158487530167,0.06629123089300079,0.050522928399034564
9,9,0.9090909090909091,0.9089215349284394,0.8985875946566835,0.9609234521682407,1.830683192652684,-0.2900716869985223,-0.5298517886351438,2.9021363520532293,2.549574793659949,0.12148028962188251,0.1033789219629927,0.06870474658085277,0.10080450522928393,0.07747385358004827,0.05687851971037809,0.05470635559131132,0.06291230893000803
