,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_CO2_vd_scaled,feature_importance.B_top_temperature_scaled,feature_importance.B_top_humidity_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_low_humidity_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_top_temperature_fd3_scaled,feature_importance.B_low_temperature_scaled,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_top_temperature_fd1_scaled,feature_importance.B_low_humidity_fd1_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_humidity_fd3_scaled,feature_importance.B_low_temperature_fd3_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_top_humidity_fd1_scaled,feature_importance.B_top_humidity_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_low_humidity_fd2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_temperature_fd1_scaled,feature_importance.B_low_humidity_fd3_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_low_temperature_fd2_scaled,feature_importance.B_top_temperature_fd2_scaled
0,0,0.9823008849557522,0.9823301548965265,0.9820423971819493,0.9974198516271024,3.8233152075580423,-1.5438200882626136,0.4417742676286954,5.3494864546981,1.5288682657557688,0.03346741753821394,0.020595333869670107,0.01850362027353176,0.011665325824617878,0.0096540627514079,0.00860820595333871,0.004263877715205156,0.0030571198712791682,0.0027353177795655715,0.002574416733708773,0.0018503620273531806,0.0017699115044247816,0.0016894609814963823,0.0013676588897827858,0.0008849557522123908,0.0007240547063555924,0.0004022526146419958,-8.045052292839915e-05,-0.0003218020917135966,-0.0003218020917135966,-0.0004022526146419958,-0.000482703137570395,-0.0007240547063555924,-0.00096540627514079,-0.0011263073209975883,-0.0016894609814963823,-0.00193081255028158,-0.0027353177795655715
1,1,0.9790828640386162,0.9791289863695335,0.9790205666618725,0.9966201639580038,3.503525895142212,-1.0970403418060226,0.3237585262463743,5.750297009024398,1.22172172437123,0.03169750603378916,0.019710378117457683,0.0190667739340305,0.011665325824617868,0.010217216411906694,0.007884151246983117,0.0037811745776347603,0.005631536604987941,0.002493966210780374,0.004022526146419958,0.00193081255028158,0.0014481094127111848,0.011182622687047472,0.003539823008849563,0.002011263073209979,-0.0001609010458567983,0.00096540627514079,-0.0002413515687851975,8.045052292839915e-05,0.000482703137570395,-0.0004022526146419958,0.0003218020917135966,-0.0006436041834271932,0.000482703137570395,0.0013676588897827858,-8.045052292839915e-05,0.0001609010458567983,0.0016090104585679832
2,2,0.9863234111021721,0.9863354067816387,0.9855661881977671,0.9988545744526606,2.737894147983236,-0.3770017645116632,0.2320889053714973,5.364354206099063,1.3961788676561078,0.03137570394207556,0.01842316975060341,0.0180209171359614,0.013676588897827857,0.011021721641190686,0.010941271118262286,0.004666130329847151,0.003539823008849563,0.0015285599356395841,0.002413515687851975,0.002172164119066777,0.0001609010458567983,0.009010458567980707,0.002574416733708773,-0.000482703137570395,0.0001609010458567983,-0.000482703137570395,0.0002413515687851975,-0.0008849557522123908,0.0012067578439259874,-0.0007240547063555924,-0.00096540627514079,-0.0006436041834271932,0.000482703137570395,0.0002413515687851975,-0.0013676588897827858,-0.0004022526146419958,-0.001045856798069189
3,3,0.9790828640386162,0.9790828640386162,0.9771792612175956,0.9975822077606612,3.7438453117164365,-0.992303070650069,-0.1624443509139289,5.516376056219269,1.4443357167768507,0.028157683024939595,0.014320193081254994,0.013837489943684611,0.012872083668543843,0.010217216411906682,0.0074014481094127225,0.006596942880128731,0.006275140788415135,0.004022526146419958,0.0029766693483507687,0.0037811745776347603,0.0003218020917135966,0.005872888173773139,0.004585679806918752,0.0011263073209975883,8.045052292839915e-05,-0.000482703137570395,0.0,0.0001609010458567983,0.0004022526146419958,-0.0003218020917135966,0.0,8.045052292839915e-05,8.045052292839915e-05,-0.0006436041834271932,0.0007240547063555924,-0.0008849557522123908,-0.0002413515687851975
4,4,0.9847144006436042,0.9847669305181207,0.986108649415101,0.9973945409429281,3.237669749030993,-0.20602343912888457,-0.03503700083889197,5.140313212846098,1.3913374960482168,0.02839903459372479,0.018342719227674987,0.012067578439259874,0.009975864843121495,0.009814963797264698,0.01061946902654869,0.004585679806918752,0.0037007240547063613,0.0030571198712791682,0.0011263073209975883,0.002011263073209979,0.0018503620273531806,0.0061142397425583365,0.0033789219629927645,0.002091713596138378,8.045052292839915e-05,0.0001609010458567983,-0.0003218020917135966,0.0001609010458567983,-0.0016894609814963823,8.045052292839915e-05,0.0006436041834271932,8.045052292839915e-05,-0.0005631536604987942,0.0011263073209975883,0.00096540627514079,0.0,0.0012067578439259874
5,5,0.9863234111021721,0.9862811917262062,0.9812631378363732,0.998761396049568,3.0209330974254622,-0.7114873403388646,0.10317594607867207,5.639435545589259,1.4473275681535451,0.02510056315366045,0.015768302493966234,0.01625100563153663,0.011102172164119083,0.013193885760257462,0.008286403861625113,0.009090909090909104,0.006757843925985529,0.0016894609814963823,0.002413515687851975,0.001045856798069189,0.0016894609814963823,0.0037811745776347603,0.004263877715205156,0.0016090104585679832,-0.0006436041834271932,0.0007240547063555924,0.001045856798069189,8.045052292839915e-05,8.045052292839915e-05,0.0006436041834271932,-0.0011263073209975883,0.0001609010458567983,-0.0002413515687851975,0.0015285599356395841,0.0012872083668543865,0.0023330651649235757,0.001045856798069189
6,6,0.9782783588093322,0.9782987172774463,0.9762866933919565,0.9963380082997307,2.8278026893273327,-0.9799855979903018,0.3930437760303166,5.587668626686566,2.1182921902168794,0.02405470635559124,0.014481094127111793,0.011584875301689456,0.014963797264682189,0.0094931617055511,0.004424778761061954,0.003459372485921164,0.005470635559131143,0.0008045052292839916,0.0005631536604987942,-0.0005631536604987942,-0.0005631536604987942,0.0031375703942075673,0.0002413515687851975,-0.0008849557522123908,0.0002413515687851975,-0.0012067578439259874,-8.045052292839915e-05,-0.0002413515687851975,-0.000482703137570395,0.0,-0.000482703137570395,-0.0006436041834271932,-0.0007240547063555924,-0.0015285599356395841,-0.00193081255028158,8.045052292839915e-05,-0.0008045052292839916
7,7,0.9839098954143202,0.9838878832071787,0.980093145450203,0.9964682350131359,3.1824556089780467,-0.031648182053207706,0.032938057952369246,5.504738945354949,0.6656174733093121,0.03588093322606591,0.011263073209975882,0.016572807723250205,0.012791633145615466,0.004022526146419958,0.008045052292839916,0.0026548672566371724,0.006838294448913929,0.004263877715205156,0.0014481094127111848,0.0028962188254223697,0.0032984714400643655,0.00667739340305713,0.004183427192276756,0.0013676588897827858,0.0008045052292839916,0.00193081255028158,-0.0008045052292839916,0.0004022526146419958,0.0012872083668543865,0.0005631536604987942,0.00096540627514079,-0.0003218020917135966,0.0016090104585679832,0.002011263073209979,-0.002091713596138378,0.0006436041834271932,0.0001609010458567983
8,8,0.9855189058728882,0.9855076306951136,0.9819357550879102,0.9984420979747274,2.9052920115839496,-0.31365883182312504,0.2862620170712176,5.7145079215069385,0.8196531622742712,0.02872083668543839,0.013113435237329062,0.01633145615446502,0.016492357200321828,0.007160096540627525,0.0053901850362027435,0.004666130329847151,0.004022526146419958,0.0016090104585679832,0.0022526146419951766,0.0012872083668543865,0.0008045052292839916,0.0012872083668543865,0.000482703137570395,-0.0012872083668543865,-0.0012067578439259874,-0.0013676588897827858,-0.0012067578439259874,-0.0002413515687851975,-0.0012067578439259874,-0.000482703137570395,-0.0005631536604987942,-0.0007240547063555924,-0.0012067578439259874,-0.0002413515687851975,0.0003218020917135966,-0.0006436041834271932,-0.0005631536604987942
9,9,0.9806918744971842,0.9807117116124269,0.9798888227119317,0.9972687824385263,3.0109088620205475,-0.7155780264749018,0.39431245602594805,5.047556954979159,1.7427421132493064,0.03966210780370068,0.018020917135961333,0.013837489943684634,0.011826226870474665,0.011826226870474677,0.004585679806918752,0.007803700724054718,0.0041029766693483575,0.0033789219629927645,0.002413515687851975,0.0016090104585679832,0.0012872083668543865,0.0028962188254223697,0.0028962188254223697,-0.0001609010458567983,0.0,0.001045856798069189,8.045052292839915e-05,-0.0004022526146419958,0.00096540627514079,0.0002413515687851975,-0.0002413515687851975,0.0,0.0006436041834271932,0.0004022526146419958,0.0001609010458567983,0.0006436041834271932,0.001045856798069189
