,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_top_CO2_scaled,feature_importance.C_mid_humidity_scaled,feature_importance.C_CO2_vd_scaled,feature_importance.C_top_temperature_scaled,feature_importance.C_top_humidity_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_top_temperature_fd3_scaled,feature_importance.C_mid_temperature_scaled,feature_importance.C_mid_humidity_fd1_scaled,feature_importance.C_top_temperature_fd1_scaled,feature_importance.C_mid_humidity_fd3_scaled,feature_importance.C_top_humidity_fd1_scaled,feature_importance.C_top_humidity_fd3_scaled,feature_importance.C_mid_temperature_fd3_scaled,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_mid_humidity_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_mid_temperature_fd1_scaled,feature_importance.C_mid_temperature_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_top_temperature_fd2_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_top_humidity_fd2_scaled,feature_importance.C_top_CO2_fd2_scaled
0,0,0.9823008849557522,0.982290880997443,0.9797955419173547,0.9978853126921463,2.635884738929165,-0.2889227901118551,0.5762804595049128,5.049514508153316,1.4543679860866912,0.027192276749798804,0.022526146419951664,0.011987127916331474,0.010297666934835092,0.010056315366049895,0.004907481898632349,0.00482703137570395,0.004344328238133554,0.002574416733708773,0.002172164119066777,0.002011263073209979,0.0013676588897827858,0.0012067578439259874,0.0004022526146419958,0.0001609010458567983,0.0001609010458567983,0.0,-0.000482703137570395,-0.000482703137570395,-0.0005631536604987942,-0.0007240547063555924,-0.0008849557522123908,-0.00096540627514079,-0.00096540627514079,-0.001045856798069189,-0.0011263073209975883,-0.0017699115044247816,-0.0022526146419951766
1,1,0.9790828640386162,0.9791062165604539,0.9778901193729326,0.9976355529987055,3.2912039572138925,-0.6960220504683292,0.16782033670003152,5.392771515041553,1.608888359877036,0.01415929203539822,0.012630732099758646,0.0011263073209975883,0.006757843925985529,0.002091713596138378,0.0012067578439259874,0.002172164119066777,-0.000482703137570395,-0.0001609010458567983,0.0005631536604987942,8.045052292839915e-05,-0.0006436041834271932,-0.0012067578439259874,0.0002413515687851975,-0.0018503620273531806,-0.0014481094127111848,-0.0013676588897827858,-0.0012872083668543865,-0.0016894609814963823,-0.0018503620273531806,-0.0031375703942075673,-0.0006436041834271932,-0.002574416733708773,-0.0017699115044247816,-0.0013676588897827858,-0.0032984714400643655,-0.00193081255028158,-0.0017699115044247816
2,2,0.9871279163314561,0.9871354660827795,0.9861722488038278,0.9976917500362475,2.73226394622741,0.0858001875107929,0.05305543063658841,4.741118379743086,1.8789102535319038,0.03041029766693477,0.02268704746580852,0.010860820595333887,0.01520514883346744,0.017618664521319417,0.006355591311343533,0.008286403861625113,0.003539823008849563,0.003459372485921164,0.002172164119066777,0.0016894609814963823,-0.001045856798069189,0.001045856798069189,-0.000482703137570395,-0.0004022526146419958,-0.001045856798069189,-0.0005631536604987942,-0.0008849557522123908,0.0007240547063555924,-8.045052292839915e-05,-0.000482703137570395,-0.0004022526146419958,0.0,-0.0004022526146419958,0.0002413515687851975,-0.0001609010458567983,-0.00096540627514079,-0.0004022526146419958
3,3,0.9879324215607401,0.9879354706388809,0.9870876901610544,0.9983871969992262,3.5374290127447834,0.23013446764615936,0.0638722617657231,4.6656677962970905,0.9840737075449519,0.03435237329042633,0.027514078841512423,0.01053901850362029,0.010136765888978294,0.007803700724054718,0.006194690265486735,0.007320997586484324,0.006516492357200332,0.005711987127916341,0.0,0.004424778761061954,0.0017699115044247816,0.0003218020917135966,0.002413515687851975,-0.0003218020917135966,0.0001609010458567983,0.002091713596138378,-0.0011263073209975883,0.0006436041834271932,-0.0001609010458567983,0.000482703137570395,-0.0013676588897827858,-0.00096540627514079,-0.0001609010458567983,0.0016894609814963823,-0.002172164119066777,0.0004022526146419958,-0.0006436041834271932
4,4,0.9855189058728882,0.9855281980464229,0.984122060734964,0.997184804442869,2.5286107626737024,-0.36721742238360533,0.5789706366967471,5.440034559435686,1.5665203828700616,0.029123089300080385,0.02502011263073204,0.008205953338696715,0.013113435237329062,0.011102172164119083,0.0096540627514079,0.006355591311343533,0.005470635559131143,0.0026548672566371724,0.003459372485921164,0.0037811745776347603,0.0027353177795655715,0.0037811745776347603,0.002574416733708773,0.0032180209171359664,0.0013676588897827858,0.0032180209171359664,0.002493966210780374,0.0028962188254223697,0.00096540627514079,0.0005631536604987942,0.0005631536604987942,0.0003218020917135966,0.002413515687851975,0.0008849557522123908,0.0014481094127111848,0.0006436041834271932,-0.0001609010458567983
5,5,0.9871279163314561,0.9871449259088133,0.9865331594523941,0.9980825458075042,3.4796204550724923,-0.4266586393479183,0.7181125773840573,5.497022078782296,0.5769877229090316,0.03129525341914716,0.027433628318584025,0.009090909090909104,0.01246983105390187,0.00482703137570395,0.005631536604987941,0.008125502815768315,0.006516492357200332,0.0023330651649235757,0.002574416733708773,0.002413515687851975,0.0008045052292839916,0.00096540627514079,0.0033789219629927645,0.0007240547063555924,0.0006436041834271932,0.00193081255028158,0.0006436041834271932,0.0018503620273531806,0.0015285599356395841,0.0006436041834271932,0.0005631536604987942,0.0007240547063555924,0.0002413515687851975,0.00193081255028158,0.0012067578439259874,0.0012067578439259874,0.0001609010458567983
6,6,0.9798873692679002,0.9799062197013391,0.9781132807448597,0.995988267519368,3.0093834368926053,0.10846527936923482,0.6219227472772136,5.3157675369607,0.8534339361485869,0.022445695897023256,0.019871279163314493,0.007079646017699126,0.009814963797264698,0.008125502815768315,0.006757843925985529,0.002574416733708773,0.0033789219629927645,0.0014481094127111848,-0.0005631536604987942,0.0003218020917135966,-0.0005631536604987942,0.0005631536604987942,-0.0005631536604987942,-0.000482703137570395,0.0005631536604987942,-0.0016090104585679832,-0.0006436041834271932,-0.001045856798069189,-0.0004022526146419958,-0.0005631536604987942,-0.0002413515687851975,-8.045052292839915e-05,-0.0015285599356395841,-0.0004022526146419958,-0.0002413515687851975,-0.0006436041834271932,-0.000482703137570395
7,7,0.9823008849557522,0.9822518996163948,0.9768852997372821,0.9954621447336995,3.2762892731003093,0.07232444340094119,0.357300602442201,5.084924338510299,1.1838233435358492,0.02662912308930001,0.02204344328238127,0.008205953338696715,0.007884151246983117,0.003459372485921164,0.0022526146419951766,0.004183427192276756,0.0031375703942075673,0.0006436041834271932,0.0003218020917135966,0.004263877715205156,-0.001045856798069189,0.003459372485921164,0.0008849557522123908,0.001045856798069189,-0.0008849557522123908,0.00096540627514079,-0.0006436041834271932,-0.0017699115044247816,0.0004022526146419958,-0.0001609010458567983,-0.0001609010458567983,0.0006436041834271932,0.0004022526146419958,0.0001609010458567983,0.0003218020917135966,0.0,0.0013676588897827858
8,8,0.99597747385358,0.9959727628512017,0.9940357699250724,0.9989243057444546,3.2714195267490496,-0.1934154037854085,0.08794346100872068,5.119747424116776,1.4299143912547627,0.03845534995977469,0.024215607401448146,0.010941271118262286,0.011906677393403075,0.013113435237329062,0.009814963797264698,0.007803700724054718,0.009895414320193096,0.004424778761061954,0.00482703137570395,0.004344328238133554,0.0033789219629927645,0.0028962188254223697,0.002574416733708773,0.00096540627514079,0.0011263073209975883,0.0027353177795655715,0.0016090104585679832,0.0032984714400643655,0.00096540627514079,0.0012067578439259874,-0.0002413515687851975,0.0,0.0018503620273531806,0.0031375703942075673,0.0004022526146419958,0.0011263073209975883,0.001045856798069189
9,9,0.9855189058728882,0.9854799915193546,0.9815337927904932,0.9972063870217532,2.4606991882830376,0.4684910377090942,0.4799236116768761,4.961653127012443,1.2674092275340694,0.028962188254223586,0.02421560740144806,0.01528559935639584,0.011343523732904282,0.01520514883346744,0.010056315366049895,0.00764279967819792,0.0039420756234915585,0.0032984714400643655,0.002413515687851975,0.004585679806918752,0.0016894609814963823,0.004263877715205156,0.0,0.0006436041834271932,0.0014481094127111848,0.0008045052292839916,0.000482703137570395,-0.000482703137570395,0.0003218020917135966,0.0015285599356395841,-0.0004022526146419958,0.0,0.0005631536604987942,0.0006436041834271932,0.0001609010458567983,0.0015285599356395841,0.0016090104585679832
