,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_CO2_vd_scaled,feature_importance.A_top_temperature_scaled,feature_importance.A_low_humidity_scaled,feature_importance.A_top_humidity_scaled,feature_importance.A_low_temperature_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_low_temperature_fd3_scaled,feature_importance.A_top_temperature_fd3_scaled,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_top_humidity_fd3_scaled,feature_importance.A_top_temperature_fd1_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_humidity_fd2_scaled,feature_importance.A_low_humidity_fd3_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_temperature_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_temperature_fd2_scaled,feature_importance.A_top_humidity_fd1_scaled,feature_importance.A_top_humidity_fd2_scaled,feature_importance.A_low_temperature_fd1_scaled,feature_importance.A_low_humidity_fd1_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_CO2_vd_fd2_scaled
0,0,0.9903459372485921,0.9903566479942054,0.9904092034869354,0.9991179225495773,1.4311269281687622,-0.32367683737258834,1.4218558421392997,6.573280104706801,0.42716055966059446,0.044006436041834227,0.01721641190667742,0.01633145615446503,0.009010458567980707,0.007160096540627525,0.006596942880128731,0.006275140788415135,0.005309734513274345,0.0028157683024939706,0.0017699115044247816,0.0017699115044247816,0.0015285599356395841,0.0014481094127111848,0.0013676588897827858,0.001045856798069189,0.0008045052292839916,0.0007240547063555924,0.0007240547063555924,0.0007240547063555924,0.000482703137570395,0.000482703137570395,0.0004022526146419958,0.0003218020917135966,0.0001609010458567983,8.045052292839915e-05,-0.0002413515687851975,-0.0002413515687851975,-0.0004022526146419958
1,1,0.9823008849557522,0.9823008849557522,0.9803351071479937,0.9983086437508989,1.5522079479366206,-0.4810516923440695,0.987985360324483,6.501393764300906,0.9918686578535603,0.03201930812550276,0.02300884955752206,0.015446500402252627,0.007964601769911516,0.006436041834271933,0.00474658085277555,0.0061142397425583365,8.045052292839915e-05,0.0029766693483507687,0.0017699115044247816,-0.00096540627514079,-0.0016090104585679832,0.002172164119066777,0.0007240547063555924,-0.0001609010458567983,0.0008849557522123908,0.0,8.045052292839915e-05,0.0008045052292839916,-0.0001609010458567983,-0.0001609010458567983,-0.0011263073209975883,-0.0002413515687851975,0.0004022526146419958,-0.0007240547063555924,-0.0028157683024939706,-0.0008849557522123908,0.0
2,2,0.9895414320193081,0.9895445084854769,0.9885805422647528,0.9987240829346093,1.7663088372979148,-0.7191816404734848,1.4684887757433311,6.246672399918703,1.0884726798241133,0.034915526950925126,0.02292839903459374,0.01617055510860823,0.009975864843121495,0.007240547063555924,0.007803700724054718,0.00667739340305713,0.0032180209171359664,0.0007240547063555924,-0.000482703137570395,0.0013676588897827858,-0.0007240547063555924,0.0005631536604987942,-0.0001609010458567983,-0.0012067578439259874,-0.0005631536604987942,0.0,-0.0015285599356395841,8.045052292839915e-05,-0.0004022526146419958,-0.001045856798069189,-0.0018503620273531806,-0.0012067578439259874,0.0001609010458567983,-0.0011263073209975883,-0.0013676588897827858,-0.0006436041834271932,-0.00096540627514079
3,3,0.9823008849557522,0.9823097994366646,0.98119714610131,0.9973477722982018,1.673439865690806,-0.0942082355400207,0.9122046234679668,6.317694408644503,0.831910254813196,0.03073209975864837,0.02654867256637161,0.019790828640386116,0.011906677393403075,0.0094931617055511,0.010056315366049895,0.007803700724054718,0.004585679806918752,0.002011263073209979,0.000482703137570395,0.00193081255028158,0.004183427192276756,0.0017699115044247816,0.0006436041834271932,0.0016894609814963823,0.002172164119066777,0.0,-0.0003218020917135966,0.0008849557522123908,0.0003218020917135966,0.0016090104585679832,0.0022526146419951766,0.0017699115044247816,0.0006436041834271932,0.0008849557522123908,0.0007240547063555924,0.0008849557522123908,0.0008045052292839916
4,4,0.9766693483507642,0.9767064458773574,0.9749926149119698,0.9970755051400213,1.6652239582111312,0.00025278010575133236,0.6291240892020612,6.038253468400282,1.3289721689329397,0.042316975060337846,0.01110217216411905,0.01359613837489938,0.007803700724054718,0.0037007240547063613,0.005631536604987941,0.004022526146419958,0.0016090104585679832,-8.045052292839915e-05,-0.004666130329847151,-0.0031375703942075673,-0.0012872083668543865,-8.045052292839915e-05,-0.0003218020917135966,-0.0028962188254223697,-0.0017699115044247816,-0.0027353177795655715,-0.00193081255028158,-0.0013676588897827858,-0.00096540627514079,-0.0012067578439259874,-0.0023330651649235757,-0.002413515687851975,-0.0026548672566371724,-0.0029766693483507687,-0.0013676588897827858,-0.002413515687851975,-0.002574416733708773
5,5,0.9863234111021721,0.9863188269380158,0.9839368550178347,0.9987971250096765,1.755385985139805,-0.42092137165858845,0.9954247158684171,6.512137202488237,0.7443855604217491,0.02670957361222842,0.013676588897827857,0.013274336283185861,0.006033789219629937,0.0059533386967015375,0.005792437650844739,0.002493966210780374,0.0029766693483507687,0.002172164119066777,-0.0004022526146419958,-0.002011263073209979,0.0006436041834271932,0.002011263073209979,0.0007240547063555924,-0.0011263073209975883,-0.0002413515687851975,-0.0008045052292839916,-0.0008045052292839916,0.0012872083668543865,0.000482703137570395,-0.0001609010458567983,-0.0008849557522123908,-0.0011263073209975883,-0.0004022526146419958,0.00096540627514079,-0.00193081255028158,-0.0018503620273531806,-0.0011263073209975883
6,6,0.9847144006436042,0.9846899516705472,0.9810713823871718,0.9986686338360979,1.6413020224170793,0.05796280464108264,0.6602017089137762,5.996532975787724,1.1231283507303127,0.038616251005631486,0.022606596942880086,0.011826226870474677,0.009975864843121495,0.004666130329847151,0.006355591311343533,0.0033789219629927645,0.0032984714400643655,0.0,-0.0005631536604987942,-0.0004022526146419958,0.0004022526146419958,0.0,0.0008045052292839916,-0.0002413515687851975,0.0008045052292839916,0.0,-0.0005631536604987942,0.0001609010458567983,-0.0013676588897827858,-0.0005631536604987942,-0.0012872083668543865,0.0006436041834271932,-0.0011263073209975883,-0.000482703137570395,-0.000482703137570395,-0.0008849557522123908,8.045052292839915e-05
7,7,0.9863234111021721,0.9862999558933021,0.982538213518032,0.9951098638643421,1.0514658247403954,0.19010753561711347,0.7251264030355893,6.438142099994207,1.2352878486692458,0.03934030571198708,0.022687047465808508,0.016894609814963824,0.012791633145615466,0.010136765888978294,0.0059533386967015375,0.00482703137570395,0.004424778761061954,0.0014481094127111848,0.000482703137570395,-0.000482703137570395,0.0016894609814963823,0.0012067578439259874,0.0006436041834271932,0.002574416733708773,0.0018503620273531806,0.0002413515687851975,0.0006436041834271932,8.045052292839915e-05,0.0005631536604987942,0.00193081255028158,0.0037811745776347603,0.0033789219629927645,8.045052292839915e-05,0.002413515687851975,0.0004022526146419958,0.0011263073209975883,0.0003218020917135966
8,8,0.9855189058728882,0.9855076306951136,0.9819357550879102,0.999100497044932,1.8607149175607516,0.03622420389528421,0.8449901172147009,6.021160483895141,0.6976077869658353,0.04159292035398225,0.022043443282381326,0.01528559935639584,0.011665325824617878,0.0026548672566371724,0.005792437650844739,0.005792437650844739,0.0014481094127111848,0.0005631536604987942,-0.0002413515687851975,0.0007240547063555924,-0.0002413515687851975,0.00096540627514079,-0.0008849557522123908,0.0,-0.0006436041834271932,-0.0005631536604987942,-0.0016090104585679832,0.002011263073209979,-0.00193081255028158,0.0003218020917135966,-0.0016090104585679832,0.0003218020917135966,0.0007240547063555924,-0.002011263073209979,-0.0008045052292839916,-0.0001609010458567983,0.0
9,9,0.9798873692679002,0.9798715151075007,0.9771859667035366,0.9974559686888455,2.025899438621529,0.26511386790953556,1.1453157229010613,5.508196894214342,0.4724922749082142,0.037489943684633896,0.020595333869670086,0.020353982300884876,0.01657280772325015,0.006436041834271933,0.011745776347546278,0.007884151246983117,0.0031375703942075673,0.0014481094127111848,0.0008849557522123908,-0.0004022526146419958,0.0037811745776347603,0.0015285599356395841,0.0004022526146419958,0.0031375703942075673,0.004666130329847151,-0.0002413515687851975,-8.045052292839915e-05,0.0012872083668543865,0.0013676588897827858,0.0015285599356395841,0.002091713596138378,0.0018503620273531806,0.0007240547063555924,0.0037007240547063613,-0.0002413515687851975,-0.0002413515687851975,0.0004022526146419958
