,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
0,0,0.9220146222583265,0.917098445595855,0.9233649578782321,0.9511839272901221,0.0014622258326563164,-0.00016246953696175126,0.008448415922014618,-0.0017059301380990544,0.001543460601137303,0.03241267262388303,0.014541023558082955,0.007554833468724653,-0.0008123476848089783,0.013160032493907403,0.021121039805036546,0.008285946385052645
1,1,0.9212022745735174,0.9163071613459879,0.9226142071274814,0.9535438092960218,-0.003330625507717344,-0.0019496344435419033,0.0009748172217707296,0.0017059301380991654,0.002274573517465406,0.021445978878960048,0.0678310316815598,0.0059301380991062524,0.0006498781478472271,0.00438667749796906,0.004386677497968949,0.020064987814784607
2,2,0.9260763606823721,0.921619293712317,0.9276555316378325,0.9574769459725212,-0.0004061738424046002,0.000893582453289965,-8.123476848109767e-05,-0.00016246953696175126,0.010722989439480246,0.013403736799350141,0.042567018683996816,0.010966693744922873,0.04370430544272952,0.04061738424045491,0.03785540211210403,0.017059301380990988
3,3,0.9212022745735174,0.916162489196197,0.9224800021260198,0.9532674267187541,0.0004061738424046002,0.004874086108854536,0.001137286758732814,0.0005686433793664625,0.0023558082859462814,0.05905767668562134,0.023314378554021076,0.012347684809098314,0.04459788789601937,0.0074735987002435555,0.022989439480097462,0.007229894394800929
4,4,0.9236393176279447,0.919104991394148,0.9252690743841185,0.957714794440458,-8.123476848087563e-05,0.0012185215272134675,-0.0003249390739235025,0.0002437043054426269,0.0002437043054426269,0.05507717303005677,0.009504467912266445,0.00016246953696175126,0.0012997562956944542,0.005280259951259025,0.006092607636068115,0.009017059301380859
5,5,0.9260763606823721,0.9214840379637619,0.9275213266363709,0.9482925403279385,-0.00048740861088558685,-0.0012185215272134675,-0.0006498781478473381,0.006417546709992061,0.05597075548334696,0.01705930138099121,0.08090982940698621,0.006255077173030088,0.03151909017059307,0.02266450040617385,0.023720552396425787,0.06490658001624694
6,6,0.9236393176279447,0.9186851211072664,0.9248664593797338,0.9558345956576045,0.0006498781478473381,-0.0009748172217709516,0.0013809910641753298,0.001787164906580152,0.002193338748984641,0.01283509341998379,0.06433793663688048,0.015109666937449195,-0.0023558082859465035,0.02380178716490644,0.002924451665312744,0.0025182778229081437
7,7,0.9260763606823721,0.9214840379637619,0.9275213266363709,0.9494219883600414,-0.0001624695369619733,0.0056864337936636256,8.123476848087563e-05,0.005280259951259025,0.0025995125913891304,0.007554833468724764,0.10503655564581638,0.01941510966693749,-0.0030056864337936195,0.0286758732737612,0.07896019496344431,0.029163281884646786
8,8,0.9236393176279447,0.9193825042881647,0.9255374843870419,0.9588774615323289,-0.004467912266450158,-0.0017059301380991654,0.0012185215272135785,0.0014622258326564275,-0.003168155970755593,0.011454102355808238,0.021121039805036546,0.009585702680747321,0.003330625507717233,0.0406173842404548,0.06043866774979678,0.03761169780666118
9,9,0.8773354995938262,0.8775344687753447,0.8834157166015573,0.9484998272608892,0.02542648253452484,0.026157595450852833,-0.00739236393176268,-0.004549147034930923,-0.03720552396425658,0.03769293257514217,-0.0002437043054427379,0.08586515028432162,-0.029731925264013026,0.10991064175467102,0.12412672623883025,0.011454102355808349
10,10,0.9301380991064175,0.9266211604095563,0.9324829254032794,0.9531066464694784,0.007554833468724653,0.007879772542648156,0.0007311129163281027,0.006255077173030199,0.00722989439480104,0.06206336311941518,0.0240454914703494,0.022177091795288373,0.0025995125913890194,0.027782290820471123,0.041348497156783126,0.027213647441104993
11,11,0.9203899268887084,0.9150779896013865,0.9214608413723457,0.9517938292274576,0.001137286758732703,0.0008123476848089783,0.0015434606011374141,0.008692120227457245,0.0047928513403736606,0.05613322502030871,0.04971567831031676,0.008935824532899872,-0.0016246953696181787,0.02680747359870017,0.013322502030869154,0.0018683996750609166
12,12,0.917140536149472,0.9111498257839721,0.9177868133620346,0.9439102819633793,0.001543460601137081,0.007473598700243667,0.0009748172217709516,0.0012997562956944542,-0.0037367993501219443,0.05792038992688875,0.032575142160844894,0.0056864337936635145,0.0248578391551586,0.028188464662875834,0.040779853777416775,0.010154346060113673
