,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled
0,0,0.7798537774167343,0.8,0.7934598315129289,0.9476706795290866,-0.04955320877335512,0.005361494719740012,0.014134849715678244,0.0038992688870836956,0.07311129163281882,0.0282696994313566,0.0480097481722177,0.021121039805036546,-0.07026807473598706,0.021283509341998297,0.04069861900893579,0.0337124289195776
1,1,0.6864337936636881,0.7334254143646409,0.7056472401605145,0.916125860373648,0.05069049553208782,-0.007798537774167391,-0.0023558082859463925,-0.0041429731925264335,-0.026969943135662144,0.009341998375304694,0.004305442729488296,0.0008123476848089783,0.007392363931762902,0.01242891957757919,0.002437043054427268,0.00641754670999195
2,2,0.7546709991876523,0.7772861356932154,0.768173483217731,0.9405804034122617,-0.0004874086108854758,0.011372867587327362,0.004874086108854647,0.009585702680747321,0.03208773354995942,0.03785540211210403,0.027782290820471234,0.016084484159220258,-0.0344435418359057,0.03046303818034124,0.020552396425670194,0.021364744110479283
3,3,0.9415109666937449,0.9376083188908145,0.9427250259108666,0.9585665311329029,-0.0027619821283509927,0.011779041429731962,-0.0009748172217709516,0.033549959382615735,0.14297319252640128,0.10357432981315995,0.0286758732737612,0.04289195775792032,0.05304630381803421,0.04232331437855397,0.05402112103980505,0.030706742485783867
4,4,0.9382615759545085,0.9333333333333333,0.9385141778947088,0.9564458263573307,-0.006498781478472715,0.00398050365556446,0.005686433793663737,0.006661251015434577,0.0406173842404548,0.08034118602761986,0.012510154346060176,-0.0013809910641756629,-0.0010560519902519383,0.039723801787164836,0.019983753046303843,0.010154346060113673
5,5,0.9228269699431356,0.9187339606501284,0.9249209386377528,0.9486885115203699,0.12518277822908208,0.012997562956945541,0.003086921202274495,0.05166531275385855,0.033387489845654095,0.014541023558082733,0.023314378554021076,0.02079610073111282,0.15377741673436218,0.014134849715678244,0.05442729488220954,0.09813160032493917
6,6,0.9025182778229082,0.8979591836734694,0.9049443248558293,0.9494698238061069,0.07327376116978068,0.007067424857839177,0.02883834281072284,0.0028432168968316462,0.012672623883021927,0.05743298131600316,0.033956133225020335,0.03988627132412681,0.15905767668562143,0.058164094232331376,0.024695369618196406,0.050609260763606834
7,7,0.9106417546709992,0.9072512647554806,0.9137938823779532,0.9565680724972762,0.021770917952883773,0.0034930950446793174,-0.0004874086108853648,0.015759545085296423,-0.00016246953696186228,0.029000812347684923,0.07887896019496343,0.0050365556458163985,-0.0008123476848090894,0.035743298131600265,0.022502030869211986,0.014378554021121093
8,8,0.9358245329000813,0.9306409130816505,0.9359935156395334,0.9582290254856627,0.02924451665312755,-0.0003249390739235025,0.0013809910641756629,0.009585702680747432,-0.008773354995938232,0.007473598700243778,0.003980503655564682,0.010316815597075646,0.000893582453289965,0.01925264012997574,0.016571892770105734,0.01640942323314387
9,9,0.7481722177091795,0.7753623188405797,0.7632411172234181,0.9431209971032981,-0.10836718115353372,0.0074735987002435555,0.005686433793663848,0.005280259951259025,0.033143785540211135,-0.0025995125913890194,0.027701056051990247,0.028757108042242074,-0.11445978878960184,0.057189277010560535,0.03647441104792859,0.010560519902518162
10,10,0.7010560519902518,0.7455048409405256,0.7202343936857212,0.8941056100348135,-0.024532900081234765,-0.003086921202274606,-0.002274573517465517,-0.0012185215272136896,-0.012753858651502803,0.024776604386677392,0.0056864337936636256,0.019983753046303843,-0.0068237205523964395,0.003980503655564571,0.010560519902518273,0.013241267262388279
11,11,0.8375304630381804,0.8415213946117274,0.845286879800154,0.9492864545961891,0.023720552396425676,-0.004305442729488185,-0.0005686433793663515,0.025507717303005828,0.0538586515028433,0.040373679935012285,0.04581640942323317,0.015678310316815547,0.007879772542648156,0.07067424857839144,0.07432981316003251,0.07262388302193334
12,12,0.6831844029244517,0.7336065573770492,0.7034494671662813,0.940739854899147,-0.07026807473598695,-0.002680747359870006,0.004955320877335634,-0.009017059301380859,0.004630381803411909,0.013809910641754741,-0.0017059301380990544,-0.005117790414297274,-0.05905767668562134,0.013566206336312003,0.002193338748984641,-0.0002437043054426269
13,13,0.90089358245329,0.8937282229965157,0.9014297483324032,0.9230513699540249,0.11478472786352556,0.0006498781478473381,0.0,0.0014622258326563164,0.01965881397238023,0.025913891145410206,0.03460601137286756,-0.0014622258326563164,-0.0034118602761982197,0.015109666937449306,0.01340373679935003,-0.0018683996750608056
14,14,0.9285134037367994,0.9223985890652557,0.9282973238725452,0.9485636078556433,-0.007798537774167169,0.0032493907392363575,0.018359057676685664,0.008935824532899983,0.014297319252640106,0.03346872461413486,0.039561332250203085,0.006092607636068448,-0.0056864337936636256,0.07002437043054444,0.045166531275385835,0.025751421608448566
