,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_low_CO2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd3_scaled
0,0,0.9287489643744822,0.9233511586452763,0.9282032258420396,0.964525666626215,0.0072908036454018,0.06006628003313996,0.029577464788732244,0.03943661971830981,0.0035625517812759577,0.012510356255178046,0.06628003314001651,0.013007456503728143
1,1,0.9196354598177299,0.9160173160173161,0.9208915746389683,0.9410075791842722,0.013090306545153196,0.03976801988400991,0.04009942004971001,0.008036454018226946,-0.005633802816901401,0.024275062137531056,0.00480530240265109,0.0369511184755591
2,2,0.9304059652029826,0.9272097053726169,0.9316549540505058,0.9671706585174807,0.03504556752278365,0.03173156586578285,0.013007456503728254,0.009942004971002394,0.01151615575807785,0.015492957746478742,0.030654515327257492,0.015824357912178844
3,3,0.8931234465617233,0.8929460580912864,0.8970521717065851,0.956750659179418,0.03189726594863296,0.15691797845898914,0.04772162386081191,-0.0010770505385253593,-0.002982601491300696,0.030903065451532652,0.038276719138359505,0.011599005799502793
4,4,0.9328914664457332,0.9288849868305531,0.9333139348874154,0.9594839094028221,0.029246064623032364,0.13206296603148293,0.0024855012427505985,0.012841756420878259,0.02328086164043086,0.06404308202154096,0.008367854183927048,0.023363711681855692
5,5,0.9262634631317316,0.9230769230769231,0.9276612645212537,0.9534575201615128,0.004971002485501419,0.015824357912178955,0.0165700082850041,0.01342170671085341,0.005882352941176561,0.02966031483015752,0.02178956089478057,0.07058823529411784
6,6,0.9254349627174814,0.9232081911262798,0.9276667806670124,0.9641698752247829,0.0018227009113502834,0.007207953603976858,0.007373653686826964,0.0017398508699254522,-0.00041425020712515526,0.00836785418392716,0.00530240265120141,0.012427506213753103
7,7,0.9411764705882353,0.9372236958443855,0.9411896119943073,0.9693385038006245,-0.0028169014084507005,0.019469759734879855,0.0024855012427505985,0.021126760563380365,-0.011350455675227966,0.014498757249378547,0.0351284175642087,0.039933719966859904
8,8,0.9171499585749793,0.9146757679180887,0.919344295753671,0.9372207451209691,-0.0038111019055510065,0.11565865782932883,0.006545153272576765,-0.008782104391052314,0.0074565037282520175,0.07232808616404307,0.027920463960231956,0.04540182270091131
9,9,0.923777961888981,0.9195804195804196,0.9244384563617709,0.9574319031806097,-0.00952775476387735,-0.00787075393537684,-0.0022369511184754387,0.0028169014084507005,0.007207953603976858,0.011350455675227966,0.0054681027340514055,0.01010770505385239
10,10,0.932062966031483,0.9293103448275862,0.9336545568880112,0.9671679004446013,-0.00024855012427515977,0.020381110190554996,0.002402651201325545,0.0372825186412592,-0.005053852526926361,0.06106048053024016,0.019469759734879855,0.016570008285004212
11,11,0.9328914664457332,0.9288849868305531,0.9333139348874154,0.9646856348532152,0.03396851698425862,0.0328086164043081,-0.005716652858326565,-0.004722452361226259,-0.002319801159900603,0.01930405965202986,0.03413421706710862,0.03131731565865781
12,12,0.8508699254349628,0.8524590163934426,0.8554452632856371,0.9417274362057743,-0.07116818558409277,0.1445733222866611,0.009444904722452407,-0.030405965202982665,0.029908864954432568,0.035211267605633756,-0.0031483015741506915,0.009693454846727456
13,13,0.9295774647887324,0.9266609145815358,0.9311019604382027,0.9625508864446234,0.023446561723280857,0.02609776304888156,0.010770505385252704,-0.0012427506213752437,-0.002319801159900492,0.013421706710853298,0.006545153272576654,0.08367854183927093
14,14,0.9345484672742337,0.9314830875975716,0.9357603455313703,0.9673499332546364,0.028748964374482266,0.04954432477216242,-0.00563380281690129,0.004888152444076255,0.011930405965203228,0.005385252692626352,0.01955260977630502,0.04101077050538526
15,15,0.9395194697597349,0.9366869037294016,0.9407538364793752,0.9522908553335614,0.010604805302402709,0.022866611433305706,0.00836785418392716,-0.00505385252692625,0.0109362054681027,0.01880695940347965,0.02833471416735711,0.02518641259320642
16,16,0.927920463960232,0.9238845144356955,0.9285438478426353,0.9642691658484385,-0.008367854183927048,0.0210439105219552,0.0035625517812759577,0.005468102734051294,-0.0038939519469760597,0.010604805302402598,0.022203811101905502,0.002651201325600483
17,17,0.9055509527754764,0.9030612244897959,0.9079162207782179,0.9263539379764572,0.013007456503728365,0.000662800331400315,0.014001657000828338,-0.020215410107705,0.005302402651201299,0.011350455675227744,0.004059652029826055,0.01938690969345469
