,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_low_temperature_scaled,feature_importance.A_low_temperature_fd1_scaled,feature_importance.A_low_temperature_fd2_scaled,feature_importance.A_low_temperature_fd3_scaled,feature_importance.A_low_humidity_scaled,feature_importance.A_low_humidity_fd1_scaled,feature_importance.A_low_humidity_fd2_scaled,feature_importance.A_low_humidity_fd3_scaled,feature_importance.A_top_temperature_scaled,feature_importance.A_top_temperature_fd1_scaled,feature_importance.A_top_temperature_fd2_scaled,feature_importance.A_top_temperature_fd3_scaled,feature_importance.A_top_humidity_scaled,feature_importance.A_top_humidity_fd1_scaled,feature_importance.A_top_humidity_fd2_scaled,feature_importance.A_top_humidity_fd3_scaled
0,0,0.899751449875725,0.890497737556561,0.8981250620566398,0.968389726730139,-0.014415907207953715,-0.0028169014084508115,-0.001325600662800297,-0.00339685169842574,-0.007953603976802115,0.0005799502899751507,0.0021541010770507185,0.001325600662800519,-0.021706710853355404,0.000662800331400093,0.0015741507870753457,0.000331400165699991,-0.006462303231151378,0.00024855012427504874,-0.0005799502899751507,0.00024855012427504874,-0.003645401822700789,0.0101077050538525,0.011184755592377749,0.010853355426677647,-0.010024855012427558,0.0005799502899750397,0.0007456503728251462,0.0,-0.002319801159900714,0.006545153272576765,0.006710853355426871,0.005550952775476348
1,1,0.9420049710024855,0.9377224199288257,0.9416309036549981,0.9838542413644739,-0.002071251035625332,8.285004142505326e-05,-0.00041425020712504423,-0.000994200497100306,-0.006379453189726658,-0.00024855012427515977,-0.000331400165699991,0.000331400165700102,-0.0057995028997513964,-0.0011599005799501905,-0.0018227009113505055,-0.0021541010770506075,-0.001657000828500288,0.00016570008284988447,0.0010770505385252482,0.001325600662800297,0.0004971002485499865,-0.0051367025683514145,-0.004391052195526046,-0.005550952775476348,-0.001988400994200501,0.0024855012427505985,0.002071251035625443,0.0028169014084505895,0.00016570008284988447,-0.00505385252692625,-0.004888152444076366,-0.005385252692626463
2,2,0.9444904722452361,0.9398023360287511,0.9435132883951325,0.9895717264432995,0.002651201325600705,-0.0005799502899752618,-0.0007456503728252573,0.0011599005799501905,0.000331400165699991,0.0064623032311517115,0.0020712510356255542,0.0018227009113502834,-0.004556752278376042,0.003314001657000909,0.00480530240265109,0.004722452361226148,0.0005799502899752618,0.0038939519469759487,0.0032311516155756337,0.0036454018227009,-0.001325600662800408,0.00671085335542676,0.007373653686826742,0.006296603148301494,0.0004971002485499865,0.004308202154101104,0.00397680198840078,0.004391052195526157,-0.001988400994200501,0.005219552609776246,0.006710853355426538,0.005219552609776246
3,3,0.9502899751449876,0.9451553930530164,0.948277859294154,0.9875638493871562,-0.0010770505385251372,0.0014913007456505145,0.0012427506213754658,0.0038111019055510065,0.0001657000828501065,0.008616404308202208,0.010273405136702385,0.006545153272576543,-0.0030654515327258602,0.01400165700082856,0.009030654515327363,0.00836785418392716,-0.002651201325600816,0.000331400165700102,0.0005799502899751507,0.00041425020712515526,0.0008285004142501995,0.008285004142502217,0.0025683512841755407,0.0022369511184756607,-0.0028169014084505895,8.285004142505326e-05,0.00041425020712504423,-8.285004142505326e-05,0.0011599005799501905,0.0027340513670257582,0.002982601491300807,0.002071251035625443
4,4,0.9420049710024855,0.9372759856630825,0.9411840958485487,0.9665169952450823,0.0038111019055508955,0.0004142502071249332,0.0005799502899751507,0.0014913007456504035,0.004308202154100993,0.0034797017398507935,0.0030654515327257492,0.0022369511184755497,0.001988400994200501,0.002651201325600594,0.004971002485501308,0.004391052195526046,-0.0017398508699254522,0.0034797017398507935,0.0025683512841756517,0.0009113504556750307,-8.285004142516428e-05,0.009279204639602301,0.010024855012427447,0.010770505385252815,-8.285004142494223e-05,0.003728251864125842,0.0022369511184755497,0.000994200497100306,-0.0004971002485502085,0.006545153272576654,0.006959403479701698,0.007622203811101902
5,5,0.9494614747307374,0.9443938012762079,0.9476131637302384,0.9905039550765089,-0.004391052195526157,-8.285004142505326e-05,0.0007456503728251462,0.0007456503728251462,-0.010521955260977656,0.0101077050538525,0.012261806130902997,0.007373653686826964,-0.014415907207953715,0.013918806959403507,0.01599005799502906,0.015327257663628857,8.285004142505326e-05,0.0018227009113503945,0.0028997514498757537,0.003314001657000909,0.007622203811102013,0.009693454846727456,0.009196354598177359,0.009362054681027354,-0.0015741507870753457,0.0024855012427504874,0.001988400994200612,0.0022369511184756607,0.007125103562551693,0.00869925434962704,0.00952775476387746,0.00894780447390231
6,6,0.9270919635459818,0.9215686274509803,0.9265387288593714,0.9744395595909228,-0.006628003314001707,0.0012427506213752437,0.0014913007456502925,0.0033968516984258512,0.0001657000828499955,0.0012427506213752437,-0.0011599005799500794,0.0017398508699253412,-0.004556752278376042,0.004722452361226148,0.007042253521126862,0.0024855012427507095,-0.008202154101077053,0.0025683512841757627,0.0035625517812758467,0.004639602319801095,-0.002651201325600594,-0.0004971002485500975,-0.0019055509527754477,-0.0021541010770504965,-0.007787903893951897,0.007373653686826742,0.007125103562551693,0.005633802816901401,-0.0018227009113505055,0.0005799502899752618,0.0005799502899750397,0.0020712510356255542
7,7,0.932062966031483,0.9273049645390071,0.9318673256622133,0.9786580320598391,0.000994200497100306,0.002402651201325545,0.00041425020712515526,0.000994200497100306,-0.005053852526926361,0.006379453189726658,0.004971002485501197,0.00331400165700102,-0.01739850869925441,0.008036454018226946,0.01035625517812755,0.006710853355426538,-0.0015741507870754567,0.0024855012427505985,0.0009113504556752527,0.0022369511184756607,0.003976801988401002,0.008367854183927048,0.008864954432477257,0.0048053024026513125,-0.0007456503728253683,0.006379453189726658,0.006296603148301605,0.006628003314001485,0.0015741507870752347,0.0061309030654516095,0.004639602319801095,0.0038939519469758377
8,8,0.927920463960232,0.9193697868396663,0.9249693853910397,0.9793558244983066,0.0041425020712509975,0.004556752278376153,0.007042253521126862,0.00588235294117645,0.00024855012427504874,0.012593206296603099,0.01151615575807785,0.013918806959403507,-0.00422535211267594,0.020381110190555107,0.02609776304888156,0.019469759734879744,-0.001657000828500399,0.008782104391052314,0.0077879038939520084,0.009444904722452407,0.0038111019055510065,0.02319801159900592,0.02435791217895622,0.02162386081193035,0.0009113504556753638,0.009693454846727456,0.009279204639602412,0.009030654515327363,0.0018227009113503945,0.009610604805302403,0.013256006628003414,0.005219552609776246
9,9,0.9362054681027341,0.9283720930232559,0.9330684664011561,0.9698487472832982,-0.006213753106876441,0.000331400165700213,0.0015741507870754567,0.0048053024026513125,0.0028169014084509225,0.009444904722452518,0.013670256835128458,0.009942004971002616,-0.0034797017398507935,0.017398508699254522,0.016901408450704425,0.01507870753935392,-0.0014084507042251282,0.006130903065451387,0.004556752278376264,0.004722452361226148,-0.0001657000828501065,0.01673570836785432,0.017729908864954735,0.016901408450704314,-0.0014084507042253502,0.0057995028997515075,0.005716652858326343,0.0048053024026513125,0.000331400165699991,0.007953603976802004,0.010439105219552713,0.006379453189726658
10,10,0.8848384424192212,0.8627838104639685,0.8780062994384563,0.9622392242092606,0.005550952775476348,0.0009113504556751417,0.0057995028997513964,0.00836785418392716,-0.005882352941176561,0.005302402651201299,0.005302402651201299,0.003976801988401002,-0.007787903893951897,0.021458160729080356,0.025683512841756406,0.0210439105219552,-0.0038111019055510065,0.0021541010770506075,0.002071251035625443,0.0017398508699253412,0.0009113504556751417,0.00952775476387735,0.01234465617232805,0.01209610604805289,-0.00505385252692625,0.0033968516984258512,0.0024026512013256562,0.0031483015741508025,0.0025683512841755407,0.002982601491300807,0.0036454018227009,0.0017398508699253412
11,11,0.9295774647887324,0.9232158988256549,0.928197709696281,0.9751028761183985,-0.006296603148301494,-8.285004142494223e-05,0.0004971002485500975,0.0019055509527753367,-0.009279204639602412,-0.001988400994200612,-0.000994200497100195,0.000662800331400093,-0.01317315658657836,-0.0022369511184756607,-0.0032311516155758557,-0.002651201325600705,-0.006628003314001596,-0.0005799502899750397,0.00041425020712515526,0.0009113504556752527,0.002319801159900714,0.002982601491300696,0.005053852526926361,0.004639602319801206,-0.004225352112676162,0.0022369511184755497,0.0025683512841757627,0.003728251864125842,0.0034797017398507935,0.0014913007456502925,0.0028169014084508115,0.003645401822700789
12,12,0.9254349627174814,0.9200710479573713,0.9250976357799279,0.9656992266363646,-0.00530240265120141,0.0035625517812758467,0.001657000828500399,0.0051367025683514145,0.00165700082850051,0.005965202982601392,0.00480530240265109,0.0010770505385251372,-0.0033968516984258512,0.002651201325600705,0.0012427506213753547,0.00041425020712515526,-0.006959403479701809,0.0031483015741506915,0.00041425020712515526,0.0025683512841756517,-0.002319801159900603,0.011681855840927957,0.01673570836785432,0.01764705882352946,-0.007042253521126862,0.00422535211267594,0.0037282518641259532,0.002651201325600705,-0.0024855012427505985,0.009693454846727567,0.009444904722452518,0.010687655343827873
13,13,0.9212924606462303,0.9124423963133641,0.9186465033152036,0.9668369316990831,0.0005799502899750397,0.00331400165700102,0.007373653686826853,0.0030654515327257492,-0.00530240265120141,0.006048053024026556,0.005550952775476459,0.0048053024026513125,-0.007373653686826853,0.009030654515327141,0.010024855012427336,0.008367854183927048,-0.007207953603976858,0.0004142502071249332,0.0022369511184755497,0.006545153272576654,0.0019055509527754477,0.008367854183927048,0.012344656172328161,0.009362054681027243,-0.0064623032311517115,0.005053852526926139,0.006876553438276756,0.005468102734051294,0.0028169014084507005,0.00530240265120141,0.0038111019055508955,0.009942004971002394
14,14,0.951946975973488,0.9480286738351255,0.9511710777445583,0.988065818651192,0.0041425020712511085,0.002734051367025647,0.002319801159900603,0.002319801159900492,0.00024855012427515977,0.000994200497100195,0.0011599005799503015,0.0030654515327257492,0.001325600662800408,-0.000331400165700213,0.0011599005799503015,0.0020712510356255542,-0.0001657000828499955,0.0010770505385252482,0.0011599005799503015,0.001988400994200501,0.0034797017398510155,-0.00041425020712504423,-8.285004142494223e-05,-0.000331400165700213,-0.0008285004142500885,0.00041425020712515526,0.0011599005799505235,0.0020712510356255542,0.0037282518641260642,0.000994200497100306,0.0,-8.285004142516428e-05
15,15,0.9295774647887324,0.927038626609442,0.9314370662930398,0.9707616694063524,-0.00041425020712504423,-0.0010770505385252482,-0.0044739022369512105,-0.0010770505385251372,-0.010439105219552602,-0.007539353769676738,-0.008533554266777155,-0.0077879038939521195,-0.0064623032311516004,-0.00811930405965211,-0.008119304059652221,-0.008947804473902088,-0.011681855840927846,-0.000662800331400093,-0.0011599005799501905,-0.0014084507042254613,0.00033140016569987996,-0.004971002485501197,-0.004888152444076144,-0.006048053024026667,-0.01201325600662817,-0.00024855012427504874,0.0015741507870755678,0.0014913007456504035,0.00024855012427515977,-0.007456503728251795,-0.007373653686826964,-0.009279204639602412
16,16,0.9163214581607291,0.9131556319862425,0.9180093884800813,0.9768128813035756,0.004639602319801095,0.002319801159900603,-0.000662800331400204,0.00041425020712504423,-0.030985915492957705,0.01259320629660321,0.007539353769676738,0.00016570008285021753,-0.026843413421706597,0.013835956917978454,0.009279204639602301,0.007125103562551693,-0.009527754763877239,-0.000994200497100195,0.0028169014084507005,0.0028169014084507005,0.017978458989229562,0.01060480530240282,0.0173985086992543,0.014913007456503702,-0.007787903893951897,0.00505385252692625,0.006048053024026445,0.008864954432477257,0.01681855840927915,0.004639602319801206,-0.0017398508699253412,-0.000994200497100306
17,17,0.923777961888981,0.9130434782608695,0.919635272442439,0.9690268415652615,0.003976801988401113,0.000662800331400204,0.00024855012427504874,-0.0004971002485500975,0.001657000828500399,0.0025683512841756517,0.006628003314001707,0.00787075393537695,-0.001325600662800408,0.010439105219552713,0.012510356255178157,0.007373653686827075,-0.0048053024026512015,0.00016570008284988447,0.0011599005799503015,0.0007456503728251462,0.0025683512841756517,0.0061309030654516095,0.006959403479701809,0.006876553438276645,-0.0028169014084507005,0.0030654515327257492,0.0024855012427505985,0.0025683512841756517,0.0038111019055508955,0.0034797017398510155,0.00331400165700102,0.0038111019055508955
18,18,0.9502899751449876,0.9466192170818505,0.9499533885683396,0.9782636276380967,-0.006876553438276645,-0.00024855012427504874,0.000331400165700102,-0.0007456503728251462,0.0005799502899750397,0.002402651201325545,0.0032311516155758557,0.0037282518641259532,-0.0035625517812759577,0.004391052195526157,0.006296603148301605,0.006296603148301605,0.001988400994200612,-8.285004142494223e-05,0.0014084507042252392,0.001325600662800519,-0.005633802816901179,0.0020712510356256653,0.0028169014084505895,0.0027340513670257582,0.0024026512013257673,0.001325600662800297,0.0011599005799501905,0.000662800331400204,-0.005550952775476348,0.0,0.00041425020712515526,8.285004142505326e-05
19,19,0.9370339685169843,0.9309090909090909,0.9352969892876449,0.9676284986154475,-0.0017398508699254522,0.0031483015741508025,0.0032311516155758557,8.285004142516428e-05,-0.010521955260977545,0.003976801988401002,0.005716652858326343,0.005965202982601614,-0.008782104391052203,0.008699254349627261,0.007042253521126862,0.004722452361226148,-0.0004971002485499865,0.002651201325600927,0.0027340513670257582,0.0024855012427507095,0.0024855012427505985,0.023115161557580866,0.02576636288318146,0.020629660314830156,-0.0014913007456501814,0.0038111019055510065,0.002651201325600483,0.0024026512013256562,0.0032311516155757447,0.019386909693454912,0.02071251035625521,0.021209610604805307
